,index,#,Name,Generation,Rarity,Evolves_from,Has_gender_diff,Type1,Type2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Variant,Varieties,sprite_url
181,185,138,Omanyte,1,Common,,False,Rock,Water,355,35,40,100,90,55,35,,"[{'is_default': True, 'pokemon': {'name': 'omanyte', 'url': 'https://pokeapi.co/api/v2/pokemon/138/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/omanyte.png
182,186,139,Omastar,1,Common,Omanyte,False,Rock,Water,495,70,60,125,115,70,55,,"[{'is_default': True, 'pokemon': {'name': 'omastar', 'url': 'https://pokeapi.co/api/v2/pokemon/139/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/omastar.png
183,187,140,Kabuto,1,Common,,False,Rock,Water,355,30,80,90,55,45,55,,"[{'is_default': True, 'pokemon': {'name': 'kabuto', 'url': 'https://pokeapi.co/api/v2/pokemon/140/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/kabuto.png
184,188,141,Kabutops,1,Common,Kabuto,False,Rock,Water,495,60,115,105,65,70,80,,"[{'is_default': True, 'pokemon': {'name': 'kabutops', 'url': 'https://pokeapi.co/api/v2/pokemon/141/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/kabutops.png
185,189,142,Aerodactyl,1,Common,,False,Rock,Flying,515,80,105,65,60,75,130,,"[{'is_default': True, 'pokemon': {'name': 'aerodactyl', 'url': 'https://pokeapi.co/api/v2/pokemon/142/'}}, {'is_default': False, 'pokemon': {'name': 'aerodactyl-mega', 'url': 'https://pokeapi.co/api/v2/pokemon/10042/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/aerodactyl.png
186,190,142,Aerodactyl,1,Common,,False,Rock,Flying,615,80,135,85,70,95,150,Mega Aerodactyl,"[{'is_default': True, 'pokemon': {'name': 'aerodactyl', 'url': 'https://pokeapi.co/api/v2/pokemon/142/'}}, {'is_default': False, 'pokemon': {'name': 'aerodactyl-mega', 'url': 'https://pokeapi.co/api/v2/pokemon/10042/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/aerodactyl-mega.png
187,191,143,Snorlax,1,Common,Munchlax,False,Normal,,540,160,110,65,65,110,30,,"[{'is_default': True, 'pokemon': {'name': 'snorlax', 'url': 'https://pokeapi.co/api/v2/pokemon/143/'}}, {'is_default': False, 'pokemon': {'name': 'snorlax-gmax', 'url': 'https://pokeapi.co/api/v2/pokemon/10206/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/snorlax.png
188,192,144,Articuno,1,Legendary,,False,Ice,Flying,580,90,85,100,95,125,85,,"[{'is_default': True, 'pokemon': {'name': 'articuno', 'url': 'https://pokeapi.co/api/v2/pokemon/144/'}}, {'is_default': False, 'pokemon': {'name': 'articuno-galar', 'url': 'https://pokeapi.co/api/v2/pokemon/10169/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/articuno.png
189,193,144,Articuno,1,Legendary,,False,Psychic,Flying,580,90,85,85,125,100,95,Galarian Articuno,"[{'is_default': True, 'pokemon': {'name': 'articuno', 'url': 'https://pokeapi.co/api/v2/pokemon/144/'}}, {'is_default': False, 'pokemon': {'name': 'articuno-galar', 'url': 'https://pokeapi.co/api/v2/pokemon/10169/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/articuno-galarian.png
190,194,145,Zapdos,1,Legendary,,False,Electric,Flying,580,90,90,85,125,90,100,,"[{'is_default': True, 'pokemon': {'name': 'zapdos', 'url': 'https://pokeapi.co/api/v2/pokemon/145/'}}, {'is_default': False, 'pokemon': {'name': 'zapdos-galar', 'url': 'https://pokeapi.co/api/v2/pokemon/10170/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/zapdos.png
191,195,145,Zapdos,1,Legendary,,False,Fighting,Flying,580,90,125,90,85,90,100,Galarian Zapdos,"[{'is_default': True, 'pokemon': {'name': 'zapdos', 'url': 'https://pokeapi.co/api/v2/pokemon/145/'}}, {'is_default': False, 'pokemon': {'name': 'zapdos-galar', 'url': 'https://pokeapi.co/api/v2/pokemon/10170/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/zapdos-galarian.png
192,196,146,Moltres,1,Legendary,,False,Fire,Flying,580,90,100,90,125,85,90,,"[{'is_default': True, 'pokemon': {'name': 'moltres', 'url': 'https://pokeapi.co/api/v2/pokemon/146/'}}, {'is_default': False, 'pokemon': {'name': 'moltres-galar', 'url': 'https://pokeapi.co/api/v2/pokemon/10171/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/moltres.png
193,197,146,Moltres,1,Legendary,,False,Dark,Flying,580,90,85,90,100,125,90,Galarian Moltres,"[{'is_default': True, 'pokemon': {'name': 'moltres', 'url': 'https://pokeapi.co/api/v2/pokemon/146/'}}, {'is_default': False, 'pokemon': {'name': 'moltres-galar', 'url': 'https://pokeapi.co/api/v2/pokemon/10171/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/moltres-galarian.png
194,198,147,Dratini,1,Common,,False,Dragon,,300,41,64,45,50,50,50,,"[{'is_default': True, 'pokemon': {'name': 'dratini', 'url': 'https://pokeapi.co/api/v2/pokemon/147/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/dratini.png
195,199,148,Dragonair,1,Common,Dratini,False,Dragon,,420,61,84,65,70,70,70,,"[{'is_default': True, 'pokemon': {'name': 'dragonair', 'url': 'https://pokeapi.co/api/v2/pokemon/148/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/dragonair.png
196,200,149,Dragonite,1,Common,Dragonair,False,Dragon,Flying,600,91,134,95,100,100,80,,"[{'is_default': True, 'pokemon': {'name': 'dragonite', 'url': 'https://pokeapi.co/api/v2/pokemon/149/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/dragonite.png
197,201,150,Mewtwo,1,Legendary,,False,Psychic,,680,106,110,90,154,90,130,,"[{'is_default': True, 'pokemon': {'name': 'mewtwo', 'url': 'https://pokeapi.co/api/v2/pokemon/150/'}}, {'is_default': False, 'pokemon': {'name': 'mewtwo-mega-x', 'url': 'https://pokeapi.co/api/v2/pokemon/10043/'}}, {'is_default': False, 'pokemon': {'name': 'mewtwo-mega-y', 'url': 'https://pokeapi.co/api/v2/pokemon/10044/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo.png
198,202,150,Mewtwo,1,Legendary,,False,Psychic,Fighting,780,106,190,100,154,100,130,Mega Mewtwo X,"[{'is_default': True, 'pokemon': {'name': 'mewtwo', 'url': 'https://pokeapi.co/api/v2/pokemon/150/'}}, {'is_default': False, 'pokemon': {'name': 'mewtwo-mega-x', 'url': 'https://pokeapi.co/api/v2/pokemon/10043/'}}, {'is_default': False, 'pokemon': {'name': 'mewtwo-mega-y', 'url': 'https://pokeapi.co/api/v2/pokemon/10044/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo-mega-x.png
199,203,150,Mewtwo,1,Legendary,,False,Psychic,,780,106,150,70,194,120,140,Mega Mewtwo Y,"[{'is_default': True, 'pokemon': {'name': 'mewtwo', 'url': 'https://pokeapi.co/api/v2/pokemon/150/'}}, {'is_default': False, 'pokemon': {'name': 'mewtwo-mega-x', 'url': 'https://pokeapi.co/api/v2/pokemon/10043/'}}, {'is_default': False, 'pokemon': {'name': 'mewtwo-mega-y', 'url': 'https://pokeapi.co/api/v2/pokemon/10044/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo-mega-y.png
200,204,151,Mew,1,Mythical,,False,Psychic,,600,100,100,100,100,100,100,,"[{'is_default': True, 'pokemon': {'name': 'mew', 'url': 'https://pokeapi.co/api/v2/pokemon/151/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/mew.png
201,205,152,Chikorita,2,Common,,False,Grass,,318,45,49,65,49,65,45,,"[{'is_default': True, 'pokemon': {'name': 'chikorita', 'url': 'https://pokeapi.co/api/v2/pokemon/152/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/chikorita.png
202,206,153,Bayleef,2,Common,Chikorita,False,Grass,,405,60,62,80,63,80,60,,"[{'is_default': True, 'pokemon': {'name': 'bayleef', 'url': 'https://pokeapi.co/api/v2/pokemon/153/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/bayleef.png
203,207,154,Meganium,2,Common,Bayleef,True,Grass,,525,80,82,100,83,100,80,,"[{'is_default': True, 'pokemon': {'name': 'meganium', 'url': 'https://pokeapi.co/api/v2/pokemon/154/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/meganium.png
204,208,155,Cyndaquil,2,Common,,False,Fire,,309,39,52,43,60,50,65,,"[{'is_default': True, 'pokemon': {'name': 'cyndaquil', 'url': 'https://pokeapi.co/api/v2/pokemon/155/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/cyndaquil.png
205,209,156,Quilava,2,Common,Cyndaquil,False,Fire,,405,58,64,58,80,65,80,,"[{'is_default': True, 'pokemon': {'name': 'quilava', 'url': 'https://pokeapi.co/api/v2/pokemon/156/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/quilava.png
206,210,157,Typhlosion,2,Common,Quilava,False,Fire,,534,78,84,78,109,85,100,,"[{'is_default': True, 'pokemon': {'name': 'typhlosion', 'url': 'https://pokeapi.co/api/v2/pokemon/157/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/typhlosion.png
207,211,157,Typhlosion,2,Common,Quilava,False,Fire,Ghost,534,73,84,78,119,85,95,Hisuian Typhlosion,"[{'is_default': True, 'pokemon': {'name': 'typhlosion', 'url': 'https://pokeapi.co/api/v2/pokemon/157/'}}]",https://img.pokemondb.net/s.png
208,212,158,Totodile,2,Common,,False,Water,,314,50,65,64,44,48,43,,"[{'is_default': True, 'pokemon': {'name': 'totodile', 'url': 'https://pokeapi.co/api/v2/pokemon/158/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/totodile.png
209,213,159,Croconaw,2,Common,Totodile,False,Water,,405,65,80,80,59,63,58,,"[{'is_default': True, 'pokemon': {'name': 'croconaw', 'url': 'https://pokeapi.co/api/v2/pokemon/159/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/croconaw.png
210,214,160,Feraligatr,2,Common,Croconaw,False,Water,,530,85,105,100,79,83,78,,"[{'is_default': True, 'pokemon': {'name': 'feraligatr', 'url': 'https://pokeapi.co/api/v2/pokemon/160/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/feraligatr.png
211,215,161,Sentret,2,Common,,False,Normal,,215,35,46,34,35,45,20,,"[{'is_default': True, 'pokemon': {'name': 'sentret', 'url': 'https://pokeapi.co/api/v2/pokemon/161/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/sentret.png
212,216,162,Furret,2,Common,Sentret,False,Normal,,415,85,76,64,45,55,90,,"[{'is_default': True, 'pokemon': {'name': 'furret', 'url': 'https://pokeapi.co/api/v2/pokemon/162/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/furret.png
213,217,163,Hoothoot,2,Common,,False,Normal,Flying,262,60,30,30,36,56,50,,"[{'is_default': True, 'pokemon': {'name': 'hoothoot', 'url': 'https://pokeapi.co/api/v2/pokemon/163/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/hoothoot.png
214,218,164,Noctowl,2,Common,Hoothoot,False,Normal,Flying,452,100,50,50,86,96,70,,"[{'is_default': True, 'pokemon': {'name': 'noctowl', 'url': 'https://pokeapi.co/api/v2/pokemon/164/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/noctowl.png
215,219,165,Ledyba,2,Common,,True,Bug,Flying,265,40,20,30,40,80,55,,"[{'is_default': True, 'pokemon': {'name': 'ledyba', 'url': 'https://pokeapi.co/api/v2/pokemon/165/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/ledyba.png
216,220,166,Ledian,2,Common,Ledyba,True,Bug,Flying,390,55,35,50,55,110,85,,"[{'is_default': True, 'pokemon': {'name': 'ledian', 'url': 'https://pokeapi.co/api/v2/pokemon/166/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/ledian.png
217,221,167,Spinarak,2,Common,,False,Bug,Poison,250,40,60,40,40,40,30,,"[{'is_default': True, 'pokemon': {'name': 'spinarak', 'url': 'https://pokeapi.co/api/v2/pokemon/167/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/spinarak.png
218,222,168,Ariados,2,Common,Spinarak,False,Bug,Poison,400,70,90,70,60,70,40,,"[{'is_default': True, 'pokemon': {'name': 'ariados', 'url': 'https://pokeapi.co/api/v2/pokemon/168/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/ariados.png
219,223,169,Crobat,2,Common,Golbat,False,Poison,Flying,535,85,90,80,70,80,130,,"[{'is_default': True, 'pokemon': {'name': 'crobat', 'url': 'https://pokeapi.co/api/v2/pokemon/169/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/crobat.png
220,224,170,Chinchou,2,Common,,False,Water,Electric,330,75,38,38,56,56,67,,"[{'is_default': True, 'pokemon': {'name': 'chinchou', 'url': 'https://pokeapi.co/api/v2/pokemon/170/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/chinchou.png
221,225,171,Lanturn,2,Common,Chinchou,False,Water,Electric,460,125,58,58,76,76,67,,"[{'is_default': True, 'pokemon': {'name': 'lanturn', 'url': 'https://pokeapi.co/api/v2/pokemon/171/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/lanturn.png
222,226,172,Pichu,2,Baby,,False,Electric,,205,20,40,15,35,35,60,,"[{'is_default': True, 'pokemon': {'name': 'pichu', 'url': 'https://pokeapi.co/api/v2/pokemon/172/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/pichu.png
223,227,173,Cleffa,2,Baby,,False,Fairy,,218,50,25,28,45,55,15,,"[{'is_default': True, 'pokemon': {'name': 'cleffa', 'url': 'https://pokeapi.co/api/v2/pokemon/173/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/cleffa.png
224,228,174,Igglybuff,2,Baby,,False,Normal,Fairy,210,90,30,15,40,20,15,,"[{'is_default': True, 'pokemon': {'name': 'igglybuff', 'url': 'https://pokeapi.co/api/v2/pokemon/174/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/igglybuff.png
225,229,175,Togepi,2,Baby,,False,Fairy,,245,35,20,65,40,65,20,,"[{'is_default': True, 'pokemon': {'name': 'togepi', 'url': 'https://pokeapi.co/api/v2/pokemon/175/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/togepi.png
226,230,176,Togetic,2,Common,Togepi,False,Fairy,Flying,405,55,40,85,80,105,40,,"[{'is_default': True, 'pokemon': {'name': 'togetic', 'url': 'https://pokeapi.co/api/v2/pokemon/176/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/togetic.png
227,231,177,Natu,2,Common,,False,Psychic,Flying,320,40,50,45,70,45,70,,"[{'is_default': True, 'pokemon': {'name': 'natu', 'url': 'https://pokeapi.co/api/v2/pokemon/177/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/natu.png
228,232,178,Xatu,2,Common,Natu,True,Psychic,Flying,470,65,75,70,95,70,95,,"[{'is_default': True, 'pokemon': {'name': 'xatu', 'url': 'https://pokeapi.co/api/v2/pokemon/178/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/xatu.png
229,233,179,Mareep,2,Common,,False,Electric,,280,55,40,40,65,45,35,,"[{'is_default': True, 'pokemon': {'name': 'mareep', 'url': 'https://pokeapi.co/api/v2/pokemon/179/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/mareep.png
230,234,180,Flaaffy,2,Common,Mareep,False,Electric,,365,70,55,55,80,60,45,,"[{'is_default': True, 'pokemon': {'name': 'flaaffy', 'url': 'https://pokeapi.co/api/v2/pokemon/180/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/flaaffy.png
231,235,181,Ampharos,2,Common,Flaaffy,False,Electric,,510,90,75,85,115,90,55,,"[{'is_default': True, 'pokemon': {'name': 'ampharos', 'url': 'https://pokeapi.co/api/v2/pokemon/181/'}}, {'is_default': False, 'pokemon': {'name': 'ampharos-mega', 'url': 'https://pokeapi.co/api/v2/pokemon/10045/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/ampharos.png
232,236,181,Ampharos,2,Common,Flaaffy,False,Electric,Dragon,610,90,95,105,165,110,45,Mega Ampharos,"[{'is_default': True, 'pokemon': {'name': 'ampharos', 'url': 'https://pokeapi.co/api/v2/pokemon/181/'}}, {'is_default': False, 'pokemon': {'name': 'ampharos-mega', 'url': 'https://pokeapi.co/api/v2/pokemon/10045/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/ampharos-mega.png
233,237,182,Bellossom,2,Common,Gloom,False,Grass,,490,75,80,95,90,100,50,,"[{'is_default': True, 'pokemon': {'name': 'bellossom', 'url': 'https://pokeapi.co/api/v2/pokemon/182/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/bellossom.png
234,238,183,Marill,2,Common,Azurill,False,Water,Fairy,250,70,20,50,20,50,40,,"[{'is_default': True, 'pokemon': {'name': 'marill', 'url': 'https://pokeapi.co/api/v2/pokemon/183/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/marill.png
235,239,184,Azumarill,2,Common,Marill,False,Water,Fairy,420,100,50,80,60,80,50,,"[{'is_default': True, 'pokemon': {'name': 'azumarill', 'url': 'https://pokeapi.co/api/v2/pokemon/184/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/azumarill.png
236,240,185,Sudowoodo,2,Common,Bonsly,True,Rock,,410,70,100,115,30,65,30,,"[{'is_default': True, 'pokemon': {'name': 'sudowoodo', 'url': 'https://pokeapi.co/api/v2/pokemon/185/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/sudowoodo.png
237,241,186,Politoed,2,Common,Poliwhirl,True,Water,,500,90,75,75,90,100,70,,"[{'is_default': True, 'pokemon': {'name': 'politoed', 'url': 'https://pokeapi.co/api/v2/pokemon/186/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/politoed.png
238,242,187,Hoppip,2,Common,,False,Grass,Flying,250,35,35,40,35,55,50,,"[{'is_default': True, 'pokemon': {'name': 'hoppip', 'url': 'https://pokeapi.co/api/v2/pokemon/187/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/hoppip.png
239,243,188,Skiploom,2,Common,Hoppip,False,Grass,Flying,340,55,45,50,45,65,80,,"[{'is_default': True, 'pokemon': {'name': 'skiploom', 'url': 'https://pokeapi.co/api/v2/pokemon/188/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/skiploom.png
240,244,189,Jumpluff,2,Common,Skiploom,False,Grass,Flying,460,75,55,70,55,95,110,,"[{'is_default': True, 'pokemon': {'name': 'jumpluff', 'url': 'https://pokeapi.co/api/v2/pokemon/189/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/jumpluff.png
241,245,190,Aipom,2,Common,,True,Normal,,360,55,70,55,40,55,85,,"[{'is_default': True, 'pokemon': {'name': 'aipom', 'url': 'https://pokeapi.co/api/v2/pokemon/190/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/aipom.png
242,246,191,Sunkern,2,Common,,False,Grass,,180,30,30,30,30,30,30,,"[{'is_default': True, 'pokemon': {'name': 'sunkern', 'url': 'https://pokeapi.co/api/v2/pokemon/191/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/sunkern.png
243,247,192,Sunflora,2,Common,Sunkern,False,Grass,,425,75,75,55,105,85,30,,"[{'is_default': True, 'pokemon': {'name': 'sunflora', 'url': 'https://pokeapi.co/api/v2/pokemon/192/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/sunflora.png
244,248,193,Yanma,2,Common,,False,Bug,Flying,390,65,65,45,75,45,95,,"[{'is_default': True, 'pokemon': {'name': 'yanma', 'url': 'https://pokeapi.co/api/v2/pokemon/193/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/yanma.png
245,249,194,Wooper,2,Common,,True,Water,Ground,210,55,45,45,25,25,15,,"[{'is_default': True, 'pokemon': {'name': 'wooper', 'url': 'https://pokeapi.co/api/v2/pokemon/194/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/wooper.png
246,250,195,Quagsire,2,Common,Wooper,True,Water,Ground,430,95,85,85,65,65,35,,"[{'is_default': True, 'pokemon': {'name': 'quagsire', 'url': 'https://pokeapi.co/api/v2/pokemon/195/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/quagsire.png
247,251,196,Espeon,2,Common,Eevee,False,Psychic,,525,65,65,60,130,95,110,,"[{'is_default': True, 'pokemon': {'name': 'espeon', 'url': 'https://pokeapi.co/api/v2/pokemon/196/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/espeon.png
248,252,197,Umbreon,2,Common,Eevee,False,Dark,,525,95,65,110,60,130,65,,"[{'is_default': True, 'pokemon': {'name': 'umbreon', 'url': 'https://pokeapi.co/api/v2/pokemon/197/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/umbreon.png
249,253,198,Murkrow,2,Common,,True,Dark,Flying,405,60,85,42,85,42,91,,"[{'is_default': True, 'pokemon': {'name': 'murkrow', 'url': 'https://pokeapi.co/api/v2/pokemon/198/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/murkrow.png
250,254,199,Slowking,2,Common,Slowpoke,False,Water,Psychic,490,95,75,80,100,110,30,,"[{'is_default': True, 'pokemon': {'name': 'slowking', 'url': 'https://pokeapi.co/api/v2/pokemon/199/'}}, {'is_default': False, 'pokemon': {'name': 'slowking-galar', 'url': 'https://pokeapi.co/api/v2/pokemon/10172/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/slowking.png
251,255,199,Slowking,2,Common,Slowpoke,False,Poison,Psychic,490,95,65,80,110,110,30,Galarian Slowking,"[{'is_default': True, 'pokemon': {'name': 'slowking', 'url': 'https://pokeapi.co/api/v2/pokemon/199/'}}, {'is_default': False, 'pokemon': {'name': 'slowking-galar', 'url': 'https://pokeapi.co/api/v2/pokemon/10172/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/slowking-galarian.png
252,256,200,Misdreavus,2,Common,,False,Ghost,,435,60,60,60,85,85,85,,"[{'is_default': True, 'pokemon': {'name': 'misdreavus', 'url': 'https://pokeapi.co/api/v2/pokemon/200/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/misdreavus.png
253,257,201,Unown,2,Common,,False,Psychic,,336,48,72,48,72,48,48,,"[{'is_default': True, 'pokemon': {'name': 'unown', 'url': 'https://pokeapi.co/api/v2/pokemon/201/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/unown.png
254,258,202,Wobbuffet,2,Common,Wynaut,True,Psychic,,405,190,33,58,33,58,33,,"[{'is_default': True, 'pokemon': {'name': 'wobbuffet', 'url': 'https://pokeapi.co/api/v2/pokemon/202/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/wobbuffet.png
255,259,203,Girafarig,2,Common,,True,Normal,Psychic,455,70,80,65,90,65,85,,"[{'is_default': True, 'pokemon': {'name': 'girafarig', 'url': 'https://pokeapi.co/api/v2/pokemon/203/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/girafarig.png
256,260,204,Pineco,2,Common,,False,Bug,,290,50,65,90,35,35,15,,"[{'is_default': True, 'pokemon': {'name': 'pineco', 'url': 'https://pokeapi.co/api/v2/pokemon/204/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/pineco.png
257,261,205,Forretress,2,Common,Pineco,False,Bug,Steel,465,75,90,140,60,60,40,,"[{'is_default': True, 'pokemon': {'name': 'forretress', 'url': 'https://pokeapi.co/api/v2/pokemon/205/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/forretress.png
258,262,206,Dunsparce,2,Common,,False,Normal,,415,100,70,70,65,65,45,,"[{'is_default': True, 'pokemon': {'name': 'dunsparce', 'url': 'https://pokeapi.co/api/v2/pokemon/206/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/dunsparce.png
259,263,207,Gligar,2,Common,,True,Ground,Flying,430,65,75,105,35,65,85,,"[{'is_default': True, 'pokemon': {'name': 'gligar', 'url': 'https://pokeapi.co/api/v2/pokemon/207/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/gligar.png
260,264,208,Steelix,2,Common,Onix,True,Steel,Ground,510,75,85,200,55,65,30,,"[{'is_default': True, 'pokemon': {'name': 'steelix', 'url': 'https://pokeapi.co/api/v2/pokemon/208/'}}, {'is_default': False, 'pokemon': {'name': 'steelix-mega', 'url': 'https://pokeapi.co/api/v2/pokemon/10072/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/steelix.png
261,265,208,Steelix,2,Common,Onix,True,Steel,Ground,610,75,125,230,55,95,30,Mega Steelix,"[{'is_default': True, 'pokemon': {'name': 'steelix', 'url': 'https://pokeapi.co/api/v2/pokemon/208/'}}, {'is_default': False, 'pokemon': {'name': 'steelix-mega', 'url': 'https://pokeapi.co/api/v2/pokemon/10072/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/steelix-mega.png
262,266,209,Snubbull,2,Common,,False,Fairy,,300,60,80,50,40,40,30,,"[{'is_default': True, 'pokemon': {'name': 'snubbull', 'url': 'https://pokeapi.co/api/v2/pokemon/209/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/snubbull.png
263,267,210,Granbull,2,Common,Snubbull,False,Fairy,,450,90,120,75,60,60,45,,"[{'is_default': True, 'pokemon': {'name': 'granbull', 'url': 'https://pokeapi.co/api/v2/pokemon/210/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/granbull.png
264,268,211,Qwilfish,2,Common,,False,Water,Poison,440,65,95,85,55,55,85,,"[{'is_default': True, 'pokemon': {'name': 'qwilfish', 'url': 'https://pokeapi.co/api/v2/pokemon/211/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/qwilfish.png
265,269,211,Qwilfish,2,Common,,False,Dark,Poison,440,65,95,85,55,55,85,Hisuian Qwilfish,"[{'is_default': True, 'pokemon': {'name': 'qwilfish', 'url': 'https://pokeapi.co/api/v2/pokemon/211/'}}]",https://img.pokemondb.net/s.png
266,270,212,Scizor,2,Common,Scyther,True,Bug,Steel,500,70,130,100,55,80,65,,"[{'is_default': True, 'pokemon': {'name': 'scizor', 'url': 'https://pokeapi.co/api/v2/pokemon/212/'}}, {'is_default': False, 'pokemon': {'name': 'scizor-mega', 'url': 'https://pokeapi.co/api/v2/pokemon/10046/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/scizor.png
267,271,212,Scizor,2,Common,Scyther,True,Bug,Steel,600,70,150,140,65,100,75,Mega Scizor,"[{'is_default': True, 'pokemon': {'name': 'scizor', 'url': 'https://pokeapi.co/api/v2/pokemon/212/'}}, {'is_default': False, 'pokemon': {'name': 'scizor-mega', 'url': 'https://pokeapi.co/api/v2/pokemon/10046/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/scizor-mega.png
268,272,213,Shuckle,2,Common,,False,Bug,Rock,505,20,10,230,10,230,5,,"[{'is_default': True, 'pokemon': {'name': 'shuckle', 'url': 'https://pokeapi.co/api/v2/pokemon/213/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/shuckle.png
269,273,214,Heracross,2,Common,,True,Bug,Fighting,500,80,125,75,40,95,85,,"[{'is_default': True, 'pokemon': {'name': 'heracross', 'url': 'https://pokeapi.co/api/v2/pokemon/214/'}}, {'is_default': False, 'pokemon': {'name': 'heracross-mega', 'url': 'https://pokeapi.co/api/v2/pokemon/10047/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/heracross.png
