,No.,Name,Abilities,HP,Att,Def,S.Att,S.Def,Spd,sprite_url
201,#202,Lilligantドレディア,Chlorophyll Own Tempo Leaf Guard,70,60,75,110,75,90,https://www.serebii.net//swordshield/pokemon/small/549.png
202,#203,Combeeミツハニー,Honey Gather Hustle,30,30,42,30,42,70,https://www.serebii.net//swordshield/pokemon/small/415.png
203,#204,Vespiquenビークイン,Pressure Unnerve,70,80,102,80,102,40,https://www.serebii.net//swordshield/pokemon/small/416.png
204,#205,Exeggcuteタマタマ,Chlorophyll Harvest,60,40,80,60,45,40,https://www.serebii.net//swordshield/pokemon/small/102.png
205,#206,Exeggutorナッシー,Chlorophyll Harvest,95,95,85,125,75,55,https://www.serebii.net//swordshield/pokemon/small/103.png
206,#207,Dittoメタモン,Limber Imposter,48,48,48,48,48,48,https://www.serebii.net//swordshield/pokemon/small/132.png
207,#208,Porygonポリゴン,Trace Download Analytic,65,60,70,85,75,40,https://www.serebii.net//swordshield/pokemon/small/137.png
208,#209,Porygon2ポリゴン２,Trace Download Analytic,85,80,90,105,95,60,https://www.serebii.net//swordshield/pokemon/small/233.png
209,#210,Porygon-ZポリゴンＺ,Adaptability Download Analytic,85,80,70,135,75,90,https://www.serebii.net//swordshield/pokemon/small/474.png
210,#211,Zarudeザルード,Leaf Guard,105,120,105,70,95,105,https://www.serebii.net//swordshield/pokemon/small/893.png
