Id,Label,timeset,index,nationalpokedexnumber,species,variant,generation,rarity,type1,type2,total,hp,attack,defense,spatk,spdef,speed,image_url,vgc2022rules,monthlyusagemarch2022,usagepercentmarch2022,monthlyrankmarch2022,introductedin,type,power,acc,pp,damageclass,effect,probpercentage,increases,decreases,likesberrie,dislikesberrie,alternativeeffect,usageattributes,specificcategory,generalcategory,description,indegree,outdegree,degree,clustering
Beartic,Beartic,,747,614,Beartic,,5,Common,Ice,,505,95,130,80,70,80,50,https://img.pokemondb.net/sprites/sword-shield/icon/beartic.png,Permitted,,,,,,,,,,,,,,,,,,,,,2,132,134,0.029851
Cryogonal,Cryogonal,,748,615,Cryogonal,,5,Common,Ice,,515,80,50,50,95,135,105,https://img.pokemondb.net/sprites/sword-shield/icon/cryogonal.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,60,60,0.004237
Shelmet,Shelmet,,749,616,Shelmet,,5,Common,Bug,,305,50,40,85,40,65,25,https://img.pokemondb.net/sprites/sword-shield/icon/shelmet.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,57,57,0.017231
Accelgor,Accelgor,,750,617,Accelgor,,5,Common,Bug,,495,80,70,40,100,60,145,https://img.pokemondb.net/sprites/sword-shield/icon/accelgor.png,Permitted,7,0,207,,,,,,,,,,,,,,,,,,6,115,121,0.036835
Stunfisk,Stunfisk,,751,618,Stunfisk,,5,Common,Ground,Electric,471,109,66,84,81,99,32,https://img.pokemondb.net/sprites/sword-shield/icon/stunfisk.png,,,,,,,,,,,,,,,,,,,,,,0,80,80,0.003956
Galarian Stunfisk,Galarian Stunfisk,,752,618,Stunfisk,Galarian,8,Common,Ground,Steel,471,109,81,99,66,84,32,https://img.pokemondb.net/sprites/sword-shield/icon/stunfisk-galarian.png,Permitted,,,,,,,,,,,,,,,,,,,,,1,2,3,0.5
Mienfoo,Mienfoo,,753,619,Mienfoo,,5,Common,Fighting,,350,45,85,50,55,50,65,https://img.pokemondb.net/sprites/sword-shield/icon/mienfoo.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,84,84,0.014343
Mienshao,Mienshao,,754,620,Mienshao,,5,Common,Fighting,,510,65,125,60,95,60,105,https://img.pokemondb.net/sprites/sword-shield/icon/mienshao.png,Permitted,18,0,74,,,,,,,,,,,,,,,,,,5,127,132,0.033999
Druddigon,Druddigon,,755,621,Druddigon,,5,Common,Dragon,,485,77,120,90,60,90,48,https://img.pokemondb.net/sprites/sword-shield/icon/druddigon.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,133,133,0.027455
Golett,Golett,,756,622,Golett,,5,Common,Ground,Ghost,303,59,74,50,35,50,35,https://img.pokemondb.net/sprites/sword-shield/icon/golett.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,83,83,0.014546
Golurk,Golurk,,757,623,Golurk,,5,Common,Ground,Ghost,483,89,124,80,55,80,55,https://img.pokemondb.net/sprites/sword-shield/icon/golurk.png,Permitted,,,,,,,,,,,,,,,,,,,,,2,144,146,0.027019
Pawniard,Pawniard,,758,624,Pawniard,,5,Common,Dark,Steel,340,45,85,70,40,40,60,https://img.pokemondb.net/sprites/sword-shield/icon/pawniard.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,85,85,0.014846
Bisharp,Bisharp,,759,625,Bisharp,,5,Common,Dark,Steel,490,65,125,100,60,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/bisharp.png,Permitted,10,0,182,,,,,,,,,,,,,,,,,,5,132,137,0.038267
Bouffalant,Bouffalant,,760,626,Bouffalant,,5,Common,Normal,,490,95,110,95,40,95,55,https://img.pokemondb.net/sprites/sword-shield/icon/bouffalant.png,Permitted,,,,,,,,,,,,,,,,,,,,,4,124,128,0.031429
Rufflet,Rufflet,,761,627,Rufflet,,5,Common,Normal,Flying,350,70,83,50,37,50,60,https://img.pokemondb.net/sprites/sword-shield/icon/rufflet.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,65,65,0.025481
Hisuian Braviary,Hisuian Braviary,,762,628,Braviary,Hisuian,5,Common,Psychic,Flying,510,110,83,70,112,70,65,https://img.pokemondb.net/s.png,,,,,,,,,,,,,,,,,,,,,,2,2,4,0.416667
Braviary,Braviary,,763,628,Braviary,,5,Common,Normal,Flying,510,100,123,75,57,75,80,https://img.pokemondb.net/sprites/sword-shield/icon/braviary.png,Permitted,,,,,,,,,,,,,,,,,,,,,7,113,120,0.053992
Vullaby,Vullaby,,764,629,Vullaby,,5,Common,Dark,Flying,370,70,55,75,45,65,60,https://img.pokemondb.net/sprites/sword-shield/icon/vullaby.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,71,71,0.01992
Mandibuzz,Mandibuzz,,765,630,Mandibuzz,,5,Common,Dark,Flying,510,110,65,105,55,95,80,https://img.pokemondb.net/sprites/sword-shield/icon/mandibuzz.png,Permitted,3,0,163,,,,,,,,,,,,,,,,,,2,118,120,0.028842
Heatmor,Heatmor,,766,631,Heatmor,,5,Common,Fire,,484,85,97,66,105,66,65,https://img.pokemondb.net/sprites/sword-shield/icon/heatmor.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,84,84,0.002008
Durant,Durant,,767,632,Durant,,5,Common,Bug,Steel,484,58,109,112,48,48,109,https://img.pokemondb.net/sprites/sword-shield/icon/durant.png,Permitted,4,0,194,,,,,,,,,,,,,,,,,,6,109,115,0.040046
Deino,Deino,,768,633,Deino,,5,Common,Dark,Dragon,300,52,65,50,45,50,38,https://img.pokemondb.net/sprites/sword-shield/icon/deino.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,67,67,0.018091
Zweilous,Zweilous,,769,634,Zweilous,,5,Common,Dark,Dragon,420,72,85,70,65,70,58,https://img.pokemondb.net/sprites/sword-shield/icon/zweilous.png,Permitted,,,,,,,,,,,,,,,,,,,,,1,66,67,0.032791
Hydreigon,Hydreigon,,770,635,Hydreigon,,5,Common,Dark,Dragon,600,92,105,90,125,90,98,https://img.pokemondb.net/sprites/sword-shield/icon/hydreigon.png,Permitted,13,0,83,,,,,,,,,,,,,,,,,,7,147,154,0.035905
Larvesta,Larvesta,,771,636,Larvesta,,5,Common,Bug,Fire,360,55,85,55,50,55,60,https://img.pokemondb.net/sprites/sword-shield/icon/larvesta.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,60,60,0.021751
Volcarona,Volcarona,,772,637,Volcarona,,5,Common,Bug,Fire,550,85,60,65,135,105,100,https://img.pokemondb.net/sprites/sword-shield/icon/volcarona.png,Permitted,28,0,94,,,,,,,,,,,,,,,,,,10,120,130,0.044902
Cobalion,Cobalion,,773,638,Cobalion,,5,Legendary,Steel,Fighting,580,91,90,129,90,72,108,https://img.pokemondb.net/sprites/sword-shield/icon/cobalion.png,Permitted,6,0,201,,,,,,,,,,,,,,,,,,5,115,120,0.04159
Terrakion,Terrakion,,774,639,Terrakion,,5,Legendary,Rock,Fighting,580,91,129,90,72,90,108,https://img.pokemondb.net/sprites/sword-shield/icon/terrakion.png,Permitted,5,0,200,,,,,,,,,,,,,,,,,,8,119,127,0.041432
Virizion,Virizion,,775,640,Virizion,,5,Legendary,Grass,Fighting,580,91,90,72,90,129,108,https://img.pokemondb.net/sprites/sword-shield/icon/virizion.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,128,128,0.024114
Tornadus Incarnate Forme,Tornadus Incarnate Forme,,776,641,Tornadus,Incarnate Forme,5,Legendary,Flying,,580,79,115,70,125,80,111,https://img.pokemondb.net/sprites/sword-shield/icon/tornadus-incarnate.png,,191,8,20,,,,,,,,,,,,,,,,,,33,46,79,0.139023
Tornadus Therian Forme,Tornadus Therian Forme,,777,641,Tornadus,Therian Forme,5,Legendary,Flying,,580,79,100,80,110,90,121,https://img.pokemondb.net/sprites/sword-shield/icon/tornadus-therian.png,,,,,,,,,,,,,,,,,,,,,,0,1,1,0
Thundurus Therian Forme,Thundurus Therian Forme,,778,642,Thundurus,Therian Forme,5,Legendary,Electric,Flying,580,79,105,70,145,80,101,https://img.pokemondb.net/sprites/sword-shield/icon/thundurus-therian.png,,9,0,99,,,,,,,,,,,,,,,,,,1,49,50,0.082041
Thundurus Incarnate Forme,Thundurus Incarnate Forme,,779,642,Thundurus,Incarnate Forme,5,Legendary,Electric,Flying,580,79,115,70,125,80,111,https://img.pokemondb.net/sprites/sword-shield/icon/thundurus-incarnate.png,,352,21,9,,,,,,,,,,,,,,,,,,79,56,135,0.111937
Reshiram,Reshiram,,780,643,Reshiram,,5,Legendary,Dragon,Fire,680,100,120,100,150,120,90,https://img.pokemondb.net/sprites/sword-shield/icon/reshiram.png,Restricted (players can include two Restricted Pokémon in their team),52,1,62,,,,,,,,,,,,,,,,,,6,129,135,0.039138
Zekrom,Zekrom,,781,644,Zekrom,,5,Legendary,Dragon,Electric,680,100,150,120,120,100,90,https://img.pokemondb.net/sprites/sword-shield/icon/zekrom.png,Restricted (players can include two Restricted Pokémon in their team),41,0,91,,,,,,,,,,,,,,,,,,4,134,138,0.031666
Landorus Incarnate Forme,Landorus Incarnate Forme,,782,645,Landorus,Incarnate Forme,5,Legendary,Ground,Flying,600,89,125,90,115,80,101,https://img.pokemondb.net/sprites/sword-shield/icon/landorus-incarnate.png,,23,0,78,,,,,,,,,,,,,,,,,,0,44,44,0.074524
Landorus Therian Forme,Landorus Therian Forme,,783,645,Landorus,Therian Forme,5,Legendary,Ground,Flying,600,89,145,90,105,80,91,https://img.pokemondb.net/sprites/sword-shield/icon/landorus-therian.png,,369,20,10,,,,,,,,,,,,,,,,,,71,48,119,0.131859
Kyurem,Kyurem,,784,646,Kyurem,,5,Legendary,Dragon,Ice,660,125,130,90,130,90,95,https://img.pokemondb.net/sprites/sword-shield/icon/kyurem.png,Restricted (players can include two Restricted Pokémon in their team),,,,,,,,,,,,,,,,,,,,,0,82,82,0.026498
Black Kyurem,Black Kyurem,,785,646,Kyurem,Black,5,Legendary,Dragon,Ice,700,125,170,100,120,90,95,https://img.pokemondb.net/sprites/sword-shield/icon/kyurem-black.png,,7,0,202,,,,,,,,,,,,,,,,,,1,133,134,0.031085
White Kyurem,White Kyurem,,786,646,Kyurem,White,5,Legendary,Dragon,Ice,700,125,120,90,170,100,95,https://img.pokemondb.net/sprites/sword-shield/icon/kyurem-white.png,,95,2,39,,,,,,,,,,,,,,,,,,13,126,139,0.05672
Keldeo Resolute Form,Keldeo Resolute Form,,787,647,Keldeo,Resolute Form,5,Mythical,Water,Fighting,580,91,72,90,129,90,108,https://img.pokemondb.net/sprites/sword-shield/icon/keldeo-resolute.png,Banned,,,,,,,,,,,,,,,,,,,,,0,2,2,1
Keldeo Ordinary Form,Keldeo Ordinary Form,,788,647,Keldeo,Ordinary Form,5,Mythical,Water,Fighting,580,91,72,90,129,90,108,https://img.pokemondb.net/sprites/sword-shield/icon/keldeo-ordinary.png,Banned,,,,,,,,,,,,,,,,,,,,,0,2,2,1
Meloetta Pirouette Forme,Meloetta Pirouette Forme,,789,648,Meloetta,Pirouette Forme,5,Mythical,Normal,Fighting,600,100,128,90,77,77,128,https://img.pokemondb.net/sprites/sword-shield/icon/meloetta-pirouette.png,,,,,,,,,,,,,,,,,,,,,,0,2,2,1
Meloetta Aria Forme,Meloetta Aria Forme,,790,648,Meloetta,Aria Forme,5,Mythical,Normal,Psychic,600,100,77,77,128,128,90,https://img.pokemondb.net/sprites/sword-shield/icon/meloetta-aria.png,,,,,,,,,,,,,,,,,,,,,,0,2,2,1
Genesect,Genesect,,791,649,Genesect,,5,Mythical,Bug,Steel,600,71,120,95,120,95,99,https://img.pokemondb.net/sprites/sword-shield/icon/genesect.png,Banned,,,,,,,,,,,,,,,,,,,,,0,83,83,0.002792
Chespin,Chespin,,792,650,Chespin,,6,Common,Grass,,313,56,61,65,48,45,38,https://img.pokemondb.net/sprites/sword-shield/icon/chespin.png,,,,,,,,,,,,,,,,,,,,,,0,88,88,0.012147
Quilladin,Quilladin,,793,651,Quilladin,,6,Common,Grass,,405,61,78,95,56,58,57,https://img.pokemondb.net/sprites/sword-shield/icon/quilladin.png,,,,,,,,,,,,,,,,,,,,,,1,85,86,0.02435
Chesnaught,Chesnaught,,794,652,Chesnaught,,6,Common,Grass,Fighting,530,88,107,122,74,75,64,https://img.pokemondb.net/sprites/sword-shield/icon/chesnaught.png,,,,,,,,,,,,,,,,,,,,,,1,96,97,0.01192
Fennekin,Fennekin,,795,653,Fennekin,,6,Common,Fire,,307,40,45,40,62,60,60,https://img.pokemondb.net/sprites/sword-shield/icon/fennekin.png,,,,,,,,,,,,,,,,,,,,,,0,59,59,0.019287
Braixen,Braixen,,796,654,Braixen,,6,Common,Fire,,409,59,59,58,90,70,73,https://img.pokemondb.net/sprites/sword-shield/icon/braixen.png,,,,,,,,,,,,,,,,,,,,,,1,69,70,0.02795
Delphox,Delphox,,797,655,Delphox,,6,Common,Fire,Psychic,534,75,69,72,114,100,104,https://img.pokemondb.net/sprites/sword-shield/icon/delphox.png,,,,,,,,,,,,,,,,,,,,,,1,81,82,0.015357
Froakie,Froakie,,798,656,Froakie,,6,Common,Water,,314,41,56,40,62,44,71,https://img.pokemondb.net/sprites/sword-shield/icon/froakie.png,,,,,,,,,,,,,,,,,,,,,,0,64,64,0.016617
Frogadier,Frogadier,,799,657,Frogadier,,6,Common,Water,,405,54,63,52,83,56,97,https://img.pokemondb.net/sprites/sword-shield/icon/frogadier.png,,,,,,,,,,,,,,,,,,,,,,1,63,64,0.031994
Greninja,Greninja,,800,658,Greninja,,6,Common,Water,Dark,530,72,95,67,103,71,122,https://img.pokemondb.net/sprites/sword-shield/icon/greninja.png,,,,,,,,,,,,,,,,,,,,,,1,75,76,0.014912
Ash-Greninja,Ash-Greninja,,801,658,Greninja,Ash-,6,Common,Water,Dark,640,72,145,67,153,71,132,https://img.pokemondb.net/sprites/sword-shield/icon/greninja-ash.png,,,,,,,,,,,,,,,,,,,,,,2,2,4,0.5
Bunnelby,Bunnelby,,802,659,Bunnelby,,6,Common,Normal,,237,38,36,38,32,36,57,https://img.pokemondb.net/sprites/sword-shield/icon/bunnelby.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,70,70,0.020704
Diggersby,Diggersby,,803,660,Diggersby,,6,Common,Normal,Ground,423,85,56,77,50,77,78,https://img.pokemondb.net/sprites/sword-shield/icon/diggersby.png,Permitted,1,0,189,,,,,,,,,,,,,,,,,,3,134,137,0.030556
Fletchling,Fletchling,,804,661,Fletchling,,6,Common,Normal,Flying,278,45,50,43,40,38,62,https://img.pokemondb.net/sprites/sword-shield/icon/fletchling.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,53,53,0.030479
Fletchinder,Fletchinder,,805,662,Fletchinder,,6,Common,Fire,Flying,382,62,73,55,56,52,84,https://img.pokemondb.net/sprites/sword-shield/icon/fletchinder.png,Permitted,,,,,,,,,,,,,,,,,,,,,1,57,58,0.03781
Talonflame,Talonflame,,806,663,Talonflame,,6,Common,Fire,Flying,499,78,81,71,74,69,126,https://img.pokemondb.net/sprites/sword-shield/icon/talonflame.png,Permitted,22,0,101,,,,,,,,,,,,,,,,,,15,114,129,0.051781
Scatterbug,Scatterbug,,807,664,Scatterbug,,6,Common,Bug,,200,38,35,40,27,25,35,https://img.pokemondb.net/sprites/sword-shield/icon/scatterbug.png,,,,,,,,,,,,,,,,,,,,,,0,11,11,0.054545
Spewpa,Spewpa,,808,665,Spewpa,,6,Common,Bug,,213,45,22,60,27,30,29,https://img.pokemondb.net/sprites/sword-shield/icon/spewpa.png,,,,,,,,,,,,,,,,,,,,,,1,9,10,0.1
Vivillon,Vivillon,,809,666,Vivillon,,6,Common,Bug,Flying,411,80,52,50,90,50,89,https://img.pokemondb.net/sprites/sword-shield/icon/vivillon.png,,,,,,,,,,,,,,,,,,,,,,1,61,62,0.005817
Litleo,Litleo,,810,667,Litleo,,6,Common,Fire,Normal,369,62,50,58,73,54,72,https://img.pokemondb.net/sprites/sword-shield/icon/litleo.png,,,,,,,,,,,,,,,,,,,,,,0,63,63,0.025858
Pyroar,Pyroar,,811,668,Pyroar,,6,Common,Fire,Normal,507,86,68,72,109,66,106,https://img.pokemondb.net/sprites/sword-shield/icon/pyroar.png,,,,,,,,,,,,,,,,,,,,,,1,61,62,0.026177
Flabébé,Flabébé,,812,669,Flabébé,,6,Common,Fairy,,303,44,38,39,61,79,42,https://img.pokemondb.net/sprites/sword-shield/icon/flabebe.png,,,,,,,,,,,,,,,,,,,,,,0,59,59,0.001169
Floette,Floette,,813,670,Floette,,6,Common,Fairy,,371,54,45,47,75,98,52,https://img.pokemondb.net/sprites/sword-shield/icon/floette.png,,,,,,,,,,,,,,,,,,,,,,1,56,57,0.017231
Florges,Florges,,814,671,Florges,,6,Common,Fairy,,552,78,65,68,112,154,75,https://img.pokemondb.net/sprites/sword-shield/icon/florges.png,,,,,,,,,,,,,,,,,,,,,,1,57,58,0.016939
Skiddo,Skiddo,,815,672,Skiddo,,6,Common,Grass,,350,66,65,48,62,57,52,https://img.pokemondb.net/sprites/sword-shield/icon/skiddo.png,,,,,,,,,,,,,,,,,,,,,,0,59,59,0.019871
Gogoat,Gogoat,,816,673,Gogoat,,6,Common,Grass,,531,123,100,62,97,81,68,https://img.pokemondb.net/sprites/sword-shield/icon/gogoat.png,,,,,,,,,,,,,,,,,,,,,,1,62,63,0.017153
Pancham,Pancham,,817,674,Pancham,,6,Common,Fighting,,348,67,82,62,46,48,43,https://img.pokemondb.net/sprites/sword-shield/icon/pancham.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,96,96,0.011842
Pangoro,Pangoro,,818,675,Pangoro,,6,Common,Fighting,Dark,495,95,124,78,69,71,58,https://img.pokemondb.net/sprites/sword-shield/icon/pangoro.png,Permitted,,,,,,,,,,,,,,,,,,,,,1,117,118,0.009561
Furfrou,Furfrou,,819,676,Furfrou,,6,Common,Normal,,472,75,80,60,65,90,102,https://img.pokemondb.net/sprites/sword-shield/icon/furfrou.png,,,,,,,,,,,,,,,,,,,,,,0,59,59,0.009936
Espurr,Espurr,,820,677,Espurr,,6,Common,Psychic,,355,62,48,54,63,60,68,https://img.pokemondb.net/sprites/sword-shield/icon/espurr.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,79,79,0.027102
Meowstic Female,Meowstic Female,,821,678,Meowstic,Female,6,Common,Psychic,,466,74,48,76,83,81,104,https://img.pokemondb.net/sprites/sword-shield/icon/meowstic-female.png,,,,,,,,,,,,,,,,,,,,,,1,87,88,0.01267
Meowstic Male,Meowstic Male,,822,678,Meowstic,Male,6,Common,Psychic,,466,74,48,76,83,81,104,https://img.pokemondb.net/sprites/sword-shield/icon/meowstic-male.png,,15,0,95,,,,,,,,,,,,,,,,,,9,137,146,0.036398
Honedge,Honedge,,823,679,Honedge,,6,Common,Steel,Ghost,325,45,80,100,35,37,28,https://img.pokemondb.net/sprites/sword-shield/icon/honedge.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,61,61,0.019126
Doublade,Doublade,,824,680,Doublade,,6,Common,Steel,Ghost,448,59,110,150,45,49,35,https://img.pokemondb.net/sprites/sword-shield/icon/doublade.png,Permitted,,,,,,,,,,,,,,,,,,,,,1,59,60,0.022316
Aegislash Blade Forme,Aegislash Blade Forme,,825,681,Aegislash,Blade Forme,6,Common,Steel,Ghost,500,60,140,50,140,50,60,https://img.pokemondb.net/sprites/sword-shield/icon/aegislash-blade.png,,,,,,,,,,,,,,,,,,,,,,1,2,3,0.666667
Aegislash Shield Forme,Aegislash Shield Forme,,826,681,Aegislash,Shield Forme,6,Common,Steel,Ghost,500,60,50,140,50,140,60,https://img.pokemondb.net/sprites/sword-shield/icon/aegislash-shield.png,,10,0,148,,,,,,,,,,,,,,,,,,3,53,56,0.062987
Spritzee,Spritzee,,827,682,Spritzee,,6,Common,Fairy,,341,78,52,60,63,65,23,https://img.pokemondb.net/sprites/sword-shield/icon/spritzee.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,67,67,0.016056
Aromatisse,Aromatisse,,828,683,Aromatisse,,6,Common,Fairy,,462,101,72,72,99,89,29,https://img.pokemondb.net/sprites/sword-shield/icon/aromatisse.png,Permitted,,,,,,,,,,,,,,,,,,,,,1,115,116,0.034633
Swirlix,Swirlix,,829,684,Swirlix,,6,Common,Fairy,,341,62,48,66,59,57,49,https://img.pokemondb.net/sprites/sword-shield/icon/swirlix.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,62,62,0.017187
Slurpuff,Slurpuff,,830,685,Slurpuff,,6,Common,Fairy,,480,82,80,86,85,75,72,https://img.pokemondb.net/sprites/sword-shield/icon/slurpuff.png,Permitted,,,,,,,,,,,,,,,,,,,,,1,108,109,0.039585
Inkay,Inkay,,831,686,Inkay,,6,Common,Dark,Psychic,288,53,54,53,37,46,45,https://img.pokemondb.net/sprites/sword-shield/icon/inkay.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,83,83,0.016456
Malamar,Malamar,,832,687,Malamar,,6,Common,Dark,Psychic,482,86,92,88,68,75,73,https://img.pokemondb.net/sprites/sword-shield/icon/malamar.png,Permitted,,,,,,,,,,,,,,,,,,,,,3,133,136,0.032734
Binacle,Binacle,,833,688,Binacle,,6,Common,Rock,Water,306,42,52,67,39,56,50,https://img.pokemondb.net/sprites/sword-shield/icon/binacle.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,92,92,0.01302
Barbaracle,Barbaracle,,834,689,Barbaracle,,6,Common,Rock,Water,500,72,105,115,54,86,68,https://img.pokemondb.net/sprites/sword-shield/icon/barbaracle.png,Permitted,,,,,,,,,,,,,,,,,,,,,1,103,104,0.010456
Skrelp,Skrelp,,835,690,Skrelp,,6,Common,Poison,Water,320,50,60,60,60,60,30,https://img.pokemondb.net/sprites/sword-shield/icon/skrelp.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,62,62,0.021417
Dragalge,Dragalge,,836,691,Dragalge,,6,Common,Poison,Dragon,494,65,75,90,97,123,44,https://img.pokemondb.net/sprites/sword-shield/icon/dragalge.png,Permitted,,,,,,,,,,,,,,,,,,,,,1,107,108,0.033662
Clauncher,Clauncher,,837,692,Clauncher,,6,Common,Water,,330,50,53,62,58,63,44,https://img.pokemondb.net/sprites/sword-shield/icon/clauncher.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,57,57,0.02193
Clawitzer,Clawitzer,,838,693,Clawitzer,,6,Common,Water,,500,71,73,88,120,89,59,https://img.pokemondb.net/sprites/sword-shield/icon/clawitzer.png,Permitted,,,,,,,,,,,,,,,,,,,,,2,110,112,0.037564
Helioptile,Helioptile,,839,694,Helioptile,,6,Common,Electric,Normal,289,44,38,33,61,43,70,https://img.pokemondb.net/sprites/sword-shield/icon/helioptile.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,69,69,0.023231
Heliolisk,Heliolisk,,840,695,Heliolisk,,6,Common,Electric,Normal,481,62,55,52,109,94,109,https://img.pokemondb.net/sprites/sword-shield/icon/heliolisk.png,Permitted,8,0,134,,,,,,,,,,,,,,,,,,3,130,133,0.035681
Tyrunt,Tyrunt,,841,696,Tyrunt,,6,Common,Rock,Dragon,362,58,89,77,45,45,48,https://img.pokemondb.net/sprites/sword-shield/icon/tyrunt.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,80,80,0.014873
Tyrantrum,Tyrantrum,,842,697,Tyrantrum,,6,Common,Rock,Dragon,521,82,121,119,69,59,71,https://img.pokemondb.net/sprites/sword-shield/icon/tyrantrum.png,Permitted,918,0,220,,,,,,,,,,,,,,,,,,1,121,122,0.03299
Amaura,Amaura,,843,698,Amaura,,6,Common,Rock,Ice,362,77,59,50,67,63,46,https://img.pokemondb.net/sprites/sword-shield/icon/amaura.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,83,83,0.01484
Aurorus,Aurorus,,844,699,Aurorus,,6,Common,Rock,Ice,521,123,77,72,99,92,58,https://img.pokemondb.net/sprites/sword-shield/icon/aurorus.png,Permitted,,,,,,,,,,,,,,,,,,,,,1,82,83,0.014693
Sylveon,Sylveon,,845,700,Sylveon,,6,Common,Fairy,,525,95,65,65,110,130,60,https://img.pokemondb.net/sprites/sword-shield/icon/sylveon.png,Permitted,,,,,,,,,,,,,,,,,,,,,11,122,133,0.065391
Hawlucha,Hawlucha,,846,701,Hawlucha,,6,Common,Fighting,Flying,500,78,92,75,74,63,118,https://img.pokemondb.net/sprites/sword-shield/icon/hawlucha.png,Permitted,3,0,227,,,,,,,,,,,,,,,,,,1,154,155,0.020737
Dedenne,Dedenne,,847,702,Dedenne,,6,Common,Electric,Fairy,431,67,58,57,81,67,101,https://img.pokemondb.net/sprites/sword-shield/icon/dedenne.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,117,117,0.033009
Carbink,Carbink,,848,703,Carbink,,6,Common,Rock,Fairy,500,50,50,150,50,150,50,https://img.pokemondb.net/sprites/sword-shield/icon/carbink.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,69,69,0.003623
Goomy,Goomy,,849,704,Goomy,,6,Common,Dragon,,300,45,50,35,55,75,40,https://img.pokemondb.net/sprites/sword-shield/icon/goomy.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,52,52,0.019608
Hisuian Sliggoo,Hisuian Sliggoo,,850,705,Sliggoo,Hisuian,6,Common,Dragon,Steel,452,58,75,83,83,113,40,https://img.pokemondb.net/s.png,,,,,,,,,,,,,,,,,,,,,,2,2,4,0.416667
Sliggoo,Sliggoo,,851,705,Sliggoo,,6,Common,Dragon,,452,68,75,53,83,113,60,https://img.pokemondb.net/sprites/sword-shield/icon/sliggoo.png,Permitted,,,,,,,,,,,,,,,,,,,,,1,52,53,0.037373
Goodra,Goodra,,852,706,Goodra,,6,Common,Dragon,,600,90,100,70,110,150,80,https://img.pokemondb.net/sprites/sword-shield/icon/goodra.png,Permitted,6,0,205,,,,,,,,,,,,,,,,,,9,137,146,0.042529
Hisuian Goodra,Hisuian Goodra,,853,706,Goodra,Hisuian,6,Common,Dragon,Steel,600,80,100,100,110,150,60,https://img.pokemondb.net/s.png,,,,,,,,,,,,,,,,,,,,,,2,2,4,0.416667
Klefki,Klefki,,854,707,Klefki,,6,Common,Steel,Fairy,470,57,80,91,80,87,75,https://img.pokemondb.net/sprites/sword-shield/icon/klefki.png,Permitted,5,0,158,,,,,,,,,,,,,,,,,,0,110,110,0.026188
Phantump,Phantump,,855,708,Phantump,,6,Common,Ghost,Grass,309,43,70,48,50,60,38,https://img.pokemondb.net/sprites/sword-shield/icon/phantump.png,Permitted,,,,,,,,,,,,,,,,,,,,,0,83,83,0.015428
Trevenant,Trevenant,,856,709,Trevenant,,6,Common,Ghost,Grass,474,85,110,76,65,82,56,https://img.pokemondb.net/sprites/sword-shield/icon/trevenant.png,Permitted,2,0,177,,,,,,,,,,,,,,,,,,1,127,128,0.031065
Pumpkaboo Super Size,Pumpkaboo Super Size,,857,710,Pumpkaboo,Super Size,6,Common,Ghost,Grass,335,59,66,70,44,55,41,https://img.pokemondb.net/sprites/sword-shield/icon/pumpkaboo-super.png,,,,,,,,,,,,,,,,,,,,,,0,2,2,1
Pumpkaboo Large Size,Pumpkaboo Large Size,,858,710,Pumpkaboo,Large Size,6,Common,Ghost,Grass,335,54,66,70,44,55,46,https://img.pokemondb.net/sprites/sword-shield/icon/pumpkaboo-large.png,,,,,,,,,,,,,,,,,,,,,,0,2,2,1
Pumpkaboo Small Size,Pumpkaboo Small Size,,859,710,Pumpkaboo,Small Size,6,Common,Ghost,Grass,335,44,66,70,44,55,56,https://img.pokemondb.net/sprites/sword-shield/icon/pumpkaboo-small.png,,,,,,,,,,,,,,,,,,,,,,0,2,2,1
