#,Name,Species,Variant,Generation,Rarity,Evolves_from,Has_gender_diff,Type1,Type2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,image_url,VGC2022_rules,Monthly Usage (k),Usage Percent (%),Monthly Rank
110,Weezing,Weezing,,1,Common,Koffing,False,Poison,,490,65,90,120,85,70,60,https://img.pokemondb.net/sprites/sword-shield/icon/weezing.png,,43,2,36
110,Galarian Weezing,Weezing,Galarian,8,Common,Koffing,False,Poison,Fairy,490,65,90,120,85,70,60,https://img.pokemondb.net/sprites/sword-shield/icon/weezing-galarian.png,Permitted,8,0,127
111,Rhyhorn,Rhyhorn,,1,Common,,True,Ground,Rock,345,80,85,95,30,30,25,https://img.pokemondb.net/sprites/sword-shield/icon/rhyhorn.png,Permitted,,,
112,Rhydon,Rhydon,,1,Common,Rhyhorn,True,Ground,Rock,485,105,130,120,45,45,40,https://img.pokemondb.net/sprites/sword-shield/icon/rhydon.png,Permitted,,,
113,Chansey,Chansey,,1,Common,Happiny,False,Normal,,450,250,5,5,35,105,50,https://img.pokemondb.net/sprites/sword-shield/icon/chansey.png,Permitted,6,0,76
114,Tangela,Tangela,,1,Common,,False,Grass,,435,65,55,115,100,40,60,https://img.pokemondb.net/sprites/sword-shield/icon/tangela.png,Permitted,-,-,-
115,Kangaskhan,Kangaskhan,,1,Common,,False,Normal,,490,105,95,80,40,80,90,https://img.pokemondb.net/sprites/sword-shield/icon/kangaskhan.png,Permitted,6,0,136
115,Mega Kangaskhan,Kangaskhan,Mega,6,Common,Kangaskhan,False,Normal,,590,105,125,100,60,100,100,https://img.pokemondb.net/sprites/sword-shield/icon/kangaskhan-mega.png,Banned,,,
116,Horsea,Horsea,,1,Common,,False,Water,,295,30,40,70,70,25,60,https://img.pokemondb.net/sprites/sword-shield/icon/horsea.png,Permitted,,,
117,Seadra,Seadra,,1,Common,Horsea,False,Water,,440,55,65,95,95,45,85,https://img.pokemondb.net/sprites/sword-shield/icon/seadra.png,Permitted,,,
118,Goldeen,Goldeen,,1,Common,,True,Water,,320,45,67,60,35,50,63,https://img.pokemondb.net/sprites/sword-shield/icon/goldeen.png,Permitted,,,
119,Seaking,Seaking,,1,Common,Goldeen,True,Water,,450,80,92,65,65,80,68,https://img.pokemondb.net/sprites/sword-shield/icon/seaking.png,Permitted,-,-,-
120,Staryu,Staryu,,1,Common,,False,Water,,340,30,45,55,70,55,85,https://img.pokemondb.net/sprites/sword-shield/icon/staryu.png,Permitted,,,
121,Starmie,Starmie,,1,Common,Staryu,False,Water,Psychic,520,60,75,85,100,85,115,https://img.pokemondb.net/sprites/sword-shield/icon/starmie.png,Permitted,-,-,-
122,Mime Galarian Mr. Mime,Mr.,Mime Galarian  Mime,8,Common,Mime-jr,False,Ice,Psychic,460,50,65,65,90,90,100,https://img.pokemondb.net/sprites/sword-shield/icon/mr-mime-galarian.png,,2,0,228
122,Mr. Mime,Mr.,Mime,1,Common,Mime-jr,False,Psychic,Fairy,460,40,45,65,100,120,90,https://img.pokemondb.net/sprites/sword-shield/icon/mr-mime.png,,-,-,-
123,Scyther,Scyther,,1,Common,,True,Bug,Flying,500,70,110,80,55,80,105,https://img.pokemondb.net/sprites/sword-shield/icon/scyther.png,Permitted,-,-,-
124,Jynx,Jynx,,1,Common,Smoochum,False,Ice,Psychic,455,65,50,35,115,95,95,https://img.pokemondb.net/sprites/sword-shield/icon/jynx.png,Permitted,,,
125,Electabuzz,Electabuzz,,1,Common,Elekid,False,Electric,,490,65,83,57,95,85,105,https://img.pokemondb.net/sprites/sword-shield/icon/electabuzz.png,Permitted,,,
126,Magmar,Magmar,,1,Common,Magby,False,Fire,,495,65,95,57,100,85,93,https://img.pokemondb.net/sprites/sword-shield/icon/magmar.png,Permitted,,,
127,Mega Pinsir,Pinsir,Mega,6,Common,Pinsir,False,Bug,Flying,600,65,155,120,65,90,105,https://img.pokemondb.net/sprites/sword-shield/icon/pinsir-mega.png,Banned,,,
127,Pinsir,Pinsir,,1,Common,,False,Bug,,500,65,125,100,55,70,85,https://img.pokemondb.net/sprites/sword-shield/icon/pinsir.png,Permitted,,,
128,Tauros,Tauros,,1,Common,,False,Normal,,490,75,100,95,40,70,110,https://img.pokemondb.net/sprites/sword-shield/icon/tauros.png,Permitted,3,0,209
129,Magikarp,Magikarp,,1,Common,,True,Water,,200,20,10,55,15,20,80,https://img.pokemondb.net/sprites/sword-shield/icon/magikarp.png,Permitted,,,
130,Mega Gyarados,Gyarados,Mega,6,Common,Gyarados,True,Water,Dark,640,95,155,109,70,130,81,https://img.pokemondb.net/sprites/sword-shield/icon/gyarados-mega.png,Banned,,,
130,Gyarados,Gyarados,,1,Common,Magikarp,True,Water,Flying,540,95,125,79,60,100,81,https://img.pokemondb.net/sprites/sword-shield/icon/gyarados.png,Permitted,15,0,132
131,Lapras Gigantamax,Lapras,Gigantamax,8,,Lapras,,Water,Ice,,,,,,,,https://archives.bulbagarden.net/media/upload/e/ed/131GiMS8.png,Gigantamax Allowed,,,
131,Lapras,Lapras,,1,Common,,False,Water,Ice,535,130,85,80,85,95,60,https://img.pokemondb.net/sprites/sword-shield/icon/lapras.png,Permitted,61,1,59
132,Ditto,Ditto,,1,Common,,False,Normal,,288,48,48,48,48,48,48,https://img.pokemondb.net/sprites/sword-shield/icon/ditto.png,Permitted,74,5,26
133,Partner Eevee,Eevee,Partner,1,Common,,False,Normal,,435,65,75,70,65,85,75,https://img.pokemondb.net/sprites/sword-shield/icon/eevee-lets-go.png,,,,
133,Eevee Gigantamax,Eevee,Gigantamax,8,,Eevee,,Normal,,,,,,,,,https://archives.bulbagarden.net/media/upload/6/61/133GiMS8.png,Gigantamax Allowed,,,
133,Eevee,Eevee,,1,Common,,False,Normal,,325,55,55,50,45,65,55,https://img.pokemondb.net/sprites/sword-shield/icon/eevee.png,Permitted,,,
134,Vaporeon,Vaporeon,,1,Common,Eevee,False,Water,,525,130,65,60,110,95,65,https://img.pokemondb.net/sprites/sword-shield/icon/vaporeon.png,Permitted,-,-,-
135,Jolteon,Jolteon,,1,Common,Eevee,False,Electric,,525,65,65,60,110,95,130,https://img.pokemondb.net/sprites/sword-shield/icon/jolteon.png,Permitted,-,-,-
136,Flareon,Flareon,,1,Common,Eevee,False,Fire,,525,65,130,60,95,110,65,https://img.pokemondb.net/sprites/sword-shield/icon/flareon.png,Permitted,-,-,-
137,Porygon,Porygon,,1,Common,,False,Normal,,395,65,60,70,85,75,40,https://img.pokemondb.net/sprites/sword-shield/icon/porygon.png,Permitted,,,
138,Omanyte,Omanyte,,1,Common,,False,Rock,Water,355,35,40,100,90,55,35,https://img.pokemondb.net/sprites/sword-shield/icon/omanyte.png,Permitted,,,
139,Omastar,Omastar,,1,Common,Omanyte,False,Rock,Water,495,70,60,125,115,70,55,https://img.pokemondb.net/sprites/sword-shield/icon/omastar.png,Permitted,,,
140,Kabuto,Kabuto,,1,Common,,False,Rock,Water,355,30,80,90,55,45,55,https://img.pokemondb.net/sprites/sword-shield/icon/kabuto.png,Permitted,,,
141,Kabutops,Kabutops,,1,Common,Kabuto,False,Rock,Water,495,60,115,105,65,70,80,https://img.pokemondb.net/sprites/sword-shield/icon/kabutops.png,Permitted,4,0,173
142,Aerodactyl,Aerodactyl,,1,Common,,False,Rock,Flying,515,80,105,65,60,75,130,https://img.pokemondb.net/sprites/sword-shield/icon/aerodactyl.png,Permitted,5,0,172
142,Mega Aerodactyl,Aerodactyl,Mega,6,Common,Aerodactyl,False,Rock,Flying,615,80,135,85,70,95,150,https://img.pokemondb.net/sprites/sword-shield/icon/aerodactyl-mega.png,Banned,,,
143,Snorlax Gigantamax,Snorlax,Gigantamax,8,,Snorlax,,Normal,,,,,,,,,https://archives.bulbagarden.net/media/upload/f/f7/143GiMS8.png,Gigantamax Allowed,,,
143,Snorlax,Snorlax,,1,Common,Munchlax,False,Normal,,540,160,110,65,65,110,30,https://img.pokemondb.net/sprites/sword-shield/icon/snorlax.png,Permitted,18,0,97
144,Galarian Articuno,Articuno,Galarian,8,Legendary,,False,Psychic,Flying,580,90,85,85,125,100,95,https://img.pokemondb.net/sprites/sword-shield/icon/articuno-galarian.png,,14,0,117
144,Articuno,Articuno,,1,Legendary,,False,Ice,Flying,580,90,85,100,95,125,85,https://img.pokemondb.net/sprites/sword-shield/icon/articuno.png,Permitted,4,0,174
145,Galarian Zapdos,Zapdos,Galarian,8,Legendary,,False,Fighting,Flying,580,90,125,90,85,90,100,https://img.pokemondb.net/sprites/sword-shield/icon/zapdos-galarian.png,,26,0,93
145,Zapdos,Zapdos,,1,Legendary,,False,Electric,Flying,580,90,90,85,125,90,100,https://img.pokemondb.net/sprites/sword-shield/icon/zapdos.png,Permitted,168,8,21
146,Galarian Moltres,Moltres,Galarian,8,Legendary,,False,Dark,Flying,580,90,85,90,100,125,90,https://img.pokemondb.net/sprites/sword-shield/icon/moltres-galarian.png,,35,0,100
146,Moltres,Moltres,,1,Legendary,,False,Fire,Flying,580,90,100,90,125,85,90,https://img.pokemondb.net/sprites/sword-shield/icon/moltres.png,Permitted,3,0,137
147,Dratini,Dratini,,1,Common,,False,Dragon,,300,41,64,45,50,50,50,https://img.pokemondb.net/sprites/sword-shield/icon/dratini.png,Permitted,,,
148,Dragonair,Dragonair,,1,Common,Dratini,False,Dragon,,420,61,84,65,70,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/dragonair.png,Permitted,,,
149,Dragonite,Dragonite,,1,Common,Dragonair,False,Dragon,Flying,600,91,134,95,100,100,80,https://img.pokemondb.net/sprites/sword-shield/icon/dragonite.png,Permitted,10,0,167
150,Mega Mewtwo Y,Mewtwo,Mega  Y,6,Legendary,Mewtwo,False,Psychic,,780,106,150,70,194,120,140,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo-mega-y.png,Banned,,,
150,Mega Mewtwo X,Mewtwo,Mega  X,6,Legendary,Mewtwo,False,Psychic,Fighting,780,106,190,100,154,100,130,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo-mega-x.png,Banned,,,
150,Mewtwo,Mewtwo,,1,Legendary,,False,Psychic,,680,106,110,90,154,90,130,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo.png,Restricted (players can include two Restricted Pokémon in their team),15,0,103
151,Mew,Mew,,1,Mythical,,False,Psychic,,600,100,100,100,100,100,100,https://img.pokemondb.net/sprites/sword-shield/icon/mew.png,Banned,,,
152,Chikorita,Chikorita,,2,Common,,False,Grass,,318,45,49,65,49,65,45,https://img.pokemondb.net/sprites/sword-shield/icon/chikorita.png,,,,
153,Bayleef,Bayleef,,2,Common,Chikorita,False,Grass,,405,60,62,80,63,80,60,https://img.pokemondb.net/sprites/sword-shield/icon/bayleef.png,,,,
154,Meganium,Meganium,,2,Common,Bayleef,True,Grass,,525,80,82,100,83,100,80,https://img.pokemondb.net/sprites/sword-shield/icon/meganium.png,,,,
155,Cyndaquil,Cyndaquil,,2,Common,,False,Fire,,309,39,52,43,60,50,65,https://img.pokemondb.net/sprites/sword-shield/icon/cyndaquil.png,,,,
156,Quilava,Quilava,,2,Common,Cyndaquil,False,Fire,,405,58,64,58,80,65,80,https://img.pokemondb.net/sprites/sword-shield/icon/quilava.png,,,,
157,Hisuian Typhlosion,Typhlosion,Hisuian,2,Common,Quilava,False,Fire,Ghost,534,73,84,78,119,85,95,https://img.pokemondb.net/s.png,,,,
157,Typhlosion,Typhlosion,,2,Common,Quilava,False,Fire,,534,78,84,78,109,85,100,https://img.pokemondb.net/sprites/sword-shield/icon/typhlosion.png,,,,
158,Totodile,Totodile,,2,Common,,False,Water,,314,50,65,64,44,48,43,https://img.pokemondb.net/sprites/sword-shield/icon/totodile.png,,,,
159,Croconaw,Croconaw,,2,Common,Totodile,False,Water,,405,65,80,80,59,63,58,https://img.pokemondb.net/sprites/sword-shield/icon/croconaw.png,,,,
160,Feraligatr,Feraligatr,,2,Common,Croconaw,False,Water,,530,85,105,100,79,83,78,https://img.pokemondb.net/sprites/sword-shield/icon/feraligatr.png,,,,
161,Sentret,Sentret,,2,Common,,False,Normal,,215,35,46,34,35,45,20,https://img.pokemondb.net/sprites/sword-shield/icon/sentret.png,,,,
162,Furret,Furret,,2,Common,Sentret,False,Normal,,415,85,76,64,45,55,90,https://img.pokemondb.net/sprites/sword-shield/icon/furret.png,,,,
163,Hoothoot,Hoothoot,,2,Common,,False,Normal,Flying,262,60,30,30,36,56,50,https://img.pokemondb.net/sprites/sword-shield/icon/hoothoot.png,Permitted,,,
164,Noctowl,Noctowl,,2,Common,Hoothoot,False,Normal,Flying,452,100,50,50,86,96,70,https://img.pokemondb.net/sprites/sword-shield/icon/noctowl.png,Permitted,-,-,-
165,Ledyba,Ledyba,,2,Common,,True,Bug,Flying,265,40,20,30,40,80,55,https://img.pokemondb.net/sprites/sword-shield/icon/ledyba.png,,,,
166,Ledian,Ledian,,2,Common,Ledyba,True,Bug,Flying,390,55,35,50,55,110,85,https://img.pokemondb.net/sprites/sword-shield/icon/ledian.png,,,,
167,Spinarak,Spinarak,,2,Common,,False,Bug,Poison,250,40,60,40,40,40,30,https://img.pokemondb.net/sprites/sword-shield/icon/spinarak.png,,,,
168,Ariados,Ariados,,2,Common,Spinarak,False,Bug,Poison,400,70,90,70,60,70,40,https://img.pokemondb.net/sprites/sword-shield/icon/ariados.png,,,,
169,Crobat,Crobat,,2,Common,Golbat,False,Poison,Flying,535,85,90,80,70,80,130,https://img.pokemondb.net/sprites/sword-shield/icon/crobat.png,Permitted,5,0,219
170,Chinchou,Chinchou,,2,Common,,False,Water,Electric,330,75,38,38,56,56,67,https://img.pokemondb.net/sprites/sword-shield/icon/chinchou.png,Permitted,,,
171,Lanturn,Lanturn,,2,Common,Chinchou,False,Water,Electric,460,125,58,58,76,76,67,https://img.pokemondb.net/sprites/sword-shield/icon/lanturn.png,Permitted,,,
172,Pichu,Pichu,,2,Baby,,False,Electric,,205,20,40,15,35,35,60,https://img.pokemondb.net/sprites/sword-shield/icon/pichu.png,Permitted,,,
173,Cleffa,Cleffa,,2,Baby,,False,Fairy,,218,50,25,28,45,55,15,https://img.pokemondb.net/sprites/sword-shield/icon/cleffa.png,Permitted,,,
174,Igglybuff,Igglybuff,,2,Baby,,False,Normal,Fairy,210,90,30,15,40,20,15,https://img.pokemondb.net/sprites/sword-shield/icon/igglybuff.png,Permitted,,,
175,Togepi,Togepi,,2,Baby,,False,Fairy,,245,35,20,65,40,65,20,https://img.pokemondb.net/sprites/sword-shield/icon/togepi.png,Permitted,,,
176,Togetic,Togetic,,2,Common,Togepi,False,Fairy,Flying,405,55,40,85,80,105,40,https://img.pokemondb.net/sprites/sword-shield/icon/togetic.png,Permitted,-,-,-
177,Natu,Natu,,2,Common,,False,Psychic,Flying,320,40,50,45,70,45,70,https://img.pokemondb.net/sprites/sword-shield/icon/natu.png,Permitted,,,
178,Xatu,Xatu,,2,Common,Natu,True,Psychic,Flying,470,65,75,70,95,70,95,https://img.pokemondb.net/sprites/sword-shield/icon/xatu.png,Permitted,,,
179,Mareep,Mareep,,2,Common,,False,Electric,,280,55,40,40,65,45,35,https://img.pokemondb.net/sprites/sword-shield/icon/mareep.png,,,,
180,Flaaffy,Flaaffy,,2,Common,Mareep,False,Electric,,365,70,55,55,80,60,45,https://img.pokemondb.net/sprites/sword-shield/icon/flaaffy.png,,,,
181,Ampharos,Ampharos,,2,Common,Flaaffy,False,Electric,,510,90,75,85,115,90,55,https://img.pokemondb.net/sprites/sword-shield/icon/ampharos.png,,,,
181,Mega Ampharos,Ampharos,Mega,6,Common,Ampharos,False,Electric,Dragon,610,90,95,105,165,110,45,https://img.pokemondb.net/sprites/sword-shield/icon/ampharos-mega.png,Banned,,,
182,Bellossom,Bellossom,,2,Common,Gloom,False,Grass,,490,75,80,95,90,100,50,https://img.pokemondb.net/sprites/sword-shield/icon/bellossom.png,Permitted,,,
183,Marill,Marill,,2,Common,Azurill,False,Water,Fairy,250,70,20,50,20,50,40,https://img.pokemondb.net/sprites/sword-shield/icon/marill.png,Permitted,,,
184,Azumarill,Azumarill,,2,Common,Marill,False,Water,Fairy,420,100,50,80,60,80,50,https://img.pokemondb.net/sprites/sword-shield/icon/azumarill.png,Permitted,9,0,115
185,Sudowoodo,Sudowoodo,,2,Common,Bonsly,True,Rock,,410,70,100,115,30,65,30,https://img.pokemondb.net/sprites/sword-shield/icon/sudowoodo.png,Permitted,,,
186,Politoed,Politoed,,2,Common,Poliwhirl,True,Water,,500,90,75,75,90,100,70,https://img.pokemondb.net/sprites/sword-shield/icon/politoed.png,Permitted,7,0,111
187,Hoppip,Hoppip,,2,Common,,False,Grass,Flying,250,35,35,40,35,55,50,https://img.pokemondb.net/sprites/sword-shield/icon/hoppip.png,,,,
188,Skiploom,Skiploom,,2,Common,Hoppip,False,Grass,Flying,340,55,45,50,45,65,80,https://img.pokemondb.net/sprites/sword-shield/icon/skiploom.png,,,,
189,Jumpluff,Jumpluff,,2,Common,Skiploom,False,Grass,Flying,460,75,55,70,55,95,110,https://img.pokemondb.net/sprites/sword-shield/icon/jumpluff.png,,,,
190,Aipom,Aipom,,2,Common,,True,Normal,,360,55,70,55,40,55,85,https://img.pokemondb.net/sprites/sword-shield/icon/aipom.png,,,,
191,Sunkern,Sunkern,,2,Common,,False,Grass,,180,30,30,30,30,30,30,https://img.pokemondb.net/sprites/sword-shield/icon/sunkern.png,,,,
192,Sunflora,Sunflora,,2,Common,Sunkern,False,Grass,,425,75,75,55,105,85,30,https://img.pokemondb.net/sprites/sword-shield/icon/sunflora.png,,,,
193,Yanma,Yanma,,2,Common,,False,Bug,Flying,390,65,65,45,75,45,95,https://img.pokemondb.net/sprites/sword-shield/icon/yanma.png,,,,
194,Wooper,Wooper,,2,Common,,True,Water,Ground,210,55,45,45,25,25,15,https://img.pokemondb.net/sprites/sword-shield/icon/wooper.png,Permitted,,,
195,Quagsire,Quagsire,,2,Common,Wooper,True,Water,Ground,430,95,85,85,65,65,35,https://img.pokemondb.net/sprites/sword-shield/icon/quagsire.png,Permitted,,,
196,Espeon,Espeon,,2,Common,Eevee,False,Psychic,,525,65,65,60,130,95,110,https://img.pokemondb.net/sprites/sword-shield/icon/espeon.png,Permitted,3,0,218
197,Umbreon,Umbreon,,2,Common,Eevee,False,Dark,,525,95,65,110,60,130,65,https://img.pokemondb.net/sprites/sword-shield/icon/umbreon.png,Permitted,35,1,56
198,Murkrow,Murkrow,,2,Common,,True,Dark,Flying,405,60,85,42,85,42,91,https://img.pokemondb.net/sprites/sword-shield/icon/murkrow.png,,,,
199,Slowking,Slowking,,2,Common,Slowpoke,False,Water,Psychic,490,95,75,80,100,110,30,https://img.pokemondb.net/sprites/sword-shield/icon/slowking.png,Permitted,2,0,113
199,Galarian Slowking,Slowking,Galarian,8,Common,Slowpoke,False,Poison,Psychic,490,95,65,80,110,110,30,https://img.pokemondb.net/sprites/sword-shield/icon/slowking-galarian.png,,,,
200,Misdreavus,Misdreavus,,2,Common,,False,Ghost,,435,60,60,60,85,85,85,https://img.pokemondb.net/sprites/sword-shield/icon/misdreavus.png,,,,
201,Unown,Unown,,2,Common,,False,Psychic,,336,48,72,48,72,48,48,https://img.pokemondb.net/sprites/sword-shield/icon/unown.png,,,,
202,Wobbuffet,Wobbuffet,,2,Common,Wynaut,True,Psychic,,405,190,33,58,33,58,33,https://img.pokemondb.net/sprites/sword-shield/icon/wobbuffet.png,Permitted,,,
203,Girafarig,Girafarig,,2,Common,,True,Normal,Psychic,455,70,80,65,90,65,85,https://img.pokemondb.net/sprites/sword-shield/icon/girafarig.png,,,,
204,Pineco,Pineco,,2,Common,,False,Bug,,290,50,65,90,35,35,15,https://img.pokemondb.net/sprites/sword-shield/icon/pineco.png,,,,
205,Forretress,Forretress,,2,Common,Pineco,False,Bug,Steel,465,75,90,140,60,60,40,https://img.pokemondb.net/sprites/sword-shield/icon/forretress.png,,,,
206,Dunsparce,Dunsparce,,2,Common,,False,Normal,,415,100,70,70,65,65,45,https://img.pokemondb.net/sprites/sword-shield/icon/dunsparce.png,Permitted,-,-,-
207,Gligar,Gligar,,2,Common,,True,Ground,Flying,430,65,75,105,35,65,85,https://img.pokemondb.net/sprites/sword-shield/icon/gligar.png,,,,
208,Steelix,Steelix,,2,Common,Onix,True,Steel,Ground,510,75,85,200,55,65,30,https://img.pokemondb.net/sprites/sword-shield/icon/steelix.png,Permitted,-,-,-
208,Mega Steelix,Steelix,Mega,6,Common,Steelix,True,Steel,Ground,610,75,125,230,55,95,30,https://img.pokemondb.net/sprites/sword-shield/icon/steelix-mega.png,Banned,,,
209,Snubbull,Snubbull,,2,Common,,False,Fairy,,300,60,80,50,40,40,30,https://img.pokemondb.net/sprites/sword-shield/icon/snubbull.png,,,,
210,Granbull,Granbull,,2,Common,Snubbull,False,Fairy,,450,90,120,75,60,60,45,https://img.pokemondb.net/sprites/sword-shield/icon/granbull.png,,,,
211,Hisuian Qwilfish,Qwilfish,Hisuian,2,Common,,False,Dark,Poison,440,65,95,85,55,55,85,https://img.pokemondb.net/s.png,,,,
211,Qwilfish,Qwilfish,,2,Common,,False,Water,Poison,440,65,95,85,55,55,85,https://img.pokemondb.net/sprites/sword-shield/icon/qwilfish.png,Permitted,-,-,-
212,Mega Scizor,Scizor,Mega,6,Common,Scizor,True,Bug,Steel,600,70,150,140,65,100,75,https://img.pokemondb.net/sprites/sword-shield/icon/scizor-mega.png,Banned,,,
212,Scizor,Scizor,,2,Common,Scyther,True,Bug,Steel,500,70,130,100,55,80,65,https://img.pokemondb.net/sprites/sword-shield/icon/scizor.png,Permitted,7,0,116
213,Shuckle,Shuckle,,2,Common,,False,Bug,Rock,505,20,10,230,10,230,5,https://img.pokemondb.net/sprites/sword-shield/icon/shuckle.png,Permitted,7,0,92
214,Heracross,Heracross,,2,Common,,True,Bug,Fighting,500,80,125,75,40,95,85,https://img.pokemondb.net/sprites/sword-shield/icon/heracross.png,Permitted,-,-,-
214,Mega Heracross,Heracross,Mega,6,Common,Heracross,True,Bug,Fighting,600,80,185,115,40,105,75,https://img.pokemondb.net/sprites/sword-shield/icon/heracross-mega.png,Banned,,,
215,Hisuian Sneasel,Sneasel,Hisuian,2,Common,,True,Poison,Fighting,430,55,95,55,35,75,115,https://img.pokemondb.net/s.png,,,,
215,Sneasel,Sneasel,,2,Common,,True,Dark,Ice,430,55,95,55,35,75,115,https://img.pokemondb.net/sprites/sword-shield/icon/sneasel.png,Permitted,3,0,108
216,Teddiursa,Teddiursa,,2,Common,,False,Normal,,330,60,80,50,50,50,40,https://img.pokemondb.net/sprites/sword-shield/icon/teddiursa.png,,,,
217,Ursaring,Ursaring,,2,Common,Teddiursa,True,Normal,,500,90,130,75,75,75,55,https://img.pokemondb.net/sprites/sword-shield/icon/ursaring.png,,,,
218,Slugma,Slugma,,2,Common,,False,Fire,,250,40,40,40,70,40,20,https://img.pokemondb.net/sprites/sword-shield/icon/slugma.png,,,,
219,Magcargo,Magcargo,,2,Common,Slugma,False,Fire,Rock,430,60,50,120,90,80,30,https://img.pokemondb.net/sprites/sword-shield/icon/magcargo.png,,,,
220,Swinub,Swinub,,2,Common,,False,Ice,Ground,250,50,50,40,30,30,50,https://img.pokemondb.net/sprites/sword-shield/icon/swinub.png,Permitted,,,
221,Piloswine,Piloswine,,2,Common,Swinub,True,Ice,Ground,450,100,100,80,60,60,50,https://img.pokemondb.net/sprites/sword-shield/icon/piloswine.png,Permitted,,,
222,Corsola,Corsola,,2,Common,,False,Water,Rock,410,65,55,95,65,95,35,https://img.pokemondb.net/sprites/sword-shield/icon/corsola.png,,-,-,-
222,Galarian Corsola,Corsola,Galarian,8,Common,,False,Ghost,,410,60,55,100,65,100,30,https://img.pokemondb.net/sprites/sword-shield/icon/corsola-galarian.png,Permitted,-,-,-
223,Remoraid,Remoraid,,2,Common,,False,Water,,300,35,65,35,65,35,65,https://img.pokemondb.net/sprites/sword-shield/icon/remoraid.png,Permitted,,,
224,Octillery,Octillery,,2,Common,Remoraid,True,Water,,480,75,105,75,105,75,45,https://img.pokemondb.net/sprites/sword-shield/icon/octillery.png,Permitted,,,
225,Delibird,Delibird,,2,Common,,False,Ice,Flying,330,45,55,45,65,45,75,https://img.pokemondb.net/sprites/sword-shield/icon/delibird.png,Permitted,,,
226,Mantine,Mantine,,2,Common,Mantyke,False,Water,Flying,485,85,40,70,80,140,70,https://img.pokemondb.net/sprites/sword-shield/icon/mantine.png,Permitted,3,0,203
227,Skarmory,Skarmory,,2,Common,,False,Steel,Flying,465,65,80,140,40,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/skarmory.png,Permitted,,,
228,Houndour,Houndour,,2,Common,,False,Dark,Fire,330,45,60,30,80,50,65,https://img.pokemondb.net/sprites/sword-shield/icon/houndour.png,,,,
229,Houndoom,Houndoom,,2,Common,Houndour,True,Dark,Fire,500,75,90,50,110,80,95,https://img.pokemondb.net/sprites/sword-shield/icon/houndoom.png,,,,
229,Mega Houndoom,Houndoom,Mega,6,Common,Houndoom,True,Dark,Fire,600,75,90,90,140,90,115,https://img.pokemondb.net/sprites/sword-shield/icon/houndoom-mega.png,Banned,,,
230,Kingdra,Kingdra,,2,Common,Seadra,False,Water,Dragon,540,75,95,95,95,95,85,https://img.pokemondb.net/sprites/sword-shield/icon/kingdra.png,Permitted,37,3,34
231,Phanpy,Phanpy,,2,Common,,False,Ground,,330,90,60,60,40,40,40,https://img.pokemondb.net/sprites/sword-shield/icon/phanpy.png,,,,
232,Donphan,Donphan,,2,Common,Phanpy,True,Ground,,500,90,120,120,60,60,50,https://img.pokemondb.net/sprites/sword-shield/icon/donphan.png,,,,
233,Porygon2,Porygon2,,2,Common,Porygon,False,Normal,,515,85,80,90,105,95,60,https://img.pokemondb.net/sprites/sword-shield/icon/porygon2.png,Permitted,117,9,19
234,Stantler,Stantler,,2,Common,,False,Normal,,465,73,95,62,85,65,85,https://img.pokemondb.net/sprites/sword-shield/icon/stantler.png,,,,
235,Smeargle,Smeargle,,2,Common,,False,Normal,,250,55,20,35,20,45,75,https://img.pokemondb.net/sprites/sword-shield/icon/smeargle.png,,,,
236,Tyrogue,Tyrogue,,2,Baby,,False,Fighting,,210,35,35,35,35,35,35,https://img.pokemondb.net/sprites/sword-shield/icon/tyrogue.png,Permitted,,,
237,Hitmontop,Hitmontop,,2,Common,Tyrogue,False,Fighting,,455,50,95,95,35,110,70,https://img.pokemondb.net/sprites/sword-shield/icon/hitmontop.png,Permitted,27,0,89
238,Smoochum,Smoochum,,2,Baby,,False,Ice,Psychic,305,45,30,15,85,65,65,https://img.pokemondb.net/sprites/sword-shield/icon/smoochum.png,Permitted,,,
239,Elekid,Elekid,,2,Baby,,False,Electric,,360,45,63,37,65,55,95,https://img.pokemondb.net/sprites/sword-shield/icon/elekid.png,Permitted,,,
240,Magby,Magby,,2,Baby,,False,Fire,,365,45,75,37,70,55,83,https://img.pokemondb.net/sprites/sword-shield/icon/magby.png,Permitted,,,
241,Miltank,Miltank,,2,Common,,False,Normal,,490,95,80,105,40,70,100,https://img.pokemondb.net/sprites/sword-shield/icon/miltank.png,Permitted,-,-,-
242,Blissey,Blissey,,2,Common,Chansey,False,Normal,,540,255,10,10,75,135,55,https://img.pokemondb.net/sprites/sword-shield/icon/blissey.png,Permitted,3,0,223
243,Raikou,Raikou,,2,Legendary,,False,Electric,,580,90,85,75,115,100,115,https://img.pokemondb.net/sprites/sword-shield/icon/raikou.png,Permitted,7,0,125
244,Entei,Entei,,2,Legendary,,False,Fire,,580,115,115,85,90,75,100,https://img.pokemondb.net/sprites/sword-shield/icon/entei.png,Permitted,50,2,37
