,#,Name,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
460,378,Regice,NA,NA,NA,NA,3.0,NA
461,379,Registeel,NA,NA,2.0,NA,1.0,NA
462,380,Latias,NA,NA,NA,NA,3.0,NA
463,380,Latias Mega Latias,NA,NA,NA,NA,3.0,NA
464,381,Latios,NA,NA,NA,3.0,NA,NA
465,381,Latios Mega Latios,NA,NA,NA,3.0,NA,NA
466,382,Kyogre,NA,NA,NA,3.0,NA,NA
467,382,Kyogre Primal Kyogre,NA,NA,NA,3.0,NA,NA
468,383,Groudon,NA,3.0,NA,NA,NA,NA
469,383,Groudon Primal Groudon,NA,3.0,NA,NA,NA,NA
470,384,Rayquaza,NA,2.0,NA,1.0,NA,NA
471,384,Rayquaza Mega Rayquaza,NA,2.0,NA,1.0,NA,NA
472,385,Jirachi,3.0,NA,NA,NA,NA,NA
473,386,Deoxys Normal Forme,NA,1.0,NA,1.0,NA,1.0
474,386,Deoxys Attack Forme,NA,2.0,NA,1.0,NA,NA
475,386,Deoxys Defense Forme,NA,NA,2.0,NA,1.0,NA
476,386,Deoxys Speed Forme,NA,NA,NA,NA,NA,3.0
477,387,Turtwig,NA,1.0,NA,NA,NA,NA
478,388,Grotle,NA,1.0,1.0,NA,NA,NA
479,389,Torterra,NA,2.0,1.0,NA,NA,NA
480,390,Chimchar,NA,NA,NA,NA,NA,1.0
481,391,Monferno,NA,NA,NA,1.0,NA,1.0
482,392,Infernape,NA,1.0,NA,1.0,NA,1.0
483,393,Piplup,NA,NA,NA,1.0,NA,NA
484,394,Prinplup,NA,NA,NA,2.0,NA,NA
485,395,Empoleon,NA,NA,NA,3.0,NA,NA
486,396,Starly,NA,NA,NA,NA,NA,1.0
487,397,Staravia,NA,NA,NA,NA,NA,2.0
488,398,Staraptor,NA,3.0,NA,NA,NA,NA
489,399,Bidoof,1.0,NA,NA,NA,NA,NA
490,400,Bibarel,NA,2.0,NA,NA,NA,NA
491,401,Kricketot,NA,NA,1.0,NA,NA,NA
492,402,Kricketune,NA,2.0,NA,NA,NA,NA
493,403,Shinx,NA,1.0,NA,NA,NA,NA
494,404,Luxio,NA,2.0,NA,NA,NA,NA
495,405,Luxray,NA,3.0,NA,NA,NA,NA
496,406,Budew,NA,NA,NA,1.0,NA,NA
497,407,Roserade,NA,NA,NA,3.0,NA,NA
498,408,Cranidos,NA,1.0,NA,NA,NA,NA
499,409,Rampardos,NA,2.0,NA,NA,NA,NA
500,410,Shieldon,NA,NA,1.0,NA,NA,NA
501,411,Bastiodon,NA,NA,2.0,NA,NA,NA
502,412,Burmy Plant Cloak,NA,NA,NA,NA,1.0,NA
503,412,Burmy Sandy Cloak,NA,NA,NA,NA,1.0,NA
504,412,Burmy Trash Cloak,NA,NA,NA,NA,1.0,NA
505,413,Wormadam Plant Cloak,NA,NA,NA,NA,2.0,NA
506,413,Wormadam Sandy Cloak,NA,NA,2.0,NA,NA,NA
507,413,Wormadam Trash Cloak,NA,NA,1.0,NA,1.0,NA
508,414,Mothim,NA,1.0,NA,1.0,NA,NA
509,415,Combee,NA,NA,NA,NA,NA,1.0
510,416,Vespiquen,NA,NA,1.0,NA,1.0,NA
511,417,Pachirisu,NA,NA,NA,NA,NA,1.0
512,418,Buizel,NA,NA,NA,NA,NA,1.0
513,419,Floatzel,NA,NA,NA,NA,NA,2.0
514,420,Cherubi,NA,NA,NA,1.0,NA,NA
515,421,Cherrim,NA,NA,NA,2.0,NA,NA
516,422,Shellos,1.0,NA,NA,NA,NA,NA
517,423,Gastrodon,2.0,NA,NA,NA,NA,NA
518,424,Ambipom,NA,NA,NA,NA,NA,2.0
519,425,Drifloon,1.0,NA,NA,NA,NA,NA
520,426,Drifblim,2.0,NA,NA,NA,NA,NA
521,427,Buneary,NA,NA,NA,NA,NA,1.0
522,428,Lopunny,NA,NA,NA,NA,NA,2.0
523,428,Lopunny Mega Lopunny,NA,NA,NA,NA,NA,2.0
524,429,Mismagius,NA,NA,NA,1.0,1.0,NA
525,430,Honchkrow,NA,2.0,NA,NA,NA,NA
526,431,Glameow,NA,NA,NA,NA,NA,1.0
527,432,Purugly,NA,NA,NA,NA,NA,2.0
528,433,Chingling,NA,NA,NA,1.0,NA,NA
529,434,Stunky,NA,NA,NA,NA,NA,1.0
530,435,Skuntank,2.0,NA,NA,NA,NA,NA
531,436,Bronzor,NA,NA,1.0,NA,NA,NA
532,437,Bronzong,NA,NA,1.0,NA,1.0,NA
533,438,Bonsly,NA,NA,1.0,NA,NA,NA
534,439,Mime Jr.,NA,NA,NA,NA,1.0,NA
535,440,Happiny,1.0,NA,NA,NA,NA,NA
536,441,Chatot,NA,1.0,NA,NA,NA,NA
537,442,Spiritomb,NA,NA,1.0,NA,1.0,NA
538,443,Gible,NA,1.0,NA,NA,NA,NA
539,444,Gabite,NA,2.0,NA,NA,NA,NA
540,445,Garchomp,NA,3.0,NA,NA,NA,NA
541,445,Garchomp Mega Garchomp,NA,3.0,NA,NA,NA,NA
542,446,Munchlax,1.0,NA,NA,NA,NA,NA
543,447,Riolu,NA,1.0,NA,NA,NA,NA
544,448,Lucario,NA,1.0,NA,1.0,NA,NA
545,448,Lucario Mega Lucario,NA,1.0,NA,1.0,NA,NA
546,449,Hippopotas,NA,NA,1.0,NA,NA,NA
547,450,Hippowdon,NA,NA,2.0,NA,NA,NA
548,451,Skorupi,NA,NA,1.0,NA,NA,NA
549,452,Drapion,NA,NA,2.0,NA,NA,NA
550,453,Croagunk,NA,1.0,NA,NA,NA,NA
551,454,Toxicroak,NA,2.0,NA,NA,NA,NA
552,455,Carnivine,NA,2.0,NA,NA,NA,NA
553,456,Finneon,NA,NA,NA,NA,NA,1.0
554,457,Lumineon,NA,NA,NA,NA,NA,2.0
555,458,Mantyke,NA,NA,NA,NA,1.0,NA
556,459,Snover,NA,1.0,NA,NA,NA,NA
557,460,Abomasnow,NA,1.0,NA,1.0,NA,NA
558,460,Abomasnow Mega Abomasnow,NA,1.0,NA,1.0,NA,NA
559,461,Weavile,NA,1.0,NA,NA,NA,1.0
560,462,Magnezone,NA,NA,NA,3.0,NA,NA
561,463,Lickilicky,3.0,NA,NA,NA,NA,NA
562,464,Rhyperior,NA,3.0,NA,NA,NA,NA
563,465,Tangrowth,NA,NA,2.0,NA,NA,NA
564,466,Electivire,NA,3.0,NA,NA,NA,NA
565,467,Magmortar,NA,NA,NA,3.0,NA,NA
566,468,Togekiss,NA,NA,NA,2.0,1.0,NA
567,469,Yanmega,NA,2.0,NA,NA,NA,NA
568,470,Leafeon,NA,NA,2.0,NA,NA,NA
569,471,Glaceon,NA,NA,NA,2.0,NA,NA
570,472,Gliscor,NA,NA,2.0,NA,NA,NA
571,473,Mamoswine,NA,3.0,NA,NA,NA,NA
572,474,Porygon-Z,NA,NA,NA,3.0,NA,NA
573,475,Gallade,NA,3.0,NA,NA,NA,NA
574,475,Gallade Mega Gallade,NA,3.0,NA,NA,NA,NA
575,476,Probopass,NA,NA,1.0,NA,2.0,NA
576,477,Dusknoir,NA,NA,1.0,NA,2.0,NA
577,478,Froslass,NA,NA,NA,NA,NA,2.0
578,479,Rotom,NA,NA,NA,1.0,NA,1.0
579,479,Rotom Heat Rotom,NA,NA,NA,1.0,NA,1.0
580,479,Rotom Wash Rotom,NA,NA,NA,1.0,NA,1.0
581,479,Rotom Frost Rotom,NA,NA,NA,1.0,NA,1.0
582,479,Rotom Fan Rotom,NA,NA,NA,1.0,NA,1.0
583,479,Rotom Mow Rotom,NA,NA,NA,1.0,NA,1.0
584,480,Uxie,NA,NA,2.0,NA,1.0,NA
585,481,Mesprit,NA,1.0,NA,1.0,1.0,NA
586,482,Azelf,NA,2.0,NA,1.0,NA,NA
587,483,Dialga,NA,NA,NA,3.0,NA,NA
588,483,Dialga Origin Forme,NA,NA,NA,NA,NA,NA
589,484,Palkia,NA,NA,NA,3.0,NA,NA
590,484,Palkia Origin Forme,NA,NA,NA,NA,NA,NA
591,485,Heatran,NA,NA,NA,3.0,NA,NA
592,486,Regigigas,NA,3.0,NA,NA,NA,NA
593,487,Giratina Altered Forme,3.0,NA,NA,NA,NA,NA
594,487,Giratina Origin Forme,3.0,NA,NA,NA,NA,NA
595,488,Cresselia,NA,NA,NA,NA,3.0,NA
596,489,Phione,1.0,NA,NA,NA,NA,NA
597,490,Manaphy,3.0,NA,NA,NA,NA,NA
598,491,Darkrai,NA,NA,NA,2.0,NA,1.0
599,492,Shaymin Land Forme,3.0,NA,NA,NA,NA,NA
600,492,Shaymin Sky Forme,NA,NA,NA,NA,NA,3.0
601,493,Arceus,3.0,NA,NA,NA,NA,NA
602,494,Victini,3.0,NA,NA,NA,NA,NA
603,495,Snivy,NA,NA,NA,NA,NA,1.0
604,496,Servine,NA,NA,NA,NA,NA,2.0
605,497,Serperior,NA,NA,NA,NA,NA,3.0
606,498,Tepig,1.0,NA,NA,NA,NA,NA
607,499,Pignite,NA,2.0,NA,NA,NA,NA
608,500,Emboar,NA,3.0,NA,NA,NA,NA
609,501,Oshawott,NA,NA,NA,1.0,NA,NA
610,502,Dewott,NA,NA,NA,2.0,NA,NA
611,503,Samurott,NA,NA,NA,3.0,NA,NA
612,503,Samurott Hisuian Samurott,NA,NA,NA,NA,NA,NA
613,504,Patrat,NA,1.0,NA,NA,NA,NA
614,505,Watchog,NA,2.0,NA,NA,NA,NA
615,506,Lillipup,NA,1.0,NA,NA,NA,NA
616,507,Herdier,NA,2.0,NA,NA,NA,NA
617,508,Stoutland,NA,3.0,NA,NA,NA,NA
618,509,Purrloin,NA,NA,NA,NA,NA,1.0
619,510,Liepard,NA,NA,NA,NA,NA,2.0
620,511,Pansage,NA,NA,NA,NA,NA,1.0
621,512,Simisage,NA,NA,NA,NA,NA,2.0
622,513,Pansear,NA,NA,NA,NA,NA,1.0
623,514,Simisear,NA,NA,NA,NA,NA,2.0
624,515,Panpour,NA,NA,NA,NA,NA,1.0
625,516,Simipour,NA,NA,NA,NA,NA,2.0
626,517,Munna,1.0,NA,NA,NA,NA,NA
627,518,Musharna,2.0,NA,NA,NA,NA,NA
628,519,Pidove,NA,1.0,NA,NA,NA,NA
629,520,Tranquill,NA,2.0,NA,NA,NA,NA
630,521,Unfezant,NA,3.0,NA,NA,NA,NA
631,522,Blitzle,NA,NA,NA,NA,NA,1.0
632,523,Zebstrika,NA,NA,NA,NA,NA,2.0
633,524,Roggenrola,NA,NA,1.0,NA,NA,NA
634,525,Boldore,NA,1.0,1.0,NA,NA,NA
635,526,Gigalith,NA,3.0,NA,NA,NA,NA
636,527,Woobat,NA,NA,NA,NA,NA,1.0
637,528,Swoobat,NA,NA,NA,NA,NA,2.0
638,529,Drilbur,NA,1.0,NA,NA,NA,NA
639,530,Excadrill,NA,2.0,NA,NA,NA,NA
640,531,Audino,2.0,NA,NA,NA,NA,NA
641,531,Audino Mega Audino,2.0,NA,NA,NA,NA,NA
642,532,Timburr,NA,1.0,NA,NA,NA,NA
643,533,Gurdurr,NA,2.0,NA,NA,NA,NA
644,534,Conkeldurr,NA,3.0,NA,NA,NA,NA
645,535,Tympole,NA,NA,NA,NA,NA,1.0
646,536,Palpitoad,2.0,NA,NA,NA,NA,NA
647,537,Seismitoad,3.0,NA,NA,NA,NA,NA
648,538,Throh,2.0,NA,NA,NA,NA,NA
649,539,Sawk,NA,2.0,NA,NA,NA,NA
650,540,Sewaddle,NA,NA,1.0,NA,NA,NA
651,541,Swadloon,NA,NA,2.0,NA,NA,NA
652,542,Leavanny,NA,3.0,NA,NA,NA,NA
653,543,Venipede,NA,NA,1.0,NA,NA,NA
654,544,Whirlipede,NA,NA,2.0,NA,NA,NA
655,545,Scolipede,NA,NA,NA,NA,NA,3.0
656,546,Cottonee,NA,NA,NA,NA,NA,1.0
657,547,Whimsicott,NA,NA,NA,NA,NA,2.0
658,548,Petilil,NA,NA,NA,1.0,NA,NA
659,549,Lilligant,NA,NA,NA,2.0,NA,NA
660,549,Lilligant Hisuian Lilligant,NA,NA,NA,NA,NA,NA
661,550,Basculin Red-Striped Form,NA,NA,NA,NA,NA,2.0
662,550,Basculin Blue-Striped Form,NA,NA,NA,NA,NA,2.0
663,550,Basculin White-Striped Form,NA,NA,NA,NA,NA,NA
664,551,Sandile,NA,1.0,NA,NA,NA,NA
665,552,Krokorok,NA,2.0,NA,NA,NA,NA
666,553,Krookodile,NA,3.0,NA,NA,NA,NA
667,554,Darumaka,NA,1.0,NA,NA,NA,NA
668,554,Darumaka Galarian Darumaka,NA,1.0,NA,NA,NA,NA
669,555,Darmanitan Standard Mode,NA,2.0,NA,NA,NA,NA
670,555,Darmanitan Zen Mode,NA,NA,NA,2.0,NA,NA
671,555,Darmanitan Galarian Standard Mode,NA,2.0,NA,NA,NA,NA
672,555,Darmanitan Galarian Zen Mode,NA,NA,NA,NA,NA,NA
673,556,Maractus,NA,NA,NA,2.0,NA,NA
674,557,Dwebble,NA,NA,1.0,NA,NA,NA
675,558,Crustle,NA,NA,2.0,NA,NA,NA
676,559,Scraggy,NA,1.0,NA,NA,NA,NA
677,560,Scrafty,NA,NA,1.0,NA,1.0,NA
678,561,Sigilyph,NA,NA,NA,2.0,NA,NA
679,562,Yamask,NA,NA,1.0,NA,NA,NA
680,562,Yamask Galarian Yamask,NA,NA,1.0,NA,NA,NA
681,563,Cofagrigus,NA,NA,2.0,NA,NA,NA
682,564,Tirtouga,NA,NA,1.0,NA,NA,NA
683,565,Carracosta,NA,NA,2.0,NA,NA,NA
684,566,Archen,NA,1.0,NA,NA,NA,NA
685,567,Archeops,NA,2.0,NA,NA,NA,NA
686,568,Trubbish,NA,NA,NA,NA,NA,1.0
687,569,Garbodor,NA,2.0,NA,NA,NA,NA
688,570,Zorua,NA,NA,NA,1.0,NA,NA
689,570,Zorua Hisuian Zorua,NA,NA,NA,NA,NA,NA
690,571,Zoroark,NA,NA,NA,2.0,NA,NA
691,571,Zoroark Hisuian Zoroark,NA,NA,NA,NA,NA,NA
692,572,Minccino,NA,NA,NA,NA,NA,1.0
693,573,Cinccino,NA,NA,NA,NA,NA,2.0
694,574,Gothita,NA,NA,NA,NA,1.0,NA
695,575,Gothorita,NA,NA,NA,NA,2.0,NA
696,576,Gothitelle,NA,NA,NA,NA,3.0,NA
697,577,Solosis,NA,NA,NA,1.0,NA,NA
698,578,Duosion,NA,NA,NA,2.0,NA,NA
699,579,Reuniclus,NA,NA,NA,3.0,NA,NA
700,580,Ducklett,1.0,NA,NA,NA,NA,NA
701,581,Swanna,NA,NA,NA,NA,NA,2.0
702,582,Vanillite,NA,NA,NA,1.0,NA,NA
703,583,Vanillish,NA,NA,NA,2.0,NA,NA
704,584,Vanilluxe,NA,NA,NA,3.0,NA,NA
705,585,Deerling,NA,NA,NA,NA,NA,1.0
706,586,Sawsbuck,NA,2.0,NA,NA,NA,NA
707,587,Emolga,NA,NA,NA,NA,NA,2.0
708,588,Karrablast,NA,1.0,NA,NA,NA,NA
709,589,Escavalier,NA,2.0,NA,NA,NA,NA
710,590,Foongus,1.0,NA,NA,NA,NA,NA
711,591,Amoonguss,2.0,NA,NA,NA,NA,NA
712,592,Frillish,NA,NA,NA,NA,1.0,NA
713,593,Jellicent,NA,NA,NA,NA,2.0,NA
714,594,Alomomola,2.0,NA,NA,NA,NA,NA
715,595,Joltik,NA,NA,NA,NA,NA,1.0
716,596,Galvantula,NA,NA,NA,NA,NA,2.0
717,597,Ferroseed,NA,NA,1.0,NA,NA,NA
718,598,Ferrothorn,NA,NA,2.0,NA,NA,NA
719,599,Klink,NA,NA,1.0,NA,NA,NA
720,600,Klang,NA,NA,2.0,NA,NA,NA
721,601,Klinklang,NA,NA,3.0,NA,NA,NA
722,602,Tynamo,NA,NA,NA,NA,NA,1.0
723,603,Eelektrik,NA,2.0,NA,NA,NA,NA
724,604,Eelektross,NA,3.0,NA,NA,NA,NA
725,605,Elgyem,NA,NA,NA,1.0,NA,NA
726,606,Beheeyem,NA,NA,NA,2.0,NA,NA
727,607,Litwick,NA,NA,NA,1.0,NA,NA
728,608,Lampent,NA,NA,NA,2.0,NA,NA
729,609,Chandelure,NA,NA,NA,3.0,NA,NA
730,610,Axew,NA,1.0,NA,NA,NA,NA
731,611,Fraxure,NA,2.0,NA,NA,NA,NA
732,612,Haxorus,NA,3.0,NA,NA,NA,NA
733,613,Cubchoo,NA,1.0,NA,NA,NA,NA
734,614,Beartic,NA,2.0,NA,NA,NA,NA
735,615,Cryogonal,NA,NA,NA,NA,2.0,NA
736,616,Shelmet,NA,NA,1.0,NA,NA,NA
737,617,Accelgor,NA,NA,NA,NA,NA,2.0
738,618,Stunfisk,2.0,NA,NA,NA,NA,NA
739,618,Stunfisk Galarian Stunfisk,2.0,NA,NA,NA,NA,NA
740,619,Mienfoo,NA,1.0,NA,NA,NA,NA
741,620,Mienshao,NA,2.0,NA,NA,NA,NA
742,621,Druddigon,NA,2.0,NA,NA,NA,NA
743,622,Golett,NA,1.0,NA,NA,NA,NA
744,623,Golurk,NA,2.0,NA,NA,NA,NA
745,624,Pawniard,NA,1.0,NA,NA,NA,NA
746,625,Bisharp,NA,2.0,NA,NA,NA,NA
747,626,Bouffalant,NA,2.0,NA,NA,NA,NA
748,627,Rufflet,NA,1.0,NA,NA,NA,NA
749,628,Braviary,NA,2.0,NA,NA,NA,NA
750,628,Braviary Hisuian Braviary,NA,NA,NA,NA,NA,NA
751,629,Vullaby,NA,NA,1.0,NA,NA,NA
752,630,Mandibuzz,NA,NA,NA,2.0,NA,NA
753,631,Heatmor,NA,NA,NA,2.0,NA,NA
754,632,Durant,NA,NA,2.0,NA,NA,NA
755,633,Deino,NA,1.0,NA,NA,NA,NA
756,634,Zweilous,NA,2.0,NA,NA,NA,NA
757,635,Hydreigon,NA,NA,NA,3.0,NA,NA
758,636,Larvesta,NA,1.0,NA,NA,NA,NA
759,637,Volcarona,NA,NA,NA,3.0,NA,NA
760,638,Cobalion,NA,NA,3.0,NA,NA,NA
761,639,Terrakion,NA,3.0,NA,NA,NA,NA
762,640,Virizion,NA,NA,NA,NA,3.0,NA
763,641,Tornadus Incarnate Forme,NA,3.0,NA,NA,NA,NA
764,641,Tornadus Therian Forme,NA,NA,NA,NA,NA,3.0
765,642,Thundurus Incarnate Forme,NA,3.0,NA,NA,NA,NA
766,642,Thundurus Therian Forme,NA,NA,NA,3.0,NA,NA
767,643,Reshiram,NA,NA,NA,3.0,NA,NA
768,644,Zekrom,NA,3.0,NA,NA,NA,NA
769,645,Landorus Incarnate Forme,NA,NA,NA,3.0,NA,NA
770,645,Landorus Therian Forme,NA,3.0,NA,NA,NA,NA
771,646,Kyurem,1.0,1.0,NA,1.0,NA,NA
772,646,Kyurem Black Kyurem,NA,3.0,NA,NA,NA,NA
773,646,Kyurem White Kyurem,NA,NA,NA,3.0,NA,NA
774,647,Keldeo Ordinary Form,NA,NA,NA,3.0,NA,NA
775,647,Keldeo Resolute Form,NA,NA,NA,3.0,NA,NA
776,648,Meloetta Aria Forme,NA,NA,NA,1.0,1.0,1.0
777,648,Meloetta Pirouette Forme,NA,1.0,1.0,NA,NA,1.0
778,649,Genesect,NA,1.0,NA,1.0,NA,1.0
779,650,Chespin,NA,NA,1.0,NA,NA,NA
780,651,Quilladin,NA,NA,2.0,NA,NA,NA
781,652,Chesnaught,NA,NA,3.0,NA,NA,NA
782,653,Fennekin,NA,NA,NA,1.0,NA,NA
783,654,Braixen,NA,NA,NA,2.0,NA,NA
784,655,Delphox,NA,NA,NA,3.0,NA,NA
785,656,Froakie,NA,NA,NA,NA,NA,1.0
786,657,Frogadier,NA,NA,NA,NA,NA,2.0
787,658,Greninja,NA,NA,NA,NA,NA,3.0
788,658,Greninja Ash-Greninja,NA,NA,NA,NA,NA,3.0
789,659,Bunnelby,NA,NA,NA,NA,NA,1.0
790,660,Diggersby,2.0,NA,NA,NA,NA,NA
791,661,Fletchling,NA,NA,NA,NA,NA,1.0
792,662,Fletchinder,NA,NA,NA,NA,NA,2.0
793,663,Talonflame,NA,NA,NA,NA,NA,3.0
794,664,Scatterbug,NA,NA,1.0,NA,NA,NA
795,665,Spewpa,NA,NA,2.0,NA,NA,NA
796,666,Vivillon,1.0,NA,NA,1.0,NA,1.0
797,667,Litleo,NA,NA,NA,1.0,NA,NA
798,668,Pyroar,NA,NA,NA,2.0,NA,NA
799,669,Flabébé,NA,NA,NA,NA,1.0,NA
800,670,Floette,NA,NA,NA,NA,2.0,NA
801,671,Florges,NA,NA,NA,NA,3.0,NA
802,672,Skiddo,1.0,NA,NA,NA,NA,NA
803,673,Gogoat,2.0,NA,NA,NA,NA,NA
804,674,Pancham,NA,1.0,NA,NA,NA,NA
805,675,Pangoro,NA,2.0,NA,NA,NA,NA
806,676,Furfrou,NA,NA,NA,NA,NA,1.0
807,677,Espurr,NA,NA,NA,NA,NA,1.0
808,678,Meowstic Male,NA,NA,NA,NA,NA,2.0
809,678,Meowstic Female,NA,NA,NA,NA,NA,2.0
810,679,Honedge,NA,NA,1.0,NA,NA,NA
811,680,Doublade,NA,NA,2.0,NA,NA,NA
812,681,Aegislash Shield Forme,NA,NA,2.0,NA,1.0,NA
813,681,Aegislash Blade Forme,NA,2.0,NA,1.0,NA,NA
814,682,Spritzee,1.0,NA,NA,NA,NA,NA
815,683,Aromatisse,2.0,NA,NA,NA,NA,NA
816,684,Swirlix,NA,NA,1.0,NA,NA,NA
817,685,Slurpuff,NA,NA,2.0,NA,NA,NA
818,686,Inkay,NA,1.0,NA,NA,NA,NA
819,687,Malamar,NA,2.0,NA,NA,NA,NA
820,688,Binacle,NA,1.0,NA,NA,NA,NA
821,689,Barbaracle,NA,2.0,NA,NA,NA,NA
822,690,Skrelp,NA,NA,NA,NA,1.0,NA
823,691,Dragalge,NA,NA,NA,NA,2.0,NA
824,692,Clauncher,NA,NA,NA,1.0,NA,NA
825,693,Clawitzer,NA,NA,NA,2.0,NA,NA
826,694,Helioptile,NA,NA,NA,NA,NA,1.0
827,695,Heliolisk,NA,NA,NA,1.0,NA,1.0
828,696,Tyrunt,NA,1.0,NA,NA,NA,NA
829,697,Tyrantrum,NA,2.0,NA,NA,NA,NA
830,698,Amaura,1.0,NA,NA,NA,NA,NA
831,699,Aurorus,2.0,NA,NA,NA,NA,NA
832,700,Sylveon,NA,NA,NA,NA,2.0,NA
833,701,Hawlucha,NA,2.0,NA,NA,NA,NA
834,702,Dedenne,NA,NA,NA,NA,NA,2.0
835,703,Carbink,NA,NA,1.0,NA,1.0,NA
836,704,Goomy,NA,NA,NA,NA,1.0,NA
837,705,Sliggoo,NA,NA,NA,NA,2.0,NA
838,705,Sliggoo Hisuian Sliggoo,NA,NA,NA,NA,NA,NA
839,706,Goodra,NA,NA,NA,NA,3.0,NA
840,706,Goodra Hisuian Goodra,NA,NA,NA,NA,NA,NA
841,707,Klefki,NA,NA,1.0,NA,NA,NA
842,708,Phantump,NA,1.0,NA,NA,NA,NA
843,709,Trevenant,NA,2.0,NA,NA,NA,NA
844,710,Pumpkaboo Average Size,NA,NA,1.0,NA,NA,NA
845,710,Pumpkaboo Small Size,NA,NA,1.0,NA,NA,NA
846,710,Pumpkaboo Large Size,NA,NA,1.0,NA,NA,NA
847,710,Pumpkaboo Super Size,NA,NA,1.0,NA,NA,NA
848,711,Gourgeist Average Size,NA,NA,2.0,NA,NA,NA
849,711,Gourgeist Small Size,NA,NA,2.0,NA,NA,NA
850,711,Gourgeist Large Size,NA,NA,2.0,NA,NA,NA
851,711,Gourgeist Super Size,NA,NA,2.0,NA,NA,NA
852,712,Bergmite,NA,NA,1.0,NA,NA,NA
853,713,Avalugg,NA,NA,2.0,NA,NA,NA
854,713,Avalugg Hisuian Avalugg,NA,NA,NA,NA,NA,NA
855,714,Noibat,NA,NA,NA,NA,NA,1.0
856,715,Noivern,NA,NA,NA,NA,NA,2.0
857,716,Xerneas,3.0,NA,NA,NA,NA,NA
858,717,Yveltal,3.0,NA,NA,NA,NA,NA
859,718,Zygarde 50% Forme,3.0,NA,NA,NA,NA,NA
860,718,Zygarde 10% Forme,3.0,NA,NA,NA,NA,NA
861,718,Zygarde Complete Forme,3.0,NA,NA,NA,NA,NA
862,719,Diancie,NA,NA,1.0,NA,2.0,NA
863,719,Diancie Mega Diancie,NA,NA,1.0,NA,2.0,NA
864,720,Hoopa Hoopa Confined,NA,NA,NA,3.0,NA,NA
865,720,Hoopa Hoopa Unbound,NA,NA,NA,3.0,NA,NA
866,721,Volcanion,NA,NA,NA,3.0,NA,NA
867,722,Rowlet,1.0,NA,NA,NA,NA,NA
868,723,Dartrix,2.0,NA,NA,NA,NA,NA
869,724,Decidueye,NA,3.0,NA,NA,NA,NA
870,724,Decidueye Hisuian Decidueye,NA,NA,NA,NA,NA,NA
871,725,Litten,NA,NA,NA,NA,NA,1.0
872,726,Torracat,NA,NA,NA,NA,NA,2.0
873,727,Incineroar,NA,3.0,NA,NA,NA,NA
874,728,Popplio,NA,NA,NA,1.0,NA,NA
875,729,Brionne,NA,NA,NA,2.0,NA,NA
876,730,Primarina,NA,NA,NA,3.0,NA,NA
877,731,Pikipek,NA,1.0,NA,NA,NA,NA
878,732,Trumbeak,NA,2.0,NA,NA,NA,NA
879,733,Toucannon,NA,3.0,NA,NA,NA,NA
880,734,Yungoos,NA,1.0,NA,NA,NA,NA
881,735,Gumshoos,NA,2.0,NA,NA,NA,NA
882,736,Grubbin,NA,1.0,NA,NA,NA,NA
883,737,Charjabug,NA,NA,2.0,NA,NA,NA
884,738,Vikavolt,NA,NA,NA,3.0,NA,NA
885,739,Crabrawler,NA,1.0,NA,NA,NA,NA
886,740,Crabominable,NA,2.0,NA,NA,NA,NA
887,741,Oricorio Baile Style,NA,NA,NA,2.0,NA,NA
888,741,Oricorio Pom-Pom Style,NA,NA,NA,2.0,NA,NA
889,741,Oricorio Pa'u Style,NA,NA,NA,2.0,NA,NA
890,741,Oricorio Sensu Style,NA,NA,NA,2.0,NA,NA
891,742,Cutiefly,NA,NA,NA,NA,NA,1.0
892,743,Ribombee,NA,NA,NA,NA,NA,2.0
893,744,Rockruff,NA,1.0,NA,NA,NA,NA
894,744,Rockruff Own Tempo Rockruff,NA,1.0,NA,NA,NA,NA
895,745,Lycanroc Midday Form,NA,2.0,NA,NA,NA,NA
896,745,Lycanroc Midnight Form,NA,2.0,NA,NA,NA,NA
897,745,Lycanroc Dusk Form,NA,2.0,NA,NA,NA,NA
898,746,Wishiwashi Solo Form,1.0,NA,NA,NA,NA,NA
899,746,Wishiwashi School Form,1.0,NA,NA,NA,NA,NA
900,747,Mareanie,NA,NA,1.0,NA,NA,NA
901,748,Toxapex,NA,NA,2.0,NA,NA,NA
902,749,Mudbray,NA,1.0,NA,NA,NA,NA
903,750,Mudsdale,NA,2.0,NA,NA,NA,NA
904,751,Dewpider,NA,NA,NA,NA,1.0,NA
905,752,Araquanid,NA,NA,NA,NA,2.0,NA
906,753,Fomantis,NA,1.0,NA,NA,NA,NA
907,754,Lurantis,NA,2.0,NA,NA,NA,NA
908,755,Morelull,NA,NA,NA,NA,1.0,NA
909,756,Shiinotic,NA,NA,NA,NA,2.0,NA
910,757,Salandit,NA,NA,NA,NA,NA,1.0
911,758,Salazzle,NA,NA,NA,NA,NA,2.0
912,759,Stufful,NA,1.0,NA,NA,NA,NA
913,760,Bewear,NA,2.0,NA,NA,NA,NA
914,761,Bounsweet,1.0,NA,NA,NA,NA,NA
915,762,Steenee,NA,NA,NA,NA,NA,2.0
916,763,Tsareena,NA,3.0,NA,NA,NA,NA
917,764,Comfey,NA,NA,NA,NA,2.0,NA
918,765,Oranguru,NA,NA,NA,NA,2.0,NA
919,766,Passimian,NA,2.0,NA,NA,NA,NA
920,767,Wimpod,NA,NA,NA,NA,NA,1.0
