,index,Name,Generation,Description,Pokemon
91,88,Ice Face,8,Avoids damage from Physical moves for one turn.,"[{'is_hidden': False, 'pokemon': {'name': 'eiscue-ice', 'url': 'https://pokeapi.co/api/v2/pokemon/875/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'eiscue-noice', 'url': 'https://pokeapi.co/api/v2/pokemon/10185/'}, 'slot': 1}]"
92,89,Ice Scales,8,Halves damage from Special moves.,"[{'is_hidden': True, 'pokemon': {'name': 'snom', 'url': 'https://pokeapi.co/api/v2/pokemon/872/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'frosmoth', 'url': 'https://pokeapi.co/api/v2/pokemon/873/'}, 'slot': 3}]"
93,90,Illuminate,3,Raises the likelihood of meeting wild Pokémon.,"[{'is_hidden': False, 'pokemon': {'name': 'staryu', 'url': 'https://pokeapi.co/api/v2/pokemon/120/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'starmie', 'url': 'https://pokeapi.co/api/v2/pokemon/121/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'chinchou', 'url': 'https://pokeapi.co/api/v2/pokemon/170/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'lanturn', 'url': 'https://pokeapi.co/api/v2/pokemon/171/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'volbeat', 'url': 'https://pokeapi.co/api/v2/pokemon/313/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'watchog', 'url': 'https://pokeapi.co/api/v2/pokemon/505/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'morelull', 'url': 'https://pokeapi.co/api/v2/pokemon/755/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'shiinotic', 'url': 'https://pokeapi.co/api/v2/pokemon/756/'}, 'slot': 1}]"
94,91,Illusion,5,Enters battle disguised as the last Pokémon in the party.,"[{'is_hidden': False, 'pokemon': {'name': 'zorua', 'url': 'https://pokeapi.co/api/v2/pokemon/570/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'zoroark', 'url': 'https://pokeapi.co/api/v2/pokemon/571/'}, 'slot': 1}]"
95,92,Immunity,3,Prevents the Pokémon from getting poisoned.,"[{'is_hidden': False, 'pokemon': {'name': 'snorlax', 'url': 'https://pokeapi.co/api/v2/pokemon/143/'}, 'slot': 1}, {'is_hidden': True, 'pokemon': {'name': 'gligar', 'url': 'https://pokeapi.co/api/v2/pokemon/207/'}, 'slot': 3}, {'is_hidden': False, 'pokemon': {'name': 'zangoose', 'url': 'https://pokeapi.co/api/v2/pokemon/335/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'snorlax-gmax', 'url': 'https://pokeapi.co/api/v2/pokemon/10206/'}, 'slot': 1}]"
96,93,Imposter,5,It transforms itself into the Pokémon it is facing.,"[{'is_hidden': True, 'pokemon': {'name': 'ditto', 'url': 'https://pokeapi.co/api/v2/pokemon/132/'}, 'slot': 3}]"
97,94,Infiltrator,5,Passes through the foe's barrier and strikes.,"[{'is_hidden': True, 'pokemon': {'name': 'zubat', 'url': 'https://pokeapi.co/api/v2/pokemon/41/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'golbat', 'url': 'https://pokeapi.co/api/v2/pokemon/42/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'crobat', 'url': 'https://pokeapi.co/api/v2/pokemon/169/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'hoppip', 'url': 'https://pokeapi.co/api/v2/pokemon/187/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'skiploom', 'url': 'https://pokeapi.co/api/v2/pokemon/188/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'jumpluff', 'url': 'https://pokeapi.co/api/v2/pokemon/189/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'ninjask', 'url': 'https://pokeapi.co/api/v2/pokemon/291/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'seviper', 'url': 'https://pokeapi.co/api/v2/pokemon/336/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'spiritomb', 'url': 'https://pokeapi.co/api/v2/pokemon/442/'}, 'slot': 3}, {'is_hidden': False, 'pokemon': {'name': 'cottonee', 'url': 'https://pokeapi.co/api/v2/pokemon/546/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'whimsicott', 'url': 'https://pokeapi.co/api/v2/pokemon/547/'}, 'slot': 2}, {'is_hidden': True, 'pokemon': {'name': 'litwick', 'url': 'https://pokeapi.co/api/v2/pokemon/607/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'lampent', 'url': 'https://pokeapi.co/api/v2/pokemon/608/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'chandelure', 'url': 'https://pokeapi.co/api/v2/pokemon/609/'}, 'slot': 3}, {'is_hidden': False, 'pokemon': {'name': 'espurr', 'url': 'https://pokeapi.co/api/v2/pokemon/677/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'meowstic-male', 'url': 'https://pokeapi.co/api/v2/pokemon/678/'}, 'slot': 2}, {'is_hidden': True, 'pokemon': {'name': 'inkay', 'url': 'https://pokeapi.co/api/v2/pokemon/686/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'malamar', 'url': 'https://pokeapi.co/api/v2/pokemon/687/'}, 'slot': 3}, {'is_hidden': False, 'pokemon': {'name': 'noibat', 'url': 'https://pokeapi.co/api/v2/pokemon/714/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'noivern', 'url': 'https://pokeapi.co/api/v2/pokemon/715/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'dreepy', 'url': 'https://pokeapi.co/api/v2/pokemon/885/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'drakloak', 'url': 'https://pokeapi.co/api/v2/pokemon/886/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'dragapult', 'url': 'https://pokeapi.co/api/v2/pokemon/887/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'meowstic-female', 'url': 'https://pokeapi.co/api/v2/pokemon/10025/'}, 'slot': 2}]"
98,95,Innards Out,7,Deals damage upon fainting.,"[{'is_hidden': False, 'pokemon': {'name': 'pyukumuku', 'url': 'https://pokeapi.co/api/v2/pokemon/771/'}, 'slot': 1}]"
99,96,Inner Focus,3,The Pokémon is protected from flinching.,"[{'is_hidden': False, 'pokemon': {'name': 'zubat', 'url': 'https://pokeapi.co/api/v2/pokemon/41/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'golbat', 'url': 'https://pokeapi.co/api/v2/pokemon/42/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'abra', 'url': 'https://pokeapi.co/api/v2/pokemon/63/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'kadabra', 'url': 'https://pokeapi.co/api/v2/pokemon/64/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'alakazam', 'url': 'https://pokeapi.co/api/v2/pokemon/65/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'farfetchd', 'url': 'https://pokeapi.co/api/v2/pokemon/83/'}, 'slot': 2}, {'is_hidden': True, 'pokemon': {'name': 'drowzee', 'url': 'https://pokeapi.co/api/v2/pokemon/96/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'hypno', 'url': 'https://pokeapi.co/api/v2/pokemon/97/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'hitmonchan', 'url': 'https://pokeapi.co/api/v2/pokemon/107/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'kangaskhan', 'url': 'https://pokeapi.co/api/v2/pokemon/115/'}, 'slot': 3}, {'is_hidden': False, 'pokemon': {'name': 'dragonite', 'url': 'https://pokeapi.co/api/v2/pokemon/149/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'crobat', 'url': 'https://pokeapi.co/api/v2/pokemon/169/'}, 'slot': 1}, {'is_hidden': True, 'pokemon': {'name': 'umbreon', 'url': 'https://pokeapi.co/api/v2/pokemon/197/'}, 'slot': 3}, {'is_hidden': False, 'pokemon': {'name': 'girafarig', 'url': 'https://pokeapi.co/api/v2/pokemon/203/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'sneasel', 'url': 'https://pokeapi.co/api/v2/pokemon/215/'}, 'slot': 1}, {'is_hidden': True, 'pokemon': {'name': 'raikou', 'url': 'https://pokeapi.co/api/v2/pokemon/243/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'entei', 'url': 'https://pokeapi.co/api/v2/pokemon/244/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'suicune', 'url': 'https://pokeapi.co/api/v2/pokemon/245/'}, 'slot': 3}, {'is_hidden': False, 'pokemon': {'name': 'snorunt', 'url': 'https://pokeapi.co/api/v2/pokemon/361/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'glalie', 'url': 'https://pokeapi.co/api/v2/pokemon/362/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'riolu', 'url': 'https://pokeapi.co/api/v2/pokemon/447/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'lucario', 'url': 'https://pokeapi.co/api/v2/pokemon/448/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'throh', 'url': 'https://pokeapi.co/api/v2/pokemon/538/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'sawk', 'url': 'https://pokeapi.co/api/v2/pokemon/539/'}, 'slot': 2}, {'is_hidden': True, 'pokemon': {'name': 'darumaka', 'url': 'https://pokeapi.co/api/v2/pokemon/554/'}, 'slot': 3}, {'is_hidden': False, 'pokemon': {'name': 'mienfoo', 'url': 'https://pokeapi.co/api/v2/pokemon/619/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'mienshao', 'url': 'https://pokeapi.co/api/v2/pokemon/620/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'pawniard', 'url': 'https://pokeapi.co/api/v2/pokemon/624/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'bisharp', 'url': 'https://pokeapi.co/api/v2/pokemon/625/'}, 'slot': 2}, {'is_hidden': True, 'pokemon': {'name': 'mudbray', 'url': 'https://pokeapi.co/api/v2/pokemon/749/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'mudsdale', 'url': 'https://pokeapi.co/api/v2/pokemon/750/'}, 'slot': 3}, {'is_hidden': False, 'pokemon': {'name': 'oranguru', 'url': 'https://pokeapi.co/api/v2/pokemon/765/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'indeedee-male', 'url': 'https://pokeapi.co/api/v2/pokemon/876/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'kubfu', 'url': 'https://pokeapi.co/api/v2/pokemon/891/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'gallade-mega', 'url': 'https://pokeapi.co/api/v2/pokemon/10068/'}, 'slot': 1}, {'is_hidden': True, 'pokemon': {'name': 'darumaka-galar', 'url': 'https://pokeapi.co/api/v2/pokemon/10176/'}, 'slot': 3}]"
100,97,Insomnia,3,Prevents the Pokémon from falling asleep.,"[{'is_hidden': False, 'pokemon': {'name': 'drowzee', 'url': 'https://pokeapi.co/api/v2/pokemon/96/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'hypno', 'url': 'https://pokeapi.co/api/v2/pokemon/97/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'hoothoot', 'url': 'https://pokeapi.co/api/v2/pokemon/163/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'noctowl', 'url': 'https://pokeapi.co/api/v2/pokemon/164/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'spinarak', 'url': 'https://pokeapi.co/api/v2/pokemon/167/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'ariados', 'url': 'https://pokeapi.co/api/v2/pokemon/168/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'murkrow', 'url': 'https://pokeapi.co/api/v2/pokemon/198/'}, 'slot': 1}, {'is_hidden': True, 'pokemon': {'name': 'delibird', 'url': 'https://pokeapi.co/api/v2/pokemon/225/'}, 'slot': 3}, {'is_hidden': False, 'pokemon': {'name': 'shuppet', 'url': 'https://pokeapi.co/api/v2/pokemon/353/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'banette', 'url': 'https://pokeapi.co/api/v2/pokemon/354/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'honchkrow', 'url': 'https://pokeapi.co/api/v2/pokemon/430/'}, 'slot': 1}, {'is_hidden': True, 'pokemon': {'name': 'pumpkaboo-average', 'url': 'https://pokeapi.co/api/v2/pokemon/710/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'gourgeist-average', 'url': 'https://pokeapi.co/api/v2/pokemon/711/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'pumpkaboo-small', 'url': 'https://pokeapi.co/api/v2/pokemon/10027/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'pumpkaboo-large', 'url': 'https://pokeapi.co/api/v2/pokemon/10028/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'pumpkaboo-super', 'url': 'https://pokeapi.co/api/v2/pokemon/10029/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'gourgeist-small', 'url': 'https://pokeapi.co/api/v2/pokemon/10030/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'gourgeist-large', 'url': 'https://pokeapi.co/api/v2/pokemon/10031/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'gourgeist-super', 'url': 'https://pokeapi.co/api/v2/pokemon/10032/'}, 'slot': 3}, {'is_hidden': False, 'pokemon': {'name': 'mewtwo-mega-y', 'url': 'https://pokeapi.co/api/v2/pokemon/10044/'}, 'slot': 1}]"
101,98,Intimidate,3,Lowers the foe's Attack stat.,"[{'is_hidden': False, 'pokemon': {'name': 'ekans', 'url': 'https://pokeapi.co/api/v2/pokemon/23/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'arbok', 'url': 'https://pokeapi.co/api/v2/pokemon/24/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'growlithe', 'url': 'https://pokeapi.co/api/v2/pokemon/58/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'arcanine', 'url': 'https://pokeapi.co/api/v2/pokemon/59/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'tauros', 'url': 'https://pokeapi.co/api/v2/pokemon/128/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'gyarados', 'url': 'https://pokeapi.co/api/v2/pokemon/130/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'snubbull', 'url': 'https://pokeapi.co/api/v2/pokemon/209/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'granbull', 'url': 'https://pokeapi.co/api/v2/pokemon/210/'}, 'slot': 1}, {'is_hidden': True, 'pokemon': {'name': 'qwilfish', 'url': 'https://pokeapi.co/api/v2/pokemon/211/'}, 'slot': 3}, {'is_hidden': False, 'pokemon': {'name': 'stantler', 'url': 'https://pokeapi.co/api/v2/pokemon/234/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'hitmontop', 'url': 'https://pokeapi.co/api/v2/pokemon/237/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'mightyena', 'url': 'https://pokeapi.co/api/v2/pokemon/262/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'masquerain', 'url': 'https://pokeapi.co/api/v2/pokemon/284/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'mawile', 'url': 'https://pokeapi.co/api/v2/pokemon/303/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'salamence', 'url': 'https://pokeapi.co/api/v2/pokemon/373/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'staravia', 'url': 'https://pokeapi.co/api/v2/pokemon/397/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'staraptor', 'url': 'https://pokeapi.co/api/v2/pokemon/398/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'shinx', 'url': 'https://pokeapi.co/api/v2/pokemon/403/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'luxio', 'url': 'https://pokeapi.co/api/v2/pokemon/404/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'luxray', 'url': 'https://pokeapi.co/api/v2/pokemon/405/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'herdier', 'url': 'https://pokeapi.co/api/v2/pokemon/507/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'stoutland', 'url': 'https://pokeapi.co/api/v2/pokemon/508/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'sandile', 'url': 'https://pokeapi.co/api/v2/pokemon/551/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'krokorok', 'url': 'https://pokeapi.co/api/v2/pokemon/552/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'krookodile', 'url': 'https://pokeapi.co/api/v2/pokemon/553/'}, 'slot': 1}, {'is_hidden': True, 'pokemon': {'name': 'scraggy', 'url': 'https://pokeapi.co/api/v2/pokemon/559/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'scrafty', 'url': 'https://pokeapi.co/api/v2/pokemon/560/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'litten', 'url': 'https://pokeapi.co/api/v2/pokemon/725/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'torracat', 'url': 'https://pokeapi.co/api/v2/pokemon/726/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'incineroar', 'url': 'https://pokeapi.co/api/v2/pokemon/727/'}, 'slot': 3}, {'is_hidden': False, 'pokemon': {'name': 'landorus-therian', 'url': 'https://pokeapi.co/api/v2/pokemon/10021/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'manectric-mega', 'url': 'https://pokeapi.co/api/v2/pokemon/10055/'}, 'slot': 1}]"
102,99,Intrepid Sword,8,Boosts Attack in battle.,"[{'is_hidden': False, 'pokemon': {'name': 'zacian', 'url': 'https://pokeapi.co/api/v2/pokemon/888/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'zacian-crowned', 'url': 'https://pokeapi.co/api/v2/pokemon/10188/'}, 'slot': 1}]"
103,100,Iron Barbs,5,Inflicts damage to the Pokémon on contact.,"[{'is_hidden': False, 'pokemon': {'name': 'ferroseed', 'url': 'https://pokeapi.co/api/v2/pokemon/597/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'ferrothorn', 'url': 'https://pokeapi.co/api/v2/pokemon/598/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'togedemaru', 'url': 'https://pokeapi.co/api/v2/pokemon/777/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'togedemaru-totem', 'url': 'https://pokeapi.co/api/v2/pokemon/10154/'}, 'slot': 1}]"
104,101,Iron Fist,4,Boosts the power of punching moves.,"[{'is_hidden': False, 'pokemon': {'name': 'hitmonchan', 'url': 'https://pokeapi.co/api/v2/pokemon/107/'}, 'slot': 2}, {'is_hidden': True, 'pokemon': {'name': 'ledian', 'url': 'https://pokeapi.co/api/v2/pokemon/166/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'chimchar', 'url': 'https://pokeapi.co/api/v2/pokemon/390/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'monferno', 'url': 'https://pokeapi.co/api/v2/pokemon/391/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'infernape', 'url': 'https://pokeapi.co/api/v2/pokemon/392/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'timburr', 'url': 'https://pokeapi.co/api/v2/pokemon/532/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'gurdurr', 'url': 'https://pokeapi.co/api/v2/pokemon/533/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'conkeldurr', 'url': 'https://pokeapi.co/api/v2/pokemon/534/'}, 'slot': 3}, {'is_hidden': False, 'pokemon': {'name': 'golett', 'url': 'https://pokeapi.co/api/v2/pokemon/622/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'golurk', 'url': 'https://pokeapi.co/api/v2/pokemon/623/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'pancham', 'url': 'https://pokeapi.co/api/v2/pokemon/674/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'pangoro', 'url': 'https://pokeapi.co/api/v2/pokemon/675/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'crabrawler', 'url': 'https://pokeapi.co/api/v2/pokemon/739/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'crabominable', 'url': 'https://pokeapi.co/api/v2/pokemon/740/'}, 'slot': 2}, {'is_hidden': False, 'pokemon': {'name': 'melmetal', 'url': 'https://pokeapi.co/api/v2/pokemon/809/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'melmetal-gmax', 'url': 'https://pokeapi.co/api/v2/pokemon/10208/'}, 'slot': 1}]"
105,102,Justified,5,Raises Attack when hit by a Dark-type move.,"[{'is_hidden': True, 'pokemon': {'name': 'growlithe', 'url': 'https://pokeapi.co/api/v2/pokemon/58/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'arcanine', 'url': 'https://pokeapi.co/api/v2/pokemon/59/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'absol', 'url': 'https://pokeapi.co/api/v2/pokemon/359/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'lucario', 'url': 'https://pokeapi.co/api/v2/pokemon/448/'}, 'slot': 3}, {'is_hidden': True, 'pokemon': {'name': 'gallade', 'url': 'https://pokeapi.co/api/v2/pokemon/475/'}, 'slot': 3}, {'is_hidden': False, 'pokemon': {'name': 'cobalion', 'url': 'https://pokeapi.co/api/v2/pokemon/638/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'terrakion', 'url': 'https://pokeapi.co/api/v2/pokemon/639/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'virizion', 'url': 'https://pokeapi.co/api/v2/pokemon/640/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'keldeo-ordinary', 'url': 'https://pokeapi.co/api/v2/pokemon/647/'}, 'slot': 1}, {'is_hidden': False, 'pokemon': {'name': 'keldeo-resolute', 'url': 'https://pokeapi.co/api/v2/pokemon/10024/'}, 'slot': 1}]"
