,level_0,level_1,Name_x,Exact,Score,Name_y,Attributes,Category_x,Effect_x,Name,Category_y,Effect_y,sprite_url
202,653,234,1.0,1,2.0,Gentle Mint,[],Nature Mints,,Gentle Mint,Battle items,Changes the Pokémon's stats to match the Gentle nature.,https://img.pokemondb.net/s.png
203,655,235,1.0,1,2.0,Ghost Gem,[],Jewels,"Held: When the holder uses a damaging ghost-type move, the move has 1.5× power and this item is consumed.",Ghost Gem,Hold items,Increases the power of a Ghost-type move only once.,https://img.pokemondb.net/sprites/items/ghost-gem.png
204,656,236,1.0,1,2.0,Ghost Memory,[],Memories,Held: Changes Silvally to its Ghost form.  Changes Multi-Attack's type to Ghost.,Ghost Memory,Hold items,Changes Silvally and its move Multi-Attack to Ghost type.,https://img.pokemondb.net/sprites/items/ghost-memory.png
205,659,238,1.0,1,2.0,Gigantamix,[],Curry Ingredients,,Gigantamix,General items,One of the many ingredients that can be used for cooking at your camp. A mysterious spice. Even a tiny sprinkle is sure to make a curry gigantic.,https://img.pokemondb.net/s.png
206,660,240,1.0,1,2.0,Glalitite,[],Mega Stones,Held: Allows Glalie to Mega Evolve into Mega Glalie.,Glalitite,Hold items,Enables Glalie to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/glalitite.png
207,664,241,1.0,1,2.0,Gold Bottle Cap,[],Loot,Trade to Mr. Hyper to maximize all of a Pokémon's genes.,Gold Bottle Cap,General items,Maximizes all of a Pokémon's IV stats in Hyper Training.,https://img.pokemondb.net/sprites/items/gold-bottle-cap.png
208,665,242,1.0,1,2.0,Gold Leaf,[],Loot,,Gold Leaf,General items,,https://img.pokemondb.net/s.png
209,668,243,1.0,1,2.0,Golden Nanab Berry,[],Catching Bonus,,Golden Nanab Berry,Berries,"Drastically calms a Pokémon in battle, in Let's Go Pikachu/Eevee.",https://img.pokemondb.net/sprites/items/golden-nanab-berry.png
210,669,244,1.0,1,2.0,Golden Pinap Berry,[],Catching Bonus,,Golden Pinap Berry,Berries,"Drastically increases chance of getting items when a Pokémon is caught, in Pokémon Let's Go.",https://img.pokemondb.net/sprites/items/golden-pinap-berry.png
211,670,245,1.0,1,2.0,Golden Razz Berry,[],Catching Bonus,,Golden Razz Berry,Berries,Makes a Pokémon easier to catch in Pokémon Let's Go.,https://img.pokemondb.net/sprites/items/golden-razz-berry.png
212,672,246,1.0,1,2.0,Gooey Mulch,[],Mulch,Berries regrow from dead plants an increased number of times.,Gooey Mulch,General items,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/gooey-mulch.png
213,677,248,1.0,1,2.0,Grass Gem,[],Jewels,"Held: When the holder uses a damaging grass-type move, the move has 1.5× power and this item is consumed.",Grass Gem,Hold items,Increases the power of a Grass-type move only once.,https://img.pokemondb.net/sprites/items/grass-gem.png
214,679,249,1.0,1,2.0,Grass Memory,[],Memories,Held: Changes Silvally to its Grass form.  Changes Multi-Attack's type to Grass.,Grass Memory,Hold items,Changes Silvally and its move Multi-Attack to Grass type.,https://img.pokemondb.net/sprites/items/grass-memory.png
215,682,251,1.0,1,2.0,Grassy Seed,[],Held Items,Held: Consumed on Grassy Terrain and raises the holder's Defense by one stage.,Grassy Seed,Hold items,An item to be held by a Pokémon. It boosts Defense on Grassy Terrain. It can only be used once.,https://img.pokemondb.net/sprites/items/grassy-seed.png
216,683,252,1.0,1,2.0,Great Ball,"['countable', 'consumable', 'usable-in-battle', 'holdable']",Standard Balls,Tries to catch a wild Pokémon.  Success rate is 1.5×.,Great Ball,Pokeballs,"A good, high-performance Ball that provides a higher Pokémon catch rate than a standard Poké Ball.",https://img.pokemondb.net/sprites/items/great-ball.png
217,684,253,1.0,1,2.0,Green Apricorn,[],Apricorn Box,Used to make a Friend Ball.,Green Apricorn,General items,"A green Apricorn. It has a mysterious, aromatic scent.",https://img.pokemondb.net/sprites/items/green-apricorn.png
218,686,254,1.0,1,2.0,Green Scarf,['holdable-active'],Scarves,Raises the holder's Smartness while in a contest.,Green Scarf,General items,Raises holder's Smart aspect in a Contest.,https://img.pokemondb.net/sprites/items/green-scarf.png
219,687,255,1.0,1,2.0,Green Shard,['underground'],Collectibles,No effect. Can be traded for items or moves.,Green Shard,General items,A small green shard. It appears to be from some sort of implement made long ago.,https://img.pokemondb.net/sprites/items/green-shard.png
220,689,256,1.0,1,2.0,Grepa Berry,[],Effort Drop,Drops Special Defense Effort Values by 10 and raises happiness.,Grepa Berry,Berries,Increases Friendship but lowers Special Defense EVs.,https://img.pokemondb.net/sprites/items/grepa-berry.png
221,691,257,1.0,1,2.0,Grip Claw,"['holdable', 'holdable-active']",Held Items,Held: Holder's multi-turn trapping moves last 5 turns.,Grip Claw,Hold items,A Pokémon held item that extends the duration of multiturn attacks like Bind and Wrap.,https://img.pokemondb.net/sprites/items/grip-claw.png
222,692,259,1.0,1,2.0,Griseous Orb,[],Species Specific,"Boosts the damage from Giratina's Dragon-type and Ghost-type moves by 20%, and transforms it into Origin Forme.",Griseous Orb,Hold items,"Increases the power of Dragon- and Ghost-type moves when held by Giratina, and changes it to Origin Forme.",https://img.pokemondb.net/sprites/items/griseous-orb.png
223,693,264,1.0,1,2.0,Ground Gem,[],Jewels,"Held: When the holder uses a damaging ground-type move, the move has 1.5× power and this item is consumed.",Ground Gem,Hold items,Increases the power of a Ground-type move only once.,https://img.pokemondb.net/sprites/items/ground-gem.png
224,694,265,1.0,1,2.0,Ground Memory,[],Memories,Held: Changes Silvally to its Ground form.  Changes Multi-Attack's type to Ground.,Ground Memory,Hold items,Changes Silvally and its move Multi-Attack to Ground type.,https://img.pokemondb.net/sprites/items/ground-memory.png
225,698,267,1.0,1,2.0,Growth Mulch,[],Mulch,"Growing time of berries is reduced, but the soil dries out faster.",Growth Mulch,General items,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/growth-mulch.png
226,699,268,1.0,1,2.0,Grubby Hanky,[],Plot Advancement,Appears in the Café Warehouse on Sunday; return to the customer with a Patrat on Thursday.,Grubby Hanky,Hold items,A handkerchief dropped by a regular at Café Warehouse. It smells faintly like a Pokémon.,https://img.pokemondb.net/sprites/items/grubby-hanky.png
228,701,270,1.0,1,2.0,Gyaradosite,[],Mega Stones,Held: Allows Gyarados to Mega Evolve into Mega Gyarados.,Gyaradosite,Hold items,Enables Gyarados to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/gyaradosite.png
229,702,271,1.0,1,2.0,Haban Berry,['holdable-active'],Type Protection,Held: Consumed when struck by a super-effective Dragon-type attack to halve the damage.,Haban Berry,Berries,Weakens a supereffective Dragon-type attack against the holding Pokémon.,https://img.pokemondb.net/sprites/items/haban-berry.png
230,704,272,1.0,1,2.0,Hard Stone,"['holdable', 'holdable-active', 'underground']",Type Enhancement,Held: Rock-Type moves from holder do 20% more damage.,Hard Stone,Hold items,Increases the power of Rock-type moves.,https://img.pokemondb.net/sprites/items/hard-stone.png
231,705,273,1.0,1,2.0,Hasty Mint,[],Nature Mints,,Hasty Mint,Battle items,Changes the Pokémon's stats to match the Hasty nature.,https://img.pokemondb.net/s.png
232,706,274,1.0,1,2.0,Heal Ball,"['countable', 'consumable', 'usable-in-battle', 'holdable']",Special Balls,Tries to catch a wild Pokémon.  Caught Pokémon are immediately healed.,Heal Ball,Pokeballs,A remedial Poké Ball that restores the caught Pokémon's HP and eliminates any status problem.,https://img.pokemondb.net/sprites/items/heal-ball.png
233,707,275,1.0,1,2.0,Heal Powder,"['countable', 'consumable', 'usable-overworld', 'usable-in-battle', 'holdable']",Status Cures,"Cures any status ailment, but lowers happiness.",Heal Powder,Medicine,"Heals all status problems, but lowers Friendship.",https://img.pokemondb.net/sprites/items/heal-powder.png
234,708,276,1.0,1,2.0,Health Candy,[],Vitamins,,Health Candy,Medicine,Increases a Pokémon's HP stat by 1.,https://img.pokemondb.net/sprites/items/health-candy.png
235,709,277,1.0,1,2.0,Health Candy L,[],Vitamins,,Health Candy L,Medicine,Increases a Pokémon's HP stat.,https://img.pokemondb.net/sprites/items/health-candy-l.png
236,710,278,1.0,1,2.0,Health Candy Xl,[],Vitamins,,Health Candy Xl,Medicine,Increases a Pokémon's HP stat.,https://img.pokemondb.net/sprites/items/health-candy-xl.png
237,711,279,1.0,1,2.0,Health Wing,[],Vitamins,Increases HP effort by 1.,Health Wing,Medicine,Increases HP EVs by 1.,https://img.pokemondb.net/sprites/items/health-wing.png
238,713,280,1.0,1,2.0,Heart Scale,['underground'],Collectibles,No effect. Can be traded for prior Level-up moves.,Heart Scale,General items,"A pretty, heart-shaped scale that is extremely rare. It glows faintly in the colors of the rainbow.",https://img.pokemondb.net/sprites/items/heart-scale.png
239,714,282,1.0,1,2.0,Heat Rock,"['holdable', 'holdable-active', 'underground']",Held Items,Held: Sunny Day by the holder lasts 8 rounds instead of 5.,Heat Rock,Hold items,A Pokémon held item that extends the duration of the move Sunny Day used by the holder.,https://img.pokemondb.net/sprites/items/heat-rock.png
240,715,283,1.0,1,2.0,Heavy Ball,[],Apricorn Balls,Has flat bonus or penalty to catch rate depending on weight class of target. Made from Blk Apricorn.,Heavy Ball,Pokeballs,A Poké Ball for catching very heavy Pokémon.,https://img.pokemondb.net/sprites/items/heavy-ball.png
241,716,284,1.0,1,2.0,Heavy Duty Boots,[],Held Items,,Heavy Duty Boots,Hold items,Protects the holder from traps set on the battlefield.,https://img.pokemondb.net/s.png
242,717,285,1.0,1,2.0,Helix Fossil,['underground'],Dex Completion,Can be revived into an Omanyte.,Helix Fossil,General items,A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a seashell.,https://img.pokemondb.net/sprites/items/helix-fossil.png
243,718,286,1.0,1,2.0,Heracronite,[],Mega Stones,Held: Allows Heracross to Mega Evolve into Mega Heracross.,Heracronite,Hold items,Enables Heracross to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/heracronite.png
244,719,287,1.0,1,2.0,Hi Tech Earbuds,[],Gameplay,,Hi Tech Earbuds,Hold items,Strange earbuds that allow you to freely control the volume of various sounds.,https://img.pokemondb.net/s.png
245,722,288,1.0,1,2.0,Hm01,[],All Machines,Teaches Cut to a compatible Pokémon.,Hm01,Machines,Teaches the move Cut.,https://img.pokemondb.net/sprites/items/tm-normal.png
246,723,289,1.0,1,2.0,Hm02,[],All Machines,Teaches Fly to a compatible Pokémon.,Hm02,Machines,Teaches the move Fly.,https://img.pokemondb.net/sprites/items/tm-flying.png
247,724,290,1.0,1,2.0,Hm03,[],All Machines,Teaches Surf to a compatible Pokémon.,Hm03,Machines,Teaches the move Surf.,https://img.pokemondb.net/sprites/items/tm-water.png
248,725,291,1.0,1,2.0,Hm04,[],All Machines,Teaches Strength to a compatible Pokémon.,Hm04,Machines,Teaches the move Strength.,https://img.pokemondb.net/sprites/items/tm-normal.png
249,726,292,1.0,1,2.0,Hm05,[],All Machines,Teaches Waterfall to a compatible Pokémon. (HS: Whirlpool DPP: Defog Gen III & II & I: Flash),Hm05,Machines,Teaches the move Flash/Defog/Whirlpool/Waterfall.,https://img.pokemondb.net/sprites/items/tm-water.png
250,727,293,1.0,1,2.0,Hm06,[],All Machines,Teaches Dive to a compatible Pokémon. (Gen IV & III: Rock Smash Gen II: Whirlpool),Hm06,Machines,Teaches the move Whirlpool/Rock Smash/Dive.,https://img.pokemondb.net/sprites/items/tm-water.png
251,728,294,1.0,1,2.0,Hm07,[],All Machines,Teaches a move to a compatible Pokémon. (Gen IV & III & II: Waterfall),Hm07,Machines,Teaches the move Waterfall.,https://img.pokemondb.net/sprites/items/tm-water.png
252,729,295,1.0,1,2.0,Hm08,[],All Machines,Teaches a move to a compatible Pokémon. (Gen IV: Rock Climb Gen III: Dive),Hm08,Machines,Teaches the move Dive/Rock Climb.,https://img.pokemondb.net/sprites/items/tm-normal.png
253,733,297,1.0,1,2.0,Hondew Berry,[],Effort Drop,Drops Special Attack Effort Values by 10 and raises happiness.,Hondew Berry,Berries,Increases Friendship but lowers Special Attack EVs.,https://img.pokemondb.net/sprites/items/hondew-berry.png
254,734,298,1.0,1,2.0,Honey,[],Dex Completion,,Honey,General items,"A sweet honey with a lush aroma that attracts wild Pokémon when it is used in grass, caves, or on special trees.",https://img.pokemondb.net/sprites/items/honey.png
255,735,300,1.0,1,2.0,Honor Of Kalos,[],Plot Advancement,"Does nothing, but signifies becoming Champion.",Honor Of Kalos,Hold items,A precious symbol that is awarded only to an individual who has done great things for the Kalos region.,https://img.pokemondb.net/sprites/items/honor-of-kalos.png
256,737,302,1.0,1,2.0,Houndoominite,[],Mega Stones,Held: Allows Houndoom to Mega Evolve into Mega Houndoom.,Houndoominite,Hold items,Enables Houndoom to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/houndoominite.png
257,738,303,1.0,1,2.0,Hp Up,"['countable', 'consumable', 'usable-overworld', 'usable-in-battle', 'holdable']",Vitamins,Raises HP effort and happiness.,Hp Up,Medicine,Increases HP EVs by 10.,https://img.pokemondb.net/sprites/items/hp-up.png
258,739,304,1.0,1,2.0,Hyper Potion,"['countable', 'consumable', 'usable-overworld', 'usable-in-battle', 'holdable']",Healing,Restores 200 HP.,Hyper Potion,Medicine,Restores 120 HP.,https://img.pokemondb.net/sprites/items/hyper-potion.png
259,740,305,1.0,1,2.0,Iapapa Berry,['holdable-active'],Picky Healing,Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike sour flavor.,Iapapa Berry,Berries,"Restores HP if it's low, but may cause confusion.",https://img.pokemondb.net/sprites/items/iapapa-berry.png
260,741,306,1.0,1,2.0,Ice Gem,[],Jewels,"Held: When the holder uses a damaging ice-type move, the move has 1.5× power and this item is consumed.",Ice Gem,Hold items,Increases the power of an Ice-type move only once.,https://img.pokemondb.net/sprites/items/ice-gem.png
261,742,307,1.0,1,2.0,Ice Heal,"['countable', 'consumable', 'usable-overworld', 'usable-in-battle', 'holdable']",Status Cures,Cures freezing.,Ice Heal,Medicine,A spray-type medicine. It defrosts a Pokémon that has been frozen solid.,https://img.pokemondb.net/sprites/items/ice-heal.png
262,743,308,1.0,1,2.0,Ice Memory,[],Memories,Held: Changes Silvally to its Ice form.  Changes Multi-Attack's type to Ice.,Ice Memory,Hold items,Changes Silvally and its move Multi-Attack to Ice type.,https://img.pokemondb.net/sprites/items/ice-memory.png
263,744,309,1.0,1,2.0,Ice Stone,[],Evolution,Evolves an Alola Sandshrew into Alola Sandslash or an Alola Vulpix into Alola Ninetales.,Ice Stone,General items,Evolves certain species of Pokémon.,https://img.pokemondb.net/sprites/items/ice-stone.png
264,745,310,1.0,1,2.0,Iceroot Carrot,[],Plot Advancement,,Iceroot Carrot,General items,Produce that the King of Bountiful Harvests’ beloved steed likes to eat. It grew in a field covered in snow.,https://img.pokemondb.net/s.png
265,746,311,1.0,1,2.0,Icicle Plate,"['holdable', 'holdable-active', 'underground']",Plates,Held: Ice-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Ice.,Icicle Plate,Hold items,Increases power of Ice-type moves. Changes Arceus' type to Ice.,https://img.pokemondb.net/sprites/items/icicle-plate.png
266,749,313,1.0,1,2.0,Icy Rock,"['holdable', 'holdable-active', 'underground']",Held Items,Held: Hail by the holder lasts 8 rounds instead of 5.,Icy Rock,Hold items,A Pokémon held item that extends the duration of the move Hail used by the holder.,https://img.pokemondb.net/sprites/items/icy-rock.png
267,751,314,1.0,1,2.0,Impish Mint,[],Nature Mints,,Impish Mint,Battle items,Changes the Pokémon's stats to match the Impish nature.,https://img.pokemondb.net/s.png
268,755,316,1.0,1,2.0,Insect Plate,"['holdable', 'holdable-active', 'underground']",Plates,Held: Bug-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Bug.,Insect Plate,Hold items,Increases power of Bug-type moves. Changes Arceus' type to Bug.,https://img.pokemondb.net/sprites/items/insect-plate.png
269,756,317,1.0,1,2.0,Instant Noodles,[],Curry Ingredients,,Instant Noodles,General items,"One of the many ingredients that can be used for cooking at your camp. It has a junk-food sort of taste, but it goes well with curry.",https://img.pokemondb.net/s.png
270,757,318,1.0,1,2.0,Intriguing Stone,[],Plot Advancement,"Trade for a Sun Stone in X and Y, or Pidgeotite in Omega Ruby and Alpha Sapphire.",Intriguing Stone,Hold items,A rather curious stone that might appear to be valuable to some. It's all in the eye of the beholder.,https://img.pokemondb.net/sprites/items/intriguing-stone.png
271,758,319,1.0,1,2.0,Iron,"['countable', 'consumable', 'usable-overworld', 'usable-in-battle', 'holdable']",Vitamins,Raises Defense effort and happiness.,Iron,Medicine,Increases Defense EVs by 10.,https://img.pokemondb.net/sprites/items/iron.png
272,759,320,1.0,1,2.0,Iron Ball,"['holdable', 'holdable-active', 'underground']",Bad Held Items,"Held: Holder's Speed is halved. Negates all Ground-type immunities, and makes Flying-types take neutral damage from Ground-type moves. Arena Trap. Spikes, and Toxic Spikes affect the holder.",Iron Ball,Hold items,A Pokémon held item that cuts Speed. It makes Flying-type and levitating holders susceptible to Ground moves.,https://img.pokemondb.net/sprites/items/iron-ball.png
273,760,323,1.0,1,2.0,Iron Plate,"['holdable', 'holdable-active', 'underground']",Plates,Held: Steel-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Steel.,Iron Plate,Hold items,Increases power of Steel-type moves. Changes Arceus' type to Steel.,https://img.pokemondb.net/sprites/items/iron-plate.png
274,761,324,1.0,1,2.0,Item Drop,[],Miracle Shooter,Forces a friendly Pokémon to drop its held item.,Item Drop,Battle items,"When used, it causes an ally Pokémon to drop a held item.",https://img.pokemondb.net/sprites/items/item-drop.png
275,762,325,1.0,1,2.0,Item Urge,[],Miracle Shooter,Forcibly activates a friendly Pokémon's held item.,Item Urge,Battle items,"When used, it causes an ally Pokémon to use its held item.",https://img.pokemondb.net/sprites/items/item-urge.png
276,763,326,1.0,1,2.0,Jaboca Berry,['holdable-active'],Other,Held: Consumed to deal 1/8 attacker's max HP when holder is struck by a physical attack.,Jaboca Berry,Berries,"If held by a Pokémon and a physical attack lands, the attacker also takes damage.",https://img.pokemondb.net/sprites/items/jaboca-berry.png
277,767,328,1.0,1,2.0,Jolly Mint,[],Nature Mints,,Jolly Mint,Battle items,Changes the Pokémon's stats to match the Jolly nature.,https://img.pokemondb.net/s.png
278,772,330,1.0,1,2.0,Kangaskhanite,[],Mega Stones,Held: Allows Kangaskhan to Mega Evolve into Mega Kangaskhan.,Kangaskhanite,Hold items,Enables Kangaskhan to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/kangaskhanite.png
279,773,331,1.0,1,2.0,Kasib Berry,['holdable-active'],Type Protection,Held: Consumed when struck by a super-effective Ghost-type attack to halve the damage.,Kasib Berry,Berries,Weakens a supereffective Ghost-type attack against the holding Pokémon.,https://img.pokemondb.net/sprites/items/kasib-berry.png
280,774,332,1.0,1,2.0,Kebia Berry,['holdable-active'],Type Protection,Held: Consumed when struck by a super-effective Poison-type attack to halve the damage.,Kebia Berry,Berries,Weakens a supereffective Poison-type attack against the holding Pokémon.,https://img.pokemondb.net/sprites/items/kebia-berry.png
281,775,333,1.0,1,2.0,Kee Berry,[],Other,"Held: When the holder is hit by a physical move, increases its Defense by one stage.",Kee Berry,Berries,"If held by a Pokémon, this Berry will increase the holder's Defense if it's hit with a physical move.",https://img.pokemondb.net/sprites/items/kee-berry.png
282,776,334,1.0,1,2.0,Kelpsy Berry,[],Effort Drop,Drops Attack Effort Values by 10 and raises happiness.,Kelpsy Berry,Berries,Increases Friendship but lowers Attack EVs.,https://img.pokemondb.net/sprites/items/kelpsy-berry.png
283,787,338,1.0,1,2.0,Lagging Tail,"['holdable', 'holdable-active']",Bad Held Items,Held: Holder moves last in its priority bracket.,Lagging Tail,Hold items,Holder always attacks last.,https://img.pokemondb.net/sprites/items/lagging-tail.png
284,788,339,1.0,1,2.0,Lansat Berry,['holdable-active'],In A Pinch,Held: Consumed at 1/4 max HP to boost critical hit ratio by two stages.,Lansat Berry,Berries,Increases critical-hit ratio when HP is low.,https://img.pokemondb.net/sprites/items/lansat-berry.png
285,790,340,1.0,1,2.0,Large Leek,[],Curry Ingredients,,Large Leek,General items,One of the many ingredients that can be used for cooking at your camp. Whether this is the kind of vegetable stalk that Farfetch’d like is unknown.,https://img.pokemondb.net/s.png
286,791,341,1.0,1,2.0,Latiasite,[],Mega Stones,Held: Allows Latias to Mega Evolve into Mega Latias.,Latiasite,Hold items,Enables Latias to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/latiasite.png
287,792,342,1.0,1,2.0,Latiosite,[],Mega Stones,Held: Allows Latios to Mega Evolve into Mega Latios.,Latiosite,Hold items,Enables Latios to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/latiosite.png
288,793,343,1.0,1,2.0,Lava Cookie,"['countable', 'consumable', 'usable-overworld', 'usable-in-battle', 'holdable']",Status Cures,Cures any status ailment and confusion.,Lava Cookie,Medicine,Heals all major status conditions.,https://img.pokemondb.net/sprites/items/lava-cookie.png
289,794,344,1.0,1,2.0,Lax Incense,"['holdable', 'holdable-active']",Held Items,Held: Holder's evasion is increased by 5%. Breeding: Wobbuffet begets a Wynaut Egg.,Lax Incense,Hold items,Lowers the opponent's accuracy. Breeding Wobbuffet produces Wynaut when held.,https://img.pokemondb.net/sprites/items/lax-incense.png
290,795,345,1.0,1,2.0,Lax Mint,[],Nature Mints,,Lax Mint,Battle items,Changes the Pokémon's stats to match the Lax nature.,https://img.pokemondb.net/s.png
291,798,348,1.0,1,2.0,Leaf Stone,['underground'],Evolution,"Evolves an Exeggcute into Exeggutor, a Gloom into Vileplume, a Nuzleaf into Shiftry, a Pansage into Simisage, or a Weepinbell into Victreebel.",Leaf Stone,General items,Evolves certain species of Pokémon.,https://img.pokemondb.net/sprites/items/leaf-stone.png
292,800,350,1.0,1,2.0,Leftovers,"['holdable', 'holdable-active']",Held Items,Held: Restores 1/16 (6.25%) holder's max HP at the end of each turn.,Leftovers,Hold items,An item to be held by a Pokémon. The holder's HP is gradually restored during battle.,https://img.pokemondb.net/sprites/items/leftovers.png
293,805,352,1.0,1,2.0,Lemonade,"['countable', 'consumable', 'usable-overworld', 'usable-in-battle', 'holdable']",Healing,Restores 80 HP.,Lemonade,Medicine,Restores 70 HP.,https://img.pokemondb.net/sprites/items/lemonade.png
294,807,353,1.0,1,2.0,Leppa Berry,['holdable-active'],Medicine,Held: Consumed when a move runs out of PP to restore its PP by 10.,Leppa Berry,Berries,"If held by a Pokémon, it restores a move's PP by 10.",https://img.pokemondb.net/sprites/items/leppa-berry.png
295,809,354,1.0,1,2.0,Level Ball,[],Apricorn Balls,Success rate based off of fraction target Pokémon is of user's Pokémon. Made from Red Apricorn.,Level Ball,Pokeballs,A Poké Ball for catching Pokémon that are a lower level than your own.,https://img.pokemondb.net/sprites/items/level-ball.png
296,812,355,1.0,1,2.0,Liechi Berry,['holdable-active'],In A Pinch,Held: Consumed at 1/4 max HP to boost Attack.,Liechi Berry,Berries,Raises Attack when HP is low.,https://img.pokemondb.net/sprites/items/liechi-berry.png
297,813,356,1.0,1,2.0,Life Orb,"['holdable', 'holdable-active']",Held Items,"Held: Holder's moves inflict 30% extra damage, but cost 10% max HP.",Life Orb,Hold items,"Increases the power of moves, but loses HP each turn.",https://img.pokemondb.net/sprites/items/life-orb.png
298,815,357,1.0,1,2.0,Light Ball,['holdable'],Species Specific,Doubles Pikachu's Attack and Special Attack. Breed on Pikachu or Raichu: Pichu Egg will have Volt Tackle.,Light Ball,Hold items,An item to be held by PIKACHU. It is a puzzling orb that raises the Attack and Sp. Atk stat.,https://img.pokemondb.net/sprites/items/light-ball.png
299,816,358,1.0,1,2.0,Light Clay,"['holdable', 'holdable-active', 'underground']",Held Items,Held: Light Screen and Reflect used by the holder last 8 rounds instead of 5.,Light Clay,Hold items,A Pokémon held item that extends the duration of barrier moves like Light Screen and Reflect used by the holder.,https://img.pokemondb.net/sprites/items/light-clay.png
300,820,360,1.0,1,2.0,Lone Earring,[],Loot,,Lone Earring,General items,,https://img.pokemondb.net/s.png
301,821,361,1.0,1,2.0,Lonely Mint,[],Nature Mints,,Lonely Mint,Battle items,Changes the Pokémon's stats to match the Lonely nature.,https://img.pokemondb.net/s.png
302,822,362,1.0,1,2.0,Looker Ticket,[],Plot Advancement,Advances the Looker postgame plot.,Looker Ticket,Hold items,A ticket that was handmade by Looker. It's decorated with a liberal amount of glittery paint.,https://img.pokemondb.net/sprites/items/looker-ticket.png
303,824,363,1.0,1,2.0,Lopunnite,[],Mega Stones,Held: Allows Lopunny to Mega Evolve into Mega Lopunny.,Lopunnite,Hold items,Enables Lopunny to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/lopunnite.png
304,826,365,1.0,1,2.0,Love Ball,[],Apricorn Balls,"8× effectiveness on opposite sex, same species targets of the Active Pokémon. Made from Pnk Apricorn.",Love Ball,Pokeballs,Poké Ball for catching Pokémon that are the opposite gender of your Pokémon.,https://img.pokemondb.net/sprites/items/love-ball.png
305,827,366,1.0,1,2.0,Love Sweet,[],Evolution,,Love Sweet,Hold items,Evolves Milcery into Heart Flavor Alcremie.,https://img.pokemondb.net/s.png
306,828,367,1.0,1,2.0,Lucarionite,[],Mega Stones,Held: Allows Lucario to Mega Evolve into Mega Lucario.,Lucarionite,Hold items,Enables Lucario to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/lucarionite.png
307,829,368,1.0,1,2.0,Luck Incense,"['holdable', 'holdable-active']",Training,Held: Doubles the money earned from a battle. Does not stack with Amulet Coin. Breeding: Chansey and Blissey beget a Happiny Egg.,Luck Incense,Hold items,Doubles prize money if held. Breeding Chansey or Blissey produces Happiny when held.,https://img.pokemondb.net/sprites/items/luck-incense.png
308,830,369,1.0,1,2.0,Lucky Egg,"['holdable', 'holdable-active']",Training,Held: Increases EXP earned in battle by 50%.,Lucky Egg,Hold items,An item to be held by a Pokémon. It is an egg filled with happiness that earns extra Exp. Points in battle.,https://img.pokemondb.net/sprites/items/lucky-egg.png
309,831,370,1.0,1,2.0,Lucky Punch,['holdable'],Species Specific,Raises Chansey's critical hit ratio by two stages.,Lucky Punch,Hold items,Increases critical-hit ratio when held by Chansey.,https://img.pokemondb.net/sprites/items/lucky-punch.png
310,832,371,1.0,1,2.0,Lum Berry,['holdable-active'],Medicine,Held: Consumed to cure any status condition or confusion.,Lum Berry,Berries,"If held by a Pokémon, it recovers from any status problem.",https://img.pokemondb.net/sprites/items/lum-berry.png
311,833,372,1.0,1,2.0,Luminous Moss,[],Held Items,"Held: If the holder is hit by a damaging Water move, raises its Special Defense by one stage.",Luminous Moss,Hold items,Raises Special Defense if hit by a Water-type move.,https://img.pokemondb.net/sprites/items/luminous-moss.png
312,834,373,1.0,1,2.0,Lumiose Galette,[],Status Cures,Cures all major status ailments and confusion.,Lumiose Galette,Medicine,Heals all major status conditions.,https://img.pokemondb.net/sprites/items/lumiose-galette.png
313,838,375,1.0,1,2.0,Lure,[],Spelunking,,Lure,General items,Attracts Pokémon in the wild.,https://img.pokemondb.net/s.png
314,839,376,1.0,1,2.0,Lure Ball,[],Apricorn Balls,3× effectiveness while fishing. Made from Blu Apricorn.,Lure Ball,Pokeballs,A Poké Ball for catching Pokémon hooked by a Rod when fishing.,https://img.pokemondb.net/sprites/items/lure-ball.png
315,840,378,1.0,1,2.0,Lustrous Orb,['holdable'],Species Specific,Boosts the damage from Palkia's Dragon-type and Water-type moves by 20%.,Lustrous Orb,Hold items,Increases the power of Dragon- and Water-type moves when held by Palkia.,https://img.pokemondb.net/sprites/items/lustrous-orb.png
