,Name,Category,Effect,sprite_url
225,Galarica Cuff,General items,Evolves Galarian Slowpoke into Galarian Slowbro.,https://img.pokemondb.net/s.png
226,Galarica Twig,General items,NA,https://img.pokemondb.net/s.png
227,Galarica Wreath,General items,Evolves Galarian Slowpoke into Galarian Slowking.,https://img.pokemondb.net/s.png
228,Galladite,Hold items,Enables Gallade to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/galladite.png
229,Ganlon Berry,Berries,Raises Defense when HP is low.,https://img.pokemondb.net/sprites/items/ganlon-berry.png
230,Garchompite,Hold items,Enables Garchomp to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/garchompite.png
231,Gardevoirite,Hold items,Enables Gardevoir to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/gardevoirite.png
232,Gengarite,Hold items,Enables Gengar to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/gengarite.png
233,Genius Wing,Medicine,Increases Special Attack EVs by 1.,https://img.pokemondb.net/sprites/items/genius-wing.png
234,Gentle Mint,Battle items,Changes the Pokémon's stats to match the Gentle nature.,https://img.pokemondb.net/s.png
235,Ghost Gem,Hold items,Increases the power of a Ghost-type move only once.,https://img.pokemondb.net/sprites/items/ghost-gem.png
236,Ghost Memory,Hold items,Changes Silvally and its move Multi-Attack to Ghost type.,https://img.pokemondb.net/sprites/items/ghost-memory.png
237,Ghostium Z,Hold items,"Allows the use of Never-Ending Nightmare, the Ghost type Z-Move.",https://img.pokemondb.net/sprites/items/ghostium-z.png
238,Gigantamix,General items,One of the many ingredients that can be used for cooking at your camp. A mysterious spice. Even a tiny sprinkle is sure to make a curry gigantic.,https://img.pokemondb.net/s.png
239,Gigaton Ball,Pokeballs,NA,https://img.pokemondb.net/s.png
240,Glalitite,Hold items,Enables Glalie to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/glalitite.png
241,Gold Bottle Cap,General items,Maximizes all of a Pokémon's IV stats in Hyper Training.,https://img.pokemondb.net/sprites/items/gold-bottle-cap.png
242,Gold Leaf,General items,NA,https://img.pokemondb.net/s.png
243,Golden Nanab Berry,Berries,"Drastically calms a Pokémon in battle, in Let's Go Pikachu/Eevee.",https://img.pokemondb.net/sprites/items/golden-nanab-berry.png
244,Golden Pinap Berry,Berries,"Drastically increases chance of getting items when a Pokémon is caught, in Pokémon Let's Go.",https://img.pokemondb.net/sprites/items/golden-pinap-berry.png
245,Golden Razz Berry,Berries,Makes a Pokémon easier to catch in Pokémon Let's Go.,https://img.pokemondb.net/sprites/items/golden-razz-berry.png
246,Gooey Mulch,General items,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/gooey-mulch.png
247,Grain Cake,General items,NA,https://img.pokemondb.net/s.png
248,Grass Gem,Hold items,Increases the power of a Grass-type move only once.,https://img.pokemondb.net/sprites/items/grass-gem.png
249,Grass Memory,Hold items,Changes Silvally and its move Multi-Attack to Grass type.,https://img.pokemondb.net/sprites/items/grass-memory.png
250,Grassium Z,Hold items,"Allows the use of Bloom Doom, the Grass type Z-Move.",https://img.pokemondb.net/sprites/items/grassium-z.png
251,Grassy Seed,Hold items,An item to be held by a Pokémon. It boosts Defense on Grassy Terrain. It can only be used once.,https://img.pokemondb.net/sprites/items/grassy-seed.png
252,Great Ball,Pokeballs,"A good, high-performance Ball that provides a higher Pokémon catch rate than a standard Poké Ball.",https://img.pokemondb.net/sprites/items/great-ball.png
253,Green Apricorn,General items,"A green Apricorn. It has a mysterious, aromatic scent.",https://img.pokemondb.net/sprites/items/green-apricorn.png
254,Green Scarf,General items,Raises holder's Smart aspect in a Contest.,https://img.pokemondb.net/sprites/items/green-scarf.png
255,Green Shard,General items,A small green shard. It appears to be from some sort of implement made long ago.,https://img.pokemondb.net/sprites/items/green-shard.png
256,Grepa Berry,Berries,Increases Friendship but lowers Special Defense EVs.,https://img.pokemondb.net/sprites/items/grepa-berry.png
257,Grip Claw,Hold items,A Pokémon held item that extends the duration of multiturn attacks like Bind and Wrap.,https://img.pokemondb.net/sprites/items/grip-claw.png
258,Griseous Core,Hold items,NA,https://img.pokemondb.net/s.png
259,Griseous Orb,Hold items,"Increases the power of Dragon- and Ghost-type moves when held by Giratina, and changes it to Origin Forme.",https://img.pokemondb.net/sprites/items/griseous-orb.png
260,Grit Dust,Hold items,NA,https://img.pokemondb.net/s.png
261,Grit Gravel,Hold items,NA,https://img.pokemondb.net/s.png
262,Grit Pebble,Hold items,NA,https://img.pokemondb.net/s.png
263,Grit Rock,Hold items,NA,https://img.pokemondb.net/s.png
264,Ground Gem,Hold items,Increases the power of a Ground-type move only once.,https://img.pokemondb.net/sprites/items/ground-gem.png
265,Ground Memory,Hold items,Changes Silvally and its move Multi-Attack to Ground type.,https://img.pokemondb.net/sprites/items/ground-memory.png
266,Groundium Z,Hold items,"Allows the use of Tectonic Rage, the Ground type Z-Move.",https://img.pokemondb.net/sprites/items/groundium-z.png
267,Growth Mulch,General items,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/growth-mulch.png
268,Grubby Hanky,Hold items,A handkerchief dropped by a regular at Café Warehouse. It smells faintly like a Pokémon.,https://img.pokemondb.net/sprites/items/grubby-hanky.png
269,Guard Spec.,Battle items,Prevents stat reduction for five turns.,https://img.pokemondb.net/sprites/items/guard-spec.png
270,Gyaradosite,Hold items,Enables Gyarados to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/gyaradosite.png
271,Haban Berry,Berries,Weakens a supereffective Dragon-type attack against the holding Pokémon.,https://img.pokemondb.net/sprites/items/haban-berry.png
272,Hard Stone,Hold items,Increases the power of Rock-type moves.,https://img.pokemondb.net/sprites/items/hard-stone.png
273,Hasty Mint,Battle items,Changes the Pokémon's stats to match the Hasty nature.,https://img.pokemondb.net/s.png
274,Heal Ball,Pokeballs,A remedial Poké Ball that restores the caught Pokémon's HP and eliminates any status problem.,https://img.pokemondb.net/sprites/items/heal-ball.png
275,Heal Powder,Medicine,"Heals all status problems, but lowers Friendship.",https://img.pokemondb.net/sprites/items/heal-powder.png
276,Health Candy,Medicine,Increases a Pokémon's HP stat by 1.,https://img.pokemondb.net/sprites/items/health-candy.png
277,Health Candy L,Medicine,Increases a Pokémon's HP stat.,https://img.pokemondb.net/sprites/items/health-candy-l.png
278,Health Candy XL,Medicine,Increases a Pokémon's HP stat.,https://img.pokemondb.net/sprites/items/health-candy-xl.png
279,Health Wing,Medicine,Increases HP EVs by 1.,https://img.pokemondb.net/sprites/items/health-wing.png
280,Heart Scale,General items,"A pretty, heart-shaped scale that is extremely rare. It glows faintly in the colors of the rainbow.",https://img.pokemondb.net/sprites/items/heart-scale.png
281,Hearty Grains,General items,NA,https://img.pokemondb.net/s.png
282,Heat Rock,Hold items,A Pokémon held item that extends the duration of the move Sunny Day used by the holder.,https://img.pokemondb.net/sprites/items/heat-rock.png
283,Heavy Ball,Pokeballs,A Poké Ball for catching very heavy Pokémon.,https://img.pokemondb.net/sprites/items/heavy-ball.png
284,Heavy-Duty Boots,Hold items,Protects the holder from traps set on the battlefield.,https://img.pokemondb.net/s.png
285,Helix Fossil,General items,A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a seashell.,https://img.pokemondb.net/sprites/items/helix-fossil.png
286,Heracronite,Hold items,Enables Heracross to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/heracronite.png
287,Hi-tech Earbuds,Hold items,Strange earbuds that allow you to freely control the volume of various sounds.,https://img.pokemondb.net/s.png
288,HM01,Machines,Teaches the move Cut.,https://img.pokemondb.net/sprites/items/tm-normal.png
289,HM02,Machines,Teaches the move Fly.,https://img.pokemondb.net/sprites/items/tm-flying.png
290,HM03,Machines,Teaches the move Surf.,https://img.pokemondb.net/sprites/items/tm-water.png
291,HM04,Machines,Teaches the move Strength.,https://img.pokemondb.net/sprites/items/tm-normal.png
292,HM05,Machines,Teaches the move Flash/Defog/Whirlpool/Waterfall.,https://img.pokemondb.net/sprites/items/tm-water.png
293,HM06,Machines,Teaches the move Whirlpool/Rock Smash/Dive.,https://img.pokemondb.net/sprites/items/tm-water.png
294,HM07,Machines,Teaches the move Waterfall.,https://img.pokemondb.net/sprites/items/tm-water.png
295,HM08,Machines,Teaches the move Dive/Rock Climb.,https://img.pokemondb.net/sprites/items/tm-normal.png
296,Hometown Muffin,General items,NA,https://img.pokemondb.net/s.png
297,Hondew Berry,Berries,Increases Friendship but lowers Special Attack EVs.,https://img.pokemondb.net/sprites/items/hondew-berry.png
298,Honey,General items,"A sweet honey with a lush aroma that attracts wild Pokémon when it is used in grass, caves, or on special trees.",https://img.pokemondb.net/sprites/items/honey.png
299,Honey Cake,General items,NA,https://img.pokemondb.net/s.png
300,Honor Of Kalos,Hold items,A precious symbol that is awarded only to an individual who has done great things for the Kalos region.,https://img.pokemondb.net/sprites/items/honor-of-kalos.png
301,Hopo Berry,General items,"A Berry that can be fed to a Pokémon to restore its PP. If a wild Pokémon eats one of these Berries, that Pokémon’s reactions will be dulled.",https://img.pokemondb.net/s.png
302,Houndoominite,Hold items,Enables Houndoom to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/houndoominite.png
303,HP Up,Medicine,Increases HP EVs by 10.,https://img.pokemondb.net/sprites/items/hp-up.png
304,Hyper Potion,Medicine,Restores 120 HP.,https://img.pokemondb.net/sprites/items/hyper-potion.png
305,Iapapa Berry,Berries,"Restores HP if it's low, but may cause confusion.",https://img.pokemondb.net/sprites/items/iapapa-berry.png
306,Ice Gem,Hold items,Increases the power of an Ice-type move only once.,https://img.pokemondb.net/sprites/items/ice-gem.png
307,Ice Heal,Medicine,A spray-type medicine. It defrosts a Pokémon that has been frozen solid.,https://img.pokemondb.net/sprites/items/ice-heal.png
308,Ice Memory,Hold items,Changes Silvally and its move Multi-Attack to Ice type.,https://img.pokemondb.net/sprites/items/ice-memory.png
309,Ice Stone,General items,Evolves certain species of Pokémon.,https://img.pokemondb.net/sprites/items/ice-stone.png
310,Iceroot Carrot,General items,Produce that the King of Bountiful Harvests’ beloved steed likes to eat. It grew in a field covered in snow.,https://img.pokemondb.net/s.png
311,Icicle Plate,Hold items,Increases power of Ice-type moves. Changes Arceus' type to Ice.,https://img.pokemondb.net/sprites/items/icicle-plate.png
312,Icium Z,Hold items,"Allows the use of Subzero Slammer, the Ice type Z-Move.",https://img.pokemondb.net/sprites/items/icium-z.png
313,Icy Rock,Hold items,A Pokémon held item that extends the duration of the move Hail used by the holder.,https://img.pokemondb.net/sprites/items/icy-rock.png
314,Impish Mint,Battle items,Changes the Pokémon's stats to match the Impish nature.,https://img.pokemondb.net/s.png
315,Incinium Z,Hold items,"Allows Incineroar to upgrade Darkest Lariat to a Z-Move, Malicious Moonsault.",https://img.pokemondb.net/sprites/items/incinium-z.png
316,Insect Plate,Hold items,Increases power of Bug-type moves. Changes Arceus' type to Bug.,https://img.pokemondb.net/sprites/items/insect-plate.png
317,Instant Noodles,General items,"One of the many ingredients that can be used for cooking at your camp. It has a junk-food sort of taste, but it goes well with curry.",https://img.pokemondb.net/s.png
318,Intriguing Stone,Hold items,A rather curious stone that might appear to be valuable to some. It's all in the eye of the beholder.,https://img.pokemondb.net/sprites/items/intriguing-stone.png
319,Iron,Medicine,Increases Defense EVs by 10.,https://img.pokemondb.net/sprites/items/iron.png
320,Iron Ball,Hold items,A Pokémon held item that cuts Speed. It makes Flying-type and levitating holders susceptible to Ground moves.,https://img.pokemondb.net/sprites/items/iron-ball.png
321,Iron Barktongue,General items,NA,https://img.pokemondb.net/s.png
322,Iron Chunk,General items,NA,https://img.pokemondb.net/s.png
323,Iron Plate,Hold items,Increases power of Steel-type moves. Changes Arceus' type to Steel.,https://img.pokemondb.net/sprites/items/iron-plate.png
324,Item Drop,Battle items,"When used, it causes an ally Pokémon to drop a held item.",https://img.pokemondb.net/sprites/items/item-drop.png
325,Item Urge,Battle items,"When used, it causes an ally Pokémon to use its held item.",https://img.pokemondb.net/sprites/items/item-urge.png
326,Jaboca Berry,Berries,"If held by a Pokémon and a physical attack lands, the attacker also takes damage.",https://img.pokemondb.net/sprites/items/jaboca-berry.png
327,Jet Ball,Pokeballs,NA,https://img.pokemondb.net/s.png
328,Jolly Mint,Battle items,Changes the Pokémon's stats to match the Jolly nature.,https://img.pokemondb.net/s.png
329,Jubilife Muffin,General items,NA,https://img.pokemondb.net/s.png
330,Kangaskhanite,Hold items,Enables Kangaskhan to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/kangaskhanite.png
331,Kasib Berry,Berries,Weakens a supereffective Ghost-type attack against the holding Pokémon.,https://img.pokemondb.net/sprites/items/kasib-berry.png
332,Kebia Berry,Berries,Weakens a supereffective Poison-type attack against the holding Pokémon.,https://img.pokemondb.net/sprites/items/kebia-berry.png
333,Kee Berry,Berries,"If held by a Pokémon, this Berry will increase the holder's Defense if it's hit with a physical move.",https://img.pokemondb.net/sprites/items/kee-berry.png
334,Kelpsy Berry,Berries,Increases Friendship but lowers Attack EVs.,https://img.pokemondb.net/sprites/items/kelpsy-berry.png
335,King’s Leaf,General items,NA,https://img.pokemondb.net/s.png
336,King's Rock,Hold items,May cause opponent to flinch. Evolves Poliwhirl and Slowpoke when traded holding the item.,https://img.pokemondb.net/sprites/items/kings-rock.png
337,Kommonium Z,Hold items,"Allows Kommo-o to upgrade Clanging Scales to a Z-Move, Clangorous Soulblaze.",https://img.pokemondb.net/sprites/items/kommonium-z.png
338,Lagging Tail,Hold items,Holder always attacks last.,https://img.pokemondb.net/sprites/items/lagging-tail.png
339,Lansat Berry,Berries,Increases critical-hit ratio when HP is low.,https://img.pokemondb.net/sprites/items/lansat-berry.png
340,Large Leek,General items,One of the many ingredients that can be used for cooking at your camp. Whether this is the kind of vegetable stalk that Farfetch’d like is unknown.,https://img.pokemondb.net/s.png
341,Latiasite,Hold items,Enables Latias to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/latiasite.png
342,Latiosite,Hold items,Enables Latios to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/latiosite.png
343,Lava Cookie,Medicine,Heals all major status conditions.,https://img.pokemondb.net/sprites/items/lava-cookie.png
344,Lax Incense,Hold items,Lowers the opponent's accuracy. Breeding Wobbuffet produces Wynaut when held.,https://img.pokemondb.net/sprites/items/lax-incense.png
345,Lax Mint,Battle items,Changes the Pokémon's stats to match the Lax nature.,https://img.pokemondb.net/s.png
346,Leaden Ball,Pokeballs,NA,https://img.pokemondb.net/s.png
347,Leaf Letter,General items,A letter written on a leaf. Something is written using Eevee's footprints.,https://img.pokemondb.net/s.png
348,Leaf Stone,General items,Evolves certain species of Pokémon.,https://img.pokemondb.net/sprites/items/leaf-stone.png
349,Leek,Hold items,Increases critical-hit ratio when held by Farfetch'd.,https://img.pokemondb.net/sprites/items/leek.png
350,Leftovers,Hold items,An item to be held by a Pokémon. The holder's HP is gradually restored during battle.,https://img.pokemondb.net/sprites/items/leftovers.png
351,Legend Plate,Hold items,NA,https://img.pokemondb.net/s.png
352,Lemonade,Medicine,Restores 70 HP.,https://img.pokemondb.net/sprites/items/lemonade.png
353,Leppa Berry,Berries,"If held by a Pokémon, it restores a move's PP by 10.",https://img.pokemondb.net/sprites/items/leppa-berry.png
354,Level Ball,Pokeballs,A Poké Ball for catching Pokémon that are a lower level than your own.,https://img.pokemondb.net/sprites/items/level-ball.png
355,Liechi Berry,Berries,Raises Attack when HP is low.,https://img.pokemondb.net/sprites/items/liechi-berry.png
356,Life Orb,Hold items,"Increases the power of moves, but loses HP each turn.",https://img.pokemondb.net/sprites/items/life-orb.png
357,Light Ball,Hold items,An item to be held by PIKACHU. It is a puzzling orb that raises the Attack and Sp. Atk stat.,https://img.pokemondb.net/sprites/items/light-ball.png
358,Light Clay,Hold items,A Pokémon held item that extends the duration of barrier moves like Light Screen and Reflect used by the holder.,https://img.pokemondb.net/sprites/items/light-clay.png
359,Linking Cord,General items,A string exuding a mysterious energy that makes you feel a strange sense of connection. It’s loved by certain Pokémon.,https://img.pokemondb.net/s.png
360,Lone Earring,General items,NA,https://img.pokemondb.net/s.png
361,Lonely Mint,Battle items,Changes the Pokémon's stats to match the Lonely nature.,https://img.pokemondb.net/s.png
362,Looker Ticket,Hold items,A ticket that was handmade by Looker. It's decorated with a liberal amount of glittery paint.,https://img.pokemondb.net/sprites/items/looker-ticket.png
363,Lopunnite,Hold items,Enables Lopunny to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/lopunnite.png
364,Lost Satchel,General items,NA,https://img.pokemondb.net/s.png
365,Love Ball,Pokeballs,Poké Ball for catching Pokémon that are the opposite gender of your Pokémon.,https://img.pokemondb.net/sprites/items/love-ball.png
366,Love Sweet,Hold items,Evolves Milcery into Heart Flavor Alcremie.,https://img.pokemondb.net/s.png
367,Lucarionite,Hold items,Enables Lucario to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/lucarionite.png
368,Luck Incense,Hold items,Doubles prize money if held. Breeding Chansey or Blissey produces Happiny when held.,https://img.pokemondb.net/sprites/items/luck-incense.png
369,Lucky Egg,Hold items,An item to be held by a Pokémon. It is an egg filled with happiness that earns extra Exp. Points in battle.,https://img.pokemondb.net/sprites/items/lucky-egg.png
370,Lucky Punch,Hold items,Increases critical-hit ratio when held by Chansey.,https://img.pokemondb.net/sprites/items/lucky-punch.png
371,Lum Berry,Berries,"If held by a Pokémon, it recovers from any status problem.",https://img.pokemondb.net/sprites/items/lum-berry.png
372,Luminous Moss,Hold items,Raises Special Defense if hit by a Water-type move.,https://img.pokemondb.net/sprites/items/luminous-moss.png
373,Lumiose Galette,Medicine,Heals all major status conditions.,https://img.pokemondb.net/sprites/items/lumiose-galette.png
374,Lunalium Z,Hold items,"Allows Lunala to upgrade Moongeist Beam to a Z-Move, Menacing Moonraze Maelstrom.",https://img.pokemondb.net/sprites/items/lunalium-z.png
375,Lure,General items,Attracts Pokémon in the wild.,https://img.pokemondb.net/s.png
376,Lure Ball,Pokeballs,A Poké Ball for catching Pokémon hooked by a Rod when fishing.,https://img.pokemondb.net/sprites/items/lure-ball.png
377,Lustrous Globe,Hold items,NA,https://img.pokemondb.net/s.png
378,Lustrous Orb,Hold items,Increases the power of Dragon- and Water-type moves when held by Palkia.,https://img.pokemondb.net/sprites/items/lustrous-orb.png
379,Luxury Ball,Pokeballs,A comfortable Poké Ball that makes a caught wild Pokémon quickly grow friendly.,https://img.pokemondb.net/sprites/items/luxury-ball.png
380,Lycanium Z,Hold items,"Allows Lycanroc to upgrade Stone Edge to a Z-Move, Splintered Stormshards.",https://img.pokemondb.net/sprites/items/lycanium-z.png
381,Macho Brace,Hold items,An item to be held by a Pokémon. It is a stiff and heavy brace that promotes strong growth but lowers Speed.,https://img.pokemondb.net/sprites/items/macho-brace.png
382,Magmarizer,General items,Evolves Magmar when traded holding the item.,https://img.pokemondb.net/sprites/items/magmarizer.png
383,Magnet,Hold items,Increases the power of Electric-type moves.,https://img.pokemondb.net/sprites/items/magnet.png
384,Mago Berry,Berries,"Restores HP if it's low, but may cause confusion.",https://img.pokemondb.net/sprites/items/mago-berry.png
385,Magost Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/magost-berry.png
386,Manectite,Hold items,Enables Manectric to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/manectite.png
387,Maranga Berry,Berries,"If held by a Pokémon, this Berry will increase the holder's Sp. Def if it's hit with a special move.",https://img.pokemondb.net/sprites/items/maranga-berry.png
388,Marble,General items,NA,https://img.pokemondb.net/s.png
389,Marsh Balm,General items,NA,https://img.pokemondb.net/s.png
390,Marshadium Z,Hold items,"Allows Marshadow to upgrade Spectral Thief to a Z-Move, Soul-Stealing 7-Star Strike.",https://img.pokemondb.net/sprites/items/marshadium-z.png
391,Master Ball,Pokeballs,The best Ball with the ultimate level of performance. It will catch any wild Pokémon without fail.,https://img.pokemondb.net/sprites/items/master-ball.png
392,Mawilite,Hold items,Enables Mawile to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/mawilite.png
393,Max Elixir,Medicine,It fully restores the PP of all the moves learned by the targeted Pokémon.,https://img.pokemondb.net/sprites/items/max-elixir.png
394,Max Ether,Medicine,It fully restores the PP of a single selected move that has been learned by the target Pokémon.,https://img.pokemondb.net/sprites/items/max-ether.png
395,Max Honey,General items,NA,https://img.pokemondb.net/s.png
396,Max Lure,General items,Attracts Pokémon in the wild.,https://img.pokemondb.net/s.png
397,Max Mushrooms,General items,NA,https://img.pokemondb.net/s.png
398,Max Potion,Medicine,Fully restores HP.,https://img.pokemondb.net/sprites/items/max-potion.png
399,Max Repel,General items,An item that prevents weak wild Pokémon from appearing for 250 steps after its use.,https://img.pokemondb.net/sprites/items/max-repel.png
400,Max Revive,Medicine,A medicine that revives a fainted Pokémon. It fully restores the Pokémon's HP.,https://img.pokemondb.net/sprites/items/max-revive.png
401,Meadow Plate,Hold items,Increases power of Grass-type moves. Changes Arceus' type to Grass.,https://img.pokemondb.net/sprites/items/meadow-plate.png
402,Medichamite,Hold items,Enables Medicham to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/medichamite.png
403,Medicinal Leek,General items,NA,https://img.pokemondb.net/s.png
404,Mental Herb,Hold items,An item to be held by a Pokémon. It snaps the holder out of infatuation. It can be used only once.,https://img.pokemondb.net/sprites/items/mental-herb.png
405,Metagrossite,Hold items,Enables Metagross to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/metagrossite.png
406,Metal Coat,Hold items,Increases the power of Steel-type moves. Evolves Onix and Scyther when traded holding the item.,https://img.pokemondb.net/sprites/items/metal-coat.png
407,Metal Powder,Hold items,Increases Defense when held by Ditto.,https://img.pokemondb.net/sprites/items/metal-powder.png
408,Metronome,Hold items,Increases the power of moves used consecutively.,https://img.pokemondb.net/sprites/items/metronome.png
409,Mewnium Z,Hold items,"Allows Mew to upgrade Psychic to a Z-Move, Genesis Supernova.",https://img.pokemondb.net/sprites/items/mewnium-z.png
410,Mewtwonite X,Hold items,Enables Mewtwo to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/mewtwonite-x.png
411,Mewtwonite Y,Hold items,Enables Mewtwo to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/mewtwonite-y.png
412,Micle Berry,Berries,Increases a move's accuracy when HP is low.,https://img.pokemondb.net/sprites/items/micle-berry.png
413,Mighty Candy,Medicine,Increases a Pokémon's Attack stat by 1.,https://img.pokemondb.net/sprites/items/mighty-candy.png
414,Mighty Candy L,Medicine,Increases a Pokémon's Attack stat.,https://img.pokemondb.net/sprites/items/mighty-candy-l.png
415,Mighty Candy XL,Medicine,Increases a Pokémon's Attack stat.,https://img.pokemondb.net/sprites/items/mighty-candy-xl.png
416,Mild Mint,Battle items,Changes the Pokémon's stats to match the Mild nature.,https://img.pokemondb.net/s.png
417,Mimikium Z,Hold items,"Allows Mimikyu to upgrade Play Rough to a Z-Move, Let's Snuggle Forever.",https://img.pokemondb.net/sprites/items/mimikium-z.png
418,Mind Plate,Hold items,Increases power of Psychic-type moves. Changes Arceus' type to Psychic.,https://img.pokemondb.net/sprites/items/mind-plate.png
419,Miracle Seed,Hold items,Increases the power of Grass-type moves.,https://img.pokemondb.net/sprites/items/miracle-seed.png
420,Misty Seed,Hold items,An item to be held by a Pokémon. It boosts Sp. Def on Misty Terrain. It can only be used once.,https://img.pokemondb.net/sprites/items/misty-seed.png
421,Mixed Mushrooms,General items,One of the many ingredients that can be used for cooking at your camp. The chewy texture of the mushrooms transforms any dish they’re added to.,https://img.pokemondb.net/s.png
422,Modest Mint,Battle items,Changes the Pokémon's stats to match the Modest nature.,https://img.pokemondb.net/s.png
423,Moomoo Cheese,General items,One of the many ingredients that can be used for cooking at your camp. Melted cheese can really give a curry some richness.,https://img.pokemondb.net/s.png
424,Moomoo Milk,Medicine,Milk with a very high nutrition content. It restores the HP of one Pokémon by 100 points.,https://img.pokemondb.net/sprites/items/moomoo-milk.png
425,Moon Ball,Pokeballs,A Poké Ball for catching Pokémon that evolve using the Moon Stone.,https://img.pokemondb.net/sprites/items/moon-ball.png
426,Moon Stone,General items,Evolves certain species of Pokémon.,https://img.pokemondb.net/sprites/items/moon-stone.png
427,Muscle Band,Hold items,Increases the power of Physical-category moves.,https://img.pokemondb.net/sprites/items/muscle-band.png
428,Muscle Wing,Medicine,Increases Attack EVs by 1.,https://img.pokemondb.net/sprites/items/muscle-wing.png
429,Mushroom Cake,General items,NA,https://img.pokemondb.net/s.png
430,Mystic Water,Hold items,Increases the power of Water-type moves.,https://img.pokemondb.net/sprites/items/mystic-water.png
431,Naive Mint,Battle items,Changes the Pokémon's stats to match the Naive nature.,https://img.pokemondb.net/s.png
432,Nanab Berry,Berries,"A Berry to be used in cooking. Calms a Pokémon in battle, in Let's Go Pikachu/Eevee.",https://img.pokemondb.net/sprites/items/nanab-berry.png
433,Naughty Mint,Battle items,Changes the Pokémon's stats to match the Naughty nature.,https://img.pokemondb.net/s.png
434,Nest Ball,Pokeballs,A somewhat different Poké Ball that works especially well on weaker Pokémon in the wild.,https://img.pokemondb.net/sprites/items/nest-ball.png
435,Net Ball,Pokeballs,A somewhat different Poké Ball that works especially well on Water- and Bug-type Pokémon.,https://img.pokemondb.net/sprites/items/net-ball.png
436,Never-Melt Ice,Hold items,Increases the power of Ice-type moves.,https://img.pokemondb.net/sprites/items/never-melt-ice.png
437,Nomel Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/nomel-berry.png
438,Normal Gem,Hold items,Increases the power of a Normal-type move only once.,https://img.pokemondb.net/sprites/items/normal-gem.png
439,Normalium Z,Hold items,"Allows the use of Breakneck Blitz, the Normal type Z-Move.",https://img.pokemondb.net/sprites/items/normalium-z.png
440,Nugget,General items,A nugget of pure gold that gives off a lustrous gleam. It can be sold at a high price to shops.,https://img.pokemondb.net/sprites/items/nugget.png
441,Occa Berry,Berries,Weakens a supereffective Fire-type attack against the holding Pokémon.,https://img.pokemondb.net/sprites/items/occa-berry.png
442,Odd Incense,Hold items,Increases the power of Psychic-type moves. Breeding Mr. Mime produces Mime Jr. when held.,https://img.pokemondb.net/sprites/items/odd-incense.png
443,Odd Keystone,General items,A vital item that is needed to keep a stone tower from collapsing. Voices can be heard from it occasionally.,https://img.pokemondb.net/sprites/items/odd-keystone.png
444,Old Amber,General items,A piece of amber that contains the genetic material of an ancient Pokémon. It is clear with a reddish tint.,https://img.pokemondb.net/sprites/items/old-amber.png
445,Old Gateau,Medicine,Heals all major status conditions.,https://img.pokemondb.net/sprites/items/old-gateau.png
446,Oran Berry,Berries,"If held by a Pokémon, it heals the user by just 10 HP.",https://img.pokemondb.net/sprites/items/oran-berry.png
447,Origin Ball,Pokeballs,NA,https://img.pokemondb.net/s.png
448,Origin Ore,General items,NA,https://img.pokemondb.net/s.png
449,Oval Charm,General items,An oval charm said to increase the chance of Pokémon Eggs being found at the Day Care.,https://img.pokemondb.net/sprites/items/oval-charm.png
450,Oval Stone,General items,Evolves Happiny when held.,https://img.pokemondb.net/sprites/items/oval-stone.png
451,Pack of Potatoes,General items,"One of the many ingredients that can be used for cooking at your camp. Potatoes help mellow out a spicy taste, to make a dish more mild.",https://img.pokemondb.net/s.png
452,Packaged Curry,General items,One of the many ingredients that can be used for cooking at your camp. Using packaged curry helps make sure there are no slipups when cooking.,https://img.pokemondb.net/s.png
453,Pamtre Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/pamtre-berry.png
454,Paralyze Heal,Medicine,A spray-type medicine. It eliminates paralysis from a single Pokémon.,https://img.pokemondb.net/sprites/items/paralyze-heal.png
