,#,Name,Type1,Type2,Variant,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,sprite_url
203,154,Meganium,Grass,NA,NA,525,80,82,100,83,100,80,https://img.pokemondb.net/sprites/sword-shield/icon/meganium.png
204,155,Cyndaquil,Fire,NA,NA,309,39,52,43,60,50,65,https://img.pokemondb.net/sprites/sword-shield/icon/cyndaquil.png
205,156,Quilava,Fire,NA,NA,405,58,64,58,80,65,80,https://img.pokemondb.net/sprites/sword-shield/icon/quilava.png
206,157,Typhlosion,Fire,NA,NA,534,78,84,78,109,85,100,https://img.pokemondb.net/sprites/sword-shield/icon/typhlosion.png
207,157,Typhlosion,Fire,Ghost,Hisuian Typhlosion,534,73,84,78,119,85,95,https://img.pokemondb.net/s.png
208,158,Totodile,Water,NA,NA,314,50,65,64,44,48,43,https://img.pokemondb.net/sprites/sword-shield/icon/totodile.png
209,159,Croconaw,Water,NA,NA,405,65,80,80,59,63,58,https://img.pokemondb.net/sprites/sword-shield/icon/croconaw.png
210,160,Feraligatr,Water,NA,NA,530,85,105,100,79,83,78,https://img.pokemondb.net/sprites/sword-shield/icon/feraligatr.png
211,161,Sentret,Normal,NA,NA,215,35,46,34,35,45,20,https://img.pokemondb.net/sprites/sword-shield/icon/sentret.png
212,162,Furret,Normal,NA,NA,415,85,76,64,45,55,90,https://img.pokemondb.net/sprites/sword-shield/icon/furret.png
213,163,Hoothoot,Normal,Flying,NA,262,60,30,30,36,56,50,https://img.pokemondb.net/sprites/sword-shield/icon/hoothoot.png
214,164,Noctowl,Normal,Flying,NA,452,100,50,50,86,96,70,https://img.pokemondb.net/sprites/sword-shield/icon/noctowl.png
215,165,Ledyba,Bug,Flying,NA,265,40,20,30,40,80,55,https://img.pokemondb.net/sprites/sword-shield/icon/ledyba.png
216,166,Ledian,Bug,Flying,NA,390,55,35,50,55,110,85,https://img.pokemondb.net/sprites/sword-shield/icon/ledian.png
217,167,Spinarak,Bug,Poison,NA,250,40,60,40,40,40,30,https://img.pokemondb.net/sprites/sword-shield/icon/spinarak.png
218,168,Ariados,Bug,Poison,NA,400,70,90,70,60,70,40,https://img.pokemondb.net/sprites/sword-shield/icon/ariados.png
219,169,Crobat,Poison,Flying,NA,535,85,90,80,70,80,130,https://img.pokemondb.net/sprites/sword-shield/icon/crobat.png
220,170,Chinchou,Water,Electric,NA,330,75,38,38,56,56,67,https://img.pokemondb.net/sprites/sword-shield/icon/chinchou.png
221,171,Lanturn,Water,Electric,NA,460,125,58,58,76,76,67,https://img.pokemondb.net/sprites/sword-shield/icon/lanturn.png
222,172,Pichu,Electric,NA,NA,205,20,40,15,35,35,60,https://img.pokemondb.net/sprites/sword-shield/icon/pichu.png
223,173,Cleffa,Fairy,NA,NA,218,50,25,28,45,55,15,https://img.pokemondb.net/sprites/sword-shield/icon/cleffa.png
224,174,Igglybuff,Normal,Fairy,NA,210,90,30,15,40,20,15,https://img.pokemondb.net/sprites/sword-shield/icon/igglybuff.png
225,175,Togepi,Fairy,NA,NA,245,35,20,65,40,65,20,https://img.pokemondb.net/sprites/sword-shield/icon/togepi.png
226,176,Togetic,Fairy,Flying,NA,405,55,40,85,80,105,40,https://img.pokemondb.net/sprites/sword-shield/icon/togetic.png
227,177,Natu,Psychic,Flying,NA,320,40,50,45,70,45,70,https://img.pokemondb.net/sprites/sword-shield/icon/natu.png
228,178,Xatu,Psychic,Flying,NA,470,65,75,70,95,70,95,https://img.pokemondb.net/sprites/sword-shield/icon/xatu.png
229,179,Mareep,Electric,NA,NA,280,55,40,40,65,45,35,https://img.pokemondb.net/sprites/sword-shield/icon/mareep.png
230,180,Flaaffy,Electric,NA,NA,365,70,55,55,80,60,45,https://img.pokemondb.net/sprites/sword-shield/icon/flaaffy.png
231,181,Ampharos,Electric,NA,NA,510,90,75,85,115,90,55,https://img.pokemondb.net/sprites/sword-shield/icon/ampharos.png
232,181,Ampharos,Electric,Dragon,Mega Ampharos,610,90,95,105,165,110,45,https://img.pokemondb.net/sprites/sword-shield/icon/ampharos-mega.png
233,182,Bellossom,Grass,NA,NA,490,75,80,95,90,100,50,https://img.pokemondb.net/sprites/sword-shield/icon/bellossom.png
234,183,Marill,Water,Fairy,NA,250,70,20,50,20,50,40,https://img.pokemondb.net/sprites/sword-shield/icon/marill.png
235,184,Azumarill,Water,Fairy,NA,420,100,50,80,60,80,50,https://img.pokemondb.net/sprites/sword-shield/icon/azumarill.png
236,185,Sudowoodo,Rock,NA,NA,410,70,100,115,30,65,30,https://img.pokemondb.net/sprites/sword-shield/icon/sudowoodo.png
237,186,Politoed,Water,NA,NA,500,90,75,75,90,100,70,https://img.pokemondb.net/sprites/sword-shield/icon/politoed.png
238,187,Hoppip,Grass,Flying,NA,250,35,35,40,35,55,50,https://img.pokemondb.net/sprites/sword-shield/icon/hoppip.png
239,188,Skiploom,Grass,Flying,NA,340,55,45,50,45,65,80,https://img.pokemondb.net/sprites/sword-shield/icon/skiploom.png
240,189,Jumpluff,Grass,Flying,NA,460,75,55,70,55,95,110,https://img.pokemondb.net/sprites/sword-shield/icon/jumpluff.png
241,190,Aipom,Normal,NA,NA,360,55,70,55,40,55,85,https://img.pokemondb.net/sprites/sword-shield/icon/aipom.png
242,191,Sunkern,Grass,NA,NA,180,30,30,30,30,30,30,https://img.pokemondb.net/sprites/sword-shield/icon/sunkern.png
243,192,Sunflora,Grass,NA,NA,425,75,75,55,105,85,30,https://img.pokemondb.net/sprites/sword-shield/icon/sunflora.png
244,193,Yanma,Bug,Flying,NA,390,65,65,45,75,45,95,https://img.pokemondb.net/sprites/sword-shield/icon/yanma.png
245,194,Wooper,Water,Ground,NA,210,55,45,45,25,25,15,https://img.pokemondb.net/sprites/sword-shield/icon/wooper.png
246,195,Quagsire,Water,Ground,NA,430,95,85,85,65,65,35,https://img.pokemondb.net/sprites/sword-shield/icon/quagsire.png
247,196,Espeon,Psychic,NA,NA,525,65,65,60,130,95,110,https://img.pokemondb.net/sprites/sword-shield/icon/espeon.png
248,197,Umbreon,Dark,NA,NA,525,95,65,110,60,130,65,https://img.pokemondb.net/sprites/sword-shield/icon/umbreon.png
249,198,Murkrow,Dark,Flying,NA,405,60,85,42,85,42,91,https://img.pokemondb.net/sprites/sword-shield/icon/murkrow.png
250,199,Slowking,Water,Psychic,NA,490,95,75,80,100,110,30,https://img.pokemondb.net/sprites/sword-shield/icon/slowking.png
251,199,Slowking,Poison,Psychic,Galarian Slowking,490,95,65,80,110,110,30,https://img.pokemondb.net/sprites/sword-shield/icon/slowking-galarian.png
252,200,Misdreavus,Ghost,NA,NA,435,60,60,60,85,85,85,https://img.pokemondb.net/sprites/sword-shield/icon/misdreavus.png
253,201,Unown,Psychic,NA,NA,336,48,72,48,72,48,48,https://img.pokemondb.net/sprites/sword-shield/icon/unown.png
254,202,Wobbuffet,Psychic,NA,NA,405,190,33,58,33,58,33,https://img.pokemondb.net/sprites/sword-shield/icon/wobbuffet.png
255,203,Girafarig,Normal,Psychic,NA,455,70,80,65,90,65,85,https://img.pokemondb.net/sprites/sword-shield/icon/girafarig.png
256,204,Pineco,Bug,NA,NA,290,50,65,90,35,35,15,https://img.pokemondb.net/sprites/sword-shield/icon/pineco.png
257,205,Forretress,Bug,Steel,NA,465,75,90,140,60,60,40,https://img.pokemondb.net/sprites/sword-shield/icon/forretress.png
258,206,Dunsparce,Normal,NA,NA,415,100,70,70,65,65,45,https://img.pokemondb.net/sprites/sword-shield/icon/dunsparce.png
259,207,Gligar,Ground,Flying,NA,430,65,75,105,35,65,85,https://img.pokemondb.net/sprites/sword-shield/icon/gligar.png
260,208,Steelix,Steel,Ground,NA,510,75,85,200,55,65,30,https://img.pokemondb.net/sprites/sword-shield/icon/steelix.png
261,208,Steelix,Steel,Ground,Mega Steelix,610,75,125,230,55,95,30,https://img.pokemondb.net/sprites/sword-shield/icon/steelix-mega.png
262,209,Snubbull,Fairy,NA,NA,300,60,80,50,40,40,30,https://img.pokemondb.net/sprites/sword-shield/icon/snubbull.png
263,210,Granbull,Fairy,NA,NA,450,90,120,75,60,60,45,https://img.pokemondb.net/sprites/sword-shield/icon/granbull.png
264,211,Qwilfish,Water,Poison,NA,440,65,95,85,55,55,85,https://img.pokemondb.net/sprites/sword-shield/icon/qwilfish.png
265,211,Qwilfish,Dark,Poison,Hisuian Qwilfish,440,65,95,85,55,55,85,https://img.pokemondb.net/s.png
266,212,Scizor,Bug,Steel,NA,500,70,130,100,55,80,65,https://img.pokemondb.net/sprites/sword-shield/icon/scizor.png
267,212,Scizor,Bug,Steel,Mega Scizor,600,70,150,140,65,100,75,https://img.pokemondb.net/sprites/sword-shield/icon/scizor-mega.png
268,213,Shuckle,Bug,Rock,NA,505,20,10,230,10,230,5,https://img.pokemondb.net/sprites/sword-shield/icon/shuckle.png
269,214,Heracross,Bug,Fighting,NA,500,80,125,75,40,95,85,https://img.pokemondb.net/sprites/sword-shield/icon/heracross.png
270,214,Heracross,Bug,Fighting,Mega Heracross,600,80,185,115,40,105,75,https://img.pokemondb.net/sprites/sword-shield/icon/heracross-mega.png
271,215,Sneasel,Dark,Ice,NA,430,55,95,55,35,75,115,https://img.pokemondb.net/sprites/sword-shield/icon/sneasel.png
272,215,Sneasel,Poison,Fighting,Hisuian Sneasel,430,55,95,55,35,75,115,https://img.pokemondb.net/s.png
273,216,Teddiursa,Normal,NA,NA,330,60,80,50,50,50,40,https://img.pokemondb.net/sprites/sword-shield/icon/teddiursa.png
274,217,Ursaring,Normal,NA,NA,500,90,130,75,75,75,55,https://img.pokemondb.net/sprites/sword-shield/icon/ursaring.png
275,218,Slugma,Fire,NA,NA,250,40,40,40,70,40,20,https://img.pokemondb.net/sprites/sword-shield/icon/slugma.png
276,219,Magcargo,Fire,Rock,NA,430,60,50,120,90,80,30,https://img.pokemondb.net/sprites/sword-shield/icon/magcargo.png
277,220,Swinub,Ice,Ground,NA,250,50,50,40,30,30,50,https://img.pokemondb.net/sprites/sword-shield/icon/swinub.png
278,221,Piloswine,Ice,Ground,NA,450,100,100,80,60,60,50,https://img.pokemondb.net/sprites/sword-shield/icon/piloswine.png
279,222,Corsola,Water,Rock,NA,410,65,55,95,65,95,35,https://img.pokemondb.net/sprites/sword-shield/icon/corsola.png
280,222,Corsola,Ghost,NA,Galarian Corsola,410,60,55,100,65,100,30,https://img.pokemondb.net/sprites/sword-shield/icon/corsola-galarian.png
281,223,Remoraid,Water,NA,NA,300,35,65,35,65,35,65,https://img.pokemondb.net/sprites/sword-shield/icon/remoraid.png
282,224,Octillery,Water,NA,NA,480,75,105,75,105,75,45,https://img.pokemondb.net/sprites/sword-shield/icon/octillery.png
283,225,Delibird,Ice,Flying,NA,330,45,55,45,65,45,75,https://img.pokemondb.net/sprites/sword-shield/icon/delibird.png
284,226,Mantine,Water,Flying,NA,485,85,40,70,80,140,70,https://img.pokemondb.net/sprites/sword-shield/icon/mantine.png
285,227,Skarmory,Steel,Flying,NA,465,65,80,140,40,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/skarmory.png
286,228,Houndour,Dark,Fire,NA,330,45,60,30,80,50,65,https://img.pokemondb.net/sprites/sword-shield/icon/houndour.png
287,229,Houndoom,Dark,Fire,NA,500,75,90,50,110,80,95,https://img.pokemondb.net/sprites/sword-shield/icon/houndoom.png
288,229,Houndoom,Dark,Fire,Mega Houndoom,600,75,90,90,140,90,115,https://img.pokemondb.net/sprites/sword-shield/icon/houndoom-mega.png
289,230,Kingdra,Water,Dragon,NA,540,75,95,95,95,95,85,https://img.pokemondb.net/sprites/sword-shield/icon/kingdra.png
290,231,Phanpy,Ground,NA,NA,330,90,60,60,40,40,40,https://img.pokemondb.net/sprites/sword-shield/icon/phanpy.png
291,232,Donphan,Ground,NA,NA,500,90,120,120,60,60,50,https://img.pokemondb.net/sprites/sword-shield/icon/donphan.png
292,233,Porygon2,Normal,NA,NA,515,85,80,90,105,95,60,https://img.pokemondb.net/sprites/sword-shield/icon/porygon2.png
293,234,Stantler,Normal,NA,NA,465,73,95,62,85,65,85,https://img.pokemondb.net/sprites/sword-shield/icon/stantler.png
294,235,Smeargle,Normal,NA,NA,250,55,20,35,20,45,75,https://img.pokemondb.net/sprites/sword-shield/icon/smeargle.png
295,236,Tyrogue,Fighting,NA,NA,210,35,35,35,35,35,35,https://img.pokemondb.net/sprites/sword-shield/icon/tyrogue.png
296,237,Hitmontop,Fighting,NA,NA,455,50,95,95,35,110,70,https://img.pokemondb.net/sprites/sword-shield/icon/hitmontop.png
297,238,Smoochum,Ice,Psychic,NA,305,45,30,15,85,65,65,https://img.pokemondb.net/sprites/sword-shield/icon/smoochum.png
298,239,Elekid,Electric,NA,NA,360,45,63,37,65,55,95,https://img.pokemondb.net/sprites/sword-shield/icon/elekid.png
299,240,Magby,Fire,NA,NA,365,45,75,37,70,55,83,https://img.pokemondb.net/sprites/sword-shield/icon/magby.png
300,241,Miltank,Normal,NA,NA,490,95,80,105,40,70,100,https://img.pokemondb.net/sprites/sword-shield/icon/miltank.png
301,242,Blissey,Normal,NA,NA,540,255,10,10,75,135,55,https://img.pokemondb.net/sprites/sword-shield/icon/blissey.png
302,243,Raikou,Electric,NA,NA,580,90,85,75,115,100,115,https://img.pokemondb.net/sprites/sword-shield/icon/raikou.png
303,244,Entei,Fire,NA,NA,580,115,115,85,90,75,100,https://img.pokemondb.net/sprites/sword-shield/icon/entei.png
304,245,Suicune,Water,NA,NA,580,100,75,115,90,115,85,https://img.pokemondb.net/sprites/sword-shield/icon/suicune.png
305,246,Larvitar,Rock,Ground,NA,300,50,64,50,45,50,41,https://img.pokemondb.net/sprites/sword-shield/icon/larvitar.png
306,247,Pupitar,Rock,Ground,NA,410,70,84,70,65,70,51,https://img.pokemondb.net/sprites/sword-shield/icon/pupitar.png
307,248,Tyranitar,Rock,Dark,NA,600,100,134,110,95,100,61,https://img.pokemondb.net/sprites/sword-shield/icon/tyranitar.png
308,248,Tyranitar,Rock,Dark,Mega Tyranitar,700,100,164,150,95,120,71,https://img.pokemondb.net/sprites/sword-shield/icon/tyranitar-mega.png
309,249,Lugia,Psychic,Flying,NA,680,106,90,130,90,154,110,https://img.pokemondb.net/sprites/sword-shield/icon/lugia.png
310,250,Ho-oh,Fire,Flying,NA,680,106,130,90,110,154,90,https://img.pokemondb.net/sprites/sword-shield/icon/ho-oh.png
311,251,Celebi,Psychic,Grass,NA,600,100,100,100,100,100,100,https://img.pokemondb.net/sprites/sword-shield/icon/celebi.png
312,252,Treecko,Grass,NA,NA,310,40,45,35,65,55,70,https://img.pokemondb.net/sprites/sword-shield/icon/treecko.png
313,253,Grovyle,Grass,NA,NA,405,50,65,45,85,65,95,https://img.pokemondb.net/sprites/sword-shield/icon/grovyle.png
314,254,Sceptile,Grass,NA,NA,530,70,85,65,105,85,120,https://img.pokemondb.net/sprites/sword-shield/icon/sceptile.png
315,254,Sceptile,Grass,Dragon,Mega Sceptile,630,70,110,75,145,85,145,https://img.pokemondb.net/sprites/sword-shield/icon/sceptile-mega.png
316,255,Torchic,Fire,NA,NA,310,45,60,40,70,50,45,https://img.pokemondb.net/sprites/sword-shield/icon/torchic.png
317,256,Combusken,Fire,Fighting,NA,405,60,85,60,85,60,55,https://img.pokemondb.net/sprites/sword-shield/icon/combusken.png
318,257,Blaziken,Fire,Fighting,NA,530,80,120,70,110,70,80,https://img.pokemondb.net/sprites/sword-shield/icon/blaziken.png
319,257,Blaziken,Fire,Fighting,Mega Blaziken,630,80,160,80,130,80,100,https://img.pokemondb.net/sprites/sword-shield/icon/blaziken-mega.png
320,258,Mudkip,Water,NA,NA,310,50,70,50,50,50,40,https://img.pokemondb.net/sprites/sword-shield/icon/mudkip.png
321,259,Marshtomp,Water,Ground,NA,405,70,85,70,60,70,50,https://img.pokemondb.net/sprites/sword-shield/icon/marshtomp.png
322,260,Swampert,Water,Ground,NA,535,100,110,90,85,90,60,https://img.pokemondb.net/sprites/sword-shield/icon/swampert.png
323,260,Swampert,Water,Ground,Mega Swampert,635,100,150,110,95,110,70,https://img.pokemondb.net/sprites/sword-shield/icon/swampert-mega.png
324,261,Poochyena,Dark,NA,NA,220,35,55,35,30,30,35,https://img.pokemondb.net/sprites/sword-shield/icon/poochyena.png
325,262,Mightyena,Dark,NA,NA,420,70,90,70,60,60,70,https://img.pokemondb.net/sprites/sword-shield/icon/mightyena.png
326,263,Zigzagoon,Normal,NA,NA,240,38,30,41,30,41,60,https://img.pokemondb.net/sprites/sword-shield/icon/zigzagoon.png
327,263,Zigzagoon,Dark,Normal,Galarian Zigzagoon,240,38,30,41,30,41,60,https://img.pokemondb.net/sprites/sword-shield/icon/zigzagoon-galarian.png
328,264,Linoone,Normal,NA,NA,420,78,70,61,50,61,100,https://img.pokemondb.net/sprites/sword-shield/icon/linoone.png
329,264,Linoone,Dark,Normal,Galarian Linoone,420,78,70,61,50,61,100,https://img.pokemondb.net/sprites/sword-shield/icon/linoone-galarian.png
330,265,Wurmple,Bug,NA,NA,195,45,45,35,20,30,20,https://img.pokemondb.net/sprites/sword-shield/icon/wurmple.png
331,266,Silcoon,Bug,NA,NA,205,50,35,55,25,25,15,https://img.pokemondb.net/sprites/sword-shield/icon/silcoon.png
332,267,Beautifly,Bug,Flying,NA,395,60,70,50,100,50,65,https://img.pokemondb.net/sprites/sword-shield/icon/beautifly.png
333,268,Cascoon,Bug,NA,NA,205,50,35,55,25,25,15,https://img.pokemondb.net/sprites/sword-shield/icon/cascoon.png
334,269,Dustox,Bug,Poison,NA,385,60,50,70,50,90,65,https://img.pokemondb.net/sprites/sword-shield/icon/dustox.png
335,270,Lotad,Water,Grass,NA,220,40,30,30,40,50,30,https://img.pokemondb.net/sprites/sword-shield/icon/lotad.png
336,271,Lombre,Water,Grass,NA,340,60,50,50,60,70,50,https://img.pokemondb.net/sprites/sword-shield/icon/lombre.png
337,272,Ludicolo,Water,Grass,NA,480,80,70,70,90,100,70,https://img.pokemondb.net/sprites/sword-shield/icon/ludicolo.png
338,273,Seedot,Grass,NA,NA,220,40,40,50,30,30,30,https://img.pokemondb.net/sprites/sword-shield/icon/seedot.png
339,274,Nuzleaf,Grass,Dark,NA,340,70,70,40,60,40,60,https://img.pokemondb.net/sprites/sword-shield/icon/nuzleaf.png
340,275,Shiftry,Grass,Dark,NA,480,90,100,60,90,60,80,https://img.pokemondb.net/sprites/sword-shield/icon/shiftry.png
341,276,Taillow,Normal,Flying,NA,270,40,55,30,30,30,85,https://img.pokemondb.net/sprites/sword-shield/icon/taillow.png
342,277,Swellow,Normal,Flying,NA,455,60,85,60,75,50,125,https://img.pokemondb.net/sprites/sword-shield/icon/swellow.png
343,278,Wingull,Water,Flying,NA,270,40,30,30,55,30,85,https://img.pokemondb.net/sprites/sword-shield/icon/wingull.png
344,279,Pelipper,Water,Flying,NA,440,60,50,100,95,70,65,https://img.pokemondb.net/sprites/sword-shield/icon/pelipper.png
345,280,Ralts,Psychic,Fairy,NA,198,28,25,25,45,35,40,https://img.pokemondb.net/sprites/sword-shield/icon/ralts.png
346,281,Kirlia,Psychic,Fairy,NA,278,38,35,35,65,55,50,https://img.pokemondb.net/sprites/sword-shield/icon/kirlia.png
347,282,Gardevoir,Psychic,Fairy,NA,518,68,65,65,125,115,80,https://img.pokemondb.net/sprites/sword-shield/icon/gardevoir.png
348,282,Gardevoir,Psychic,Fairy,Mega Gardevoir,618,68,85,65,165,135,100,https://img.pokemondb.net/sprites/sword-shield/icon/gardevoir-mega.png
349,283,Surskit,Bug,Water,NA,269,40,30,32,50,52,65,https://img.pokemondb.net/sprites/sword-shield/icon/surskit.png
350,284,Masquerain,Bug,Flying,NA,454,70,60,62,100,82,80,https://img.pokemondb.net/sprites/sword-shield/icon/masquerain.png
351,285,Shroomish,Grass,NA,NA,295,60,40,60,40,60,35,https://img.pokemondb.net/sprites/sword-shield/icon/shroomish.png
352,286,Breloom,Grass,Fighting,NA,460,60,130,80,60,60,70,https://img.pokemondb.net/sprites/sword-shield/icon/breloom.png
353,287,Slakoth,Normal,NA,NA,280,60,60,60,35,35,30,https://img.pokemondb.net/sprites/sword-shield/icon/slakoth.png
354,288,Vigoroth,Normal,NA,NA,440,80,80,80,55,55,90,https://img.pokemondb.net/sprites/sword-shield/icon/vigoroth.png
355,289,Slaking,Normal,NA,NA,670,150,160,100,95,65,100,https://img.pokemondb.net/sprites/sword-shield/icon/slaking.png
356,290,Nincada,Bug,Ground,NA,266,31,45,90,30,30,40,https://img.pokemondb.net/sprites/sword-shield/icon/nincada.png
357,291,Ninjask,Bug,Flying,NA,456,61,90,45,50,50,160,https://img.pokemondb.net/sprites/sword-shield/icon/ninjask.png
358,292,Shedinja,Bug,Ghost,NA,236,1,90,45,30,30,40,https://img.pokemondb.net/sprites/sword-shield/icon/shedinja.png
359,293,Whismur,Normal,NA,NA,240,64,51,23,51,23,28,https://img.pokemondb.net/sprites/sword-shield/icon/whismur.png
360,294,Loudred,Normal,NA,NA,360,84,71,43,71,43,48,https://img.pokemondb.net/sprites/sword-shield/icon/loudred.png
361,295,Exploud,Normal,NA,NA,490,104,91,63,91,73,68,https://img.pokemondb.net/sprites/sword-shield/icon/exploud.png
362,296,Makuhita,Fighting,NA,NA,237,72,60,30,20,30,25,https://img.pokemondb.net/sprites/sword-shield/icon/makuhita.png
363,297,Hariyama,Fighting,NA,NA,474,144,120,60,40,60,50,https://img.pokemondb.net/sprites/sword-shield/icon/hariyama.png
364,298,Azurill,Normal,Fairy,NA,190,50,20,40,20,40,20,https://img.pokemondb.net/sprites/sword-shield/icon/azurill.png
365,299,Nosepass,Rock,NA,NA,375,30,45,135,45,90,30,https://img.pokemondb.net/sprites/sword-shield/icon/nosepass.png
366,300,Skitty,Normal,NA,NA,260,50,45,45,35,35,50,https://img.pokemondb.net/sprites/sword-shield/icon/skitty.png
367,301,Delcatty,Normal,NA,NA,400,70,65,65,55,55,90,https://img.pokemondb.net/sprites/sword-shield/icon/delcatty.png
368,302,Sableye,Dark,Ghost,NA,380,50,75,75,65,65,50,https://img.pokemondb.net/sprites/sword-shield/icon/sableye.png
369,302,Sableye,Dark,Ghost,Mega Sableye,480,50,85,125,85,115,20,https://img.pokemondb.net/sprites/sword-shield/icon/sableye-mega.png
370,303,Mawile,Steel,Fairy,NA,380,50,85,85,55,55,50,https://img.pokemondb.net/sprites/sword-shield/icon/mawile.png
371,303,Mawile,Steel,Fairy,Mega Mawile,480,50,105,125,55,95,50,https://img.pokemondb.net/sprites/sword-shield/icon/mawile-mega.png
372,304,Aron,Steel,Rock,NA,330,50,70,100,40,40,30,https://img.pokemondb.net/sprites/sword-shield/icon/aron.png
373,305,Lairon,Steel,Rock,NA,430,60,90,140,50,50,40,https://img.pokemondb.net/sprites/sword-shield/icon/lairon.png
374,306,Aggron,Steel,Rock,NA,530,70,110,180,60,60,50,https://img.pokemondb.net/sprites/sword-shield/icon/aggron.png
375,306,Aggron,Steel,NA,Mega Aggron,630,70,140,230,60,80,50,https://img.pokemondb.net/sprites/sword-shield/icon/aggron-mega.png
376,307,Meditite,Fighting,Psychic,NA,280,30,40,55,40,55,60,https://img.pokemondb.net/sprites/sword-shield/icon/meditite.png
377,308,Medicham,Fighting,Psychic,NA,410,60,60,75,60,75,80,https://img.pokemondb.net/sprites/sword-shield/icon/medicham.png
378,308,Medicham,Fighting,Psychic,Mega Medicham,510,60,100,85,80,85,100,https://img.pokemondb.net/sprites/sword-shield/icon/medicham-mega.png
379,309,Electrike,Electric,NA,NA,295,40,45,40,65,40,65,https://img.pokemondb.net/sprites/sword-shield/icon/electrike.png
380,310,Manectric,Electric,NA,NA,475,70,75,60,105,60,105,https://img.pokemondb.net/sprites/sword-shield/icon/manectric.png
381,310,Manectric,Electric,NA,Mega Manectric,575,70,75,80,135,80,135,https://img.pokemondb.net/sprites/sword-shield/icon/manectric-mega.png
382,311,Plusle,Electric,NA,NA,405,60,50,40,85,75,95,https://img.pokemondb.net/sprites/sword-shield/icon/plusle.png
383,312,Minun,Electric,NA,NA,405,60,40,50,75,85,95,https://img.pokemondb.net/sprites/sword-shield/icon/minun.png
384,313,Volbeat,Bug,NA,NA,430,65,73,75,47,85,85,https://img.pokemondb.net/sprites/sword-shield/icon/volbeat.png
385,314,Illumise,Bug,NA,NA,430,65,47,75,73,85,85,https://img.pokemondb.net/sprites/sword-shield/icon/illumise.png
386,315,Roselia,Grass,Poison,NA,400,50,60,45,100,80,65,https://img.pokemondb.net/sprites/sword-shield/icon/roselia.png
387,316,Gulpin,Poison,NA,NA,302,70,43,53,43,53,40,https://img.pokemondb.net/sprites/sword-shield/icon/gulpin.png
388,317,Swalot,Poison,NA,NA,467,100,73,83,73,83,55,https://img.pokemondb.net/sprites/sword-shield/icon/swalot.png
389,318,Carvanha,Water,Dark,NA,305,45,90,20,65,20,65,https://img.pokemondb.net/sprites/sword-shield/icon/carvanha.png
390,319,Sharpedo,Water,Dark,NA,460,70,120,40,95,40,95,https://img.pokemondb.net/sprites/sword-shield/icon/sharpedo.png
391,319,Sharpedo,Water,Dark,Mega Sharpedo,560,70,140,70,110,65,105,https://img.pokemondb.net/sprites/sword-shield/icon/sharpedo-mega.png
392,320,Wailmer,Water,NA,NA,400,130,70,35,70,35,60,https://img.pokemondb.net/sprites/sword-shield/icon/wailmer.png
393,321,Wailord,Water,NA,NA,500,170,90,45,90,45,60,https://img.pokemondb.net/sprites/sword-shield/icon/wailord.png
394,322,Numel,Fire,Ground,NA,305,60,60,40,65,45,35,https://img.pokemondb.net/sprites/sword-shield/icon/numel.png
395,323,Camerupt,Fire,Ground,NA,460,70,100,70,105,75,40,https://img.pokemondb.net/sprites/sword-shield/icon/camerupt.png
396,323,Camerupt,Fire,Ground,Mega Camerupt,560,70,120,100,145,105,20,https://img.pokemondb.net/sprites/sword-shield/icon/camerupt-mega.png
397,324,Torkoal,Fire,NA,NA,470,70,85,140,85,70,20,https://img.pokemondb.net/sprites/sword-shield/icon/torkoal.png
398,325,Spoink,Psychic,NA,NA,330,60,25,35,70,80,60,https://img.pokemondb.net/sprites/sword-shield/icon/spoink.png
399,326,Grumpig,Psychic,NA,NA,470,80,45,65,90,110,80,https://img.pokemondb.net/sprites/sword-shield/icon/grumpig.png
400,327,Spinda,Normal,NA,NA,360,60,60,60,60,60,60,https://img.pokemondb.net/sprites/sword-shield/icon/spinda.png
401,328,Trapinch,Ground,NA,NA,290,45,100,45,45,45,10,https://img.pokemondb.net/sprites/sword-shield/icon/trapinch.png
402,329,Vibrava,Ground,Dragon,NA,340,50,70,50,50,50,70,https://img.pokemondb.net/sprites/sword-shield/icon/vibrava.png
403,330,Flygon,Ground,Dragon,NA,520,80,100,80,80,80,100,https://img.pokemondb.net/sprites/sword-shield/icon/flygon.png
404,331,Cacnea,Grass,NA,NA,335,50,85,40,85,40,35,https://img.pokemondb.net/sprites/sword-shield/icon/cacnea.png
405,332,Cacturne,Grass,Dark,NA,475,70,115,60,115,60,55,https://img.pokemondb.net/sprites/sword-shield/icon/cacturne.png
406,333,Swablu,Normal,Flying,NA,310,45,40,60,40,75,50,https://img.pokemondb.net/sprites/sword-shield/icon/swablu.png
407,334,Altaria,Dragon,Flying,NA,490,75,70,90,70,105,80,https://img.pokemondb.net/sprites/sword-shield/icon/altaria.png
408,334,Altaria,Dragon,Fairy,Mega Altaria,590,75,110,110,110,105,80,https://img.pokemondb.net/sprites/sword-shield/icon/altaria-mega.png
409,335,Zangoose,Normal,NA,NA,458,73,115,60,60,60,90,https://img.pokemondb.net/sprites/sword-shield/icon/zangoose.png
410,336,Seviper,Poison,NA,NA,458,73,100,60,100,60,65,https://img.pokemondb.net/sprites/sword-shield/icon/seviper.png
