,Name,Type,Cat.,Power,Acc.,PP,TM,Effect,Prob. (%)
312,Geomancy,Fairy,NA,—,—,10,NA,"Charges on first turn, sharply raises user's Sp. Attack, Sp. Defense and Speed on the second.",—
313,Giga Drain,Grass,NA,75,100,10,NA,User recovers half the HP inflicted on opponent.,—
314,Giga Impact,Normal,NA,150,90,5,NA,User must recharge next turn.,—
315,Gigavolt Havoc,Electric,—,—,—,1,NA,Electric type Z-Move.,—
316,Glacial Lance,Ice,NA,130,100,5,NA,The user attacks by hurling a blizzard-cloaked icicle lance at opposing Pokémon.,—
317,Glaciate,Ice,NA,65,95,10,NA,Lowers opponent's Speed.,100
318,Glare,Normal,NA,—,100,30,NA,Paralyzes opponent.,—
319,Glitzy Glow,Psychic,NA,90,100,15,NA,Reduces damage from Special attacks.,—
320,Grass Knot,Grass,NA,—,100,20,NA,"The heavier the opponent, the stronger the attack.",—
321,Grass Pledge,Grass,NA,80,100,10,NA,Added effects appear if preceded by Water Pledge or succeeded by Fire Pledge.,—
322,Grass Whistle,Grass,NA,—,55,15,NA,Puts opponent to sleep.,—
323,Grassy Glide,Grass,NA,70,100,20,NA,High priority during Grassy Terrain.,—
324,Grassy Terrain,Grass,NA,—,—,10,NA,Restores a little HP of all Pokémon for 5 turns.,—
325,Grav Apple,Grass,NA,80,100,10,NA,Lowers the opponent's Defense stat.,100
326,Gravity,Psychic,NA,—,—,5,NA,Prevents moves like Fly and Bounce and the Ability Levitate for 5 turns.,—
327,Growl,Normal,NA,—,100,40,NA,Lowers opponent's Attack.,—
328,Growth,Normal,NA,—,—,20,NA,Raises user's Attack and Special Attack.,—
329,Grudge,Ghost,NA,—,—,5,NA,"If the users faints after using this move, the PP for the opponent's last move is depleted.",—
330,Guard Split,Psychic,NA,—,—,10,NA,Averages Defense and Special Defense with the target.,—
331,Guard Swap,Psychic,NA,—,—,10,NA,User and opponent swap Defense and Special Defense.,—
332,Guardian of Alola,Fairy,NA,—,—,1,NA,Tapu-exclusive Z-move. Cuts opponent's HP by 75%.,—
333,Guillotine,Normal,NA,—,30,5,NA,"One-Hit-KO, if it hits.",—
334,Gunk Shot,Poison,NA,120,80,5,NA,May poison opponent.,30
335,Gust,Flying,NA,40,100,35,NA,Hits Pokémon using Fly/Bounce with double power.,—
336,Gyro Ball,Steel,NA,—,100,5,NA,"The slower the user, the stronger the attack.",—
337,Hail,Ice,NA,—,—,10,NA,Non-Ice types are damaged for 5 turns.,—
338,Hammer Arm,Fighting,NA,100,90,10,NA,Lowers user's Speed.,100
339,Happy Hour,Normal,NA,—,—,30,NA,Doubles prize money from trainer battles.,—
340,Harden,Normal,NA,—,—,30,NA,Raises user's Defense.,—
341,Haze,Ice,NA,—,—,30,NA,Resets all stat changes.,—
342,Head Charge,Normal,NA,120,100,15,NA,User receives recoil damage.,—
343,Head Smash,Rock,NA,150,80,5,NA,User receives recoil damage.,—
344,Headbutt,Normal,NA,70,100,15,NA,May cause flinching.,30
345,Headlong Rush,NA,NA,100,100,5,NA,NA,—
346,Heal Bell,Normal,NA,—,—,5,NA,Heals the user's party's status conditions.,—
347,Heal Block,Psychic,NA,—,100,15,NA,Prevents the opponent from restoring HP for 5 turns.,—
348,Heal Order,Bug,NA,—,—,10,NA,User recovers half its max HP.,—
349,Heal Pulse,Psychic,NA,—,—,10,NA,Restores half the target's max HP.,—
350,Healing Wish,Psychic,NA,—,—,10,NA,The user faints and the next Pokémon released is fully healed.,—
351,Heart Stamp,Psychic,NA,60,100,25,NA,May cause flinching.,30
352,Heart Swap,Psychic,NA,—,—,10,NA,Stat changes are swapped with the opponent.,—
353,Heat Crash,Fire,NA,—,100,10,NA,"The heavier the user, the stronger the attack.",—
354,Heat Wave,Fire,NA,95,90,10,NA,May burn opponent.,10
355,Heavy Slam,Steel,NA,—,100,10,NA,"The heavier the user, the stronger the attack.",—
356,Helping Hand,Normal,NA,—,—,20,NA,"In Double Battles, boosts the power of the partner's move.",—
357,Hex,Ghost,NA,65,100,10,NA,Inflicts more damage if the target has a status condition.,—
358,Hidden Power,Normal,NA,60,100,15,NA,Type and power depends on user's IVs.,—
359,High Horsepower,Ground,NA,95,95,10,NA,The user fiercely attacks the target using its entire body.,—
360,High Jump Kick,Fighting,NA,130,90,10,NA,"If it misses, the user loses half their HP.",—
361,Hold Back,Normal,NA,40,100,40,NA,Always leaves opponent with at least 1 HP.,—
362,Hold Hands,Normal,NA,—,—,40,NA,Makes the user and an ally very happy.,—
363,Hone Claws,Dark,NA,—,—,15,NA,Raises user's Attack and Accuracy.,—
364,Horn Attack,Normal,NA,65,100,25,NA,NA,—
365,Horn Drill,Normal,NA,—,30,5,NA,"One-Hit-KO, if it hits.",—
366,Horn Leech,Grass,NA,75,100,10,NA,User recovers half the HP inflicted on opponent.,—
367,Howl,Normal,NA,—,—,40,NA,Raises Attack of allies.,—
368,Hurricane,Flying,NA,110,70,10,NA,May confuse opponent.,30
369,Hydro Cannon,Water,NA,150,90,5,NA,User must recharge next turn.,—
370,Hydro Pump,Water,NA,110,80,5,NA,NA,—
371,Hydro Vortex,Water,—,—,—,1,NA,Water type Z-Move.,—
372,Hyper Beam,Normal,NA,150,90,5,NA,User must recharge next turn.,—
373,Hyper Fang,Normal,NA,80,90,15,NA,May cause flinching.,10
374,Hyper Voice,Normal,NA,90,100,10,NA,NA,—
375,Hyperspace Fury,Dark,NA,100,∞,5,NA,Lowers user's Defense. Can strike through Protect/Detect.,100
376,Hyperspace Hole,Psychic,NA,80,∞,5,NA,Can strike through Protect/Detect.,—
377,Hypnosis,Psychic,NA,—,60,20,NA,Puts opponent to sleep.,—
378,Ice Ball,Ice,NA,30,90,20,NA,Doubles in power each turn for 5 turns.,—
379,Ice Beam,Ice,NA,90,100,10,NA,May freeze opponent.,10
380,Ice Burn,Ice,NA,140,90,5,NA,"Charges on first turn, attacks on second. May burn opponent.",30
381,Ice Fang,Ice,NA,65,95,15,NA,May cause flinching and/or freeze opponent.,10
382,Ice Hammer,Ice,NA,100,90,10,NA,"The user swings and hits with its strong, heavy fist. It lowers the user's Speed, however.",100
383,Ice Punch,Ice,NA,75,100,15,NA,May freeze opponent.,10
384,Ice Shard,Ice,NA,40,100,30,NA,User attacks first.,—
385,Icicle Crash,Ice,NA,85,90,10,NA,May cause flinching.,30
386,Icicle Spear,Ice,NA,25,100,30,NA,Hits 2-5 times in one turn.,—
387,Icy Wind,Ice,NA,55,95,15,NA,Lowers opponent's Speed.,100
388,Imprison,Psychic,NA,—,—,10,NA,Opponent is unable to use moves that the user also knows.,—
389,Incinerate,Fire,NA,60,100,15,NA,Destroys the target's held berry.,—
390,Infernal Parade,Ghost,NA,60,100,15,NA,NA,—
391,Inferno,Fire,NA,100,50,5,NA,Burns opponent.,100
392,Inferno Overdrive,Fire,—,—,—,1,NA,Fire type Z-Move.,—
393,Infestation,Bug,NA,20,100,20,NA,"Traps opponent, damaging them for 4-5 turns.",100
394,Ingrain,Grass,NA,—,—,20,NA,User restores HP each turn. User cannot escape/switch.,—
395,Instruct,Psychic,NA,—,—,15,NA,Allows an ally to use a move instead.,—
396,Ion Deluge,Electric,NA,—,—,25,NA,Changes Normal-type moves to Electric-type.,—
397,Iron Defense,Steel,NA,—,—,15,NA,Sharply raises user's Defense.,—
398,Iron Head,Steel,NA,80,100,15,NA,May cause flinching.,30
399,Iron Tail,Steel,NA,100,75,15,NA,May lower opponent's Defense.,30
400,Jaw Lock,Dark,NA,80,100,10,NA,Prevents user and opponent from switching out.,—
401,Judgment,Normal,NA,100,100,10,NA,Type depends on the Arceus Plate being held.,—
402,Jump Kick,Fighting,NA,100,95,10,NA,"If it misses, the user loses half their HP.",—
403,Jungle Healing,Grass,NA,—,—,10,NA,Restores team's HP and cures status conditions.,—
404,Karate Chop,Fighting,NA,50,100,25,NA,High critical hit ratio.,—
405,Kinesis,Psychic,NA,—,80,15,NA,Lowers opponent's Accuracy.,—
406,King's Shield,Steel,NA,—,—,10,NA,Protects the user and lowers opponent's Attack on contact.,—
407,Knock Off,Dark,NA,65,100,20,NA,Removes opponent's held item for the rest of the battle.,—
408,Land's Wrath,Ground,NA,90,100,10,NA,NA,—
409,Laser Focus,Normal,NA,—,—,30,NA,User's next attack is guaranteed to result in a critical hit.,—
410,Lash Out,Dark,NA,75,100,5,NA,Double power if stats were lowered during the turn.,—
411,Last Resort,Normal,NA,140,100,5,NA,Can only be used after all other moves are used.,—
412,Lava Plume,Fire,NA,80,100,15,NA,May burn opponent.,30
413,Leaf Blade,Grass,NA,90,100,15,NA,High critical hit ratio.,—
414,Leaf Storm,Grass,NA,130,90,5,NA,Sharply lowers user's Special Attack.,100
415,Leaf Tornado,Grass,NA,65,90,10,NA,May lower opponent's Accuracy.,50
416,Leafage,Grass,NA,40,100,40,NA,Strikes opponent with leaves.,—
417,Leech Life,Bug,NA,80,100,10,NA,User recovers half the HP inflicted on opponent.,—
418,Leech Seed,Grass,NA,—,90,10,NA,Drains HP from opponent each turn.,—
419,Leer,Normal,NA,—,100,30,NA,Lowers opponent's Defense.,100
420,Let's Snuggle Forever,Fairy,NA,190,—,1,NA,Mimikyu-exclusive Z-Move.,—
421,Lick,Ghost,NA,30,100,30,NA,May paralyze opponent.,30
422,Life Dew,Water,NA,—,—,10,NA,User and teammates recover HP.,—
423,Light of Ruin,Fairy,NA,140,90,5,NA,User receives recoil damage.,—
424,Light Screen,Psychic,NA,—,—,30,NA,Halves damage from Special attacks for 5 turns.,—
425,Light That Burns the Sky,Psychic,NA,200,—,1,NA,Ultra Necrozma-exclusive Z-Move. Ignores target's ability; uses highest Attack stat.,—
426,Liquidation,Water,NA,85,100,10,NA,May lower opponent's Defense.,20
427,Lock-On,Normal,NA,—,—,5,NA,User's next attack is guaranteed to hit.,—
428,Lovely Kiss,Normal,NA,—,75,10,NA,Puts opponent to sleep.,—
429,Low Kick,Fighting,NA,—,100,20,NA,"The heavier the opponent, the stronger the attack.",—
430,Low Sweep,Fighting,NA,65,100,20,NA,Lowers opponent's Speed.,100
431,Lucky Chant,Normal,NA,—,—,30,NA,Opponent cannot land critical hits for 5 turns.,—
432,Lunar Blessing,NA,NA,—,∞,10,NA,NA,—
433,Lunar Dance,Psychic,NA,—,—,10,NA,The user faints but the next Pokémon released is fully healed.,—
434,Lunge,Bug,NA,80,100,15,NA,"The user makes a lunge at the target, attacking with full force. This also lowers the target's Attack stat.",100
435,Luster Purge,Psychic,NA,70,100,5,NA,May lower opponent's Special Defense.,50
436,Mach Punch,Fighting,NA,40,100,30,NA,User attacks first.,—
437,Magic Coat,Psychic,NA,—,—,15,NA,Reflects moves that cause status conditions back to the attacker.,—
438,Magic Powder,Psychic,NA,—,100,20,NA,Changes target's type to Psychic.,—
439,Magic Room,Psychic,NA,—,—,10,NA,Suppresses the effects of held items for five turns.,—
440,Magical Leaf,Grass,NA,60,∞,20,NA,Ignores Accuracy and Evasiveness.,—
441,Magma Storm,Fire,NA,100,75,5,NA,"Traps opponent, damaging them for 4-5 turns.",100
442,Magnet Bomb,Steel,NA,60,∞,20,NA,Ignores Accuracy and Evasiveness.,—
443,Magnet Rise,Electric,NA,—,—,10,NA,User becomes immune to Ground-type moves for 5 turns.,—
444,Magnetic Flux,Electric,NA,—,—,20,NA,Raises Defense and Sp. Defense of Plus/Minus Pokémon.,—
445,Magnitude,Ground,NA,—,100,30,NA,Hits with random power.,—
446,Malicious Moonsault,Dark,NA,180,—,1,NA,Incineroar-exclusive Z-Move.,—
447,Mat Block,Fighting,NA,—,—,10,NA,Protects teammates from damaging moves.,—
448,Max Airstream,Flying,—,—,—,—,NA,Flying type Dynamax move. Raises the team's Speed.,100
449,Max Darkness,Dark,—,—,—,—,NA,Dark type Dynamax move. Lowers the target's Special Defense.,100
450,Max Flare,Fire,—,—,—,—,NA,Fire type Dynamax move. Summons harsh sunlight.,—
451,Max Flutterby,Bug,—,—,—,—,NA,Bug type Dynamax move. Lowers the target's Special Attack.,100
452,Max Geyser,Water,—,—,—,—,NA,Water type Dynamax move. Summons heavy rain.,—
453,Max Guard,Normal,—,—,—,—,NA,Status category Dynamax move. Protects the user.,—
454,Max Hailstorm,Ice,—,—,—,—,NA,Ice type Dynamax move. Summons hail.,—
455,Max Knuckle,Fighting,—,—,—,—,NA,Fighting type Dynamax move. Increases the team's Attack.,100
456,Max Lightning,Electric,—,—,—,—,NA,Electric type Dynamax move. Summons Electric Terrain.,—
457,Max Mindstorm,Psychic,—,—,—,—,NA,Psychic type Dynamax move. Summons Psychic Terrain.,—
458,Max Ooze,Poison,—,—,—,—,NA,Poison type Dynamax move. Increases the team's Special Attack.,100
459,Max Overgrowth,Grass,—,—,—,—,NA,Grass type Dynamax move. Summons Grassy Terrain.,—
460,Max Phantasm,Ghost,—,—,—,—,NA,Ghost type Dynamax move. Lowers the target's Defense.,100
461,Max Quake,Ground,—,—,—,—,NA,Ground type Dynamax move. Increases the team's Special Defense.,100
462,Max Rockfall,Rock,—,—,—,—,NA,Rock type Dynamax move. Summons a sandstorm.,—
463,Max Starfall,Fairy,—,—,—,—,NA,Fairy type Dynamax move. Summons Misty Terrain.,—
464,Max Steelspike,Steel,—,—,—,—,NA,Steel type Dynamax move. Raises the team's Defense.,100
465,Max Strike,Normal,—,—,—,—,NA,Normal type Dynamax move. Lowers the target's Speed.,100
466,Max Wyrmwind,Dragon,—,—,—,—,NA,Dragon type Dynamax move. Lowers the target's Attack.,100
467,Me First,Normal,NA,—,—,20,NA,User copies the opponent's attack with 1.5× power.,—
468,Mean Look,Normal,NA,—,—,5,NA,Opponent cannot flee or switch.,—
469,Meditate,Psychic,NA,—,—,40,NA,Raises user's Attack.,—
470,Mega Drain,Grass,NA,40,100,15,NA,User recovers half the HP inflicted on opponent.,—
471,Mega Kick,Normal,NA,120,75,5,NA,NA,—
472,Mega Punch,Normal,NA,80,85,20,NA,NA,—
473,Megahorn,Bug,NA,120,85,10,NA,NA,—
474,Memento,Dark,NA,—,100,10,NA,"User faints, sharply lowers opponent's Attack and Special Attack.",—
475,Menacing Moonraze Maelstrom,Ghost,NA,200,—,1,NA,Lunala-exclusive Z-Move.,—
476,Metal Burst,Steel,NA,—,100,10,NA,Deals damage equal to 1.5x opponent's attack.,—
477,Metal Claw,Steel,NA,50,95,35,NA,May raise user's Attack.,10
478,Metal Sound,Steel,NA,—,85,40,NA,Sharply lowers opponent's Special Defense.,—
479,Meteor Assault,Fighting,NA,150,100,5,NA,User must recharge next turn.,—
480,Meteor Beam,Rock,NA,120,90,10,NA,"User gathers space power and boosts its Sp. Atk stat, then attacks the target on the next turn.",—
481,Meteor Mash,Steel,NA,90,90,10,NA,May raise user's Attack.,20
482,Metronome,Normal,NA,—,—,10,NA,User performs almost any move in the game at random.,—
483,Milk Drink,Normal,NA,—,—,10,NA,User recovers half its max HP.,—
484,Mimic,Normal,NA,—,—,10,NA,Copies the opponent's last move.,—
485,Mind Blown,Fire,NA,150,100,5,NA,User receives recoil damage.,—
486,Mind Reader,Normal,NA,—,—,5,NA,User's next attack is guaranteed to hit.,—
487,Minimize,Normal,NA,—,—,10,NA,Sharply raises user's Evasiveness.,—
488,Miracle Eye,Psychic,NA,—,—,40,NA,"Resets opponent's Evasiveness, removes Dark's Psychic immunity.",—
489,Mirror Coat,Psychic,NA,—,100,20,NA,"When hit by a Special Attack, user strikes back with 2x power.",—
490,Mirror Move,Flying,NA,—,—,20,NA,User performs the opponent's last move.,—
491,Mirror Shot,Steel,NA,65,85,10,NA,May lower opponent's Accuracy.,30
492,Mist,Ice,NA,—,—,30,NA,User's stats cannot be changed for a period of time.,—
493,Mist Ball,Psychic,NA,70,100,5,NA,May lower opponent's Special Attack.,50
494,Misty Explosion,Fairy,NA,100,100,5,NA,Power increases on Misty Terrain.,—
495,Misty Terrain,Fairy,NA,—,—,10,NA,Protects the field from status conditions for 5 turns.,—
496,Moonblast,Fairy,NA,95,100,15,NA,May lower opponent's Special Attack.,30
497,Moongeist Beam,Ghost,NA,100,100,5,NA,Ignores the target's ability.,—
498,Moonlight,Fairy,NA,—,—,5,NA,User recovers HP. Amount varies with the weather.,—
499,Morning Sun,Normal,NA,—,—,5,NA,User recovers HP. Amount varies with the weather.,—
500,Mountain Gale,Ice,NA,100,85,5,NA,NA,—
501,Mud Bomb,Ground,NA,65,85,10,NA,May lower opponent's Accuracy.,30
502,Mud Shot,Ground,NA,55,95,15,NA,Lowers opponent's Speed.,100
503,Mud Sport,Ground,NA,—,—,15,NA,Weakens the power of Electric-type moves.,—
504,Mud-Slap,Ground,NA,20,100,10,NA,Lowers opponent's Accuracy.,100
505,Muddy Water,Water,NA,90,85,10,NA,May lower opponent's Accuracy.,30
506,Multi-Attack,Normal,NA,120,100,10,NA,Type matches Memory item held.,—
507,Mystical Fire,Fire,NA,75,100,10,NA,Lowers opponent's Special Attack.,100
508,Mystical Power,NA,NA,70,90,10,NA,NA,—
509,Nasty Plot,Dark,NA,—,—,20,NA,Sharply raises user's Special Attack.,—
510,Natural Gift,Normal,NA,—,100,15,NA,Power and type depend on the user's held berry.,—
511,Nature Power,Normal,NA,—,—,20,NA,Uses a certain move based on the current terrain.,—
512,Nature's Madness,Fairy,NA,—,90,10,NA,Halves the foe's HP.,—
513,Needle Arm,Grass,NA,60,100,15,NA,May cause flinching.,30
514,Never-Ending Nightmare,Ghost,—,—,—,1,NA,Ghost type Z-Move.,—
515,Night Daze,Dark,NA,85,95,10,NA,May lower opponent's Accuracy.,40
516,Night Shade,Ghost,NA,—,100,15,NA,Inflicts damage equal to user's level.,—
517,Night Slash,Dark,NA,70,100,15,NA,High critical hit ratio.,—
518,Nightmare,Ghost,NA,—,100,15,NA,The sleeping opponent loses 25% of its max HP each turn.,—
519,No Retreat,Fighting,NA,—,—,5,NA,Raises all stats but user cannot switch out.,100
520,Noble Roar,Normal,NA,—,100,30,NA,Lowers opponent's Attack and Special Attack.,100
521,Nuzzle,Electric,NA,20,100,20,NA,Paralyzes opponent.,100
522,Oblivion Wing,Flying,NA,80,100,10,NA,User recovers most of the HP inflicted on opponent.,—
523,Obstruct,Dark,NA,—,100,10,NA,Protects the user and sharply lowers Defence on contact.,—
524,Oceanic Operetta,Water,NA,195,—,1,NA,Primarina-exclusive Z-Move.,—
525,Octazooka,Water,NA,65,85,10,NA,May lower opponent's Accuracy.,50
526,Octolock,Fighting,NA,—,100,15,NA,"Lowers opponent's Defense and Special Defense every turn, and they cannot flee or switch out.",—
527,Odor Sleuth,Normal,NA,—,—,40,NA,"Resets opponent's Evasiveness, Normal-type and Fighting-type attacks can now hit Ghosts, and Ghost-type attacks hit Normal.",—
528,Ominous Wind,Ghost,NA,60,100,5,NA,May raise all user's stats at once.,10
529,Origin Pulse,Water,NA,110,85,10,NA,Hits all adjacent opponents.,—
530,Outrage,Dragon,NA,120,100,10,NA,User attacks for 2-3 turns but then becomes confused.,—
531,Overdrive,Electric,NA,80,100,10,NA,NA,—
532,Overheat,Fire,NA,130,90,5,NA,Sharply lowers user's Special Attack.,100
533,Pain Split,Normal,NA,—,—,20,NA,The user's and opponent's HP becomes the average of both.,—
534,Parabolic Charge,Electric,NA,65,100,20,NA,User recovers half the HP inflicted on opponent.,—
535,Parting Shot,Dark,NA,—,100,20,NA,Lowers opponent's Attack and Special Attack then switches out.,100
536,Pay Day,Normal,NA,40,100,20,NA,A small amount of money is gained after the battle resolves.,—
537,Payback,Dark,NA,50,100,10,NA,Power doubles if the user was attacked first.,—
538,Peck,Flying,NA,35,100,35,NA,NA,—
539,Perish Song,Normal,NA,—,—,5,NA,Any Pokémon in play when this attack is used faints in 3 turns.,—
540,Petal Blizzard,Grass,NA,90,100,15,NA,Hits all adjacent Pokémon.,—
541,Petal Dance,Grass,NA,120,100,10,NA,User attacks for 2-3 turns but then becomes confused.,—
542,Phantom Force,Ghost,NA,90,100,10,NA,"Disappears on first turn, attacks on second. Can strike through Protect/Detect.",—
543,Photon Geyser,Psychic,NA,100,100,5,NA,"Uses Attack or Special Attack stat, whichever is higher.",—
544,Pika Papow,Electric,NA,—,∞,20,NA,Power increases when player's bond is stronger.,—
545,Pin Missile,Bug,NA,25,95,20,NA,Hits 2-5 times in one turn.,—
546,Plasma Fists,Electric,NA,100,100,15,NA,Changes Normal-type moves to Electric-type moves.,—
547,Play Nice,Normal,NA,—,—,20,NA,Lowers opponent's Attack. Always hits.,100
548,Play Rough,Fairy,NA,90,90,10,NA,May lower opponent's Attack.,10
549,Pluck,Flying,NA,60,100,20,NA,"If the opponent is holding a berry, its effect is stolen by user.",—
550,Poison Fang,Poison,NA,50,100,15,NA,May badly poison opponent.,50
551,Poison Gas,Poison,NA,—,90,40,NA,Poisons opponent.,—
552,Poison Jab,Poison,NA,80,100,20,NA,May poison the opponent.,30
553,Poison Powder,Poison,NA,—,75,35,NA,Poisons opponent.,—
554,Poison Sting,Poison,NA,15,100,35,NA,May poison the opponent.,30
555,Poison Tail,Poison,NA,50,100,25,NA,High critical hit ratio. May poison opponent.,10
556,Pollen Puff,Bug,NA,90,100,15,NA,Deals damage to opponent or restores HP of teammate.,—
557,Poltergeist,Ghost,NA,110,90,5,NA,Fails if the target doesn’t have an item.,—
558,Pound,Normal,NA,40,100,35,NA,NA,—
559,Powder,Bug,NA,—,100,20,NA,Damages Pokémon using Fire type moves.,—
560,Powder Snow,Ice,NA,40,100,25,NA,May freeze opponent.,10
561,Power Gem,Rock,NA,80,100,20,NA,NA,—
562,Power Shift,Normal,NA,—,∞,10,NA,NA,—
563,Power Split,Psychic,NA,—,—,10,NA,Averages Attack and Special Attack with the target.,—
564,Power Swap,Psychic,NA,—,—,10,NA,User and opponent swap Attack and Special Attack.,—
565,Power Trick,Psychic,NA,—,—,10,NA,User's own Attack and Defense switch.,—
566,Power Trip,Dark,NA,20,100,10,NA,"The user boasts its strength and attacks the target. The more the user's stats are raised, the greater the move's power.",—
567,Power Whip,Grass,NA,120,85,10,NA,NA,—
568,Power-Up Punch,Fighting,NA,40,100,20,NA,Raises Attack.,100
569,Precipice Blades,Ground,NA,120,85,10,NA,Hits all adjacent opponents.,—
570,Present,Normal,NA,—,90,15,NA,Either deals damage or heals.,—
571,Prismatic Laser,Psychic,NA,160,100,10,NA,The user shoots powerful lasers using the power of a prism. The user can't move on the next turn.,—
572,Protect,Normal,NA,—,—,10,NA,"Protects the user, but may fail if used consecutively.",—
573,Psybeam,Psychic,NA,65,100,20,NA,May confuse opponent.,10
574,Psych Up,Normal,NA,—,—,10,NA,Copies the opponent's stat changes.,—
575,Psychic,Psychic,NA,90,100,10,NA,May lower opponent's Special Defense.,10
576,Psychic Fangs,Psychic,NA,85,100,10,NA,The user bites the target with its psychic capabilities. This can also destroy Light Screen and Reflect.,—
577,Psychic Terrain,Psychic,NA,—,—,10,NA,Prevents priority moves from being used for 5 turns.,—
578,Psycho Boost,Psychic,NA,140,90,5,NA,Sharply lowers user's Special Attack.,100
579,Psycho Cut,Psychic,NA,70,100,20,NA,High critical hit ratio.,—
580,Psycho Shift,Psychic,NA,—,100,10,NA,Transfers user's status condition to the opponent.,—
581,Psyshield Bash,Psychic,NA,70,90,10,NA,NA,—
582,Psyshock,Psychic,NA,80,100,10,NA,"Inflicts damage based on the target's Defense, not Special Defense.",—
583,Psystrike,Psychic,NA,100,100,10,NA,"Inflicts damage based on the target's Defense, not Special Defense.",—
584,Psywave,Psychic,NA,—,100,15,NA,Inflicts damage 50-150% of user's level.,—
585,Pulverizing Pancake,Normal,NA,210,—,1,NA,Snorlax-exclusive Normal type Z-Move.,—
586,Punishment,Dark,NA,—,100,5,NA,Power increases when opponent's stats have been raised.,—
587,Purify,Poison,NA,—,—,20,NA,"The user heals the target's status condition. If the move succeeds, it also restores the user's own HP.",—
588,Pursuit,Dark,NA,40,100,20,NA,Double power if the opponent is switching out.,—
589,Pyro Ball,Fire,NA,120,90,5,NA,May burn opponent.,10
590,Quash,Dark,NA,—,100,15,NA,Makes the target act last this turn.,—
591,Quick Attack,Normal,NA,40,100,30,NA,User attacks first.,—
592,Quick Guard,Fighting,NA,—,—,15,NA,Protects the user's team from high-priority moves.,—
593,Quiver Dance,Bug,NA,—,—,20,NA,"Raises user's Special Attack, Special Defense and Speed.",—
594,Rage,Normal,NA,20,100,20,NA,Raises user's Attack when hit.,—
595,Rage Powder,Bug,NA,—,—,20,NA,"Forces attacks to hit user, not team-mates.",—
596,Raging Fury,Fire,NA,90,85,10,NA,NA,—
597,Rain Dance,Water,NA,—,—,5,NA,Makes it rain for 5 turns.,—
598,Rapid Spin,Normal,NA,50,100,40,NA,Raises user's Speed and removes entry hazards and trap move effects.,100
599,Razor Leaf,Grass,NA,55,95,25,NA,High critical hit ratio.,—
600,Razor Shell,Water,NA,75,95,10,NA,May lower opponent's Defense.,50
601,Razor Wind,Normal,NA,80,100,10,NA,"Charges on first turn, attacks on second. High critical hit ratio.",—
602,Recover,Normal,NA,—,—,10,NA,User recovers half its max HP.,—
603,Recycle,Normal,NA,—,—,10,NA,User's used hold item is restored.,—
604,Reflect,Psychic,NA,—,—,20,NA,Halves damage from Physical attacks for 5 turns.,—
605,Reflect Type,Normal,NA,—,—,15,NA,User becomes the target's type.,—
606,Refresh,Normal,NA,—,—,20,NA,"Cures paralysis, poison, and burns.",—
607,Relic Song,Normal,NA,75,100,10,NA,May put the target to sleep.,10
608,Rest,Psychic,NA,—,—,10,NA,"User sleeps for 2 turns, but user is fully healed.",—
609,Retaliate,Normal,NA,70,100,5,NA,Inflicts double damage if a teammate fainted on the last turn.,—
610,Return,Normal,NA,—,100,20,NA,Power increases with higher Friendship.,—
611,Revelation Dance,Normal,NA,90,100,15,NA,Type changes based on Oricorio's form.,—
612,Revenge,Fighting,NA,60,100,10,NA,Power increases if user was hit first.,—
613,Reversal,Fighting,NA,—,100,15,NA,"The lower the user's HP, the higher the power.",—
614,Rising Voltage,Electric,NA,70,100,20,NA,Power doubles on Electric Terrain.,—
615,Roar,Normal,NA,—,—,20,NA,"In battles, the opponent switches. In the wild, the Pokémon runs.",—
616,Roar of Time,Dragon,NA,150,90,5,NA,User must recharge next turn.,—
617,Rock Blast,Rock,NA,25,90,10,NA,Hits 2-5 times in one turn.,—
618,Rock Climb,Normal,NA,90,85,20,NA,May confuse opponent.,20
619,Rock Polish,Rock,NA,—,—,20,NA,Sharply raises user's Speed.,—
620,Rock Slide,Rock,NA,75,90,10,NA,May cause flinching.,30
621,Rock Smash,Fighting,NA,40,100,15,NA,May lower opponent's Defense.,50
622,Rock Throw,Rock,NA,50,90,15,NA,NA,—
623,Rock Tomb,Rock,NA,60,95,15,NA,Lowers opponent's Speed.,100
624,Rock Wrecker,Rock,NA,150,90,5,NA,User must recharge next turn.,—
625,Role Play,Psychic,NA,—,—,10,NA,User copies the opponent's Ability.,—
626,Rolling Kick,Fighting,NA,60,85,15,NA,May cause flinching.,30
627,Rollout,Rock,NA,30,90,20,NA,Doubles in power each turn for 5 turns.,—
628,Roost,Flying,NA,—,—,10,NA,User recovers half of its max HP and loses the Flying type temporarily.,—
629,Rototiller,Ground,NA,—,—,10,NA,Raises Attack and Special Attack of Grass-types.,100
630,Round,Normal,NA,60,100,15,NA,Power increases if teammates use it in the same turn.,—
631,Sacred Fire,Fire,NA,100,95,5,NA,May burn opponent.,50
632,Sacred Sword,Fighting,NA,90,100,15,NA,Ignores opponent's stat changes.,—
633,Safeguard,Normal,NA,—,—,25,NA,The user's party is protected from status conditions.,—
634,Sand Attack,Ground,NA,—,100,15,NA,Lowers opponent's Accuracy.,—
635,Sand Tomb,Ground,NA,35,85,15,NA,"Traps opponent, damaging them for 4-5 turns.",100
636,Sandsear Storm,Ground,NA,95,80,5,NA,NA,—
637,Sandstorm,Rock,NA,—,—,10,NA,Creates a sandstorm for 5 turns.,—
