Name,Introducted_in,Type,Power,Acc.,PP,Damage_class,Effect,Prob. (%)
Leaf Blade,3,Grass,90,100,15,Physical,High critical hit ratio.,
Leaf Storm,4,Grass,130,90,5,Special,Sharply lowers user's Special Attack.,100
Leaf Tornado,5,Grass,65,90,10,Special,May lower opponent's Accuracy.,50
Leafage,7,Grass,40,100,40,Physical,Strikes opponent with leaves.,
Leech Life,1,Bug,80,100,10,Physical,User recovers half the HP inflicted on opponent.,
Leech Seed,1,Grass,,90,10,Status,Drains HP from opponent each turn.,
Leer,1,Normal,,100,30,Status,Lowers opponent's Defense.,100
Lick,1,Ghost,30,100,30,Physical,May paralyze opponent.,30
Life Dew,8,Water,,,10,Status,User and teammates recover HP.,
Light Of Ruin,6,Fairy,140,90,5,Special,User receives recoil damage.,
Light Screen,1,Psychic,,,30,Status,Halves damage from Special attacks for 5 turns.,
Light That Burns The Sky,7,Psychic,200,,1,Special,Ultra Necrozma-exclusive Z-Move. Ignores target's ability; uses highest Attack stat.,
Liquidation,7,Water,85,100,10,Physical,May lower opponent's Defense.,20
Lock On,2,Normal,,,5,Status,User's next attack is guaranteed to hit.,
Lovely Kiss,1,Normal,,75,10,Status,Puts opponent to sleep.,
Low Kick,1,Fighting,,100,20,Physical,"The heavier the opponent, the stronger the attack.",
Low Sweep,5,Fighting,65,100,20,Physical,Lowers opponent's Speed.,100
Lucky Chant,4,Normal,,,30,Status,Opponent cannot land critical hits for 5 turns.,
Lunar Dance,4,Psychic,,,10,Status,The user faints but the next Pokémon released is fully healed.,
Lunge,7,Bug,80,100,15,Physical,"The user makes a lunge at the target, attacking with full force. This also lowers the target's Attack stat.",100
Luster Purge,3,Psychic,70,100,5,Special,May lower opponent's Special Defense.,50
Mach Punch,2,Fighting,40,100,30,Physical,User attacks first.,
Magic Coat,3,Psychic,,,15,Status,Reflects moves that cause status conditions back to the attacker.,
Magic Powder,8,Psychic,,100,20,Status,Changes target's type to Psychic.,
Magic Room,5,Psychic,,,10,Status,Suppresses the effects of held items for five turns.,
Magical Leaf,3,Grass,60,∞,20,Special,Ignores Accuracy and Evasiveness.,
Magma Storm,4,Fire,100,75,5,Special,"Traps opponent, damaging them for 4-5 turns.",100
Magnet Bomb,4,Steel,60,∞,20,Physical,Ignores Accuracy and Evasiveness.,
Magnet Rise,4,Electric,,,10,Status,User becomes immune to Ground-type moves for 5 turns.,
Magnetic Flux,6,Electric,,,20,Status,Raises Defense and Sp. Defense of Plus/Minus Pokémon.,
Magnitude,2,Ground,,100,30,Physical,Hits with random power.,
Malicious Moonsault,7,Dark,180,,1,Physical,Incineroar-exclusive Z-Move.,
Mat Block,6,Fighting,,,10,Status,Protects teammates from damaging moves.,
Max Airstream,8,Flying,,,,Physical,Flying type Dynamax move. Raises the team's Speed.,100
Max Darkness,8,Dark,,,,Physical,Dark type Dynamax move. Lowers the target's Special Defense.,100
Max Flare,8,Fire,,,,Physical,Fire type Dynamax move. Summons harsh sunlight.,
Max Flutterby,8,Bug,,,,Physical,Bug type Dynamax move. Lowers the target's Special Attack.,100
Max Geyser,8,Water,,,,Physical,Water type Dynamax move. Summons heavy rain.,
Max Guard,8,Normal,,,,Status,Status category Dynamax move. Protects the user.,
Max Hailstorm,8,Ice,,,,Physical,Ice type Dynamax move. Summons hail.,
Max Knuckle,8,Fighting,,,,Physical,Fighting type Dynamax move. Increases the team's Attack.,100
Max Lightning,8,Electric,,,,Physical,Electric type Dynamax move. Summons Electric Terrain.,
Max Mindstorm,8,Psychic,,,,Physical,Psychic type Dynamax move. Summons Psychic Terrain.,
Max Ooze,8,Poison,,,,Physical,Poison type Dynamax move. Increases the team's Special Attack.,100
Max Overgrowth,8,Grass,,,,Physical,Grass type Dynamax move. Summons Grassy Terrain.,
Max Phantasm,8,Ghost,,,,Physical,Ghost type Dynamax move. Lowers the target's Defense.,100
Max Quake,8,Ground,,,,Physical,Ground type Dynamax move. Increases the team's Special Defense.,100
Max Rockfall,8,Rock,,,,Physical,Rock type Dynamax move. Summons a sandstorm.,
Max Starfall,8,Fairy,,,,Physical,Fairy type Dynamax move. Summons Misty Terrain.,
Max Steelspike,8,Steel,,,,Physical,Steel type Dynamax move. Raises the team's Defense.,100
Max Strike,8,Normal,,,,Physical,Normal type Dynamax move. Lowers the target's Speed.,100
Max Wyrmwind,8,Dragon,,,,Physical,Dragon type Dynamax move. Lowers the target's Attack.,100
Me First,4,Normal,,,20,Status,User copies the opponent's attack with 1.5× power.,
Mean Look,2,Normal,,,5,Status,Opponent cannot flee or switch.,
Meditate,1,Psychic,,,40,Status,Raises user's Attack.,
Mega Drain,1,Grass,40,100,15,Special,User recovers half the HP inflicted on opponent.,
Mega Kick,1,Normal,120,75,5,Physical,,
Mega Punch,1,Normal,80,85,20,Physical,,
Megahorn,2,Bug,120,85,10,Physical,,
Memento,3,Dark,,100,10,Status,"User faints, sharply lowers opponent's Attack and Special Attack.",
Menacing Moonraze Maelstrom,7,Ghost,200,,1,Special,Lunala-exclusive Z-Move.,
Metal Burst,4,Steel,,100,10,Physical,Deals damage equal to 1.5x opponent's attack.,
Metal Claw,2,Steel,50,95,35,Physical,May raise user's Attack.,10
Metal Sound,3,Steel,,85,40,Status,Sharply lowers opponent's Special Defense.,
Meteor Assault,8,Fighting,150,100,5,Physical,User must recharge next turn.,
Meteor Beam,8,Rock,120,90,10,Special,"User gathers space power and boosts its Sp. Atk stat, then attacks the target on the next turn.",
Meteor Mash,3,Steel,90,90,10,Physical,May raise user's Attack.,20
Metronome,1,Normal,,,10,Status,User performs almost any move in the game at random.,
Milk Drink,2,Normal,,,10,Status,User recovers half its max HP.,
Mimic,1,Normal,,,10,Status,Copies the opponent's last move.,
Mind Blown,7,Fire,150,100,5,Special,User receives recoil damage.,
Mind Reader,2,Normal,,,5,Status,User's next attack is guaranteed to hit.,
Minimize,1,Normal,,,10,Status,Sharply raises user's Evasiveness.,
Miracle Eye,4,Psychic,,,40,Status,"Resets opponent's Evasiveness, removes Dark's Psychic immunity.",
Mirror Coat,2,Psychic,,100,20,Special,"When hit by a Special Attack, user strikes back with 2x power.",
Mirror Move,1,Flying,,,20,Status,User performs the opponent's last move.,
Mirror Shot,4,Steel,65,85,10,Special,May lower opponent's Accuracy.,30
Mist,1,Ice,,,30,Status,User's stats cannot be changed for a period of time.,
Mist Ball,3,Psychic,70,100,5,Special,May lower opponent's Special Attack.,50
Misty Explosion,8,Fairy,100,100,5,Special,Power increases on Misty Terrain.,
Misty Terrain,6,Fairy,,,10,Status,Protects the field from status conditions for 5 turns.,
Moonblast,6,Fairy,95,100,15,Special,May lower opponent's Special Attack.,30
Moongeist Beam,7,Ghost,100,100,5,Special,Ignores the target's ability.,
Moonlight,2,Fairy,,,5,Status,User recovers HP. Amount varies with the weather.,
Morning Sun,2,Normal,,,5,Status,User recovers HP. Amount varies with the weather.,
Mud Bomb,4,Ground,65,85,10,Special,May lower opponent's Accuracy.,30
Mud Shot,3,Ground,55,95,15,Special,Lowers opponent's Speed.,100
Mud Slap,2,Ground,20,100,10,Special,Lowers opponent's Accuracy.,100
Mud Sport,3,Ground,,,15,Status,Weakens the power of Electric-type moves.,
Muddy Water,3,Water,90,85,10,Special,May lower opponent's Accuracy.,30
Multi Attack,7,Normal,120,100,10,Physical,Type matches Memory item held.,
Mystical Fire,6,Fire,75,100,10,Special,Lowers opponent's Special Attack.,100
Nasty Plot,4,Dark,,,20,Status,Sharply raises user's Special Attack.,
Natural Gift,4,Normal,,100,15,Physical,Power and type depend on the user's held berry.,
Nature Power,3,Normal,,,20,Status,Uses a certain move based on the current terrain.,
Nature'S Madness,7,Fairy,,90,10,Special,Halves the foe's HP.,
Needle Arm,3,Grass,60,100,15,Physical,May cause flinching.,30
Night Daze,5,Dark,85,95,10,Special,May lower opponent's Accuracy.,40
Night Shade,1,Ghost,,100,15,Special,Inflicts damage equal to user's level.,
Night Slash,4,Dark,70,100,15,Physical,High critical hit ratio.,
Nightmare,2,Ghost,,100,15,Status,The sleeping opponent loses 25% of its max HP each turn.,
No Retreat,8,Fighting,,,5,Status,Raises all stats but user cannot switch out.,100
Noble Roar,6,Normal,,100,30,Status,Lowers opponent's Attack and Special Attack.,100
Nuzzle,6,Electric,20,100,20,Physical,Paralyzes opponent.,100
Oblivion Wing,6,Flying,80,100,10,Special,User recovers most of the HP inflicted on opponent.,
Obstruct,8,Dark,,100,10,Status,Protects the user and sharply lowers Defence on contact.,
Oceanic Operetta,7,Water,195,,1,Special,Primarina-exclusive Z-Move.,
Octazooka,2,Water,65,85,10,Special,May lower opponent's Accuracy.,50
Octolock,8,Fighting,,100,15,Status,"Lowers opponent's Defense and Special Defense every turn, and they cannot flee or switch out.",
Odor Sleuth,3,Normal,,,40,Status,"Resets opponent's Evasiveness, Normal-type and Fighting-type attacks can now hit Ghosts, and Ghost-type attacks hit Normal.",
Ominous Wind,4,Ghost,60,100,5,Special,May raise all user's stats at once.,10
Origin Pulse,6,Water,110,85,10,Special,Hits all adjacent opponents.,
Outrage,2,Dragon,120,100,10,Physical,User attacks for 2-3 turns but then becomes confused.,
Overdrive,8,Electric,80,100,10,Special,,
Overheat,3,Fire,130,90,5,Special,Sharply lowers user's Special Attack.,100
Pain Split,2,Normal,,,20,Status,The user's and opponent's HP becomes the average of both.,
Parabolic Charge,6,Electric,65,100,20,Special,User recovers half the HP inflicted on opponent.,
Parting Shot,6,Dark,,100,20,Status,Lowers opponent's Attack and Special Attack then switches out.,100
Pay Day,1,Normal,40,100,20,Physical,A small amount of money is gained after the battle resolves.,
Payback,4,Dark,50,100,10,Physical,Power doubles if the user was attacked first.,
Peck,1,Flying,35,100,35,Physical,,
Perish Song,2,Normal,,,5,Status,Any Pokémon in play when this attack is used faints in 3 turns.,
Petal Blizzard,6,Grass,90,100,15,Physical,Hits all adjacent Pokémon.,
Petal Dance,1,Grass,120,100,10,Special,User attacks for 2-3 turns but then becomes confused.,
Phantom Force,6,Ghost,90,100,10,Physical,"Disappears on first turn, attacks on second. Can strike through Protect/Detect.",
Photon Geyser,7,Psychic,100,100,5,Special,"Uses Attack or Special Attack stat, whichever is higher.",
Pika Papow,7,Electric,,∞,20,Special,Power increases when player's bond is stronger.,
Pin Missile,1,Bug,25,95,20,Physical,Hits 2-5 times in one turn.,
Plasma Fists,7,Electric,100,100,15,Physical,Changes Normal-type moves to Electric-type moves.,
Play Nice,6,Normal,,,20,Status,Lowers opponent's Attack. Always hits.,100
Play Rough,6,Fairy,90,90,10,Physical,May lower opponent's Attack.,10
Pluck,4,Flying,60,100,20,Physical,"If the opponent is holding a berry, its effect is stolen by user.",
Poison Fang,3,Poison,50,100,15,Physical,May badly poison opponent.,50
Poison Gas,1,Poison,,90,40,Status,Poisons opponent.,
Poison Jab,4,Poison,80,100,20,Physical,May poison the opponent.,30
Poison Powder,1,Poison,,75,35,Status,Poisons opponent.,
Poison Sting,1,Poison,15,100,35,Physical,May poison the opponent.,30
Poison Tail,3,Poison,50,100,25,Physical,High critical hit ratio. May poison opponent.,10
Pollen Puff,7,Bug,90,100,15,Special,Deals damage to opponent or restores HP of teammate.,
Poltergeist,8,Ghost,110,90,5,Physical,Fails if the target doesn’t have an item.,
Pound,1,Normal,40,100,35,Physical,,
Powder,6,Bug,,100,20,Status,Damages Pokémon using Fire type moves.,
Powder Snow,2,Ice,40,100,25,Special,May freeze opponent.,10
Power Gem,4,Rock,80,100,20,Special,,
Power Split,5,Psychic,,,10,Status,Averages Attack and Special Attack with the target.,
Power Swap,4,Psychic,,,10,Status,User and opponent swap Attack and Special Attack.,
Power Trick,4,Psychic,,,10,Status,User's own Attack and Defense switch.,
Power Trip,7,Dark,20,100,10,Physical,"The user boasts its strength and attacks the target. The more the user's stats are raised, the greater the move's power.",
Power Up Punch,6,Fighting,40,100,20,Physical,Raises Attack.,100
Power Whip,4,Grass,120,85,10,Physical,,
Precipice Blades,6,Ground,120,85,10,Physical,Hits all adjacent opponents.,
Present,2,Normal,,90,15,Physical,Either deals damage or heals.,
Prismatic Laser,7,Psychic,160,100,10,Special,The user shoots powerful lasers using the power of a prism. The user can't move on the next turn.,
Protect,2,Normal,,,10,Status,"Protects the user, but may fail if used consecutively.",
Psybeam,1,Psychic,65,100,20,Special,May confuse opponent.,10
Psych Up,2,Normal,,,10,Status,Copies the opponent's stat changes.,
Psychic,1,Psychic,90,100,10,Special,May lower opponent's Special Defense.,10
Psychic Fangs,7,Psychic,85,100,10,Physical,The user bites the target with its psychic capabilities. This can also destroy Light Screen and Reflect.,
Psychic Terrain,7,Psychic,,,10,Status,Prevents priority moves from being used for 5 turns.,
Psycho Boost,3,Psychic,140,90,5,Special,Sharply lowers user's Special Attack.,100
Psycho Cut,4,Psychic,70,100,20,Physical,High critical hit ratio.,
Psycho Shift,4,Psychic,,100,10,Status,Transfers user's status condition to the opponent.,
Psyshock,5,Psychic,80,100,10,Special,"Inflicts damage based on the target's Defense, not Special Defense.",
Psystrike,5,Psychic,100,100,10,Special,"Inflicts damage based on the target's Defense, not Special Defense.",
Psywave,1,Psychic,,100,15,Special,Inflicts damage 50-150% of user's level.,
Pulverizing Pancake,7,Normal,210,,1,Physical,Snorlax-exclusive Normal type Z-Move.,
Punishment,4,Dark,,100,5,Physical,Power increases when opponent's stats have been raised.,
Purify,7,Poison,,,20,Status,"The user heals the target's status condition. If the move succeeds, it also restores the user's own HP.",
Pursuit,2,Dark,40,100,20,Physical,Double power if the opponent is switching out.,
Pyro Ball,8,Fire,120,90,5,Physical,May burn opponent.,10
Quash,5,Dark,,100,15,Status,Makes the target act last this turn.,
Quick Attack,1,Normal,40,100,30,Physical,User attacks first.,
Quick Guard,5,Fighting,,,15,Status,Protects the user's team from high-priority moves.,
Quiver Dance,5,Bug,,,20,Status,"Raises user's Special Attack, Special Defense and Speed.",
Rage,1,Normal,20,100,20,Physical,Raises user's Attack when hit.,
Rage Powder,5,Bug,,,20,Status,"Forces attacks to hit user, not team-mates.",
Rain Dance,2,Water,,,5,Status,Makes it rain for 5 turns.,
Rapid Spin,2,Normal,50,100,40,Physical,Raises user's Speed and removes entry hazards and trap move effects.,100
Razor Leaf,1,Grass,55,95,25,Physical,High critical hit ratio.,
Razor Shell,5,Water,75,95,10,Physical,May lower opponent's Defense.,50
Razor Wind,1,Normal,80,100,10,Special,"Charges on first turn, attacks on second. High critical hit ratio.",
Recover,1,Normal,,,10,Status,User recovers half its max HP.,
Recycle,3,Normal,,,10,Status,User's used hold item is restored.,
Reflect,1,Psychic,,,20,Status,Halves damage from Physical attacks for 5 turns.,
Reflect Type,5,Normal,,,15,Status,User becomes the target's type.,
Refresh,3,Normal,,,20,Status,"Cures paralysis, poison, and burns.",
Relic Song,5,Normal,75,100,10,Special,May put the target to sleep.,10
Rest,1,Psychic,,,10,Status,"User sleeps for 2 turns, but user is fully healed.",
Retaliate,5,Normal,70,100,5,Physical,Inflicts double damage if a teammate fainted on the last turn.,
Return,2,Normal,,100,20,Physical,Power increases with higher Friendship.,
Revelation Dance,7,Normal,90,100,15,Special,Type changes based on Oricorio's form.,
Revenge,3,Fighting,60,100,10,Physical,Power increases if user was hit first.,
Reversal,2,Fighting,,100,15,Physical,"The lower the user's HP, the higher the power.",
Rising Voltage,8,Electric,70,100,20,Special,Power doubles on Electric Terrain.,
Roar,1,Normal,,,20,Status,"In battles, the opponent switches. In the wild, the Pokémon runs.",
Roar Of Time,4,Dragon,150,90,5,Special,User must recharge next turn.,
Rock Blast,3,Rock,25,90,10,Physical,Hits 2-5 times in one turn.,
Rock Climb,4,Normal,90,85,20,Physical,May confuse opponent.,20
Rock Polish,4,Rock,,,20,Status,Sharply raises user's Speed.,
Rock Slide,1,Rock,75,90,10,Physical,May cause flinching.,30
Rock Smash,2,Fighting,40,100,15,Physical,May lower opponent's Defense.,50
Rock Throw,1,Rock,50,90,15,Physical,,
Rock Tomb,3,Rock,60,95,15,Physical,Lowers opponent's Speed.,100
Rock Wrecker,4,Rock,150,90,5,Physical,User must recharge next turn.,
Role Play,3,Psychic,,,10,Status,User copies the opponent's Ability.,
Rolling Kick,1,Fighting,60,85,15,Physical,May cause flinching.,30
Rollout,2,Rock,30,90,20,Physical,Doubles in power each turn for 5 turns.,
Roost,4,Flying,,,10,Status,User recovers half of its max HP and loses the Flying type temporarily.,
Rototiller,6,Ground,,,10,Status,Raises Attack and Special Attack of Grass-types.,100
Round,5,Normal,60,100,15,Special,Power increases if teammates use it in the same turn.,
Sacred Fire,2,Fire,100,95,5,Physical,May burn opponent.,50
Sacred Sword,5,Fighting,90,100,15,Physical,Ignores opponent's stat changes.,
Safeguard,2,Normal,,,25,Status,The user's party is protected from status conditions.,
Sand Attack,1,Ground,,100,15,Status,Lowers opponent's Accuracy.,
Sand Tomb,3,Ground,35,85,15,Physical,"Traps opponent, damaging them for 4-5 turns.",100
Sandstorm,2,Rock,,,10,Status,Creates a sandstorm for 5 turns.,
Sappy Seed,7,Grass,90,100,15,Physical,Drains HP from opponent each turn.,100
Scald,5,Water,80,100,15,Special,May burn opponent.,30
Scale Shot,8,Dragon,25,90,20,Physical,Hits 2-5 times in one turn. Boosts user's Speed but lowers its Defense.,
Scary Face,2,Normal,,100,10,Status,Sharply lowers opponent's Speed.,
Scorching Sands,8,Ground,70,100,10,Special,May burn the target.,
Scratch,1,Normal,40,100,35,Physical,,
Screech,1,Normal,,85,40,Status,Sharply lowers opponent's Defense.,
Searing Shot,5,Fire,100,100,5,Special,May burn opponent.,30
Searing Sunraze Smash,7,Steel,200,,1,Physical,Solgaleo-exclusive Z-Move.,
Secret Power,3,Normal,70,100,20,Physical,Effects of the attack vary with the location.,30
Secret Sword,5,Fighting,85,100,10,Special,"Inflicts damage based on the target's Defense, not Special Defense.",
Seed Bomb,4,Grass,80,100,15,Physical,,
Seed Flare,4,Grass,120,85,5,Special,May lower opponent's Special Defense.,40
Seismic Toss,1,Fighting,,100,20,Physical,Inflicts damage equal to user's level.,
Self Destruct,1,Normal,200,100,5,Physical,User faints.,
Shadow Ball,2,Ghost,80,100,15,Special,May lower opponent's Special Defense.,20
Shadow Bone,7,Ghost,85,100,10,Physical,May lower opponent's Defense.,20
Shadow Claw,4,Ghost,70,100,15,Physical,High critical hit ratio.,
Shadow Force,4,Ghost,120,100,5,Physical,"Disappears on first turn, attacks on second. Can strike through Protect/Detect.",
Shadow Punch,3,Ghost,60,∞,20,Physical,Ignores Accuracy and Evasiveness.,
Shadow Sneak,4,Ghost,40,100,30,Physical,User attacks first.,
Sharpen,1,Normal,,,30,Status,Raises user's Attack.,
Sheer Cold,3,Ice,,30,5,Special,"One-Hit-KO, if it hits.",
Shell Side Arm,8,Poison,90,100,10,Special,"May poison opponent. Inflicts either Special or Physical damage, whichever is better.",
Shell Smash,5,Normal,,,15,Status,"Sharply raises user's Attack, Special Attack and Speed but lowers Defense and Special Defense.",
Shell Trap,7,Fire,150,100,5,Special,Deals more damage to opponent if hit by a Physical move.,
Shift Gear,5,Steel,,,10,Status,Raises user's Attack and sharply raises Speed.,
Shock Wave,3,Electric,60,∞,20,Special,Ignores Accuracy and Evasiveness.,
Shore Up,7,Ground,,,10,Status,The user regains up to half of its max HP. It restores more HP in a sandstorm.,
Signal Beam,3,Bug,75,100,15,Special,May confuse opponent.,10
Silver Wind,3,Bug,60,100,5,Special,May raise all stats of user at once.,10
Simple Beam,5,Normal,,100,15,Status,Changes target's ability to Simple.,
Sing,1,Normal,,55,15,Status,Puts opponent to sleep.,
Sinister Arrow Raid,7,Ghost,180,,1,Physical,Decidueye-exclusive Z-Move.,
Sizzly Slide,7,Fire,90,100,15,Physical,Burns the opponent.,100
Sketch,2,Normal,,,1,Status,Permanently copies the opponent's last move.,
Skill Swap,3,Psychic,,,10,Status,The user swaps Abilities with the opponent.,
Skitter Smack,8,Bug,70,90,10,Physical,Lowers opponent's Sp. Attack.,
Skull Bash,1,Normal,130,100,10,Physical,"Raises Defense on first turn, attacks on second.",100
Sky Attack,1,Flying,140,90,5,Physical,"Charges on first turn, attacks on second. May cause flinching. High critical hit ratio.",30
Sky Drop,5,Flying,60,100,10,Physical,"Takes opponent into the air on first turn, drops them on second turn.",
Sky Uppercut,3,Fighting,85,90,15,Physical,"Hits the opponent, even during Fly.",
Slack Off,3,Normal,,,10,Status,User recovers half its max HP.,
Slam,1,Normal,80,75,20,Physical,,
Slash,1,Normal,70,100,20,Physical,High critical hit ratio.,
Sleep Powder,1,Grass,,75,15,Status,Puts opponent to sleep.,
Sleep Talk,2,Normal,,,10,Status,User performs one of its own moves while sleeping.,
Sludge,1,Poison,65,100,20,Special,May poison opponent.,30
Sludge Bomb,2,Poison,90,100,10,Special,May poison opponent.,30
Sludge Wave,5,Poison,95,100,10,Special,May poison opponent.,10
Smack Down,5,Rock,50,100,15,Physical,Makes Flying-type Pokémon vulnerable to Ground moves.,100
Smart Strike,7,Steel,70,,10,Physical,The user stabs the target with a sharp horn. This attack never misses.,
Smelling Salts,3,Normal,70,100,10,Physical,"Power doubles if opponent is paralyzed, but cures it.",
Smog,1,Poison,30,70,20,Special,May poison opponent.,40
Smokescreen,1,Normal,,100,20,Status,Lowers opponent's Accuracy.,
Snap Trap,8,Grass,35,100,15,Physical,"Traps opponent, damaging them for 4-5 turns.",100
Snarl,5,Dark,55,95,15,Special,Lowers opponent's Special Attack.,100
Snatch,3,Dark,,,10,Status,Steals the effects of the opponent's next move.,
Snipe Shot,8,Water,80,100,15,Special,Ignores moves and abilities that draw in moves. High critical hit ratio.,
Snore,2,Normal,50,100,15,Special,Can only be used if asleep. May cause flinching.,30
Soak,5,Water,,100,20,Status,Changes the target's type to water.,
Soft Boiled,1,Normal,,,10,Status,User recovers half its max HP.,
Solar Beam,1,Grass,120,100,10,Special,"Charges on first turn, attacks on second.",
Solar Blade,7,Grass,125,100,10,Physical,"Charges on first turn, attacks on second.",
Sonic Boom,1,Normal,,90,20,Special,Always inflicts 20 HP.,
Soul Stealing 7 Star Strike,7,Ghost,195,,1,Physical,Marshadow-exclusive Z-Move.,
Spacial Rend,4,Dragon,100,95,5,Special,High critical hit ratio.,
Spark,2,Electric,65,100,20,Physical,May paralyze opponent.,30
Sparkling Aria,7,Water,90,100,10,Special,Heals the burns of its target.,
Sparkly Swirl,7,Fairy,90,100,15,Special,Cures all status problems in the party Pokémon.,
Spectral Thief,7,Ghost,90,100,10,Physical,"The user hides in the target's shadow, steals the target's stat boosts, and then attacks.",
Speed Swap,7,Psychic,,,10,Status,The user exchanges Speed stats with the target.,
Spider Web,2,Bug,,,10,Status,Opponent cannot escape/switch.,
Spike Cannon,1,Normal,20,100,15,Physical,Hits 2-5 times in one turn.,
Spikes,2,Ground,,,20,Status,Hurts opponents when they switch into battle.,
Spiky Shield,6,Grass,,,10,Status,Protects the user and inflicts damage on contact.,
Spirit Break,8,Fairy,75,100,15,Physical,Lowers opponent's Special Attack.,100
Spirit Shackle,7,Ghost,80,100,10,Physical,Prevents the opponent from switching out.,
Spit Up,3,Normal,,100,10,Special,Power depends on how many times the user performed Stockpile.,
Spite,2,Ghost,,100,10,Status,The opponent's last move loses 2-5 PP.,
Splash,1,Normal,,,40,Status,Doesn't do ANYTHING.,
Splintered Stormshards,7,Rock,190,,1,Physical,Lycanroc-exclusive Z-Move.,
Splishy Splash,7,Water,90,100,15,Special,May paralyze opponent.,30
Spore,1,Grass,,100,15,Status,Puts opponent to sleep.,
Spotlight,7,Normal,,,15,Status,The user shines a spotlight on the target so that only the target will be attacked during the turn.,
Stealth Rock,4,Rock,,,20,Status,Damages opponent switching into battle.,
Steam Eruption,6,Water,110,95,5,Special,May burn opponent.,30
Steamroller,5,Bug,65,100,20,Physical,May cause flinching.,30
Steel Beam,8,Steel,140,95,5,Special,User loses 50% of its HP.,
Steel Roller,8,Steel,130,100,5,Physical,Fails if no Terrain in effect.,
Steel Wing,2,Steel,70,90,25,Physical,May raise user's Defense.,10
Sticky Web,6,Bug,,,20,Status,Lowers opponent's Speed when switching into battle.,
Stockpile,3,Normal,,,20,Status,Stores energy for use with Spit Up and Swallow.,
Stoked Sparksurfer,7,Electric,175,,1,Special,Alolan Raichu-exclusive Electric type Z-Move.,100
Stomp,1,Normal,65,100,20,Physical,May cause flinching.,30
Stomping Tantrum,7,Ground,75,100,10,Physical,"Driven by frustration, the user attacks the target. If the user's previous move has failed, the power of this move doubles.",
Stone Edge,4,Rock,100,80,5,Physical,High critical hit ratio.,
Stored Power,5,Psychic,20,100,10,Special,Power increases when user's stats have been raised.,
Storm Throw,5,Fighting,60,100,10,Physical,Always results in a critical hit.,100
Strange Steam,8,Fairy,90,95,10,Special,May confuse opponent.,20
Strength,1,Normal,80,100,15,Physical,,
Strength Sap,7,Grass,,100,10,Status,The user restores its HP by the same amount as the target's Attack stat. It also lowers the target's Attack stat.,100
String Shot,1,Bug,,95,40,Status,Sharply lowers opponent's Speed.,
Struggle,1,Normal,50,,,Physical,Only usable when all PP are gone. Hurts the user.,
Struggle Bug,5,Bug,50,100,20,Special,Lowers opponent's Special Attack.,100
Stuff Cheeks,8,Normal,,,10,Status,"The user eats its held Berry, then sharply raises its Defense stat.",100
Stun Spore,1,Grass,,75,30,Status,Paralyzes opponent.,
Submission,1,Fighting,80,80,20,Physical,User receives recoil damage.,
Substitute,1,Normal,,,10,Status,Uses HP to creates a decoy that takes hits.,
Sucker Punch,4,Dark,70,100,5,Physical,"User attacks first, but only works if opponent is readying an attack.",
Sunny Day,2,Fire,,,5,Status,Makes it sunny for 5 turns.,
Sunsteel Strike,7,Steel,100,100,5,Physical,Ignores the target's ability.,
Super Fang,1,Normal,,90,10,Physical,Always takes off half of the opponent's HP.,
Superpower,3,Fighting,120,100,5,Physical,Lowers user's Attack and Defense.,100
Supersonic,1,Normal,,55,20,Status,Confuses opponent.,
Surf,1,Water,90,100,15,Special,Hits all adjacent Pokémon.,
Surging Strikes,8,Water,25,100,5,Physical,Always results in a critical hit and ignores stat changes.,
Swagger,2,Normal,,85,15,Status,"Confuses opponent, but sharply raises its Attack.",
Swallow,3,Normal,,,10,Status,"The more times the user has performed Stockpile, the more HP is recovered.",
Sweet Kiss,2,Fairy,,75,10,Status,Confuses opponent.,
Sweet Scent,2,Normal,,100,20,Status,Lowers opponent's Evasiveness.,
Swift,1,Normal,60,∞,20,Special,Ignores Accuracy and Evasiveness.,
Switcheroo,4,Dark,,100,10,Status,Swaps held items with the opponent.,
Swords Dance,1,Normal,,,20,Status,Sharply raises user's Attack.,
Synchronoise,5,Psychic,120,100,10,Special,Hits any Pokémon that shares a type with the user.,
Synthesis,2,Grass,,,5,Status,User recovers HP. Amount varies with the weather.,
Tackle,1,Normal,40,100,35,Physical,,
Tail Glow,3,Bug,,,20,Status,Drastically raises user's Special Attack.,
Tail Slap,5,Normal,25,85,10,Physical,Hits 2-5 times in one turn.,
Tail Whip,1,Normal,,100,30,Status,Lowers opponent's Defense.,
Tailwind,4,Flying,,,15,Status,Doubles Speed for 4 turns.,
Take Down,1,Normal,90,85,20,Physical,User receives recoil damage.,
Tar Shot,8,Rock,,100,15,Status,Lowers the opponent's Speed and makes them weaker to Fire-type moves.,100
Taunt,3,Dark,,100,20,Status,Opponent can only use moves that attack.,
Tearful Look,7,Normal,,,20,Status,The user gets teary eyed to make the target lose its combative spirit. This lowers the target's Attack and Sp. Atk stats.,100
Teatime,8,Normal,,,10,Status,Forces all Pokémon on the field to eat their berries.,
Techno Blast,5,Normal,120,100,5,Special,Type depends on the Drive being held.,
Teeter Dance,3,Normal,,100,20,Status,Confuses all Pokémon.,
Telekinesis,5,Psychic,,,15,Status,"Ignores opponent's Evasiveness for three turns, add Ground immunity.",
Teleport,1,Psychic,,,20,Status,Allows user to flee wild battles; also warps player to last PokéCenter.,
