index;NationalPokedexNumber;Name;Species;Variant;Generation;Rarity;Type1;Type2;Total;HP;Attack;Defense;SpAtk;SpDef;Speed;image_url;Vgc2022Rules;MonthlyUsageMarch2022;UsagePercentMarch2022;MonthlyRankMarch2022;id;Label
261;198;Murkrow;Murkrow;;2;Common;Dark;Flying;405.0;60.0;85.0;42.0;85.0;42.0;91.0;https://img.pokemondb.net/sprites/sword-shield/icon/murkrow.png;;;;;Murkrow;Pokemon
262;199;Slowking;Slowking;;2;Common;Water;Psychic;490.0;95.0;75.0;80.0;100.0;110.0;30.0;https://img.pokemondb.net/sprites/sword-shield/icon/slowking.png;Permitted;2;0;113;Slowking;Pokemon
263;199;Galarian Slowking;Slowking;Galarian;8;Common;Poison;Psychic;490.0;95.0;65.0;80.0;110.0;110.0;30.0;https://img.pokemondb.net/sprites/sword-shield/icon/slowking-galarian.png;;;;;Galarian Slowking;Pokemon
264;200;Misdreavus;Misdreavus;;2;Common;Ghost;;435.0;60.0;60.0;60.0;85.0;85.0;85.0;https://img.pokemondb.net/sprites/sword-shield/icon/misdreavus.png;;;;;Misdreavus;Pokemon
265;201;Unown;Unown;;2;Common;Psychic;;336.0;48.0;72.0;48.0;72.0;48.0;48.0;https://img.pokemondb.net/sprites/sword-shield/icon/unown.png;;;;;Unown;Pokemon
266;202;Wobbuffet;Wobbuffet;;2;Common;Psychic;;405.0;190.0;33.0;58.0;33.0;58.0;33.0;https://img.pokemondb.net/sprites/sword-shield/icon/wobbuffet.png;Permitted;;;;Wobbuffet;Pokemon
267;203;Girafarig;Girafarig;;2;Common;Normal;Psychic;455.0;70.0;80.0;65.0;90.0;65.0;85.0;https://img.pokemondb.net/sprites/sword-shield/icon/girafarig.png;;;;;Girafarig;Pokemon
268;204;Pineco;Pineco;;2;Common;Bug;;290.0;50.0;65.0;90.0;35.0;35.0;15.0;https://img.pokemondb.net/sprites/sword-shield/icon/pineco.png;;;;;Pineco;Pokemon
269;205;Forretress;Forretress;;2;Common;Bug;Steel;465.0;75.0;90.0;140.0;60.0;60.0;40.0;https://img.pokemondb.net/sprites/sword-shield/icon/forretress.png;;;;;Forretress;Pokemon
270;206;Dunsparce;Dunsparce;;2;Common;Normal;;415.0;100.0;70.0;70.0;65.0;65.0;45.0;https://img.pokemondb.net/sprites/sword-shield/icon/dunsparce.png;Permitted;;;;Dunsparce;Pokemon
271;207;Gligar;Gligar;;2;Common;Ground;Flying;430.0;65.0;75.0;105.0;35.0;65.0;85.0;https://img.pokemondb.net/sprites/sword-shield/icon/gligar.png;;;;;Gligar;Pokemon
272;208;Steelix;Steelix;;2;Common;Steel;Ground;510.0;75.0;85.0;200.0;55.0;65.0;30.0;https://img.pokemondb.net/sprites/sword-shield/icon/steelix.png;Permitted;;;;Steelix;Pokemon
273;208;Mega Steelix;Steelix;Mega;6;Common;Steel;Ground;610.0;75.0;125.0;230.0;55.0;95.0;30.0;https://img.pokemondb.net/sprites/sword-shield/icon/steelix-mega.png;Banned;;;;Mega Steelix;Pokemon
274;209;Snubbull;Snubbull;;2;Common;Fairy;;300.0;60.0;80.0;50.0;40.0;40.0;30.0;https://img.pokemondb.net/sprites/sword-shield/icon/snubbull.png;;;;;Snubbull;Pokemon
275;210;Granbull;Granbull;;2;Common;Fairy;;450.0;90.0;120.0;75.0;60.0;60.0;45.0;https://img.pokemondb.net/sprites/sword-shield/icon/granbull.png;;;;;Granbull;Pokemon
276;211;Hisuian Qwilfish;Qwilfish;Hisuian;2;Common;Dark;Poison;440.0;65.0;95.0;85.0;55.0;55.0;85.0;https://img.pokemondb.net/s.png;;;;;Hisuian Qwilfish;Pokemon
277;211;Qwilfish;Qwilfish;;2;Common;Water;Poison;440.0;65.0;95.0;85.0;55.0;55.0;85.0;https://img.pokemondb.net/sprites/sword-shield/icon/qwilfish.png;Permitted;;;;Qwilfish;Pokemon
278;212;Mega Scizor;Scizor;Mega;6;Common;Bug;Steel;600.0;70.0;150.0;140.0;65.0;100.0;75.0;https://img.pokemondb.net/sprites/sword-shield/icon/scizor-mega.png;Banned;;;;Mega Scizor;Pokemon
279;212;Scizor;Scizor;;2;Common;Bug;Steel;500.0;70.0;130.0;100.0;55.0;80.0;65.0;https://img.pokemondb.net/sprites/sword-shield/icon/scizor.png;Permitted;7;0;116;Scizor;Pokemon
280;213;Shuckle;Shuckle;;2;Common;Bug;Rock;505.0;20.0;10.0;230.0;10.0;230.0;5.0;https://img.pokemondb.net/sprites/sword-shield/icon/shuckle.png;Permitted;7;0;92;Shuckle;Pokemon
281;214;Heracross;Heracross;;2;Common;Bug;Fighting;500.0;80.0;125.0;75.0;40.0;95.0;85.0;https://img.pokemondb.net/sprites/sword-shield/icon/heracross.png;Permitted;;;;Heracross;Pokemon
282;214;Mega Heracross;Heracross;Mega;6;Common;Bug;Fighting;600.0;80.0;185.0;115.0;40.0;105.0;75.0;https://img.pokemondb.net/sprites/sword-shield/icon/heracross-mega.png;Banned;;;;Mega Heracross;Pokemon
283;215;Hisuian Sneasel;Sneasel;Hisuian;2;Common;Poison;Fighting;430.0;55.0;95.0;55.0;35.0;75.0;115.0;https://img.pokemondb.net/s.png;;;;;Hisuian Sneasel;Pokemon
284;215;Sneasel;Sneasel;;2;Common;Dark;Ice;430.0;55.0;95.0;55.0;35.0;75.0;115.0;https://img.pokemondb.net/sprites/sword-shield/icon/sneasel.png;Permitted;3;0;108;Sneasel;Pokemon
285;216;Teddiursa;Teddiursa;;2;Common;Normal;;330.0;60.0;80.0;50.0;50.0;50.0;40.0;https://img.pokemondb.net/sprites/sword-shield/icon/teddiursa.png;;;;;Teddiursa;Pokemon
286;217;Ursaring;Ursaring;;2;Common;Normal;;500.0;90.0;130.0;75.0;75.0;75.0;55.0;https://img.pokemondb.net/sprites/sword-shield/icon/ursaring.png;;;;;Ursaring;Pokemon
287;218;Slugma;Slugma;;2;Common;Fire;;250.0;40.0;40.0;40.0;70.0;40.0;20.0;https://img.pokemondb.net/sprites/sword-shield/icon/slugma.png;;;;;Slugma;Pokemon
288;219;Magcargo;Magcargo;;2;Common;Fire;Rock;430.0;60.0;50.0;120.0;90.0;80.0;30.0;https://img.pokemondb.net/sprites/sword-shield/icon/magcargo.png;;;;;Magcargo;Pokemon
289;220;Swinub;Swinub;;2;Common;Ice;Ground;250.0;50.0;50.0;40.0;30.0;30.0;50.0;https://img.pokemondb.net/sprites/sword-shield/icon/swinub.png;Permitted;;;;Swinub;Pokemon
290;221;Piloswine;Piloswine;;2;Common;Ice;Ground;450.0;100.0;100.0;80.0;60.0;60.0;50.0;https://img.pokemondb.net/sprites/sword-shield/icon/piloswine.png;Permitted;;;;Piloswine;Pokemon
291;222;Corsola;Corsola;;2;Common;Water;Rock;410.0;65.0;55.0;95.0;65.0;95.0;35.0;https://img.pokemondb.net/sprites/sword-shield/icon/corsola.png;;;;;Corsola;Pokemon
292;222;Galarian Corsola;Corsola;Galarian;8;Common;Ghost;;410.0;60.0;55.0;100.0;65.0;100.0;30.0;https://img.pokemondb.net/sprites/sword-shield/icon/corsola-galarian.png;Permitted;;;;Galarian Corsola;Pokemon
293;223;Remoraid;Remoraid;;2;Common;Water;;300.0;35.0;65.0;35.0;65.0;35.0;65.0;https://img.pokemondb.net/sprites/sword-shield/icon/remoraid.png;Permitted;;;;Remoraid;Pokemon
294;224;Octillery;Octillery;;2;Common;Water;;480.0;75.0;105.0;75.0;105.0;75.0;45.0;https://img.pokemondb.net/sprites/sword-shield/icon/octillery.png;Permitted;;;;Octillery;Pokemon
295;225;Delibird;Delibird;;2;Common;Ice;Flying;330.0;45.0;55.0;45.0;65.0;45.0;75.0;https://img.pokemondb.net/sprites/sword-shield/icon/delibird.png;Permitted;;;;Delibird;Pokemon
296;226;Mantine;Mantine;;2;Common;Water;Flying;485.0;85.0;40.0;70.0;80.0;140.0;70.0;https://img.pokemondb.net/sprites/sword-shield/icon/mantine.png;Permitted;3;0;203;Mantine;Pokemon
297;227;Skarmory;Skarmory;;2;Common;Steel;Flying;465.0;65.0;80.0;140.0;40.0;70.0;70.0;https://img.pokemondb.net/sprites/sword-shield/icon/skarmory.png;Permitted;;;;Skarmory;Pokemon
298;228;Houndour;Houndour;;2;Common;Dark;Fire;330.0;45.0;60.0;30.0;80.0;50.0;65.0;https://img.pokemondb.net/sprites/sword-shield/icon/houndour.png;;;;;Houndour;Pokemon
299;229;Houndoom;Houndoom;;2;Common;Dark;Fire;500.0;75.0;90.0;50.0;110.0;80.0;95.0;https://img.pokemondb.net/sprites/sword-shield/icon/houndoom.png;;;;;Houndoom;Pokemon
300;229;Mega Houndoom;Houndoom;Mega;6;Common;Dark;Fire;600.0;75.0;90.0;90.0;140.0;90.0;115.0;https://img.pokemondb.net/sprites/sword-shield/icon/houndoom-mega.png;Banned;;;;Mega Houndoom;Pokemon
301;230;Kingdra;Kingdra;;2;Common;Water;Dragon;540.0;75.0;95.0;95.0;95.0;95.0;85.0;https://img.pokemondb.net/sprites/sword-shield/icon/kingdra.png;Permitted;37;3;34;Kingdra;Pokemon
302;231;Phanpy;Phanpy;;2;Common;Ground;;330.0;90.0;60.0;60.0;40.0;40.0;40.0;https://img.pokemondb.net/sprites/sword-shield/icon/phanpy.png;;;;;Phanpy;Pokemon
303;232;Donphan;Donphan;;2;Common;Ground;;500.0;90.0;120.0;120.0;60.0;60.0;50.0;https://img.pokemondb.net/sprites/sword-shield/icon/donphan.png;;;;;Donphan;Pokemon
304;233;Porygon2;Porygon2;;2;Common;Normal;;515.0;85.0;80.0;90.0;105.0;95.0;60.0;https://img.pokemondb.net/sprites/sword-shield/icon/porygon2.png;Permitted;117;9;19;Porygon2;Pokemon
305;234;Stantler;Stantler;;2;Common;Normal;;465.0;73.0;95.0;62.0;85.0;65.0;85.0;https://img.pokemondb.net/sprites/sword-shield/icon/stantler.png;;;;;Stantler;Pokemon
306;235;Smeargle;Smeargle;;2;Common;Normal;;250.0;55.0;20.0;35.0;20.0;45.0;75.0;https://img.pokemondb.net/sprites/sword-shield/icon/smeargle.png;;;;;Smeargle;Pokemon
307;236;Tyrogue;Tyrogue;;2;Baby;Fighting;;210.0;35.0;35.0;35.0;35.0;35.0;35.0;https://img.pokemondb.net/sprites/sword-shield/icon/tyrogue.png;Permitted;;;;Tyrogue;Pokemon
308;237;Hitmontop;Hitmontop;;2;Common;Fighting;;455.0;50.0;95.0;95.0;35.0;110.0;70.0;https://img.pokemondb.net/sprites/sword-shield/icon/hitmontop.png;Permitted;27;0;89;Hitmontop;Pokemon
309;238;Smoochum;Smoochum;;2;Baby;Ice;Psychic;305.0;45.0;30.0;15.0;85.0;65.0;65.0;https://img.pokemondb.net/sprites/sword-shield/icon/smoochum.png;Permitted;;;;Smoochum;Pokemon
310;239;Elekid;Elekid;;2;Baby;Electric;;360.0;45.0;63.0;37.0;65.0;55.0;95.0;https://img.pokemondb.net/sprites/sword-shield/icon/elekid.png;Permitted;;;;Elekid;Pokemon
311;240;Magby;Magby;;2;Baby;Fire;;365.0;45.0;75.0;37.0;70.0;55.0;83.0;https://img.pokemondb.net/sprites/sword-shield/icon/magby.png;Permitted;;;;Magby;Pokemon
312;241;Miltank;Miltank;;2;Common;Normal;;490.0;95.0;80.0;105.0;40.0;70.0;100.0;https://img.pokemondb.net/sprites/sword-shield/icon/miltank.png;Permitted;;;;Miltank;Pokemon
313;242;Blissey;Blissey;;2;Common;Normal;;540.0;255.0;10.0;10.0;75.0;135.0;55.0;https://img.pokemondb.net/sprites/sword-shield/icon/blissey.png;Permitted;3;0;223;Blissey;Pokemon
314;243;Raikou;Raikou;;2;Legendary;Electric;;580.0;90.0;85.0;75.0;115.0;100.0;115.0;https://img.pokemondb.net/sprites/sword-shield/icon/raikou.png;Permitted;7;0;125;Raikou;Pokemon
315;244;Entei;Entei;;2;Legendary;Fire;;580.0;115.0;115.0;85.0;90.0;75.0;100.0;https://img.pokemondb.net/sprites/sword-shield/icon/entei.png;Permitted;50;2;37;Entei;Pokemon
316;245;Suicune;Suicune;;2;Legendary;Water;;580.0;100.0;75.0;115.0;90.0;115.0;85.0;https://img.pokemondb.net/sprites/sword-shield/icon/suicune.png;Permitted;28;0;77;Suicune;Pokemon
317;246;Larvitar;Larvitar;;2;Common;Rock;Ground;300.0;50.0;64.0;50.0;45.0;50.0;41.0;https://img.pokemondb.net/sprites/sword-shield/icon/larvitar.png;Permitted;;;;Larvitar;Pokemon
318;247;Pupitar;Pupitar;;2;Common;Rock;Ground;410.0;70.0;84.0;70.0;65.0;70.0;51.0;https://img.pokemondb.net/sprites/sword-shield/icon/pupitar.png;Permitted;;;;Pupitar;Pokemon
319;248;Mega Tyranitar;Tyranitar;Mega;6;Common;Rock;Dark;700.0;100.0;164.0;150.0;95.0;120.0;71.0;https://img.pokemondb.net/sprites/sword-shield/icon/tyranitar-mega.png;Banned;;;;Mega Tyranitar;Pokemon
320;248;Tyranitar;Tyranitar;;2;Common;Rock;Dark;600.0;100.0;134.0;110.0;95.0;100.0;61.0;https://img.pokemondb.net/sprites/sword-shield/icon/tyranitar.png;Permitted;24;0;118;Tyranitar;Pokemon
321;249;Lugia;Lugia;;2;Legendary;Psychic;Flying;680.0;106.0;90.0;130.0;90.0;154.0;110.0;https://img.pokemondb.net/sprites/sword-shield/icon/lugia.png;Restricted (players can include two Restricted Pokémon in their team);27;0;75;Lugia;Pokemon
322;250;Ho-oh;Ho-oh;;2;Legendary;Fire;Flying;680.0;106.0;130.0;90.0;110.0;154.0;90.0;https://img.pokemondb.net/sprites/sword-shield/icon/ho-oh.png;Restricted (players can include two Restricted Pokémon in their team);75;1;47;Ho-oh;Pokemon
323;251;Celebi;Celebi;;2;Mythical;Psychic;Grass;600.0;100.0;100.0;100.0;100.0;100.0;100.0;https://img.pokemondb.net/sprites/sword-shield/icon/celebi.png;Banned;;;;Celebi;Pokemon
324;252;Treecko;Treecko;;3;Common;Grass;;310.0;40.0;45.0;35.0;65.0;55.0;70.0;https://img.pokemondb.net/sprites/sword-shield/icon/treecko.png;Permitted;;;;Treecko;Pokemon
325;253;Grovyle;Grovyle;;3;Common;Grass;;405.0;50.0;65.0;45.0;85.0;65.0;95.0;https://img.pokemondb.net/sprites/sword-shield/icon/grovyle.png;Permitted;;;;Grovyle;Pokemon
326;254;Mega Sceptile;Sceptile;Mega;6;Common;Grass;Dragon;630.0;70.0;110.0;75.0;145.0;85.0;145.0;https://img.pokemondb.net/sprites/sword-shield/icon/sceptile-mega.png;Banned;;;;Mega Sceptile;Pokemon
327;254;Sceptile;Sceptile;;3;Common;Grass;;530.0;70.0;85.0;65.0;105.0;85.0;120.0;https://img.pokemondb.net/sprites/sword-shield/icon/sceptile.png;Permitted;5;0;146;Sceptile;Pokemon
328;255;Torchic;Torchic;;3;Common;Fire;;310.0;45.0;60.0;40.0;70.0;50.0;45.0;https://img.pokemondb.net/sprites/sword-shield/icon/torchic.png;Permitted;;;;Torchic;Pokemon
329;256;Combusken;Combusken;;3;Common;Fire;Fighting;405.0;60.0;85.0;60.0;85.0;60.0;55.0;https://img.pokemondb.net/sprites/sword-shield/icon/combusken.png;Permitted;;;;Combusken;Pokemon
330;257;Blaziken;Blaziken;;3;Common;Fire;Fighting;530.0;80.0;120.0;70.0;110.0;70.0;80.0;https://img.pokemondb.net/sprites/sword-shield/icon/blaziken.png;Permitted;6;0;225;Blaziken;Pokemon
331;257;Mega Blaziken;Blaziken;Mega;6;Common;Fire;Fighting;630.0;80.0;160.0;80.0;130.0;80.0;100.0;https://img.pokemondb.net/sprites/sword-shield/icon/blaziken-mega.png;Banned;;;;Mega Blaziken;Pokemon
332;258;Mudkip;Mudkip;;3;Common;Water;;310.0;50.0;70.0;50.0;50.0;50.0;40.0;https://img.pokemondb.net/sprites/sword-shield/icon/mudkip.png;Permitted;;;;Mudkip;Pokemon
333;259;Marshtomp;Marshtomp;;3;Common;Water;Ground;405.0;70.0;85.0;70.0;60.0;70.0;50.0;https://img.pokemondb.net/sprites/sword-shield/icon/marshtomp.png;Permitted;;;;Marshtomp;Pokemon
334;260;Mega Swampert;Swampert;Mega;6;Common;Water;Ground;635.0;100.0;150.0;110.0;95.0;110.0;70.0;https://img.pokemondb.net/sprites/sword-shield/icon/swampert-mega.png;Banned;;;;Mega Swampert;Pokemon
335;260;Swampert;Swampert;;3;Common;Water;Ground;535.0;100.0;110.0;90.0;85.0;90.0;60.0;https://img.pokemondb.net/sprites/sword-shield/icon/swampert.png;Permitted;7;0;114;Swampert;Pokemon
336;261;Poochyena;Poochyena;;3;Common;Dark;;220.0;35.0;55.0;35.0;30.0;30.0;35.0;https://img.pokemondb.net/sprites/sword-shield/icon/poochyena.png;;;;;Poochyena;Pokemon
337;262;Mightyena;Mightyena;;3;Common;Dark;;420.0;70.0;90.0;70.0;60.0;60.0;70.0;https://img.pokemondb.net/sprites/sword-shield/icon/mightyena.png;;;;;Mightyena;Pokemon
338;263;Zigzagoon;Zigzagoon;;3;Common;Normal;;240.0;38.0;30.0;41.0;30.0;41.0;60.0;https://img.pokemondb.net/sprites/sword-shield/icon/zigzagoon.png;;;;;Zigzagoon;Pokemon
339;263;Galarian Zigzagoon;Zigzagoon;Galarian;8;Common;Dark;Normal;240.0;38.0;30.0;41.0;30.0;41.0;60.0;https://img.pokemondb.net/sprites/sword-shield/icon/zigzagoon-galarian.png;Permitted;;;;Galarian Zigzagoon;Pokemon
340;264;Linoone;Linoone;;3;Common;Normal;;420.0;78.0;70.0;61.0;50.0;61.0;100.0;https://img.pokemondb.net/sprites/sword-shield/icon/linoone.png;Permitted;;;;Linoone;Pokemon
341;264;Galarian Linoone;Linoone;Galarian;8;Common;Dark;Normal;420.0;78.0;70.0;61.0;50.0;61.0;100.0;https://img.pokemondb.net/sprites/sword-shield/icon/linoone-galarian.png;Permitted;;;;Galarian Linoone;Pokemon
342;265;Wurmple;Wurmple;;3;Common;Bug;;195.0;45.0;45.0;35.0;20.0;30.0;20.0;https://img.pokemondb.net/sprites/sword-shield/icon/wurmple.png;;;;;Wurmple;Pokemon
343;266;Silcoon;Silcoon;;3;Common;Bug;;205.0;50.0;35.0;55.0;25.0;25.0;15.0;https://img.pokemondb.net/sprites/sword-shield/icon/silcoon.png;;;;;Silcoon;Pokemon
344;267;Beautifly;Beautifly;;3;Common;Bug;Flying;395.0;60.0;70.0;50.0;100.0;50.0;65.0;https://img.pokemondb.net/sprites/sword-shield/icon/beautifly.png;;;;;Beautifly;Pokemon
345;268;Cascoon;Cascoon;;3;Common;Bug;;205.0;50.0;35.0;55.0;25.0;25.0;15.0;https://img.pokemondb.net/sprites/sword-shield/icon/cascoon.png;;;;;Cascoon;Pokemon
346;269;Dustox;Dustox;;3;Common;Bug;Poison;385.0;60.0;50.0;70.0;50.0;90.0;65.0;https://img.pokemondb.net/sprites/sword-shield/icon/dustox.png;;;;;Dustox;Pokemon
347;270;Lotad;Lotad;;3;Common;Water;Grass;220.0;40.0;30.0;30.0;40.0;50.0;30.0;https://img.pokemondb.net/sprites/sword-shield/icon/lotad.png;Permitted;;;;Lotad;Pokemon
348;271;Lombre;Lombre;;3;Common;Water;Grass;340.0;60.0;50.0;50.0;60.0;70.0;50.0;https://img.pokemondb.net/sprites/sword-shield/icon/lombre.png;Permitted;;;;Lombre;Pokemon
349;272;Ludicolo;Ludicolo;;3;Common;Water;Grass;480.0;80.0;70.0;70.0;90.0;100.0;70.0;https://img.pokemondb.net/sprites/sword-shield/icon/ludicolo.png;Permitted;16;0;112;Ludicolo;Pokemon
350;273;Seedot;Seedot;;3;Common;Grass;;220.0;40.0;40.0;50.0;30.0;30.0;30.0;https://img.pokemondb.net/sprites/sword-shield/icon/seedot.png;Permitted;;;;Seedot;Pokemon
351;274;Nuzleaf;Nuzleaf;;3;Common;Grass;Dark;340.0;70.0;70.0;40.0;60.0;40.0;60.0;https://img.pokemondb.net/sprites/sword-shield/icon/nuzleaf.png;Permitted;;;;Nuzleaf;Pokemon
352;275;Shiftry;Shiftry;;3;Common;Grass;Dark;480.0;90.0;100.0;60.0;90.0;60.0;80.0;https://img.pokemondb.net/sprites/sword-shield/icon/shiftry.png;Permitted;3;0;142;Shiftry;Pokemon
353;276;Taillow;Taillow;;3;Common;Normal;Flying;270.0;40.0;55.0;30.0;30.0;30.0;85.0;https://img.pokemondb.net/sprites/sword-shield/icon/taillow.png;;;;;Taillow;Pokemon
354;277;Swellow;Swellow;;3;Common;Normal;Flying;455.0;60.0;85.0;60.0;75.0;50.0;125.0;https://img.pokemondb.net/sprites/sword-shield/icon/swellow.png;;;;;Swellow;Pokemon
355;278;Wingull;Wingull;;3;Common;Water;Flying;270.0;40.0;30.0;30.0;55.0;30.0;85.0;https://img.pokemondb.net/sprites/sword-shield/icon/wingull.png;Permitted;;;;Wingull;Pokemon
356;279;Pelipper;Pelipper;;3;Common;Water;Flying;440.0;60.0;50.0;100.0;95.0;70.0;65.0;https://img.pokemondb.net/sprites/sword-shield/icon/pelipper.png;Permitted;8;0;126;Pelipper;Pokemon
357;280;Ralts;Ralts;;3;Common;Psychic;Fairy;198.0;28.0;25.0;25.0;45.0;35.0;40.0;https://img.pokemondb.net/sprites/sword-shield/icon/ralts.png;Permitted;;;;Ralts;Pokemon
358;281;Kirlia;Kirlia;;3;Common;Psychic;Fairy;278.0;38.0;35.0;35.0;65.0;55.0;50.0;https://img.pokemondb.net/sprites/sword-shield/icon/kirlia.png;Permitted;;;;Kirlia;Pokemon
359;282;Gardevoir;Gardevoir;;3;Common;Psychic;Fairy;518.0;68.0;65.0;65.0;125.0;115.0;80.0;https://img.pokemondb.net/sprites/sword-shield/icon/gardevoir.png;Permitted;;;;Gardevoir;Pokemon
360;282;Mega Gardevoir;Gardevoir;Mega;6;Common;Psychic;Fairy;618.0;68.0;85.0;65.0;165.0;135.0;100.0;https://img.pokemondb.net/sprites/sword-shield/icon/gardevoir-mega.png;Banned;;;;Mega Gardevoir;Pokemon
361;283;Surskit;Surskit;;3;Common;Bug;Water;269.0;40.0;30.0;32.0;50.0;52.0;65.0;https://img.pokemondb.net/sprites/sword-shield/icon/surskit.png;;;;;Surskit;Pokemon
362;284;Masquerain;Masquerain;;3;Common;Bug;Flying;454.0;70.0;60.0;62.0;100.0;82.0;80.0;https://img.pokemondb.net/sprites/sword-shield/icon/masquerain.png;;;;;Masquerain;Pokemon
363;285;Shroomish;Shroomish;;3;Common;Grass;;295.0;60.0;40.0;60.0;40.0;60.0;35.0;https://img.pokemondb.net/sprites/sword-shield/icon/shroomish.png;;;;;Shroomish;Pokemon
364;286;Breloom;Breloom;;3;Common;Grass;Fighting;460.0;60.0;130.0;80.0;60.0;60.0;70.0;https://img.pokemondb.net/sprites/sword-shield/icon/breloom.png;;;;;Breloom;Pokemon
365;287;Slakoth;Slakoth;;3;Common;Normal;;280.0;60.0;60.0;60.0;35.0;35.0;30.0;https://img.pokemondb.net/sprites/sword-shield/icon/slakoth.png;;;;;Slakoth;Pokemon
366;288;Vigoroth;Vigoroth;;3;Common;Normal;;440.0;80.0;80.0;80.0;55.0;55.0;90.0;https://img.pokemondb.net/sprites/sword-shield/icon/vigoroth.png;;;;;Vigoroth;Pokemon
367;289;Slaking;Slaking;;3;Common;Normal;;670.0;150.0;160.0;100.0;95.0;65.0;100.0;https://img.pokemondb.net/sprites/sword-shield/icon/slaking.png;;;;;Slaking;Pokemon
368;290;Nincada;Nincada;;3;Common;Bug;Ground;266.0;31.0;45.0;90.0;30.0;30.0;40.0;https://img.pokemondb.net/sprites/sword-shield/icon/nincada.png;Permitted;;;;Nincada;Pokemon
369;291;Ninjask;Ninjask;;3;Common;Bug;Flying;456.0;61.0;90.0;45.0;50.0;50.0;160.0;https://img.pokemondb.net/sprites/sword-shield/icon/ninjask.png;Permitted;;;;Ninjask;Pokemon
370;292;Shedinja;Shedinja;;3;Common;Bug;Ghost;236.0;1.0;90.0;45.0;30.0;30.0;40.0;https://img.pokemondb.net/sprites/sword-shield/icon/shedinja.png;Permitted;42;4;30;Shedinja;Pokemon
371;293;Whismur;Whismur;;3;Common;Normal;;240.0;64.0;51.0;23.0;51.0;23.0;28.0;https://img.pokemondb.net/sprites/sword-shield/icon/whismur.png;Permitted;;;;Whismur;Pokemon
372;294;Loudred;Loudred;;3;Common;Normal;;360.0;84.0;71.0;43.0;71.0;43.0;48.0;https://img.pokemondb.net/sprites/sword-shield/icon/loudred.png;Permitted;;;;Loudred;Pokemon
373;295;Exploud;Exploud;;3;Common;Normal;;490.0;104.0;91.0;63.0;91.0;73.0;68.0;https://img.pokemondb.net/sprites/sword-shield/icon/exploud.png;Permitted;;;;Exploud;Pokemon
374;296;Makuhita;Makuhita;;3;Common;Fighting;;237.0;72.0;60.0;30.0;20.0;30.0;25.0;https://img.pokemondb.net/sprites/sword-shield/icon/makuhita.png;;;;;Makuhita;Pokemon
375;297;Hariyama;Hariyama;;3;Common;Fighting;;474.0;144.0;120.0;60.0;40.0;60.0;50.0;https://img.pokemondb.net/sprites/sword-shield/icon/hariyama.png;;;;;Hariyama;Pokemon
376;298;Azurill;Azurill;;3;Baby;Normal;Fairy;190.0;50.0;20.0;40.0;20.0;40.0;20.0;https://img.pokemondb.net/sprites/sword-shield/icon/azurill.png;Permitted;;;;Azurill;Pokemon
377;299;Nosepass;Nosepass;;3;Common;Rock;;375.0;30.0;45.0;135.0;45.0;90.0;30.0;https://img.pokemondb.net/sprites/sword-shield/icon/nosepass.png;;;;;Nosepass;Pokemon
378;300;Skitty;Skitty;;3;Common;Normal;;260.0;50.0;45.0;45.0;35.0;35.0;50.0;https://img.pokemondb.net/sprites/sword-shield/icon/skitty.png;;;;;Skitty;Pokemon
379;301;Delcatty;Delcatty;;3;Common;Normal;;400.0;70.0;65.0;65.0;55.0;55.0;90.0;https://img.pokemondb.net/sprites/sword-shield/icon/delcatty.png;;;;;Delcatty;Pokemon
380;302;Mega Sableye;Sableye;Mega;6;Common;Dark;Ghost;480.0;50.0;85.0;125.0;85.0;115.0;20.0;https://img.pokemondb.net/sprites/sword-shield/icon/sableye-mega.png;Banned;;;;Mega Sableye;Pokemon
381;302;Sableye;Sableye;;3;Common;Dark;Ghost;380.0;50.0;75.0;75.0;65.0;65.0;50.0;https://img.pokemondb.net/sprites/sword-shield/icon/sableye.png;Permitted;47;2;41;Sableye;Pokemon
382;303;Mawile;Mawile;;3;Common;Steel;Fairy;380.0;50.0;85.0;85.0;55.0;55.0;50.0;https://img.pokemondb.net/sprites/sword-shield/icon/mawile.png;Permitted;;;;Mawile;Pokemon
383;303;Mega Mawile;Mawile;Mega;6;Common;Steel;Fairy;480.0;50.0;105.0;125.0;55.0;95.0;50.0;https://img.pokemondb.net/sprites/sword-shield/icon/mawile-mega.png;Banned;;;;Mega Mawile;Pokemon
384;304;Aron;Aron;;3;Common;Steel;Rock;330.0;50.0;70.0;100.0;40.0;40.0;30.0;https://img.pokemondb.net/sprites/sword-shield/icon/aron.png;Permitted;;;;Aron;Pokemon
385;305;Lairon;Lairon;;3;Common;Steel;Rock;430.0;60.0;90.0;140.0;50.0;50.0;40.0;https://img.pokemondb.net/sprites/sword-shield/icon/lairon.png;Permitted;;;;Lairon;Pokemon
386;306;Aggron;Aggron;;3;Common;Steel;Rock;530.0;70.0;110.0;180.0;60.0;60.0;50.0;https://img.pokemondb.net/sprites/sword-shield/icon/aggron.png;Permitted;;;;Aggron;Pokemon
387;306;Mega Aggron;Aggron;Mega;6;Common;Steel;;630.0;70.0;140.0;230.0;60.0;80.0;50.0;https://img.pokemondb.net/sprites/sword-shield/icon/aggron-mega.png;Banned;;;;Mega Aggron;Pokemon
