index;Name;IntroductedIn;Type;Power;Acc;PP;DamageClass;Effect;ProbPercentage;id;Label
255;Fury Swipes;1;Normal;18.0;80;15.0;Physical;Hits 2-5 times in one turn.;;Fury Swipes;Move
256;Fusion Bolt;5;Electric;100.0;100;5.0;Physical;Power increases if Fusion Flare is used in the same turn.;;Fusion Bolt;Move
257;Fusion Flare;5;Fire;100.0;100;5.0;Special;Power increases if Fusion Bolt is used in the same turn.;;Fusion Flare;Move
258;Future Sight;2;Psychic;120.0;100;10.0;Special;Damage occurs 2 turns later.;;Future Sight;Move
259;Gastro Acid;4;Poison;;100;10.0;Status;Cancels out the effect of the opponent's Ability.;;Gastro Acid;Move
260;Gear Grind;5;Steel;50.0;85;15.0;Physical;Hits twice in one turn.;;Gear Grind;Move
261;Gear Up;7;Steel;;;20.0;Status;The user engages its gears to raise the Attack and Sp. Atk stats of ally Pokémon with the Plus or Minus Ability.;;Gear Up;Move
262;Genesis Supernova;7;Psychic;185.0;;1.0;Special;Mew-exclusive Z-Move.;;Genesis Supernova;Move
263;Geomancy;6;Fairy;;;10.0;Status;Charges on first turn, sharply raises user's Sp. Attack, Sp. Defense and Speed on the second.;;Geomancy;Move
264;Giga Drain;2;Grass;75.0;100;10.0;Special;User recovers half the HP inflicted on opponent.;;Giga Drain;Move
265;Giga Impact;4;Normal;150.0;90;5.0;Physical;User must recharge next turn.;;Giga Impact;Move
266;Glacial Lance;8;Ice;130.0;100;5.0;Physical;The user attacks by hurling a blizzard-cloaked icicle lance at opposing Pokémon.;;Glacial Lance;Move
267;Glaciate;5;Ice;65.0;95;10.0;Special;Lowers opponent's Speed.;100.0;Glaciate;Move
268;Glare;1;Normal;;100;30.0;Status;Paralyzes opponent.;;Glare;Move
269;Glitzy Glow;7;Psychic;90.0;100;15.0;Special;Reduces damage from Special attacks.;;Glitzy Glow;Move
270;Grass Knot;4;Grass;;100;20.0;Special;The heavier the opponent, the stronger the attack.;;Grass Knot;Move
271;Grass Pledge;5;Grass;80.0;100;10.0;Special;Added effects appear if preceded by Water Pledge or succeeded by Fire Pledge.;;Grass Pledge;Move
272;Grass Whistle;3;Grass;;55;15.0;Status;Puts opponent to sleep.;;Grass Whistle;Move
273;Grassy Glide;8;Grass;70.0;100;20.0;Physical;High priority during Grassy Terrain.;;Grassy Glide;Move
274;Grassy Terrain;6;Grass;;;10.0;Status;Restores a little HP of all Pokémon for 5 turns.;;Grassy Terrain;Move
275;Grav Apple;8;Grass;80.0;100;10.0;Physical;Lowers the opponent's Defense stat.;100.0;Grav Apple;Move
276;Gravity;4;Psychic;;;5.0;Status;Prevents moves like Fly and Bounce and the Ability Levitate for 5 turns.;;Gravity;Move
277;Growl;1;Normal;;100;40.0;Status;Lowers opponent's Attack.;;Growl;Move
278;Growth;1;Normal;;;20.0;Status;Raises user's Attack and Special Attack.;;Growth;Move
279;Grudge;3;Ghost;;;5.0;Status;If the users faints after using this move, the PP for the opponent's last move is depleted.;;Grudge;Move
280;Guard Split;5;Psychic;;;10.0;Status;Averages Defense and Special Defense with the target.;;Guard Split;Move
281;Guard Swap;4;Psychic;;;10.0;Status;User and opponent swap Defense and Special Defense.;;Guard Swap;Move
282;Guardian Of Alola;7;Fairy;;;1.0;Special;Tapu-exclusive Z-move. Cuts opponent's HP by 75%.;;Guardian Of Alola;Move
283;Guillotine;1;Normal;;30;5.0;Physical;One-Hit-KO, if it hits.;;Guillotine;Move
284;Gunk Shot;4;Poison;120.0;80;5.0;Physical;May poison opponent.;30.0;Gunk Shot;Move
285;Gust;1;Flying;40.0;100;35.0;Special;Hits Pokémon using Fly/Bounce with double power.;;Gust;Move
286;Gyro Ball;4;Steel;;100;5.0;Physical;The slower the user, the stronger the attack.;;Gyro Ball;Move
287;Hail;3;Ice;;;10.0;Status;Non-Ice types are damaged for 5 turns.;;Hail;Move
288;Hammer Arm;4;Fighting;100.0;90;10.0;Physical;Lowers user's Speed.;100.0;Hammer Arm;Move
289;Happy Hour;6;Normal;;;30.0;Status;Doubles prize money from trainer battles.;;Happy Hour;Move
290;Harden;1;Normal;;;30.0;Status;Raises user's Defense.;;Harden;Move
291;Haze;1;Ice;;;30.0;Status;Resets all stat changes.;;Haze;Move
292;Head Charge;5;Normal;120.0;100;15.0;Physical;User receives recoil damage.;;Head Charge;Move
293;Head Smash;4;Rock;150.0;80;5.0;Physical;User receives recoil damage.;;Head Smash;Move
294;Headbutt;1;Normal;70.0;100;15.0;Physical;May cause flinching.;30.0;Headbutt;Move
295;Heal Bell;2;Normal;;;5.0;Status;Heals the user's party's status conditions.;;Heal Bell;Move
296;Heal Block;4;Psychic;;100;15.0;Status;Prevents the opponent from restoring HP for 5 turns.;;Heal Block;Move
297;Heal Order;4;Bug;;;10.0;Status;User recovers half its max HP.;;Heal Order;Move
298;Heal Pulse;5;Psychic;;;10.0;Status;Restores half the target's max HP.;;Heal Pulse;Move
299;Healing Wish;4;Psychic;;;10.0;Status;The user faints and the next Pokémon released is fully healed.;;Healing Wish;Move
300;Heart Stamp;5;Psychic;60.0;100;25.0;Physical;May cause flinching.;30.0;Heart Stamp;Move
301;Heart Swap;4;Psychic;;;10.0;Status;Stat changes are swapped with the opponent.;;Heart Swap;Move
302;Heat Crash;5;Fire;;100;10.0;Physical;The heavier the user, the stronger the attack.;;Heat Crash;Move
303;Heat Wave;3;Fire;95.0;90;10.0;Special;May burn opponent.;10.0;Heat Wave;Move
304;Heavy Slam;5;Steel;;100;10.0;Physical;The heavier the user, the stronger the attack.;;Heavy Slam;Move
305;Helping Hand;3;Normal;;;20.0;Status;In Double Battles, boosts the power of the partner's move.;;Helping Hand;Move
306;Hex;5;Ghost;65.0;100;10.0;Special;Inflicts more damage if the target has a status condition.;;Hex;Move
307;Hidden Power;2;Normal;60.0;100;15.0;Special;Type and power depends on user's IVs.;;Hidden Power;Move
308;High Horsepower;7;Ground;95.0;95;10.0;Physical;The user fiercely attacks the target using its entire body.;;High Horsepower;Move
309;High Jump Kick;1;Fighting;130.0;90;10.0;Physical;If it misses, the user loses half their HP.;;High Jump Kick;Move
310;Hold Back;6;Normal;40.0;100;40.0;Physical;Always leaves opponent with at least 1 HP.;;Hold Back;Move
311;Hold Hands;6;Normal;;;40.0;Status;Makes the user and an ally very happy.;;Hold Hands;Move
312;Hone Claws;5;Dark;;;15.0;Status;Raises user's Attack and Accuracy.;;Hone Claws;Move
313;Horn Attack;1;Normal;65.0;100;25.0;Physical;;;Horn Attack;Move
314;Horn Drill;1;Normal;;30;5.0;Physical;One-Hit-KO, if it hits.;;Horn Drill;Move
315;Horn Leech;5;Grass;75.0;100;10.0;Physical;User recovers half the HP inflicted on opponent.;;Horn Leech;Move
316;Howl;3;Normal;;;40.0;Status;Raises Attack of allies.;;Howl;Move
317;Hurricane;5;Flying;110.0;70;10.0;Special;May confuse opponent.;30.0;Hurricane;Move
318;Hydro Cannon;3;Water;150.0;90;5.0;Special;User must recharge next turn.;;Hydro Cannon;Move
319;Hydro Pump;1;Water;110.0;80;5.0;Special;;;Hydro Pump;Move
320;Hyper Beam;1;Normal;150.0;90;5.0;Special;User must recharge next turn.;;Hyper Beam;Move
321;Hyper Fang;1;Normal;80.0;90;15.0;Physical;May cause flinching.;10.0;Hyper Fang;Move
322;Hyper Voice;3;Normal;90.0;100;10.0;Special;;;Hyper Voice;Move
323;Hyperspace Fury;6;Dark;100.0;∞;5.0;Physical;Lowers user's Defense. Can strike through Protect/Detect.;100.0;Hyperspace Fury;Move
324;Hyperspace Hole;6;Psychic;80.0;∞;5.0;Special;Can strike through Protect/Detect.;;Hyperspace Hole;Move
325;Hypnosis;1;Psychic;;60;20.0;Status;Puts opponent to sleep.;;Hypnosis;Move
326;Ice Ball;3;Ice;30.0;90;20.0;Physical;Doubles in power each turn for 5 turns.;;Ice Ball;Move
327;Ice Beam;1;Ice;90.0;100;10.0;Special;May freeze opponent.;10.0;Ice Beam;Move
328;Ice Burn;5;Ice;140.0;90;5.0;Special;Charges on first turn, attacks on second. May burn opponent.;30.0;Ice Burn;Move
329;Ice Fang;4;Ice;65.0;95;15.0;Physical;May cause flinching and/or freeze opponent.;10.0;Ice Fang;Move
330;Ice Hammer;7;Ice;100.0;90;10.0;Physical;The user swings and hits with its strong, heavy fist. It lowers the user's Speed, however.;100.0;Ice Hammer;Move
331;Ice Punch;1;Ice;75.0;100;15.0;Physical;May freeze opponent.;10.0;Ice Punch;Move
332;Ice Shard;4;Ice;40.0;100;30.0;Physical;User attacks first.;;Ice Shard;Move
333;Icicle Crash;5;Ice;85.0;90;10.0;Physical;May cause flinching.;30.0;Icicle Crash;Move
334;Icicle Spear;3;Ice;25.0;100;30.0;Physical;Hits 2-5 times in one turn.;;Icicle Spear;Move
335;Icy Wind;2;Ice;55.0;95;15.0;Special;Lowers opponent's Speed.;100.0;Icy Wind;Move
336;Imprison;3;Psychic;;;10.0;Status;Opponent is unable to use moves that the user also knows.;;Imprison;Move
337;Incinerate;5;Fire;60.0;100;15.0;Special;Destroys the target's held berry.;;Incinerate;Move
338;Inferno;5;Fire;100.0;50;5.0;Special;Burns opponent.;100.0;Inferno;Move
339;Infestation;6;Bug;20.0;100;20.0;Special;Traps opponent, damaging them for 4-5 turns.;100.0;Infestation;Move
340;Ingrain;3;Grass;;;20.0;Status;User restores HP each turn. User cannot escape/switch.;;Ingrain;Move
341;Instruct;7;Psychic;;;15.0;Status;Allows an ally to use a move instead.;;Instruct;Move
342;Ion Deluge;6;Electric;;;25.0;Status;Changes Normal-type moves to Electric-type.;;Ion Deluge;Move
343;Iron Defense;3;Steel;;;15.0;Status;Sharply raises user's Defense.;;Iron Defense;Move
344;Iron Head;4;Steel;80.0;100;15.0;Physical;May cause flinching.;30.0;Iron Head;Move
345;Iron Tail;2;Steel;100.0;75;15.0;Physical;May lower opponent's Defense.;30.0;Iron Tail;Move
346;Jaw Lock;8;Dark;80.0;100;10.0;Physical;Prevents user and opponent from switching out.;;Jaw Lock;Move
347;Judgment;4;Normal;100.0;100;10.0;Special;Type depends on the Arceus Plate being held.;;Judgment;Move
348;Jump Kick;1;Fighting;100.0;95;10.0;Physical;If it misses, the user loses half their HP.;;Jump Kick;Move
349;Jungle Healing;8;Grass;;;10.0;Status;Restores team's HP and cures status conditions.;;Jungle Healing;Move
350;Karate Chop;1;Fighting;50.0;100;25.0;Physical;High critical hit ratio.;;Karate Chop;Move
351;Kinesis;1;Psychic;;80;15.0;Status;Lowers opponent's Accuracy.;;Kinesis;Move
352;King'S Shield;6;Steel;;;10.0;Status;Protects the user and lowers opponent's Attack on contact.;;King'S Shield;Move
353;Knock Off;3;Dark;65.0;100;20.0;Physical;Removes opponent's held item for the rest of the battle.;;Knock Off;Move
354;Land'S Wrath;6;Ground;90.0;100;10.0;Physical;;;Land'S Wrath;Move
355;Laser Focus;7;Normal;;;30.0;Status;User's next attack is guaranteed to result in a critical hit.;;Laser Focus;Move
356;Lash Out;8;Dark;75.0;100;5.0;Physical;Double power if stats were lowered during the turn.;;Lash Out;Move
357;Last Resort;4;Normal;140.0;100;5.0;Physical;Can only be used after all other moves are used.;;Last Resort;Move
358;Lava Plume;4;Fire;80.0;100;15.0;Special;May burn opponent.;30.0;Lava Plume;Move
359;Leaf Blade;3;Grass;90.0;100;15.0;Physical;High critical hit ratio.;;Leaf Blade;Move
360;Leaf Storm;4;Grass;130.0;90;5.0;Special;Sharply lowers user's Special Attack.;100.0;Leaf Storm;Move
361;Leaf Tornado;5;Grass;65.0;90;10.0;Special;May lower opponent's Accuracy.;50.0;Leaf Tornado;Move
362;Leafage;7;Grass;40.0;100;40.0;Physical;Strikes opponent with leaves.;;Leafage;Move
363;Leech Life;1;Bug;80.0;100;10.0;Physical;User recovers half the HP inflicted on opponent.;;Leech Life;Move
364;Leech Seed;1;Grass;;90;10.0;Status;Drains HP from opponent each turn.;;Leech Seed;Move
365;Leer;1;Normal;;100;30.0;Status;Lowers opponent's Defense.;100.0;Leer;Move
366;Lick;1;Ghost;30.0;100;30.0;Physical;May paralyze opponent.;30.0;Lick;Move
367;Life Dew;8;Water;;;10.0;Status;User and teammates recover HP.;;Life Dew;Move
368;Light Of Ruin;6;Fairy;140.0;90;5.0;Special;User receives recoil damage.;;Light Of Ruin;Move
369;Light Screen;1;Psychic;;;30.0;Status;Halves damage from Special attacks for 5 turns.;;Light Screen;Move
370;Light That Burns The Sky;7;Psychic;200.0;;1.0;Special;"Ultra Necrozma-exclusive Z-Move. Ignores target's ability; uses highest Attack stat.";;Light That Burns The Sky;Move
371;Liquidation;7;Water;85.0;100;10.0;Physical;May lower opponent's Defense.;20.0;Liquidation;Move
372;Lock On;2;Normal;;;5.0;Status;User's next attack is guaranteed to hit.;;Lock On;Move
373;Lovely Kiss;1;Normal;;75;10.0;Status;Puts opponent to sleep.;;Lovely Kiss;Move
374;Low Kick;1;Fighting;;100;20.0;Physical;The heavier the opponent, the stronger the attack.;;Low Kick;Move
375;Low Sweep;5;Fighting;65.0;100;20.0;Physical;Lowers opponent's Speed.;100.0;Low Sweep;Move
376;Lucky Chant;4;Normal;;;30.0;Status;Opponent cannot land critical hits for 5 turns.;;Lucky Chant;Move
377;Lunar Dance;4;Psychic;;;10.0;Status;The user faints but the next Pokémon released is fully healed.;;Lunar Dance;Move
378;Lunge;7;Bug;80.0;100;15.0;Physical;The user makes a lunge at the target, attacking with full force. This also lowers the target's Attack stat.;100.0;Lunge;Move
379;Luster Purge;3;Psychic;70.0;100;5.0;Special;May lower opponent's Special Defense.;50.0;Luster Purge;Move
380;Mach Punch;2;Fighting;40.0;100;30.0;Physical;User attacks first.;;Mach Punch;Move
381;Magic Coat;3;Psychic;;;15.0;Status;Reflects moves that cause status conditions back to the attacker.;;Magic Coat;Move
382;Magic Powder;8;Psychic;;100;20.0;Status;Changes target's type to Psychic.;;Magic Powder;Move
383;Magic Room;5;Psychic;;;10.0;Status;Suppresses the effects of held items for five turns.;;Magic Room;Move
384;Magical Leaf;3;Grass;60.0;∞;20.0;Special;Ignores Accuracy and Evasiveness.;;Magical Leaf;Move
385;Magma Storm;4;Fire;100.0;75;5.0;Special;Traps opponent, damaging them for 4-5 turns.;100.0;Magma Storm;Move
386;Magnet Bomb;4;Steel;60.0;∞;20.0;Physical;Ignores Accuracy and Evasiveness.;;Magnet Bomb;Move
387;Magnet Rise;4;Electric;;;10.0;Status;User becomes immune to Ground-type moves for 5 turns.;;Magnet Rise;Move
388;Magnetic Flux;6;Electric;;;20.0;Status;Raises Defense and Sp. Defense of Plus/Minus Pokémon.;;Magnetic Flux;Move
389;Magnitude;2;Ground;;100;30.0;Physical;Hits with random power.;;Magnitude;Move
390;Malicious Moonsault;7;Dark;180.0;;1.0;Physical;Incineroar-exclusive Z-Move.;;Malicious Moonsault;Move
391;Mat Block;6;Fighting;;;10.0;Status;Protects teammates from damaging moves.;;Mat Block;Move
392;Max Airstream;8;Flying;;;;Physical;Flying type Dynamax move. Raises the team's Speed.;100.0;Max Airstream;Move
393;Max Darkness;8;Dark;;;;Physical;Dark type Dynamax move. Lowers the target's Special Defense.;100.0;Max Darkness;Move
394;Max Flare;8;Fire;;;;Physical;Fire type Dynamax move. Summons harsh sunlight.;;Max Flare;Move
395;Max Flutterby;8;Bug;;;;Physical;Bug type Dynamax move. Lowers the target's Special Attack.;100.0;Max Flutterby;Move
396;Max Geyser;8;Water;;;;Physical;Water type Dynamax move. Summons heavy rain.;;Max Geyser;Move
397;Max Guard;8;Normal;;;;Status;Status category Dynamax move. Protects the user.;;Max Guard;Move
398;Max Hailstorm;8;Ice;;;;Physical;Ice type Dynamax move. Summons hail.;;Max Hailstorm;Move
399;Max Knuckle;8;Fighting;;;;Physical;Fighting type Dynamax move. Increases the team's Attack.;100.0;Max Knuckle;Move
400;Max Lightning;8;Electric;;;;Physical;Electric type Dynamax move. Summons Electric Terrain.;;Max Lightning;Move
401;Max Mindstorm;8;Psychic;;;;Physical;Psychic type Dynamax move. Summons Psychic Terrain.;;Max Mindstorm;Move
402;Max Ooze;8;Poison;;;;Physical;Poison type Dynamax move. Increases the team's Special Attack.;100.0;Max Ooze;Move
403;Max Overgrowth;8;Grass;;;;Physical;Grass type Dynamax move. Summons Grassy Terrain.;;Max Overgrowth;Move
404;Max Phantasm;8;Ghost;;;;Physical;Ghost type Dynamax move. Lowers the target's Defense.;100.0;Max Phantasm;Move
405;Max Quake;8;Ground;;;;Physical;Ground type Dynamax move. Increases the team's Special Defense.;100.0;Max Quake;Move
406;Max Rockfall;8;Rock;;;;Physical;Rock type Dynamax move. Summons a sandstorm.;;Max Rockfall;Move
407;Max Starfall;8;Fairy;;;;Physical;Fairy type Dynamax move. Summons Misty Terrain.;;Max Starfall;Move
408;Max Steelspike;8;Steel;;;;Physical;Steel type Dynamax move. Raises the team's Defense.;100.0;Max Steelspike;Move
409;Max Strike;8;Normal;;;;Physical;Normal type Dynamax move. Lowers the target's Speed.;100.0;Max Strike;Move
410;Max Wyrmwind;8;Dragon;;;;Physical;Dragon type Dynamax move. Lowers the target's Attack.;100.0;Max Wyrmwind;Move
411;Me First;4;Normal;;;20.0;Status;User copies the opponent's attack with 1.5× power.;;Me First;Move
412;Mean Look;2;Normal;;;5.0;Status;Opponent cannot flee or switch.;;Mean Look;Move
413;Meditate;1;Psychic;;;40.0;Status;Raises user's Attack.;;Meditate;Move
414;Mega Drain;1;Grass;40.0;100;15.0;Special;User recovers half the HP inflicted on opponent.;;Mega Drain;Move
415;Mega Kick;1;Normal;120.0;75;5.0;Physical;;;Mega Kick;Move
416;Mega Punch;1;Normal;80.0;85;20.0;Physical;;;Mega Punch;Move
417;Megahorn;2;Bug;120.0;85;10.0;Physical;;;Megahorn;Move
418;Memento;3;Dark;;100;10.0;Status;User faints, sharply lowers opponent's Attack and Special Attack.;;Memento;Move
419;Menacing Moonraze Maelstrom;7;Ghost;200.0;;1.0;Special;Lunala-exclusive Z-Move.;;Menacing Moonraze Maelstrom;Move
420;Metal Burst;4;Steel;;100;10.0;Physical;Deals damage equal to 1.5x opponent's attack.;;Metal Burst;Move
421;Metal Claw;2;Steel;50.0;95;35.0;Physical;May raise user's Attack.;10.0;Metal Claw;Move
422;Metal Sound;3;Steel;;85;40.0;Status;Sharply lowers opponent's Special Defense.;;Metal Sound;Move
423;Meteor Assault;8;Fighting;150.0;100;5.0;Physical;User must recharge next turn.;;Meteor Assault;Move
424;Meteor Beam;8;Rock;120.0;90;10.0;Special;User gathers space power and boosts its Sp. Atk stat, then attacks the target on the next turn.;;Meteor Beam;Move
425;Meteor Mash;3;Steel;90.0;90;10.0;Physical;May raise user's Attack.;20.0;Meteor Mash;Move
426;Metronome;1;Normal;;;10.0;Status;User performs almost any move in the game at random.;;Metronome;Move
427;Milk Drink;2;Normal;;;10.0;Status;User recovers half its max HP.;;Milk Drink;Move
428;Mimic;1;Normal;;;10.0;Status;Copies the opponent's last move.;;Mimic;Move
429;Mind Blown;7;Fire;150.0;100;5.0;Special;User receives recoil damage.;;Mind Blown;Move
430;Mind Reader;2;Normal;;;5.0;Status;User's next attack is guaranteed to hit.;;Mind Reader;Move
431;Minimize;1;Normal;;;10.0;Status;Sharply raises user's Evasiveness.;;Minimize;Move
432;Miracle Eye;4;Psychic;;;40.0;Status;Resets opponent's Evasiveness, removes Dark's Psychic immunity.;;Miracle Eye;Move
433;Mirror Coat;2;Psychic;;100;20.0;Special;When hit by a Special Attack, user strikes back with 2x power.;;Mirror Coat;Move
434;Mirror Move;1;Flying;;;20.0;Status;User performs the opponent's last move.;;Mirror Move;Move
435;Mirror Shot;4;Steel;65.0;85;10.0;Special;May lower opponent's Accuracy.;30.0;Mirror Shot;Move
436;Mist;1;Ice;;;30.0;Status;User's stats cannot be changed for a period of time.;;Mist;Move
437;Mist Ball;3;Psychic;70.0;100;5.0;Special;May lower opponent's Special Attack.;50.0;Mist Ball;Move
438;Misty Explosion;8;Fairy;100.0;100;5.0;Special;Power increases on Misty Terrain.;;Misty Explosion;Move
439;Misty Terrain;6;Fairy;;;10.0;Status;Protects the field from status conditions for 5 turns.;;Misty Terrain;Move
440;Moonblast;6;Fairy;95.0;100;15.0;Special;May lower opponent's Special Attack.;30.0;Moonblast;Move
441;Moongeist Beam;7;Ghost;100.0;100;5.0;Special;Ignores the target's ability.;;Moongeist Beam;Move
442;Moonlight;2;Fairy;;;5.0;Status;User recovers HP. Amount varies with the weather.;;Moonlight;Move
443;Morning Sun;2;Normal;;;5.0;Status;User recovers HP. Amount varies with the weather.;;Morning Sun;Move
444;Mud Bomb;4;Ground;65.0;85;10.0;Special;May lower opponent's Accuracy.;30.0;Mud Bomb;Move
445;Mud Shot;3;Ground;55.0;95;15.0;Special;Lowers opponent's Speed.;100.0;Mud Shot;Move
446;Mud Slap;2;Ground;20.0;100;10.0;Special;Lowers opponent's Accuracy.;100.0;Mud Slap;Move
447;Mud Sport;3;Ground;;;15.0;Status;Weakens the power of Electric-type moves.;;Mud Sport;Move
448;Muddy Water;3;Water;90.0;85;10.0;Special;May lower opponent's Accuracy.;30.0;Muddy Water;Move
449;Multi Attack;7;Normal;120.0;100;10.0;Physical;Type matches Memory item held.;;Multi Attack;Move
450;Mystical Fire;6;Fire;75.0;100;10.0;Special;Lowers opponent's Special Attack.;100.0;Mystical Fire;Move
451;Nasty Plot;4;Dark;;;20.0;Status;Sharply raises user's Special Attack.;;Nasty Plot;Move
452;Natural Gift;4;Normal;;100;15.0;Physical;Power and type depend on the user's held berry.;;Natural Gift;Move
453;Nature Power;3;Normal;;;20.0;Status;Uses a certain move based on the current terrain.;;Nature Power;Move
454;Nature'S Madness;7;Fairy;;90;10.0;Special;Halves the foe's HP.;;Nature'S Madness;Move
455;Needle Arm;3;Grass;60.0;100;15.0;Physical;May cause flinching.;30.0;Needle Arm;Move
456;Night Daze;5;Dark;85.0;95;10.0;Special;May lower opponent's Accuracy.;40.0;Night Daze;Move
457;Night Shade;1;Ghost;;100;15.0;Special;Inflicts damage equal to user's level.;;Night Shade;Move
458;Night Slash;4;Dark;70.0;100;15.0;Physical;High critical hit ratio.;;Night Slash;Move
459;Nightmare;2;Ghost;;100;15.0;Status;The sleeping opponent loses 25% of its max HP each turn.;;Nightmare;Move
460;No Retreat;8;Fighting;;;5.0;Status;Raises all stats but user cannot switch out.;100.0;No Retreat;Move
461;Noble Roar;6;Normal;;100;30.0;Status;Lowers opponent's Attack and Special Attack.;100.0;Noble Roar;Move
462;Nuzzle;6;Electric;20.0;100;20.0;Physical;Paralyzes opponent.;100.0;Nuzzle;Move
463;Oblivion Wing;6;Flying;80.0;100;10.0;Special;User recovers most of the HP inflicted on opponent.;;Oblivion Wing;Move
464;Obstruct;8;Dark;;100;10.0;Status;Protects the user and sharply lowers Defence on contact.;;Obstruct;Move
465;Oceanic Operetta;7;Water;195.0;;1.0;Special;Primarina-exclusive Z-Move.;;Oceanic Operetta;Move
466;Octazooka;2;Water;65.0;85;10.0;Special;May lower opponent's Accuracy.;50.0;Octazooka;Move
467;Octolock;8;Fighting;;100;15.0;Status;Lowers opponent's Defense and Special Defense every turn, and they cannot flee or switch out.;;Octolock;Move
468;Odor Sleuth;3;Normal;;;40.0;Status;Resets opponent's Evasiveness, Normal-type and Fighting-type attacks can now hit Ghosts, and Ghost-type attacks hit Normal.;;Odor Sleuth;Move
469;Ominous Wind;4;Ghost;60.0;100;5.0;Special;May raise all user's stats at once.;10.0;Ominous Wind;Move
470;Origin Pulse;6;Water;110.0;85;10.0;Special;Hits all adjacent opponents.;;Origin Pulse;Move
471;Outrage;2;Dragon;120.0;100;10.0;Physical;User attacks for 2-3 turns but then becomes confused.;;Outrage;Move
472;Overdrive;8;Electric;80.0;100;10.0;Special;;;Overdrive;Move
473;Overheat;3;Fire;130.0;90;5.0;Special;Sharply lowers user's Special Attack.;100.0;Overheat;Move
474;Pain Split;2;Normal;;;20.0;Status;The user's and opponent's HP becomes the average of both.;;Pain Split;Move
475;Parabolic Charge;6;Electric;65.0;100;20.0;Special;User recovers half the HP inflicted on opponent.;;Parabolic Charge;Move
476;Parting Shot;6;Dark;;100;20.0;Status;Lowers opponent's Attack and Special Attack then switches out.;100.0;Parting Shot;Move
477;Pay Day;1;Normal;40.0;100;20.0;Physical;A small amount of money is gained after the battle resolves.;;Pay Day;Move
478;Payback;4;Dark;50.0;100;10.0;Physical;Power doubles if the user was attacked first.;;Payback;Move
479;Peck;1;Flying;35.0;100;35.0;Physical;;;Peck;Move
480;Perish Song;2;Normal;;;5.0;Status;Any Pokémon in play when this attack is used faints in 3 turns.;;Perish Song;Move
481;Petal Blizzard;6;Grass;90.0;100;15.0;Physical;Hits all adjacent Pokémon.;;Petal Blizzard;Move
482;Petal Dance;1;Grass;120.0;100;10.0;Special;User attacks for 2-3 turns but then becomes confused.;;Petal Dance;Move
483;Phantom Force;6;Ghost;90.0;100;10.0;Physical;Disappears on first turn, attacks on second. Can strike through Protect/Detect.;;Phantom Force;Move
484;Photon Geyser;7;Psychic;100.0;100;5.0;Special;Uses Attack or Special Attack stat, whichever is higher.;;Photon Geyser;Move
485;Pika Papow;7;Electric;;∞;20.0;Special;Power increases when player's bond is stronger.;;Pika Papow;Move
486;Pin Missile;1;Bug;25.0;95;20.0;Physical;Hits 2-5 times in one turn.;;Pin Missile;Move
487;Plasma Fists;7;Electric;100.0;100;15.0;Physical;Changes Normal-type moves to Electric-type moves.;;Plasma Fists;Move
488;Play Nice;6;Normal;;;20.0;Status;Lowers opponent's Attack. Always hits.;100.0;Play Nice;Move
489;Play Rough;6;Fairy;90.0;90;10.0;Physical;May lower opponent's Attack.;10.0;Play Rough;Move
490;Pluck;4;Flying;60.0;100;20.0;Physical;If the opponent is holding a berry, its effect is stolen by user.;;Pluck;Move
491;Poison Fang;3;Poison;50.0;100;15.0;Physical;May badly poison opponent.;50.0;Poison Fang;Move
492;Poison Gas;1;Poison;;90;40.0;Status;Poisons opponent.;;Poison Gas;Move
493;Poison Jab;4;Poison;80.0;100;20.0;Physical;May poison the opponent.;30.0;Poison Jab;Move
494;Poison Powder;1;Poison;;75;35.0;Status;Poisons opponent.;;Poison Powder;Move
495;Poison Sting;1;Poison;15.0;100;35.0;Physical;May poison the opponent.;30.0;Poison Sting;Move
496;Poison Tail;3;Poison;50.0;100;25.0;Physical;High critical hit ratio. May poison opponent.;10.0;Poison Tail;Move
497;Pollen Puff;7;Bug;90.0;100;15.0;Special;Deals damage to opponent or restores HP of teammate.;;Pollen Puff;Move
498;Poltergeist;8;Ghost;110.0;90;5.0;Physical;Fails if the target doesn’t have an item.;;Poltergeist;Move
499;Pound;1;Normal;40.0;100;35.0;Physical;;;Pound;Move
500;Powder;6;Bug;;100;20.0;Status;Damages Pokémon using Fire type moves.;;Powder;Move
501;Powder Snow;2;Ice;40.0;100;25.0;Special;May freeze opponent.;10.0;Powder Snow;Move
502;Power Gem;4;Rock;80.0;100;20.0;Special;;;Power Gem;Move
503;Power Split;5;Psychic;;;10.0;Status;Averages Attack and Special Attack with the target.;;Power Split;Move
504;Power Swap;4;Psychic;;;10.0;Status;User and opponent swap Attack and Special Attack.;;Power Swap;Move
505;Power Trick;4;Psychic;;;10.0;Status;User's own Attack and Defense switch.;;Power Trick;Move
506;Power Trip;7;Dark;20.0;100;10.0;Physical;The user boasts its strength and attacks the target. The more the user's stats are raised, the greater the move's power.;;Power Trip;Move
507;Power Up Punch;6;Fighting;40.0;100;20.0;Physical;Raises Attack.;100.0;Power Up Punch;Move
508;Power Whip;4;Grass;120.0;85;10.0;Physical;;;Power Whip;Move
509;Precipice Blades;6;Ground;120.0;85;10.0;Physical;Hits all adjacent opponents.;;Precipice Blades;Move
510;Present;2;Normal;;90;15.0;Physical;Either deals damage or heals.;;Present;Move
