index;Name;AlternativeEffect;Effect;UsageAttributes;SpecificCategory;GeneralCategory;image_url;id;Label
193;Ganlon Berry;Held: Consumed at 1/4 max HP to boost Defense.;Raises Defense when HP is low.;holdable-active;In A Pinch;Berries;https://img.pokemondb.net/sprites/items/ganlon-berry.png;Ganlon Berry;Item
194;Garchompite;Held: Allows Garchomp to Mega Evolve into Mega Garchomp.;Enables Garchomp to Mega Evolve during battle.;;Mega Stones;Hold items;https://img.pokemondb.net/sprites/items/garchompite.png;Garchompite;Item
195;Gardevoirite;Held: Allows Gardevoir to Mega Evolve into Mega Gardevoir.;Enables Gardevoir to Mega Evolve during battle.;;Mega Stones;Hold items;https://img.pokemondb.net/sprites/items/gardevoirite.png;Gardevoirite;Item
196;Gengarite;Held: Allows Gengar to Mega Evolve into Mega Gengar.;Enables Gengar to Mega Evolve during battle.;;Mega Stones;Hold items;https://img.pokemondb.net/sprites/items/gengarite.png;Gengarite;Item
197;Genius Wing;Increases Special Attack effort by 1.;Increases Special Attack EVs by 1.;;Vitamins;Medicine;https://img.pokemondb.net/sprites/items/genius-wing.png;Genius Wing;Item
198;Gentle Mint;;Changes the Pokémon's stats to match the Gentle nature.;;Nature Mints;Battle items;https://img.pokemondb.net/s.png;Gentle Mint;Item
199;Ghost Gem;Held: When the holder uses a damaging ghost-type move, the move has 1.5× power and this item is consumed.;Increases the power of a Ghost-type move only once.;;Jewels;Hold items;https://img.pokemondb.net/sprites/items/ghost-gem.png;Ghost Gem;Item
200;Ghost Memory;Held: Changes Silvally to its Ghost form.  Changes Multi-Attack's type to Ghost.;Changes Silvally and its move Multi-Attack to Ghost type.;;Memories;Hold items;https://img.pokemondb.net/sprites/items/ghost-memory.png;Ghost Memory;Item
201;Gigantamix;;One of the many ingredients that can be used for cooking at your camp. A mysterious spice. Even a tiny sprinkle is sure to make a curry gigantic.;;Curry Ingredients;General items;https://img.pokemondb.net/s.png;Gigantamix;Item
202;Glalitite;Held: Allows Glalie to Mega Evolve into Mega Glalie.;Enables Glalie to Mega Evolve during battle.;;Mega Stones;Hold items;https://img.pokemondb.net/sprites/items/glalitite.png;Glalitite;Item
203;Gold Bottle Cap;Trade to Mr. Hyper to maximize all of a Pokémon's genes.;Maximizes all of a Pokémon's IV stats in Hyper Training.;;Loot;General items;https://img.pokemondb.net/sprites/items/gold-bottle-cap.png;Gold Bottle Cap;Item
204;Gold Leaf;;;;Loot;General items;https://img.pokemondb.net/s.png;Gold Leaf;Item
205;Golden Nanab Berry;;Drastically calms a Pokémon in battle, in Let's Go Pikachu/Eevee.;;Catching Bonus;Berries;https://img.pokemondb.net/sprites/items/golden-nanab-berry.png;Golden Nanab Berry;Item
206;Golden Pinap Berry;;Drastically increases chance of getting items when a Pokémon is caught, in Pokémon Let's Go.;;Catching Bonus;Berries;https://img.pokemondb.net/sprites/items/golden-pinap-berry.png;Golden Pinap Berry;Item
207;Golden Razz Berry;;Makes a Pokémon easier to catch in Pokémon Let's Go.;;Catching Bonus;Berries;https://img.pokemondb.net/sprites/items/golden-razz-berry.png;Golden Razz Berry;Item
208;Gooey Mulch;Berries regrow from dead plants an increased number of times.;A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.;;Mulch;General items;https://img.pokemondb.net/sprites/items/gooey-mulch.png;Gooey Mulch;Item
209;Grass Gem;Held: When the holder uses a damaging grass-type move, the move has 1.5× power and this item is consumed.;Increases the power of a Grass-type move only once.;;Jewels;Hold items;https://img.pokemondb.net/sprites/items/grass-gem.png;Grass Gem;Item
210;Grass Memory;Held: Changes Silvally to its Grass form.  Changes Multi-Attack's type to Grass.;Changes Silvally and its move Multi-Attack to Grass type.;;Memories;Hold items;https://img.pokemondb.net/sprites/items/grass-memory.png;Grass Memory;Item
211;Grassy Seed;Held: Consumed on Grassy Terrain and raises the holder's Defense by one stage.;An item to be held by a Pokémon. It boosts Defense on Grassy Terrain. It can only be used once.;;Held Items;Hold items;https://img.pokemondb.net/sprites/items/grassy-seed.png;Grassy Seed;Item
212;Great Ball;Tries to catch a wild Pokémon.  Success rate is 1.5×.;A good, high-performance Ball that provides a higher Pokémon catch rate than a standard Poké Ball.;"countable; consumable; usable-in-battle; holdable";Standard Balls;Pokeballs;https://img.pokemondb.net/sprites/items/great-ball.png;Great Ball;Item
213;Green Apricorn;Used to make a Friend Ball.;A green Apricorn. It has a mysterious, aromatic scent.;;Apricorn Box;General items;https://img.pokemondb.net/sprites/items/green-apricorn.png;Green Apricorn;Item
214;Green Scarf;Raises the holder's Smartness while in a contest.;Raises holder's Smart aspect in a Contest.;holdable-active;Scarves;General items;https://img.pokemondb.net/sprites/items/green-scarf.png;Green Scarf;Item
215;Green Shard;No effect. Can be traded for items or moves.;A small green shard. It appears to be from some sort of implement made long ago.;underground;Collectibles;General items;https://img.pokemondb.net/sprites/items/green-shard.png;Green Shard;Item
216;Grepa Berry;Drops Special Defense Effort Values by 10 and raises happiness.;Increases Friendship but lowers Special Defense EVs.;;Effort Drop;Berries;https://img.pokemondb.net/sprites/items/grepa-berry.png;Grepa Berry;Item
217;Grip Claw;Held: Holder's multi-turn trapping moves last 5 turns.;A Pokémon held item that extends the duration of multiturn attacks like Bind and Wrap.;"holdable; holdable-active";Held Items;Hold items;https://img.pokemondb.net/sprites/items/grip-claw.png;Grip Claw;Item
218;Griseous Orb;Boosts the damage from Giratina's Dragon-type and Ghost-type moves by 20%, and transforms it into Origin Forme.;Increases the power of Dragon- and Ghost-type moves when held by Giratina, and changes it to Origin Forme.;;Species Specific;Hold items;https://img.pokemondb.net/sprites/items/griseous-orb.png;Griseous Orb;Item
219;Ground Gem;Held: When the holder uses a damaging ground-type move, the move has 1.5× power and this item is consumed.;Increases the power of a Ground-type move only once.;;Jewels;Hold items;https://img.pokemondb.net/sprites/items/ground-gem.png;Ground Gem;Item
220;Ground Memory;Held: Changes Silvally to its Ground form.  Changes Multi-Attack's type to Ground.;Changes Silvally and its move Multi-Attack to Ground type.;;Memories;Hold items;https://img.pokemondb.net/sprites/items/ground-memory.png;Ground Memory;Item
221;Growth Mulch;Growing time of berries is reduced, but the soil dries out faster.;A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.;;Mulch;General items;https://img.pokemondb.net/sprites/items/growth-mulch.png;Growth Mulch;Item
222;Grubby Hanky;"Appears in the Café Warehouse on Sunday; return to the customer with a Patrat on Thursday.";A handkerchief dropped by a regular at Café Warehouse. It smells faintly like a Pokémon.;;Plot Advancement;Hold items;https://img.pokemondb.net/sprites/items/grubby-hanky.png;Grubby Hanky;Item
223;Guard Spec.;Prevents stat changes in battle for five turns in battle.  Raises happiness.;Prevents stat reduction for five turns.;"countable; consumable; usable-in-battle; holdable";Stat Boosts;Battle items;https://img.pokemondb.net/sprites/items/guard-spec.png;Guard Spec.;Item
224;Gyaradosite;Held: Allows Gyarados to Mega Evolve into Mega Gyarados.;Enables Gyarados to Mega Evolve during battle.;;Mega Stones;Hold items;https://img.pokemondb.net/sprites/items/gyaradosite.png;Gyaradosite;Item
225;Haban Berry;Held: Consumed when struck by a super-effective Dragon-type attack to halve the damage.;Weakens a supereffective Dragon-type attack against the holding Pokémon.;holdable-active;Type Protection;Berries;https://img.pokemondb.net/sprites/items/haban-berry.png;Haban Berry;Item
226;Hard Stone;Held: Rock-Type moves from holder do 20% more damage.;Increases the power of Rock-type moves.;"holdable; holdable-active; underground";Type Enhancement;Hold items;https://img.pokemondb.net/sprites/items/hard-stone.png;Hard Stone;Item
227;Hasty Mint;;Changes the Pokémon's stats to match the Hasty nature.;;Nature Mints;Battle items;https://img.pokemondb.net/s.png;Hasty Mint;Item
228;Heal Ball;Tries to catch a wild Pokémon.  Caught Pokémon are immediately healed.;A remedial Poké Ball that restores the caught Pokémon's HP and eliminates any status problem.;"countable; consumable; usable-in-battle; holdable";Special Balls;Pokeballs;https://img.pokemondb.net/sprites/items/heal-ball.png;Heal Ball;Item
229;Heal Powder;Cures any status ailment, but lowers happiness.;Heals all status problems, but lowers Friendship.;"countable; consumable; usable-overworld; usable-in-battle; holdable";Status Cures;Medicine;https://img.pokemondb.net/sprites/items/heal-powder.png;Heal Powder;Item
230;Health Candy;;Increases a Pokémon's HP stat by 1.;;Vitamins;Medicine;https://img.pokemondb.net/sprites/items/health-candy.png;Health Candy;Item
231;Health Candy L;;Increases a Pokémon's HP stat.;;Vitamins;Medicine;https://img.pokemondb.net/sprites/items/health-candy-l.png;Health Candy L;Item
232;Health Candy Xl;;Increases a Pokémon's HP stat.;;Vitamins;Medicine;https://img.pokemondb.net/sprites/items/health-candy-xl.png;Health Candy Xl;Item
233;Health Wing;Increases HP effort by 1.;Increases HP EVs by 1.;;Vitamins;Medicine;https://img.pokemondb.net/sprites/items/health-wing.png;Health Wing;Item
234;Heart Scale;No effect. Can be traded for prior Level-up moves.;A pretty, heart-shaped scale that is extremely rare. It glows faintly in the colors of the rainbow.;underground;Collectibles;General items;https://img.pokemondb.net/sprites/items/heart-scale.png;Heart Scale;Item
235;Heat Rock;Held: Sunny Day by the holder lasts 8 rounds instead of 5.;A Pokémon held item that extends the duration of the move Sunny Day used by the holder.;"holdable; holdable-active; underground";Held Items;Hold items;https://img.pokemondb.net/sprites/items/heat-rock.png;Heat Rock;Item
236;Heavy Ball;Has flat bonus or penalty to catch rate depending on weight class of target. Made from Blk Apricorn.;A Poké Ball for catching very heavy Pokémon.;;Apricorn Balls;Pokeballs;https://img.pokemondb.net/sprites/items/heavy-ball.png;Heavy Ball;Item
237;Heavy Duty Boots;;Protects the holder from traps set on the battlefield.;;Held Items;Hold items;https://img.pokemondb.net/s.png;Heavy Duty Boots;Item
238;Helix Fossil;Can be revived into an Omanyte.;A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a seashell.;underground;Dex Completion;General items;https://img.pokemondb.net/sprites/items/helix-fossil.png;Helix Fossil;Item
239;Heracronite;Held: Allows Heracross to Mega Evolve into Mega Heracross.;Enables Heracross to Mega Evolve during battle.;;Mega Stones;Hold items;https://img.pokemondb.net/sprites/items/heracronite.png;Heracronite;Item
240;Hi Tech Earbuds;;Strange earbuds that allow you to freely control the volume of various sounds.;;Gameplay;Hold items;https://img.pokemondb.net/s.png;Hi Tech Earbuds;Item
241;Hm01;Teaches Cut to a compatible Pokémon.;Teaches the move Cut.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-normal.png;Hm01;Item
242;Hm02;Teaches Fly to a compatible Pokémon.;Teaches the move Fly.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-flying.png;Hm02;Item
243;Hm03;Teaches Surf to a compatible Pokémon.;Teaches the move Surf.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-water.png;Hm03;Item
244;Hm04;Teaches Strength to a compatible Pokémon.;Teaches the move Strength.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-normal.png;Hm04;Item
245;Hm05;Teaches Waterfall to a compatible Pokémon. (HS: Whirlpool DPP: Defog Gen III & II & I: Flash);Teaches the move Flash/Defog/Whirlpool/Waterfall.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-water.png;Hm05;Item
246;Hm06;Teaches Dive to a compatible Pokémon. (Gen IV & III: Rock Smash Gen II: Whirlpool);Teaches the move Whirlpool/Rock Smash/Dive.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-water.png;Hm06;Item
247;Hm07;Teaches a move to a compatible Pokémon. (Gen IV & III & II: Waterfall);Teaches the move Waterfall.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-water.png;Hm07;Item
248;Hm08;Teaches a move to a compatible Pokémon. (Gen IV: Rock Climb Gen III: Dive);Teaches the move Dive/Rock Climb.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-normal.png;Hm08;Item
249;Hondew Berry;Drops Special Attack Effort Values by 10 and raises happiness.;Increases Friendship but lowers Special Attack EVs.;;Effort Drop;Berries;https://img.pokemondb.net/sprites/items/hondew-berry.png;Hondew Berry;Item
250;Honey;;A sweet honey with a lush aroma that attracts wild Pokémon when it is used in grass, caves, or on special trees.;;Dex Completion;General items;https://img.pokemondb.net/sprites/items/honey.png;Honey;Item
251;Honor Of Kalos;Does nothing, but signifies becoming Champion.;A precious symbol that is awarded only to an individual who has done great things for the Kalos region.;;Plot Advancement;Hold items;https://img.pokemondb.net/sprites/items/honor-of-kalos.png;Honor Of Kalos;Item
252;Houndoominite;Held: Allows Houndoom to Mega Evolve into Mega Houndoom.;Enables Houndoom to Mega Evolve during battle.;;Mega Stones;Hold items;https://img.pokemondb.net/sprites/items/houndoominite.png;Houndoominite;Item
253;Hp Up;Raises HP effort and happiness.;Increases HP EVs by 10.;"countable; consumable; usable-overworld; usable-in-battle; holdable";Vitamins;Medicine;https://img.pokemondb.net/sprites/items/hp-up.png;Hp Up;Item
254;Hyper Potion;Restores 200 HP.;Restores 120 HP.;"countable; consumable; usable-overworld; usable-in-battle; holdable";Healing;Medicine;https://img.pokemondb.net/sprites/items/hyper-potion.png;Hyper Potion;Item
255;Iapapa Berry;Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike sour flavor.;Restores HP if it's low, but may cause confusion.;holdable-active;Picky Healing;Berries;https://img.pokemondb.net/sprites/items/iapapa-berry.png;Iapapa Berry;Item
256;Ice Gem;Held: When the holder uses a damaging ice-type move, the move has 1.5× power and this item is consumed.;Increases the power of an Ice-type move only once.;;Jewels;Hold items;https://img.pokemondb.net/sprites/items/ice-gem.png;Ice Gem;Item
257;Ice Heal;Cures freezing.;A spray-type medicine. It defrosts a Pokémon that has been frozen solid.;"countable; consumable; usable-overworld; usable-in-battle; holdable";Status Cures;Medicine;https://img.pokemondb.net/sprites/items/ice-heal.png;Ice Heal;Item
258;Ice Memory;Held: Changes Silvally to its Ice form.  Changes Multi-Attack's type to Ice.;Changes Silvally and its move Multi-Attack to Ice type.;;Memories;Hold items;https://img.pokemondb.net/sprites/items/ice-memory.png;Ice Memory;Item
259;Ice Stone;Evolves an Alola Sandshrew into Alola Sandslash or an Alola Vulpix into Alola Ninetales.;Evolves certain species of Pokémon.;;Evolution;General items;https://img.pokemondb.net/sprites/items/ice-stone.png;Ice Stone;Item
260;Iceroot Carrot;;Produce that the King of Bountiful Harvests’ beloved steed likes to eat. It grew in a field covered in snow.;;Plot Advancement;General items;https://img.pokemondb.net/s.png;Iceroot Carrot;Item
261;Icicle Plate;Held: Ice-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Ice.;Increases power of Ice-type moves. Changes Arceus' type to Ice.;"holdable; holdable-active; underground";Plates;Hold items;https://img.pokemondb.net/sprites/items/icicle-plate.png;Icicle Plate;Item
262;Icy Rock;Held: Hail by the holder lasts 8 rounds instead of 5.;A Pokémon held item that extends the duration of the move Hail used by the holder.;"holdable; holdable-active; underground";Held Items;Hold items;https://img.pokemondb.net/sprites/items/icy-rock.png;Icy Rock;Item
263;Impish Mint;;Changes the Pokémon's stats to match the Impish nature.;;Nature Mints;Battle items;https://img.pokemondb.net/s.png;Impish Mint;Item
264;Insect Plate;Held: Bug-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Bug.;Increases power of Bug-type moves. Changes Arceus' type to Bug.;"holdable; holdable-active; underground";Plates;Hold items;https://img.pokemondb.net/sprites/items/insect-plate.png;Insect Plate;Item
265;Instant Noodles;;One of the many ingredients that can be used for cooking at your camp. It has a junk-food sort of taste, but it goes well with curry.;;Curry Ingredients;General items;https://img.pokemondb.net/s.png;Instant Noodles;Item
266;Intriguing Stone;Trade for a Sun Stone in X and Y, or Pidgeotite in Omega Ruby and Alpha Sapphire.;A rather curious stone that might appear to be valuable to some. It's all in the eye of the beholder.;;Plot Advancement;Hold items;https://img.pokemondb.net/sprites/items/intriguing-stone.png;Intriguing Stone;Item
267;Iron;Raises Defense effort and happiness.;Increases Defense EVs by 10.;"countable; consumable; usable-overworld; usable-in-battle; holdable";Vitamins;Medicine;https://img.pokemondb.net/sprites/items/iron.png;Iron;Item
268;Iron Ball;Held: Holder's Speed is halved. Negates all Ground-type immunities, and makes Flying-types take neutral damage from Ground-type moves. Arena Trap. Spikes, and Toxic Spikes affect the holder.;A Pokémon held item that cuts Speed. It makes Flying-type and levitating holders susceptible to Ground moves.;"holdable; holdable-active; underground";Bad Held Items;Hold items;https://img.pokemondb.net/sprites/items/iron-ball.png;Iron Ball;Item
269;Iron Plate;Held: Steel-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Steel.;Increases power of Steel-type moves. Changes Arceus' type to Steel.;"holdable; holdable-active; underground";Plates;Hold items;https://img.pokemondb.net/sprites/items/iron-plate.png;Iron Plate;Item
270;Item Drop;Forces a friendly Pokémon to drop its held item.;When used, it causes an ally Pokémon to drop a held item.;;Miracle Shooter;Battle items;https://img.pokemondb.net/sprites/items/item-drop.png;Item Drop;Item
271;Item Urge;Forcibly activates a friendly Pokémon's held item.;When used, it causes an ally Pokémon to use its held item.;;Miracle Shooter;Battle items;https://img.pokemondb.net/sprites/items/item-urge.png;Item Urge;Item
272;Jaboca Berry;Held: Consumed to deal 1/8 attacker's max HP when holder is struck by a physical attack.;If held by a Pokémon and a physical attack lands, the attacker also takes damage.;holdable-active;Other;Berries;https://img.pokemondb.net/sprites/items/jaboca-berry.png;Jaboca Berry;Item
273;Jolly Mint;;Changes the Pokémon's stats to match the Jolly nature.;;Nature Mints;Battle items;https://img.pokemondb.net/s.png;Jolly Mint;Item
274;Kangaskhanite;Held: Allows Kangaskhan to Mega Evolve into Mega Kangaskhan.;Enables Kangaskhan to Mega Evolve during battle.;;Mega Stones;Hold items;https://img.pokemondb.net/sprites/items/kangaskhanite.png;Kangaskhanite;Item
275;Kasib Berry;Held: Consumed when struck by a super-effective Ghost-type attack to halve the damage.;Weakens a supereffective Ghost-type attack against the holding Pokémon.;holdable-active;Type Protection;Berries;https://img.pokemondb.net/sprites/items/kasib-berry.png;Kasib Berry;Item
276;Kebia Berry;Held: Consumed when struck by a super-effective Poison-type attack to halve the damage.;Weakens a supereffective Poison-type attack against the holding Pokémon.;holdable-active;Type Protection;Berries;https://img.pokemondb.net/sprites/items/kebia-berry.png;Kebia Berry;Item
277;Kee Berry;Held: When the holder is hit by a physical move, increases its Defense by one stage.;If held by a Pokémon, this Berry will increase the holder's Defense if it's hit with a physical move.;;Other;Berries;https://img.pokemondb.net/sprites/items/kee-berry.png;Kee Berry;Item
278;Kelpsy Berry;Drops Attack Effort Values by 10 and raises happiness.;Increases Friendship but lowers Attack EVs.;;Effort Drop;Berries;https://img.pokemondb.net/sprites/items/kelpsy-berry.png;Kelpsy Berry;Item
279;Lagging Tail;Held: Holder moves last in its priority bracket.;Holder always attacks last.;"holdable; holdable-active";Bad Held Items;Hold items;https://img.pokemondb.net/sprites/items/lagging-tail.png;Lagging Tail;Item
280;Lansat Berry;Held: Consumed at 1/4 max HP to boost critical hit ratio by two stages.;Increases critical-hit ratio when HP is low.;holdable-active;In A Pinch;Berries;https://img.pokemondb.net/sprites/items/lansat-berry.png;Lansat Berry;Item
281;Large Leek;;One of the many ingredients that can be used for cooking at your camp. Whether this is the kind of vegetable stalk that Farfetch’d like is unknown.;;Curry Ingredients;General items;https://img.pokemondb.net/s.png;Large Leek;Item
282;Latiasite;Held: Allows Latias to Mega Evolve into Mega Latias.;Enables Latias to Mega Evolve during battle.;;Mega Stones;Hold items;https://img.pokemondb.net/sprites/items/latiasite.png;Latiasite;Item
283;Latiosite;Held: Allows Latios to Mega Evolve into Mega Latios.;Enables Latios to Mega Evolve during battle.;;Mega Stones;Hold items;https://img.pokemondb.net/sprites/items/latiosite.png;Latiosite;Item
284;Lava Cookie;Cures any status ailment and confusion.;Heals all major status conditions.;"countable; consumable; usable-overworld; usable-in-battle; holdable";Status Cures;Medicine;https://img.pokemondb.net/sprites/items/lava-cookie.png;Lava Cookie;Item
285;Lax Incense;Held: Holder's evasion is increased by 5%. Breeding: Wobbuffet begets a Wynaut Egg.;Lowers the opponent's accuracy. Breeding Wobbuffet produces Wynaut when held.;"holdable; holdable-active";Held Items;Hold items;https://img.pokemondb.net/sprites/items/lax-incense.png;Lax Incense;Item
286;Lax Mint;;Changes the Pokémon's stats to match the Lax nature.;;Nature Mints;Battle items;https://img.pokemondb.net/s.png;Lax Mint;Item
287;Leaf Stone;Evolves an Exeggcute into Exeggutor, a Gloom into Vileplume, a Nuzleaf into Shiftry, a Pansage into Simisage, or a Weepinbell into Victreebel.;Evolves certain species of Pokémon.;underground;Evolution;General items;https://img.pokemondb.net/sprites/items/leaf-stone.png;Leaf Stone;Item
288;Leftovers;Held: Restores 1/16 (6.25%) holder's max HP at the end of each turn.;An item to be held by a Pokémon. The holder's HP is gradually restored during battle.;"holdable; holdable-active";Held Items;Hold items;https://img.pokemondb.net/sprites/items/leftovers.png;Leftovers;Item
289;Lemonade;Restores 80 HP.;Restores 70 HP.;"countable; consumable; usable-overworld; usable-in-battle; holdable";Healing;Medicine;https://img.pokemondb.net/sprites/items/lemonade.png;Lemonade;Item
290;Leppa Berry;Held: Consumed when a move runs out of PP to restore its PP by 10.;If held by a Pokémon, it restores a move's PP by 10.;holdable-active;Medicine;Berries;https://img.pokemondb.net/sprites/items/leppa-berry.png;Leppa Berry;Item
291;Level Ball;Success rate based off of fraction target Pokémon is of user's Pokémon. Made from Red Apricorn.;A Poké Ball for catching Pokémon that are a lower level than your own.;;Apricorn Balls;Pokeballs;https://img.pokemondb.net/sprites/items/level-ball.png;Level Ball;Item
292;Liechi Berry;Held: Consumed at 1/4 max HP to boost Attack.;Raises Attack when HP is low.;holdable-active;In A Pinch;Berries;https://img.pokemondb.net/sprites/items/liechi-berry.png;Liechi Berry;Item
293;Life Orb;Held: Holder's moves inflict 30% extra damage, but cost 10% max HP.;Increases the power of moves, but loses HP each turn.;"holdable; holdable-active";Held Items;Hold items;https://img.pokemondb.net/sprites/items/life-orb.png;Life Orb;Item
294;Light Ball;Doubles Pikachu's Attack and Special Attack. Breed on Pikachu or Raichu: Pichu Egg will have Volt Tackle.;An item to be held by PIKACHU. It is a puzzling orb that raises the Attack and Sp. Atk stat.;holdable;Species Specific;Hold items;https://img.pokemondb.net/sprites/items/light-ball.png;Light Ball;Item
295;Light Clay;Held: Light Screen and Reflect used by the holder last 8 rounds instead of 5.;A Pokémon held item that extends the duration of barrier moves like Light Screen and Reflect used by the holder.;"holdable; holdable-active; underground";Held Items;Hold items;https://img.pokemondb.net/sprites/items/light-clay.png;Light Clay;Item
296;Lone Earring;;;;Loot;General items;https://img.pokemondb.net/s.png;Lone Earring;Item
297;Lonely Mint;;Changes the Pokémon's stats to match the Lonely nature.;;Nature Mints;Battle items;https://img.pokemondb.net/s.png;Lonely Mint;Item
298;Looker Ticket;Advances the Looker postgame plot.;A ticket that was handmade by Looker. It's decorated with a liberal amount of glittery paint.;;Plot Advancement;Hold items;https://img.pokemondb.net/sprites/items/looker-ticket.png;Looker Ticket;Item
299;Lopunnite;Held: Allows Lopunny to Mega Evolve into Mega Lopunny.;Enables Lopunny to Mega Evolve during battle.;;Mega Stones;Hold items;https://img.pokemondb.net/sprites/items/lopunnite.png;Lopunnite;Item
300;Love Ball;8× effectiveness on opposite sex, same species targets of the Active Pokémon. Made from Pnk Apricorn.;Poké Ball for catching Pokémon that are the opposite gender of your Pokémon.;;Apricorn Balls;Pokeballs;https://img.pokemondb.net/sprites/items/love-ball.png;Love Ball;Item
301;Love Sweet;;Evolves Milcery into Heart Flavor Alcremie.;;Evolution;Hold items;https://img.pokemondb.net/s.png;Love Sweet;Item
302;Lucarionite;Held: Allows Lucario to Mega Evolve into Mega Lucario.;Enables Lucario to Mega Evolve during battle.;;Mega Stones;Hold items;https://img.pokemondb.net/sprites/items/lucarionite.png;Lucarionite;Item
303;Luck Incense;Held: Doubles the money earned from a battle. Does not stack with Amulet Coin. Breeding: Chansey and Blissey beget a Happiny Egg.;Doubles prize money if held. Breeding Chansey or Blissey produces Happiny when held.;"holdable; holdable-active";Training;Hold items;https://img.pokemondb.net/sprites/items/luck-incense.png;Luck Incense;Item
304;Lucky Egg;Held: Increases EXP earned in battle by 50%.;An item to be held by a Pokémon. It is an egg filled with happiness that earns extra Exp. Points in battle.;"holdable; holdable-active";Training;Hold items;https://img.pokemondb.net/sprites/items/lucky-egg.png;Lucky Egg;Item
305;Lucky Punch;Raises Chansey's critical hit ratio by two stages.;Increases critical-hit ratio when held by Chansey.;holdable;Species Specific;Hold items;https://img.pokemondb.net/sprites/items/lucky-punch.png;Lucky Punch;Item
306;Lum Berry;Held: Consumed to cure any status condition or confusion.;If held by a Pokémon, it recovers from any status problem.;holdable-active;Medicine;Berries;https://img.pokemondb.net/sprites/items/lum-berry.png;Lum Berry;Item
307;Luminous Moss;Held: If the holder is hit by a damaging Water move, raises its Special Defense by one stage.;Raises Special Defense if hit by a Water-type move.;;Held Items;Hold items;https://img.pokemondb.net/sprites/items/luminous-moss.png;Luminous Moss;Item
308;Lumiose Galette;Cures all major status ailments and confusion.;Heals all major status conditions.;;Status Cures;Medicine;https://img.pokemondb.net/sprites/items/lumiose-galette.png;Lumiose Galette;Item
309;Lure;;Attracts Pokémon in the wild.;;Spelunking;General items;https://img.pokemondb.net/s.png;Lure;Item
310;Lure Ball;3× effectiveness while fishing. Made from Blu Apricorn.;A Poké Ball for catching Pokémon hooked by a Rod when fishing.;;Apricorn Balls;Pokeballs;https://img.pokemondb.net/sprites/items/lure-ball.png;Lure Ball;Item
311;Lustrous Orb;Boosts the damage from Palkia's Dragon-type and Water-type moves by 20%.;Increases the power of Dragon- and Water-type moves when held by Palkia.;holdable;Species Specific;Hold items;https://img.pokemondb.net/sprites/items/lustrous-orb.png;Lustrous Orb;Item
312;Luxury Ball;Tries to catch a wild Pokémon.  Caught Pokémon start with 200 happiness.;A comfortable Poké Ball that makes a caught wild Pokémon quickly grow friendly.;"countable; consumable; usable-in-battle; holdable";Special Balls;Pokeballs;https://img.pokemondb.net/sprites/items/luxury-ball.png;Luxury Ball;Item
313;Macho Brace;Held: Holder gains double effort values from battles, but has halved Speed in battle.;An item to be held by a Pokémon. It is a stiff and heavy brace that promotes strong growth but lowers Speed.;"holdable; holdable-active";Effort Training;Hold items;https://img.pokemondb.net/sprites/items/macho-brace.png;Macho Brace;Item
314;Magmarizer;Traded on a Magmar: Holder evolves into Magmortar.;Evolves Magmar when traded holding the item.;;Evolution;General items;https://img.pokemondb.net/sprites/items/magmarizer.png;Magmarizer;Item
315;Magnet;Held: Electric-Type moves from holder do 20% more damage.;Increases the power of Electric-type moves.;"holdable; holdable-active";Type Enhancement;Hold items;https://img.pokemondb.net/sprites/items/magnet.png;Magnet;Item
316;Mago Berry;Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike sweet flavor.;Restores HP if it's low, but may cause confusion.;holdable-active;Picky Healing;Berries;https://img.pokemondb.net/sprites/items/mago-berry.png;Mago Berry;Item
317;Magost Berry;Used for creating PokéBlocks and Poffins.;A Berry which is very rare in the Unova region. A maniac will buy it for a high price.;;Baking Only;Berries;https://img.pokemondb.net/sprites/items/magost-berry.png;Magost Berry;Item
318;Manectite;Held: Allows Manectric to Mega Evolve into Mega Manectric.;Enables Manectric to Mega Evolve during battle.;;Mega Stones;Hold items;https://img.pokemondb.net/sprites/items/manectite.png;Manectite;Item
319;Maranga Berry;Held: When the holder is hit by a special move, increases its Special Defense by one stage.;If held by a Pokémon, this Berry will increase the holder's Sp. Def if it's hit with a special move.;;Other;Berries;https://img.pokemondb.net/sprites/items/maranga-berry.png;Maranga Berry;Item
320;Marble;;;;Loot;General items;https://img.pokemondb.net/s.png;Marble;Item
