Nature,HP/Atk/Def/SpA/SpD/Spe,Use_Percentage (%),Pokemon
Jolly,0/252/4/0/0/252,0.027%,Weavile
Adamant,0/252/0/0/0/252,0.025%,Weavile
Adamant,4/252/0/0/0/252,0.021%,Weavile
Adamant,0/252/0/0/52/136,0.016%,Weavile
Timid,4/0/0/252/0/252,0.011%,Weavile
Jolly,4/252/0/0/0/252,24.642%,Tsareena
Adamant,236/84/124/0/36/28,10.615%,Tsareena
Careful,252/0/84/0/172/0,6.656%,Tsareena
Adamant,252/180/0/0/76/0,4.896%,Tsareena
Brave,252/252/0/0/4/0,4.843%,Tsareena
Adamant,68/252/0/0/0/188,4.402%,Tsareena
Adamant,4/252/0/0/0/252,4.344%,Tsareena
Adamant,252/0/92/0/164/0,4.305%,Tsareena
Adamant,252/156/28/0/44/28,3.830%,Tsareena
Adamant,252/4/68/0/180/4,3.544%,Tsareena
Adamant,252/252/0/0/4/0,3.007%,Tsareena
Careful,252/0/252/0/4/0,2.895%,Tsareena
Adamant,100/236/0/0/0/172,2.700%,Tsareena
Adamant,252/252/0/0/0/6,2.295%,Tsareena
Jolly,0/252/0/0/4/252,2.012%,Tsareena
Adamant,196/156/0/0/0/156,1.770%,Tsareena
Adamant,252/76/100/0/60/20,1.497%,Tsareena
Jolly,236/20/0/0/0/252,1.223%,Tsareena
Adamant,0/156/4/0/12/252,1.079%,Tsareena
Adamant,252/4/0/0/252/0,0.701%,Tsareena
Brave,252/244/0/0/12/0,46.712%,Glastrier
Adamant,252/252/0/0/0/4,13.921%,Glastrier
Brave,252/252/0/0/4/0,11.908%,Glastrier
Brave,252/252/4/0/0/0,8.690%,Glastrier
Adamant,252/252/4/0/0/0,6.726%,Glastrier
Adamant,252/196/60/0/0/0,5.178%,Glastrier
Adamant,252/252/0/0/4/0,1.898%,Glastrier
Adamant,252/196/0/0/60/0,1.505%,Glastrier
Adamant,236/252/4/0/4/12,1.104%,Glastrier
Brave,228/252/0/0/28/0,0.830%,Glastrier
Brave,252/196/4/0/52/0,0.389%,Glastrier
Adamant,252/252/0/0/0/0,0.281%,Glastrier
Adamant,252/196/4/0/56/0,0.223%,Glastrier
Hardy,252/252/0/0/4/0,0.122%,Glastrier
Brave,252/252/0/0/0/0,0.112%,Glastrier
Brave,248/252/0/0/8/0,0.099%,Glastrier
Adamant,244/252/0/0/12/0,0.089%,Glastrier
Adamant,100/252/0/0/156/0,0.048%,Glastrier
Brave,204/140/20/0/144/0,0.048%,Glastrier
Brave,180/252/76/0/0/0,0.029%,Glastrier
Brave,252/252/4/0/0/0,27.880%,Dracovish
Adamant,252/252/0/0/4/0,18.444%,Dracovish
Brave,252/252/0/0/4/0,13.824%,Dracovish
Jolly,0/252/0/0/4/252,10.735%,Dracovish
Adamant,0/252/0/0/4/252,9.387%,Dracovish
Adamant,0/252/68/0/72/116,8.081%,Dracovish
Adamant,4/252/0/0/0/252,4.283%,Dracovish
Jolly,4/252/0/0/0/252,1.878%,Dracovish
Careful,4/252/0/0/0/252,1.059%,Dracovish
Adamant,0/252/0/0/0/252,1.017%,Dracovish
Brave,0/252/92/0/164/0,0.871%,Dracovish
Hasty,0/244/0/0/12/252,0.722%,Dracovish
Jolly,0/252/4/0/0/252,0.543%,Dracovish
Jolly,52/132/92/0/116/116,0.331%,Dracovish
Adamant,0/252/4/0/252/0,0.234%,Dracovish
Adamant,128/252/124/0/0/0,0.113%,Dracovish
Jolly,0/252/0/0/0/252,0.092%,Dracovish
Jolly,0/248/0/0/8/252,0.059%,Dracovish
Adamant,0/252/4/0/0/252,0.047%,Dracovish
Timid,0/252/4/0/0/252,0.046%,Dracovish
Timid,0/0/0/252/4/252,33.439%,Regidrago
Modest,0/0/0/252/4/252,24.147%,Regidrago
Timid,4/0/0/252/0/252,23.981%,Regidrago
Modest,4/0/0/252/0/252,8.526%,Regidrago
Naughty,28/252/4/116/0/108,3.106%,Regidrago
Timid,4/0/20/252/20/212,2.472%,Regidrago
Modest,252/0/0/252/0/4,1.307%,Regidrago
Modest,20/0/124/252/20/92,1.227%,Regidrago
Timid,12/0/12/252/12/220,0.520%,Regidrago
Hasty,0/4/0/252/0/252,0.298%,Regidrago
Quiet,0/0/252/252/4/0,0.206%,Regidrago
Mild,4/0/0/252/0/252,0.187%,Regidrago
Quiet,0/0/252/252/0/0,0.138%,Regidrago
Timid,36/0/0/252/0/220,0.102%,Regidrago
Modest,0/0/124/252/132/0,0.086%,Regidrago
Quiet,248/4/0/252/0/0,0.073%,Regidrago
Jolly,4/0/0/252/0/252,0.048%,Regidrago
Timid,6/0/0/252/0/252,0.043%,Regidrago
Modest,252/0/0/252/4/0,0.034%,Regidrago
Timid,0/0/4/252/0/252,0.022%,Regidrago
Careful,252/0/140/0/116/0,30.418%,Hitmontop
Careful,252/0/52/0/204/0,19.279%,Hitmontop
Adamant,252/252/0/0/4/0,19.233%,Hitmontop
Careful,252/12/132/0/108/4,8.488%,Hitmontop
Impish,252/0/140/0/116/0,3.945%,Hitmontop
Careful,252/0/116/0/140/0,3.488%,Hitmontop
Careful,252/4/0/0/252/0,2.660%,Hitmontop
Hardy,204/84/76/0/92/48,1.218%,Hitmontop
Impish,252/0/252/0/4/0,0.907%,Hitmontop
Careful,252/0/252/0/4/0,0.864%,Hitmontop
Careful,252/0/4/0/252/0,0.715%,Hitmontop
Impish,252/252/0/0/0/4,0.711%,Hitmontop
Careful,252/44/92/0/116/4,0.644%,Hitmontop
Adamant,220/196/4/0/60/28,0.638%,Hitmontop
Careful,252/0/44/0/212/0,0.479%,Hitmontop
Brave,252/252/0/0/4/0,0.472%,Hitmontop
Jolly,4/252/0/0/0/252,0.376%,Hitmontop
Adamant,244/28/60/0/132/44,0.357%,Hitmontop
Adamant,220/0/140/0/144/0,0.334%,Hitmontop
Jolly,252/0/0/0/4/252,0.333%,Hitmontop
Jolly,4/252/0/0/0/252,40.508%,Darmanitan Galarian Standard Mode
Jolly,36/252/0/0/0/220,35.950%,Darmanitan Galarian Standard Mode
Adamant,4/252/0/0/0/252,13.922%,Darmanitan Galarian Standard Mode
Jolly,0/252/0/0/4/252,6.385%,Darmanitan Galarian Standard Mode
Jolly,0/0/0/252/4/252,2.162%,Darmanitan Galarian Standard Mode
Jolly,20/252/4/0/4/228,0.592%,Darmanitan Galarian Standard Mode
Jolly,92/252/0/0/0/164,0.151%,Darmanitan Galarian Standard Mode
Hardy,0/252/0/0/0/252,0.118%,Darmanitan Galarian Standard Mode
Adamant,0/252/0/0/4/252,0.048%,Darmanitan Galarian Standard Mode
Jolly,0/252/4/0/0/252,0.032%,Darmanitan Galarian Standard Mode
Jolly,4/248/0/0/0/252,0.028%,Darmanitan Galarian Standard Mode
Hardy,52/252/0/0/0/172,0.022%,Darmanitan Galarian Standard Mode
Jolly,0/252/0/0/0/252,0.016%,Darmanitan Galarian Standard Mode
Hardy,252/252/0/0/0/4,0.016%,Darmanitan Galarian Standard Mode
Adamant,0/252/0/0/0/252,0.011%,Darmanitan Galarian Standard Mode
Hardy,4/252/0/0/0/252,0.009%,Darmanitan Galarian Standard Mode
Adamant,12/244/20/0/4/228,0.007%,Darmanitan Galarian Standard Mode
Naive,0/248/0/0/0/252,0.005%,Darmanitan Galarian Standard Mode
Jolly,140/252/0/0/0/116,0.005%,Darmanitan Galarian Standard Mode
Hardy,12/244/20/0/4/228,0.004%,Darmanitan Galarian Standard Mode
Modest,156/0/4/252/76/20,30.149%,Zekrom
Jolly,4/252/0/0/0/252,7.720%,Zekrom
Bold,252/0/0/0/52/0,7.259%,Zekrom
Adamant,124/156/28/0/4/196,6.345%,Zekrom
Quiet,252/0/0/252/4/0,5.926%,Zekrom
Jolly,0/252/0/0/4/252,4.661%,Zekrom
Adamant,228/252/0/0/4/20,3.763%,Zekrom
Modest,124/0/36/236/76/36,3.186%,Zekrom
Quiet,196/76/0/236/0/0,3.061%,Zekrom
Adamant,12/236/4/0/4/252,3.061%,Zekrom
Timid,4/0/0/252/0/252,2.848%,Zekrom
Bold,252/0/0/204/52/0,2.385%,Zekrom
Timid,68/0/4/220/4/212,1.463%,Zekrom
Modest,180/0/0/252/76/0,1.175%,Zekrom
Modest,240/0/0/100/100/68,1.123%,Zekrom
Modest,252/0/0/172/0/84,0.939%,Zekrom
Adamant,156/248/4/0/76/20,0.911%,Zekrom
Modest,236/0/0/252/0/20,0.887%,Zekrom
Timid,0/0/0/252/4/252,0.855%,Zekrom
Hardy,252/4/0/0/0/252,0.765%,Zekrom
Relaxed,4/0/252/0/252/0,42.032%,Shuckle
Bold,4/0/252/0/252/0,38.585%,Shuckle
Relaxed,252/0/252/0/4/0,11.528%,Shuckle
Calm,252/0/252/0/4/0,1.881%,Shuckle
Bold,252/0/252/0/4/0,1.409%,Shuckle
Calm,252/0/156/0/100/0,1.163%,Shuckle
Relaxed,244/0/252/0/12/0,1.044%,Shuckle
Calm,252/0/4/0/252/0,0.958%,Shuckle
Bold,252/0/132/0/124/0,0.945%,Shuckle
Bold,252/0/252/4/0/0,0.190%,Shuckle
Bold,252/0/0/0/252/0,0.127%,Shuckle
Impish,0/0/252/0/252/0,0.044%,Shuckle
Bold,252/0/180/0/76/0,0.038%,Shuckle
Careful,252/0/196/0/56/0,0.023%,Shuckle
Relaxed,252/0/124/0/132/0,0.007%,Shuckle
Hardy,0/248/0/252/0/8,0.006%,Shuckle
Hardy,252/0/124/0/128/0,0.005%,Shuckle
Sassy,252/0/4/0/252/0,0.004%,Shuckle
Relaxed,252/0/0/0/252/0,0.002%,Shuckle
Hardy,0/0/252/0/252/0,0.002%,Shuckle
Jolly,0/252/0/0/4/252,43.262%,Galarian Zapdos
Adamant,244/148/92/0/12/12,25.725%,Galarian Zapdos
Jolly,4/252/0/0/0/252,6.398%,Galarian Zapdos
Adamant,252/116/92/0/12/36,5.811%,Galarian Zapdos
Adamant,28/252/0/0/0/228,4.091%,Galarian Zapdos
Adamant,4/252/0/0/0/252,3.475%,Galarian Zapdos
Adamant,68/196/4/0/4/236,3.125%,Galarian Zapdos
Adamant,20/252/4/0/4/228,1.390%,Galarian Zapdos
Adamant,12/252/4/0/4/236,1.244%,Galarian Zapdos
Jolly,20/248/0/0/4/236,0.907%,Galarian Zapdos
Jolly,24/252/0/0/0/232,0.760%,Galarian Zapdos
Jolly,76/180/0/0/0/252,0.532%,Galarian Zapdos
Jolly,204/36/4/0/12/252,0.525%,Galarian Zapdos
Jolly,252/20/0/0/0/236,0.506%,Galarian Zapdos
Jolly,0/252/0/0/6/252,0.417%,Galarian Zapdos
Jolly,44/164/4/0/44/252,0.371%,Galarian Zapdos
Adamant,220/148/4/0/132/4,0.225%,Galarian Zapdos
Jolly,252/0/0/0/4/252,0.202%,Galarian Zapdos
Jolly,116/156/0/0/0/236,0.196%,Galarian Zapdos
Adamant,0/252/0/0/4/252,0.163%,Galarian Zapdos
Timid,252/0/4/0/0/252,32.043%,Volcarona
Bold,244/0/220/0/0/44,22.744%,Volcarona
Timid,4/0/0/252/0/252,13.660%,Volcarona
Timid,0/0/0/252/4/252,4.727%,Volcarona
Timid,252/0/0/4/0/252,3.407%,Volcarona
Modest,188/0/236/76/4/4,2.631%,Volcarona
Modest,188/0/52/36/4/228,1.991%,Volcarona
Timid,180/0/4/68/4/252,1.478%,Volcarona
Timid,156/0/140/12/4/196,1.239%,Volcarona
Modest,204/0/60/4/4/236,1.167%,Volcarona
Serious,252/0/252/0/4/0,1.141%,Volcarona
Bold,252/0/228/0/28/0,1.093%,Volcarona
Bold,200/0/228/68/12/0,1.074%,Volcarona
Calm,252/0/0/0/252/4,0.825%,Volcarona
Bold,252/0/252/0/4/0,0.773%,Volcarona
Bold,244/0/244/0/20/0,0.691%,Volcarona
Bold,252/0/252/0/0/0,0.580%,Volcarona
Timid,248/0/156/16/0/88,0.538%,Volcarona
Timid,244/0/4/4/4/252,0.529%,Volcarona
Calm,244/0/212/12/36/4,0.505%,Volcarona
Impish,252/0/252/0/4/0,46.103%,Meowstic Male
Calm,252/0/180/4/68/4,13.506%,Meowstic Male
Careful,252/4/0/0/252/0,7.820%,Meowstic Male
Calm,252/0/4/0/252/0,7.607%,Meowstic Male
Careful,252/0/100/0/152/4,3.372%,Meowstic Male
Impish,252/0/140/0/116/0,3.123%,Meowstic Male
Calm,4/0/252/0/252/0,2.283%,Meowstic Male
Modest,0/0/124/252/128/0,2.152%,Meowstic Male
Bold,252/0/252/0/4/0,1.271%,Meowstic Male
Calm,252/0/0/4/252/0,1.226%,Meowstic Male
Relaxed,252/0/156/0/96/0,1.217%,Meowstic Male
Careful,248/8/0/0/252/0,1.094%,Meowstic Male
Calm,252/0/100/0/152/4,1.042%,Meowstic Male
Calm,244/1/92/60/108/5,0.979%,Meowstic Male
Calm,252/0/100/0/148/4,0.940%,Meowstic Male
Impish,244/0/148/0/116/0,0.893%,Meowstic Male
Bold,244/0/148/0/116/0,0.880%,Meowstic Male
Impish,252/0/0/0/0/0,0.871%,Meowstic Male
Timid,248/0/0/8/0/252,0.607%,Meowstic Male
Jolly,252/4/140/0/100/12,0.569%,Meowstic Male
Timid,148/0/108/0/0/252,69.876%,Alolan Persian
Jolly,252/0/0/0/4/252,4.481%,Alolan Persian
Timid,116/0/140/0/0/252,4.157%,Alolan Persian
Timid,92/0/156/4/4/252,3.141%,Alolan Persian
Impish,252/0/252/0/4/0,2.712%,Alolan Persian
Timid,244/0/28/0/0/236,1.979%,Alolan Persian
Jolly,116/0/0/0/140/252,1.703%,Alolan Persian
Timid,252/0/0/0/4/252,1.668%,Alolan Persian
Timid,116/0/0/0/140/252,1.614%,Alolan Persian
Timid,252/0/20/4/4/228,1.603%,Alolan Persian
Jolly,128/28/0/0/0/252,1.550%,Alolan Persian
Hasty,252/4/0/0/0/252,1.397%,Alolan Persian
Timid,252/0/0/0/0/252,1.090%,Alolan Persian
Calm,252/0/124/0/72/56,0.676%,Alolan Persian
Timid,252/0/4/0/0/252,0.547%,Alolan Persian
Timid,228/0/28/0/0/252,0.537%,Alolan Persian
Jolly,252/4/0/0/0/252,0.272%,Alolan Persian
Timid,252/0/0/4/0/252,0.258%,Alolan Persian
Hardy,252/0/4/0/0/252,0.180%,Alolan Persian
Jolly,244/0/28/0/0/236,0.158%,Alolan Persian
Sassy,244/0/252/0/12/0,31.378%,Snorlax
Brave,20/236/252/0/0/0,14.871%,Snorlax
Adamant,244/76/164/0/4/20,10.701%,Snorlax
Brave,244/252/0/0/12/0,6.047%,Snorlax
Adamant,156/76/252/0/12/12,5.102%,Snorlax
Brave,180/76/252/0/0/0,4.667%,Snorlax
Brave,36/252/220/0/0/0,3.422%,Snorlax
Adamant,244/252/0/0/12/0,3.408%,Snorlax
Impish,172/0/252/0/84/0,2.900%,Snorlax
Adamant,48/252/204/0/0/4,2.812%,Snorlax
Sassy,252/0/60/0/196/0,2.422%,Snorlax
Careful,196/4/252/0/36/20,1.900%,Snorlax
Adamant,252/252/4/0/0/0,1.461%,Snorlax
Brave,244/252/12/0/0/0,1.412%,Snorlax
Adamant,148/156/140/0/12/52,1.227%,Snorlax
Brave,248/252/0/0/8/0,0.891%,Snorlax
Sassy,228/0/212/0/68/0,0.741%,Snorlax
Brave,252/0/108/0/148/0,0.612%,Snorlax
Sassy,164/60/252/0/28/0,0.439%,Snorlax
Careful,128/128/0/0/252/0,0.413%,Snorlax
Lonely,252/252/0/0/4/0,26.966%,Stakataka
Brave,244/252/0/0/12/0,16.446%,Stakataka
Brave,252/252/0/0/4/0,10.381%,Stakataka
Brave,252/244/12/0/0/0,9.712%,Stakataka
Relaxed,252/0/252/0/4/0,8.733%,Stakataka
Brave,252/252/4/0/0/0,6.320%,Stakataka
Lonely,244/252/0/0/12/0,4.411%,Stakataka
Adamant,4/252/252/0/0/0,2.371%,Stakataka
Lonely,252/252/0/4/0/0,1.978%,Stakataka
Sassy,244/12/0/0/252/0,1.373%,Stakataka
Sassy,252/0/28/0/228/0,1.236%,Stakataka
Relaxed,244/12/252/0/0/0,1.004%,Stakataka
Relaxed,252/4/252/0/0/0,0.935%,Stakataka
Relaxed,252/0/4/0/252/0,0.931%,Stakataka
Sassy,252/0/4/0/252/0,0.816%,Stakataka
Relaxed,252/0/252/0/0/0,0.814%,Stakataka
Brave,252/252/0/0/0/0,0.559%,Stakataka
Sassy,252/4/0/0/252/0,0.530%,Stakataka
Brave,244/12/0/0/252/0,0.465%,Stakataka
Brave,236/252/0/0/20/0,0.347%,Stakataka
Naive,0/4/0/252/0/252,39.300%,Thundurus Therian Forme
Timid,0/0/0/252/4/252,28.500%,Thundurus Therian Forme
Timid,4/0/0/252/0/252,8.778%,Thundurus Therian Forme
Timid,4/0/4/244/4/252,5.642%,Thundurus Therian Forme
Timid,36/0/4/212/4/252,4.005%,Thundurus Therian Forme
Timid,148/0/12/92/4/252,2.217%,Thundurus Therian Forme
Modest,252/0/108/108/12/28,2.139%,Thundurus Therian Forme
Timid,36/0/0/220/0/252,2.092%,Thundurus Therian Forme
Modest,236/0/116/4/4/148,1.623%,Thundurus Therian Forme
Modest,164/0/4/44/76/220,1.185%,Thundurus Therian Forme
Timid,252/0/204/0/12/40,0.822%,Thundurus Therian Forme
Modest,212/0/0/252/0/44,0.804%,Thundurus Therian Forme
Timid,164/0/0/92/0/252,0.728%,Thundurus Therian Forme
Hasty,0/4/0/252/0/252,0.534%,Thundurus Therian Forme
Timid,244/0/0/84/0/180,0.427%,Thundurus Therian Forme
Hardy,204/0/4/132/28/140,0.322%,Thundurus Therian Forme
Modest,84/0/84/36/76/228,0.315%,Thundurus Therian Forme
Modest,52/0/4/196/4/252,0.172%,Thundurus Therian Forme
Modest,0/0/4/252/0/252,0.143%,Thundurus Therian Forme
Modest,0/0/0/252/4/252,0.086%,Thundurus Therian Forme
Timid,0/0/0/252/4/252,17.113%,Galarian Moltres
Timid,4/0/0/252/0/252,13.142%,Galarian Moltres
Modest,172/0/4/252/4/76,8.319%,Galarian Moltres
Modest,28/0/4/252/4/220,7.479%,Galarian Moltres
Timid,244/0/4/4/4/252,6.734%,Galarian Moltres
Timid,76/0/180/0/0/252,6.244%,Galarian Moltres
Bold,252/0/156/76/4/20,4.998%,Galarian Moltres
Calm,252/0/0/100/156/0,4.688%,Galarian Moltres
Modest,204/0/4/156/4/140,3.986%,Galarian Moltres
Modest,252/0/124/0/0/132,3.713%,Galarian Moltres
Modest,252/0/164/60/20/12,3.615%,Galarian Moltres
Bold,252/0/0/252/0/4,3.330%,Galarian Moltres
Modest,252/0/4/252/0/0,1.967%,Galarian Moltres
Bold,252/0/156/0/100/0,1.859%,Galarian Moltres
Modest,188/0/44/76/4/196,1.537%,Galarian Moltres
Modest,252/0/0/252/4/0,1.465%,Galarian Moltres
Hasty,0/4/0/252/0/252,1.041%,Galarian Moltres
Modest,116/0/0/140/0/252,0.979%,Galarian Moltres
Timid,0/0/4/252/0/252,0.711%,Galarian Moltres
Timid,0/4/0/252/0/252,0.596%,Galarian Moltres
Jolly,4/252/0/0/0/252,52.694%,Talonflame
Timid,252/0/0/108/0/148,15.286%,Talonflame
Jolly,0/252/0/0/4/252,11.115%,Talonflame
Jolly,0/252/4/0/0/252,6.047%,Talonflame
Timid,252/0/0/4/0/252,3.694%,Talonflame
Jolly,76/252/0/0/0/180,2.615%,Talonflame
Jolly,252/4/0/0/0/252,1.618%,Talonflame
Timid,172/0/68/84/4/180,1.088%,Talonflame
Jolly,0/252/0/0/4/204,0.772%,Talonflame
Modest,252/0/0/252/0/4,0.608%,Talonflame
Timid,52/0/0/252/12/188,0.517%,Talonflame
Adamant,4/252/0/0/0/252,0.505%,Talonflame
Jolly,0/252/0/4/0/252,0.488%,Talonflame
Jolly,252/76/0/0/0/180,0.428%,Talonflame
Timid,252/0/0/0/4/252,0.310%,Talonflame
Jolly,252/0/0/0/4/252,0.297%,Talonflame
Naive,252/4/0/0/0/252,0.262%,Talonflame
Adamant,0/252/0/0/4/252,0.254%,Talonflame
Jolly,12/252/0/0/0/244,0.230%,Talonflame
Timid,0/0/0/252/4/252,0.226%,Talonflame
Bold,252/0/164/0/92/0,32.837%,Milotic
Bold,252/0/172/84/0/0,6.353%,Milotic
Calm,252/0/252/0/4/0,5.950%,Milotic
Modest,164/0/124/220/0/0,5.297%,Milotic
Modest,92/0/100/148/0/164,4.989%,Milotic
Bold,252/0/252/4/0/0,4.436%,Milotic
Quiet,244/0/172/84/4/0,3.422%,Milotic
Modest,252/0/0/252/4/0,3.036%,Milotic
Calm,252/0/76/24/156/0,2.852%,Milotic
Calm,252/0/116/36/76/28,2.681%,Milotic
Timid,100/0/0/152/128/128,2.466%,Milotic
Modest,156/0/188/156/4/4,2.207%,Milotic
Timid,172/0/20/108/4/204,2.204%,Milotic
Calm,252/0/180/0/40/36,1.932%,Milotic
Bold,252/0/84/76/20/76,1.814%,Milotic
Calm,252/0/4/0/252/0,1.769%,Milotic
Relaxed,252/4/252/0/0/0,1.573%,Milotic
Bold,252/0/252/0/4/0,1.500%,Milotic
Timid,76/0/204/0/0/228,0.826%,Milotic
Bold,156/0/100/252/0/0,0.822%,Milotic
Timid,28/0/68/228/12/172,16.455%,Mewtwo
Quiet,252/4/0/252/0/0,11.425%,Mewtwo
Timid,0/0/92/164/0/252,11.123%,Mewtwo
Modest,76/0/156/124/4/148,8.839%,Mewtwo
Timid,4/0/100/244/4/156,8.628%,Mewtwo
Timid,60/0/12/252/12/172,7.044%,Mewtwo
Timid,108/0/12/252/28/108,6.524%,Mewtwo
Timid,0/0/0/252/4/252,5.887%,Mewtwo
Timid,108/0/4/252/4/140,5.668%,Mewtwo
Hardy,4/0/0/252/0/252,2.740%,Mewtwo
Hasty,0/4/0/252/0/252,2.144%,Mewtwo
Timid,4/0/0/252/0/252,1.997%,Mewtwo
Bold,252/0/20/108/44/84,1.831%,Mewtwo
Quiet,252/0/0/252/4/0,1.409%,Mewtwo
Modest,150/0/0/158/0/200,1.236%,Mewtwo
Timid,4/0/100/236/4/164,0.818%,Mewtwo
Modest,204/0/4/124/36/140,0.703%,Mewtwo
Timid,76/0/36/132/12/252,0.669%,Mewtwo
Modest,4/0/0/252/0/252,0.651%,Mewtwo
Modest,4/0/0/252/80/172,0.633%,Mewtwo
Jolly,4/252/0/0/0/252,67.203%,Klinklang
Jolly,0/252/0/0/4/252,31.944%,Klinklang
Jolly,124/252/0/0/0/132,0.463%,Klinklang
Brave,252/252/0/0/0/0,0.142%,Klinklang
Adamant,252/252/0/0/0/4,0.097%,Klinklang
Relaxed,252/4/252/0/0/0,0.083%,Klinklang
Adamant,252/56/100/0/100/0,0.065%,Klinklang
Adamant,0/252/0/0/0/252,0.002%,Klinklang
Calm,252/0/148/0/108/0,0.001%,Klinklang
Serious,252/0/0/252/0/4,0.000%,Klinklang
Hardy,4/252/0/252/0/0,0.000%,Klinklang
Careful,172/0/188/0/148/0,0.000%,Klinklang
Careful,252/0/4/0/252/0,0.000%,Klinklang
Quiet,252/0/0/252/4/0,0.000%,Klinklang
Jolly,160/252/0/0/0/96,0.000%,Klinklang
Jolly,0/0/252/0/252/4,0.000%,Klinklang
Calm,4/0/0/252/252/0,0.000%,Klinklang
Sassy,252/0/180/76/0/0,0.000%,Klinklang
Impish,4/0/204/0/44/252,0.000%,Klinklang
Jolly,0/248/4/0/4/252,0.000%,Klinklang
Timid,0/0/0/252/4/252,52.893%,Inteleon
Timid,4/0/0/252/0/252,25.081%,Inteleon
Timid,4/0/52/252/4/196,9.975%,Inteleon
Timid,0/0/20/252/0/236,5.868%,Inteleon
Modest,0/0/0/252/4/252,3.967%,Inteleon
Modest,4/0/0/252/0/252,1.467%,Inteleon
Timid,48/0/100/0/104/252,0.311%,Inteleon
Timid,252/0/0/4/0/252,0.203%,Inteleon
Hasty,0/4/0/252/0/252,0.072%,Inteleon
Timid,20/0/0/252/0/236,0.058%,Inteleon
Modest,28/0/0/228/0/252,0.017%,Inteleon
Hasty,4/0/0/252/0/252,0.014%,Inteleon
Timid,6/0/0/252/0/252,0.013%,Inteleon
Timid,4/0/0/252/0/228,0.011%,Inteleon
Hasty,0/0/0/252/0/252,0.009%,Inteleon
Modest,0/0/0/252/0/252,0.007%,Inteleon
Modest,28/0/4/252/4/220,0.006%,Inteleon
Timid,116/0/84/132/92/84,0.005%,Inteleon
Timid,0/0/0/252/0/252,0.005%,Inteleon
Timid,0/4/0/252/0/252,0.003%,Inteleon
Modest,68/0/84/124/4/228,56.727%,Salamence
Jolly,0/252/0/0/4/252,13.283%,Salamence
Timid,0/0/0/252/4/252,6.286%,Salamence
Timid,4/0/0/252/0/252,5.634%,Salamence
Jolly,36/20/92/0/108/252,5.035%,Salamence
Adamant,0/252/0/0/4/252,3.714%,Salamence
Modest,68/0/76/132/4/228,3.338%,Salamence
Modest,0/0/92/252/164/0,2.457%,Salamence
Jolly,4/252/0/0/0/252,1.137%,Salamence
Adamant,20/252/0/0/0/236,0.783%,Salamence
Hasty,0/4/0/252/0/252,0.630%,Salamence
Adamant,4/252/0/0/0/252,0.305%,Salamence
Timid,0/36/0/252/0/220,0.226%,Salamence
Jolly,0/252/4/0/0/252,0.162%,Salamence
Jolly,76/252/0/0/0/180,0.055%,Salamence
Jolly,44/196/4/0/12/252,0.044%,Salamence
Hardy,0/252/0/0/0/252,0.041%,Salamence
Adamant,28/252/0/0/0/228,0.038%,Salamence
Jolly,0/252/0/0/0/252,0.020%,Salamence
Jolly,0/164/20/0/68/252,0.016%,Salamence
Quiet,252/0/0/252/4/0,75.151%,Hatterene
Quiet,252/0/4/252/0/0,17.074%,Hatterene
Sassy,252/0/140/0/116/0,1.467%,Hatterene
Modest,252/0/0/252/4/0,1.226%,Hatterene
Quiet,252/4/0/252/0/0,0.759%,Hatterene
Sassy,252/0/0/4/252/0,0.573%,Hatterene
Relaxed,252/0/252/0/4/0,0.557%,Hatterene
Quiet,252/0/0/252/0/0,0.459%,Hatterene
Modest,252/0/0/252/0/0,0.418%,Hatterene
Bold,140/0/116/252/0/0,0.388%,Hatterene
Quiet,212/0/44/252/0/0,0.343%,Hatterene
Quiet,0/0/148/228/132/0,0.320%,Hatterene
Modest,252/0/4/252/0/0,0.245%,Hatterene
Hardy,252/0/4/252/0/0,0.234%,Hatterene
Quiet,244/0/236/28/0/0,0.221%,Hatterene
Calm,252/0/0/4/252/0,0.099%,Hatterene
Quiet,252/0/180/76/0/0,0.073%,Hatterene
Quiet,228/0/148/0/132/0,0.062%,Hatterene
Calm,252/0/4/0/252/0,0.060%,Hatterene
Quiet,4/0/252/252/0/0,0.049%,Hatterene
Jolly,4/252/0/0/0/252,80.939%,Sneasel
Naive,0/252/0/0/0/252,5.345%,Sneasel
Jolly,4/244/4/0/4/252,4.928%,Sneasel
Naive,0/252/0/4/0/252,4.576%,Sneasel
Timid,4/252/0/0/0/252,2.505%,Sneasel
Jolly,0/0/252/0/4/252,0.682%,Sneasel
Jolly,252/0/0/0/4/252,0.574%,Sneasel
Jolly,252/0/4/0/0/252,0.146%,Sneasel
Adamant,4/0/0/252/0/252,0.109%,Sneasel
Hasty,80/80/0/4/92/252,0.055%,Sneasel
Timid,252/0/0/0/4/252,0.051%,Sneasel
Hasty,0/252/0/4/0/252,0.050%,Sneasel
Hasty,4/252/0/0/0/252,0.016%,Sneasel
Hasty,100/68/84/4/0/252,0.015%,Sneasel
Timid,252/0/4/0/0/252,0.003%,Sneasel
Jolly,52/188/4/0/36/228,0.002%,Sneasel
Hasty,0/0/108/4/140/252,0.001%,Sneasel
Adamant,4/252/0/0/0/252,0.000%,Sneasel
Timid,252/0/0/4/0/252,0.000%,Sneasel
Jolly,252/4/0/0/0/252,0.000%,Sneasel
Brave,252/252/0/0/4/0,47.308%,Escavalier
Brave,252/252/4/0/0/0,44.160%,Escavalier
