,Pokemon,Move,Type,Use_Percentage (%)
611,Celesteela,Air Slash,flying,61.181%
612,Celesteela,Flash Cannon,steel,58.062%
613,Celesteela,Protect,normal,56.260%
614,Celesteela,Meteor Beam,rock,45.651%
615,Celesteela,Leech Seed,grass,37.948%
616,Celesteela,Wide Guard,rock,30.339%
617,Celesteela,Heavy Slam,steel,26.864%
618,Celesteela,Giga Drain,grass,21.747%
619,Celesteela,Flamethrower,fire,13.641%
620,Celesteela,Energy Ball,grass,11.243%
621,Celesteela,Iron Head,steel,8.331%
622,Celesteela,Seed Bomb,grass,8.034%
623,Celesteela,Earthquake,ground,7.915%
624,Celesteela,Other,,12.784%
625,Metagross,Stomping Tantrum,ground,79.646%
626,Metagross,Iron Head,steel,75.875%
627,Metagross,Ice Punch,ice,58.683%
628,Metagross,Thunder Punch,electric,44.466%
629,Metagross,Protect,normal,31.412%
630,Metagross,Rock Slide,rock,23.361%
631,Metagross,Brick Break,fighting,18.977%
632,Metagross,Ally Switch,psychic,15.681%
633,Metagross,Earthquake,ground,15.203%
634,Metagross,Bullet Punch,steel,12.183%
635,Metagross,Steel Roller,steel,8.608%
636,Metagross,Other,,15.905%
637,Araquanid,Wide Guard,rock,97.829%
638,Araquanid,Liquidation,water,91.623%
639,Araquanid,Protect,normal,63.689%
640,Araquanid,Leech Life,bug,43.037%
641,Araquanid,Lunge,bug,42.459%
642,Araquanid,Safeguard,normal,20.675%
643,Araquanid,Giga Drain,grass,9.256%
644,Araquanid,Entrainment,normal,8.442%
645,Araquanid,Scald,water,8.363%
646,Araquanid,Other,,14.627%
647,Pheromosa,Close Combat,fighting,93.054%
648,Pheromosa,Coaching,fighting,69.878%
649,Pheromosa,Icy Wind,ice,50.314%
650,Pheromosa,Speed Swap,psychic,44.941%
651,Pheromosa,Quick Guard,fighting,35.293%
652,Pheromosa,Protect,normal,34.151%
653,Pheromosa,U-turn,bug,22.434%
654,Pheromosa,Throat Chop,dark,9.203%
655,Pheromosa,Feint,normal,6.526%
656,Pheromosa,Poison Jab,poison,4.799%
657,Pheromosa,Low Kick,fighting,4.338%
658,Pheromosa,Lunge,bug,3.540%
659,Pheromosa,Triple Axel,ice,2.811%
660,Pheromosa,Other,,18.718%
661,Arcanine,Will-O-Wisp,fire,89.474%
662,Arcanine,Snarl,dark,66.137%
663,Arcanine,Safeguard,normal,50.625%
664,Arcanine,Heat Wave,fire,48.540%
665,Arcanine,Protect,normal,29.617%
666,Arcanine,Flamethrower,fire,29.263%
667,Arcanine,Morning Sun,normal,23.385%
668,Arcanine,Flare Blitz,fire,18.755%
669,Arcanine,Helping Hand,normal,15.329%
670,Arcanine,Wild Charge,electric,6.365%
671,Arcanine,Extreme Speed,normal,4.210%
672,Arcanine,Other,,18.299%
673,Zamazenta-Crowned,Behemoth Bash,steel,99.973%
674,Zamazenta-Crowned,Coaching,fighting,76.272%
675,Zamazenta-Crowned,Snarl,dark,62.251%
676,Zamazenta-Crowned,Wide Guard,rock,52.704%
677,Zamazenta-Crowned,Close Combat,fighting,52.680%
678,Zamazenta-Crowned,Protect,normal,24.521%
679,Zamazenta-Crowned,Helping Hand,normal,13.612%
680,Zamazenta-Crowned,Other,,17.988%
681,Clefairy,Follow Me,normal,98.900%
682,Clefairy,Helping Hand,normal,94.232%
683,Clefairy,Protect,normal,87.372%
684,Clefairy,Moonblast,fairy,31.046%
685,Clefairy,After You,normal,28.422%
686,Clefairy,Icy Wind,ice,24.124%
687,Clefairy,Sing,normal,7.900%
688,Clefairy,Life Dew,water,6.103%
689,Clefairy,Ally Switch,psychic,5.648%
690,Clefairy,Other,,16.254%
691,Mienshao,Close Combat,fighting,99.302%
692,Mienshao,Fake Out,normal,98.840%
693,Mienshao,Ally Switch,psychic,68.447%
694,Mienshao,Wide Guard,rock,48.488%
695,Mienshao,Helping Hand,normal,31.096%
696,Mienshao,Feint,normal,19.536%
697,Mienshao,Coaching,fighting,9.222%
698,Mienshao,Rock Tomb,rock,8.265%
699,Mienshao,Other,,16.805%
700,Lugia,Aeroblast,flying,96.945%
701,Lugia,Earth Power,ground,95.189%
702,Lugia,Recover,normal,81.559%
703,Lugia,Calm Mind,psychic,64.500%
704,Lugia,Protect,normal,28.434%
705,Lugia,Icy Wind,ice,6.221%
706,Lugia,Thunderbolt,electric,5.622%
707,Lugia,Psychic,psychic,3.436%
708,Lugia,Other,,18.094%
709,Chansey,Seismic Toss,fighting,99.814%
710,Chansey,Soft-Boiled,normal,99.724%
711,Chansey,Minimize,normal,67.107%
712,Chansey,Ally Switch,psychic,34.467%
713,Chansey,Shadow Ball,ghost,33.412%
714,Chansey,Sing,normal,32.420%
715,Chansey,Defense Curl,normal,27.137%
716,Chansey,Other,,5.919%
717,Suicune,Tailwind,flying,98.844%
718,Suicune,Scald,water,90.484%
719,Suicune,Snarl,dark,85.882%
720,Suicune,Roar,normal,50.304%
721,Suicune,Icy Wind,ice,23.790%
722,Suicune,Helping Hand,normal,19.984%
723,Suicune,Protect,normal,12.797%
724,Suicune,Other,,17.915%
725,Landorus,Earth Power,ground,99.472%
726,Landorus,Fly,flying,79.577%
727,Landorus,Stone Edge,rock,64.116%
728,Landorus,Substitute,normal,50.252%
729,Landorus,Protect,normal,39.259%
730,Landorus,Rock Slide,rock,20.609%
731,Landorus,Sludge Bomb,poison,18.408%
732,Landorus,Grass Knot,grass,8.981%
733,Landorus,Other,,19.327%
734,Necrozma-Dusk-Mane,Sunsteel Strike,steel,85.426%
735,Necrozma-Dusk-Mane,Earthquake,ground,68.895%
736,Necrozma-Dusk-Mane,Trick Room,psychic,67.440%
737,Necrozma-Dusk-Mane,Psychic Fangs,psychic,24.367%
738,Necrozma-Dusk-Mane,Photon Geyser,psychic,21.428%
739,Necrozma-Dusk-Mane,Swords Dance,normal,19.905%
740,Necrozma-Dusk-Mane,Protect,normal,17.619%
741,Necrozma-Dusk-Mane,Earth Power,ground,16.312%
742,Necrozma-Dusk-Mane,Rock Slide,rock,15.830%
743,Necrozma-Dusk-Mane,Flash Cannon,steel,12.506%
744,Necrozma-Dusk-Mane,Dragon Dance,dragon,9.151%
745,Necrozma-Dusk-Mane,Stone Edge,rock,8.980%
746,Necrozma-Dusk-Mane,Ally Switch,psychic,5.418%
747,Necrozma-Dusk-Mane,Power Gem,rock,5.125%
748,Necrozma-Dusk-Mane,Expanding Force,psychic,4.804%
749,Necrozma-Dusk-Mane,Other,,16.794%
750,Alcremie,Recover,normal,74.765%
751,Alcremie,Calm Mind,psychic,67.626%
752,Alcremie,Acid Armor,poison,66.589%
753,Alcremie,Stored Power,psychic,66.412%
754,Alcremie,Decorate,fairy,32.349%
755,Alcremie,Dazzling Gleam,fairy,31.825%
756,Alcremie,Protect,normal,28.230%
757,Alcremie,Mystical Fire,fire,8.853%
758,Alcremie,Aromatherapy,grass,5.611%
759,Alcremie,Other,,17.741%
760,Tapu Koko,Wild Charge,electric,66.803%
761,Tapu Koko,Brave Bird,flying,65.671%
762,Tapu Koko,U-turn,bug,63.756%
763,Tapu Koko,Protect,normal,54.950%
764,Tapu Koko,Volt Switch,electric,25.572%
765,Tapu Koko,Dazzling Gleam,fairy,21.802%
766,Tapu Koko,Thunderbolt,electric,18.513%
767,Tapu Koko,Electroweb,electric,18.510%
768,Tapu Koko,Nature's Madness,,15.913%
769,Tapu Koko,Grass Knot,grass,12.263%
770,Tapu Koko,Thunder,electric,11.256%
771,Tapu Koko,Light Screen,psychic,7.671%
772,Tapu Koko,Other,,17.321%
773,Liepard,Copycat,normal,94.071%
774,Liepard,Fake Out,normal,93.209%
775,Liepard,Fake Tears,dark,55.942%
776,Liepard,Foul Play,dark,53.759%
777,Liepard,Yawn,normal,38.753%
778,Liepard,Snarl,dark,21.064%
779,Liepard,Sucker Punch,dark,13.306%
780,Liepard,Thunder Wave,electric,7.192%
781,Liepard,Screech,normal,4.799%
782,Liepard,Other,,17.905%
783,Hydreigon,Earth Power,ground,93.957%
784,Hydreigon,Dark Pulse,dark,83.482%
785,Hydreigon,Draco Meteor,dragon,59.592%
786,Hydreigon,Flash Cannon,steel,46.602%
787,Hydreigon,Hyper Voice,normal,32.132%
788,Hydreigon,Snarl,dark,16.880%
789,Hydreigon,Nasty Plot,dark,13.675%
790,Hydreigon,Fire Blast,fire,11.773%
791,Hydreigon,Protect,normal,10.076%
792,Hydreigon,Bulldoze,ground,4.828%
793,Hydreigon,Head Smash,rock,4.567%
794,Hydreigon,Dragon Dance,dragon,4.514%
795,Hydreigon,Other,,17.923%
796,Weavile,Fake Out,normal,97.093%
797,Weavile,Icy Wind,ice,68.313%
798,Weavile,Fake Tears,dark,68.219%
799,Weavile,Triple Axel,ice,64.749%
800,Weavile,Foul Play,dark,33.373%
801,Weavile,Feint,normal,15.948%
802,Weavile,Throat Chop,dark,13.146%
803,Weavile,Lash Out,dark,10.266%
804,Weavile,Ice Shard,ice,7.595%
805,Weavile,Protect,normal,5.447%
806,Weavile,Other,,15.851%
807,Tsareena,Power Whip,grass,80.680%
808,Tsareena,Triple Axel,ice,77.652%
809,Tsareena,Helping Hand,normal,63.509%
810,Tsareena,U-turn,bug,45.765%
811,Tsareena,Taunt,dark,41.363%
812,Tsareena,Grassy Glide,grass,28.867%
813,Tsareena,High Jump Kick,fighting,25.393%
814,Tsareena,Protect,normal,15.987%
815,Tsareena,Bounce,flying,6.155%
816,Tsareena,Other,,14.630%
817,Glastrier,High Horsepower,ground,99.988%
818,Glastrier,Icicle Crash,ice,92.194%
819,Glastrier,Heavy Slam,steel,77.675%
820,Glastrier,Protect,normal,72.366%
821,Glastrier,Close Combat,fighting,19.604%
822,Glastrier,Body Press,fighting,13.137%
823,Glastrier,Snarl,dark,9.429%
824,Glastrier,Other,,15.609%
825,Dracovish,Fishious Rend,water,99.997%
826,Dracovish,Psychic Fangs,psychic,62.715%
827,Dracovish,Crunch,dark,50.063%
828,Dracovish,Protect,normal,45.752%
829,Dracovish,Ice Fang,ice,30.620%
830,Dracovish,Substitute,normal,28.355%
831,Dracovish,Low Kick,fighting,21.367%
832,Dracovish,Earthquake,ground,13.781%
833,Dracovish,Outrage,dragon,12.738%
834,Dracovish,Stone Edge,rock,8.282%
835,Dracovish,Rock Slide,rock,8.071%
836,Dracovish,Other,,18.258%
837,Regidrago,Dragon Energy,dragon,99.997%
838,Regidrago,Dragon Pulse,dragon,93.750%
839,Regidrago,Draco Meteor,dragon,89.562%
840,Regidrago,Hyper Beam,normal,60.189%
841,Regidrago,Protect,normal,26.551%
842,Regidrago,Ancient Power,rock,18.699%
843,Regidrago,Other,,11.251%
844,Hitmontop,Fake Out,normal,97.021%
845,Hitmontop,Wide Guard,rock,78.786%
846,Hitmontop,Close Combat,fighting,77.873%
847,Hitmontop,Feint,normal,52.647%
848,Hitmontop,Helping Hand,normal,26.015%
849,Hitmontop,Brick Break,fighting,19.779%
850,Hitmontop,Endeavor,normal,11.784%
851,Hitmontop,Triple Axel,ice,6.657%
852,Hitmontop,Sucker Punch,dark,6.390%
853,Hitmontop,Mach Punch,fighting,5.441%
854,Hitmontop,Other,,17.607%
855,Darmanitan-Galar,Icicle Crash,ice,99.805%
856,Darmanitan-Galar,Flare Blitz,fire,99.507%
857,Darmanitan-Galar,U-turn,bug,58.343%
858,Darmanitan-Galar,Superpower,fighting,49.018%
859,Darmanitan-Galar,Rock Slide,rock,47.446%
860,Darmanitan-Galar,Earthquake,ground,28.743%
861,Darmanitan-Galar,Other,,17.138%
862,Zekrom,Protect,normal,89.105%
863,Zekrom,Earth Power,ground,64.629%
864,Zekrom,Draco Meteor,dragon,64.434%
865,Zekrom,Rising Voltage,electric,59.461%
866,Zekrom,Dragon Claw,dragon,27.678%
867,Zekrom,Dual Wingbeat,flying,20.932%
868,Zekrom,Bolt Strike,electric,20.275%
869,Zekrom,Fusion Bolt,electric,19.848%
870,Zekrom,Dragon Dance,dragon,6.529%
871,Zekrom,Shadow Claw,ghost,5.070%
872,Zekrom,Crunch,dark,4.787%
873,Zekrom,Other,,17.252%
874,Shuckle,Guard Split,psychic,99.202%
875,Shuckle,Power Split,psychic,95.393%
876,Shuckle,Toxic,poison,76.158%
877,Shuckle,Protect,normal,55.975%
878,Shuckle,Helping Hand,normal,21.211%
879,Shuckle,Endure,normal,19.246%
880,Shuckle,Infestation,bug,14.480%
881,Shuckle,Other,,18.335%
882,Zapdos-Galar,Brave Bird,flying,93.244%
883,Zapdos-Galar,Thunderous Kick,fighting,67.987%
884,Zapdos-Galar,Stomping Tantrum,ground,50.526%
885,Zapdos-Galar,Close Combat,fighting,34.009%
886,Zapdos-Galar,Steel Wing,steel,31.969%
887,Zapdos-Galar,Throat Chop,dark,17.004%
888,Zapdos-Galar,Blaze Kick,fire,15.202%
889,Zapdos-Galar,Coaching,fighting,14.432%
890,Zapdos-Galar,Quick Guard,fighting,13.803%
891,Zapdos-Galar,Protect,normal,13.490%
892,Zapdos-Galar,Brick Break,fighting,12.437%
893,Zapdos-Galar,Taunt,dark,9.719%
894,Zapdos-Galar,Detect,fighting,8.120%
895,Zapdos-Galar,Other,,18.056%
896,Volcarona,Rage Powder,bug,95.946%
897,Volcarona,Heat Wave,fire,80.857%
898,Volcarona,Struggle Bug,bug,67.987%
899,Volcarona,Protect,normal,53.139%
900,Volcarona,Quiver Dance,bug,31.421%
901,Volcarona,Will-O-Wisp,fire,22.672%
902,Volcarona,String Shot,bug,11.671%
903,Volcarona,Bug Buzz,bug,8.421%
904,Volcarona,Overheat,fire,8.209%
905,Volcarona,Other,,19.677%
906,Meowstic,Light Screen,psychic,80.128%
907,Meowstic,Reflect,psychic,74.018%
908,Meowstic,Skill Swap,psychic,48.484%
909,Meowstic,Psyshock,psychic,47.127%
910,Meowstic,Fake Out,normal,32.010%
911,Meowstic,Yawn,normal,25.288%
912,Meowstic,Thunder Wave,electric,18.483%
913,Meowstic,Trick,psychic,16.273%
914,Meowstic,Psychic,psychic,15.220%
915,Meowstic,Sucker Punch,dark,6.971%
916,Meowstic,Trick Room,psychic,6.541%
917,Meowstic,Sunny Day,fire,5.795%
918,Meowstic,Ally Switch,psychic,4.952%
919,Meowstic,Other,,18.710%
920,Persian-Alola,Foul Play,dark,98.558%
921,Persian-Alola,Icy Wind,ice,94.652%
922,Persian-Alola,Fake Out,normal,94.099%
923,Persian-Alola,Fake Tears,dark,82.176%
924,Persian-Alola,Parting Shot,dark,9.867%
925,Persian-Alola,Taunt,dark,6.348%
926,Persian-Alola,Other,,14.300%
927,Snorlax,High Horsepower,ground,62.779%
928,Snorlax,Belly Drum,normal,48.899%
929,Snorlax,Self-Destruct,normal,44.587%
930,Snorlax,Double-Edge,normal,42.949%
931,Snorlax,Darkest Lariat,dark,41.896%
932,Snorlax,Curse,ghost,37.643%
933,Snorlax,Yawn,normal,35.127%
934,Snorlax,Earthquake,ground,22.506%
935,Snorlax,Protect,normal,16.243%
936,Snorlax,Body Slam,normal,7.265%
937,Snorlax,Steel Roller,steel,6.309%
938,Snorlax,Iron Head,steel,5.745%
939,Snorlax,Giga Impact,normal,5.451%
940,Snorlax,Superpower,fighting,5.114%
941,Snorlax,Other,,17.488%
942,Stakataka,Trick Room,psychic,93.105%
943,Stakataka,Gyro Ball,steel,76.334%
944,Stakataka,Rock Slide,rock,65.492%
945,Stakataka,Body Press,fighting,53.526%
946,Stakataka,Wide Guard,rock,46.740%
947,Stakataka,Protect,normal,20.099%
948,Stakataka,Stone Edge,rock,15.440%
949,Stakataka,High Horsepower,ground,11.555%
950,Stakataka,Other,,17.708%
951,Thundurus-Therian,Grass Knot,grass,67.783%
952,Thundurus-Therian,Protect,normal,61.679%
953,Thundurus-Therian,Fly,flying,53.503%
954,Thundurus-Therian,Thunderbolt,electric,49.534%
955,Thundurus-Therian,Thunder,electric,40.022%
956,Thundurus-Therian,Hyper Beam,normal,28.827%
957,Thundurus-Therian,Weather Ball,normal,20.378%
958,Thundurus-Therian,Volt Switch,electric,19.345%
959,Thundurus-Therian,Dark Pulse,dark,13.354%
960,Thundurus-Therian,Sludge Bomb,poison,10.883%
961,Thundurus-Therian,Electroweb,electric,10.282%
962,Thundurus-Therian,Rising Voltage,electric,8.926%
963,Thundurus-Therian,Other,,15.485%
964,Moltres-Galar,Fiery Wrath,dark,91.103%
965,Moltres-Galar,Protect,normal,64.149%
966,Moltres-Galar,Air Slash,flying,49.827%
967,Moltres-Galar,Nasty Plot,dark,42.430%
968,Moltres-Galar,Hurricane,flying,40.218%
969,Moltres-Galar,Snarl,dark,37.830%
970,Moltres-Galar,Sucker Punch,dark,16.920%
971,Moltres-Galar,Foul Play,dark,16.399%
972,Moltres-Galar,Taunt,dark,10.039%
973,Moltres-Galar,Ancient Power,rock,9.454%
974,Moltres-Galar,U-turn,bug,9.284%
975,Moltres-Galar,Other,,12.347%
976,Talonflame,Tailwind,flying,99.903%
977,Talonflame,Brave Bird,flying,62.480%
978,Talonflame,Will-O-Wisp,fire,51.275%
979,Talonflame,Quick Guard,fighting,31.416%
980,Talonflame,Flare Blitz,fire,27.480%
981,Talonflame,Feint,normal,21.703%
982,Talonflame,Solar Beam,grass,21.127%
983,Talonflame,Overheat,fire,20.404%
984,Talonflame,Dual Wingbeat,flying,18.363%
985,Talonflame,Taunt,dark,17.313%
986,Talonflame,Protect,normal,10.561%
987,Talonflame,Other,,17.974%
988,Milotic,Muddy Water,water,65.185%
989,Milotic,Coil,poison,55.165%
990,Milotic,Hypnosis,psychic,50.544%
991,Milotic,Blizzard,ice,44.307%
992,Milotic,Recover,normal,32.260%
993,Milotic,Protect,normal,28.812%
994,Milotic,Scald,water,25.404%
995,Milotic,Icy Wind,ice,22.098%
996,Milotic,Ice Beam,ice,17.659%
997,Milotic,Helping Hand,normal,15.918%
998,Milotic,Hydro Pump,water,9.451%
999,Milotic,Mud Shot,ground,6.824%
1000,Milotic,Dragon Tail,dragon,4.881%
1001,Milotic,Life Dew,water,4.497%
1002,Milotic,Other,,16.996%
1003,Mewtwo,Psystrike,psychic,61.597%
1004,Mewtwo,Hurricane,flying,53.419%
1005,Mewtwo,Flamethrower,fire,44.143%
1006,Mewtwo,Shadow Ball,ghost,37.892%
1007,Mewtwo,Fire Blast,fire,37.395%
1008,Mewtwo,Expanding Force,psychic,36.195%
1009,Mewtwo,Earthquake,ground,14.967%
1010,Mewtwo,Blizzard,ice,14.876%
1011,Mewtwo,Protect,normal,14.221%
1012,Mewtwo,Trick Room,psychic,13.580%
1013,Mewtwo,Self-Destruct,normal,11.433%
1014,Mewtwo,Ancient Power,rock,11.213%
1015,Mewtwo,Grass Knot,grass,9.451%
1016,Mewtwo,Ice Beam,ice,9.049%
1017,Mewtwo,Aura Sphere,fighting,6.664%
1018,Mewtwo,Focus Blast,fighting,6.192%
1019,Mewtwo,Other,,17.717%
1020,Klinklang,Gear Grind,steel,99.916%
1021,Klinklang,Wild Charge,electric,99.837%
1022,Klinklang,Shift Gear,steel,99.543%
1023,Klinklang,Trick Room,psychic,76.270%
1024,Klinklang,Protect,normal,23.569%
1025,Klinklang,Other,,0.866%
1026,Inteleon,Snipe Shot,water,95.029%
1027,Inteleon,Air Slash,flying,77.367%
1028,Inteleon,Focus Energy,normal,66.680%
1029,Inteleon,Icy Wind,ice,54.360%
1030,Inteleon,Protect,normal,49.926%
1031,Inteleon,Hyper Beam,normal,12.109%
1032,Inteleon,Ice Beam,ice,10.220%
1033,Inteleon,Dark Pulse,dark,10.092%
1034,Inteleon,Soak,water,4.752%
1035,Inteleon,Other,,19.466%
1036,Salamence,Protect,normal,85.435%
1037,Salamence,Hurricane,flying,68.782%
1038,Salamence,Flamethrower,fire,68.506%
1039,Salamence,Rock Slide,rock,66.503%
1040,Salamence,Dual Wingbeat,flying,23.991%
1041,Salamence,Draco Meteor,dragon,12.207%
1042,Salamence,Heat Wave,fire,11.510%
1043,Salamence,Dragon Claw,dragon,9.536%
1044,Salamence,Shadow Claw,ghost,8.804%
1045,Salamence,Earthquake,ground,8.314%
1046,Salamence,Bulldoze,ground,7.123%
1047,Salamence,Outrage,dragon,5.209%
1048,Salamence,Crunch,dark,4.810%
1049,Salamence,Other,,19.273%
1050,Hatterene,Dazzling Gleam,fairy,98.520%
1051,Hatterene,Expanding Force,psychic,84.501%
1052,Hatterene,Trick Room,psychic,84.068%
1053,Hatterene,Mystical Fire,fire,82.513%
1054,Hatterene,Protect,normal,16.234%
1055,Hatterene,Dark Pulse,dark,11.828%
1056,Hatterene,Giga Drain,grass,7.311%
1057,Hatterene,Other,,15.026%
1058,Sneasel,Icy Wind,ice,96.540%
1059,Sneasel,Triple Axel,ice,94.762%
1060,Sneasel,Surf,water,86.031%
1061,Sneasel,Fake Out,normal,82.690%
1062,Sneasel,Taunt,dark,13.294%
1063,Sneasel,Sunny Day,fire,4.683%
1064,Sneasel,Foul Play,dark,4.420%
1065,Sneasel,Other,,17.581%
1066,Escavalier,Iron Head,steel,99.473%
1067,Escavalier,Drill Run,ground,94.319%
1068,Escavalier,Protect,normal,61.313%
1069,Escavalier,Close Combat,fighting,47.328%
1070,Escavalier,X-Scissor,bug,39.143%
1071,Escavalier,Knock Off,dark,25.383%
1072,Escavalier,Megahorn,bug,21.001%
1073,Escavalier,Other,,12.041%
1074,Rotom-Wash,Hydro Pump,water,84.000%
1075,Rotom-Wash,Thunderbolt,electric,77.056%
1076,Rotom-Wash,Will-O-Wisp,fire,45.424%
1077,Rotom-Wash,Ally Switch,psychic,37.051%
1078,Rotom-Wash,Protect,normal,25.385%
1079,Rotom-Wash,Nasty Plot,dark,24.378%
1080,Rotom-Wash,Volt Switch,electric,20.125%
1081,Rotom-Wash,Helping Hand,normal,18.586%
1082,Rotom-Wash,Eerie Impulse,electric,17.358%
1083,Rotom-Wash,Foul Play,dark,15.684%
1084,Rotom-Wash,Thunder,electric,10.649%
1085,Rotom-Wash,Shadow Ball,ghost,7.617%
1086,Rotom-Wash,Other,,16.686%
1087,Politoed,Scald,water,95.212%
1088,Politoed,Protect,normal,91.495%
1089,Politoed,Helping Hand,normal,83.949%
1090,Politoed,Icy Wind,ice,83.058%
1091,Politoed,Perish Song,normal,17.790%
1092,Politoed,Ice Beam,ice,6.014%
1093,Politoed,Psychic,psychic,3.966%
1094,Politoed,Other,,18.515%
1095,Ludicolo,Fake Out,normal,61.956%
1096,Ludicolo,Protect,normal,54.366%
1097,Ludicolo,Leaf Storm,grass,41.766%
1098,Ludicolo,Ice Beam,ice,34.866%
1099,Ludicolo,Energy Ball,grass,34.295%
1100,Ludicolo,Icy Wind,ice,31.843%
1101,Ludicolo,Hydro Pump,water,28.990%
1102,Ludicolo,Scald,water,28.693%
1103,Ludicolo,Muddy Water,water,26.896%
1104,Ludicolo,Giga Drain,grass,20.100%
1105,Ludicolo,Weather Ball,normal,8.603%
1106,Ludicolo,Surf,water,7.487%
1107,Ludicolo,Blizzard,ice,4.901%
1108,Ludicolo,Other,,15.239%
1109,Slowking,Trick Room,psychic,86.098%
1110,Slowking,Expanding Force,psychic,72.610%
1111,Slowking,Muddy Water,water,60.292%
1112,Slowking,Fire Blast,fire,54.349%
1113,Slowking,Slack Off,normal,13.777%
1114,Slowking,Protect,normal,13.688%
1115,Slowking,Calm Mind,psychic,13.682%
1116,Slowking,Iron Defense,steel,13.671%
1117,Slowking,Stored Power,psychic,13.671%
1118,Slowking,Scald,water,12.315%
1119,Slowking,Swagger,normal,12.189%
1120,Slowking,Safeguard,normal,12.189%
1121,Slowking,Flamethrower,fire,12.189%
1122,Slowking,Other,,9.281%
1123,Swampert,High Horsepower,ground,97.388%
1124,Swampert,Yawn,normal,95.446%
1125,Swampert,Liquidation,water,94.763%
1126,Swampert,Curse,ghost,84.395%
1127,Swampert,Wide Guard,rock,12.209%
1128,Swampert,Other,,15.799%
1129,Azumarill,Protect,normal,86.110%
1130,Azumarill,Scald,water,76.433%
1131,Azumarill,Perish Song,normal,76.382%
1132,Azumarill,Sing,normal,76.263%
1133,Azumarill,Play Rough,fairy,20.904%
1134,Azumarill,Aqua Jet,water,15.378%
1135,Azumarill,Liquidation,water,13.001%
1136,Azumarill,Steel Roller,steel,6.677%
1137,Azumarill,Belly Drum,normal,6.652%
1138,Azumarill,Dig,ground,6.640%
1139,Azumarill,Other,,15.561%
1140,Scizor,Bullet Punch,steel,99.999%
1141,Scizor,U-turn,bug,93.126%
1142,Scizor,Superpower,fighting,86.111%
1143,Scizor,Dual Wingbeat,flying,85.617%
1144,Scizor,Quick Guard,fighting,8.061%
1145,Scizor,,,8.020%
1146,Scizor,Other,,19.066%
1147,Articuno-Galar,Hurricane,flying,87.905%
1148,Articuno-Galar,Trick Room,psychic,70.209%
1149,Articuno-Galar,Freezing Glare,psychic,66.235%
1150,Articuno-Galar,Calm Mind,psychic,41.204%
1151,Articuno-Galar,Expanding Force,psychic,28.995%
1152,Articuno-Galar,Shadow Ball,ghost,25.858%
1153,Articuno-Galar,Protect,normal,21.058%
1154,Articuno-Galar,Ancient Power,rock,17.990%
1155,Articuno-Galar,Tailwind,flying,16.811%
1156,Articuno-Galar,Air Slash,flying,10.656%
1157,Articuno-Galar,Other,,13.079%
1158,Tyranitar,Rock Slide,rock,94.303%
1159,Tyranitar,Protect,normal,70.131%
1160,Tyranitar,Crunch,dark,41.823%
1161,Tyranitar,High Horsepower,ground,37.315%
1162,Tyranitar,Lash Out,dark,26.397%
1163,Tyranitar,Superpower,fighting,17.602%
1164,Tyranitar,Foul Play,dark,14.817%
1165,Tyranitar,Ice Punch,ice,12.049%
1166,Tyranitar,Dragon Dance,dragon,11.306%
1167,Tyranitar,Iron Head,steel,9.738%
1168,Tyranitar,Earthquake,ground,8.787%
1169,Tyranitar,Outrage,dragon,8.226%
1170,Tyranitar,Snarl,dark,7.901%
1171,Tyranitar,Thunder Punch,electric,7.120%
1172,Tyranitar,Thunder Wave,electric,5.380%
1173,Tyranitar,Stone Edge,rock,4.129%
1174,Tyranitar,Fire Punch,fire,3.947%
1175,Tyranitar,Other,,19.030%
1176,Pikachu,Fake Out,normal,97.760%
1177,Pikachu,Surf,water,53.147%
1178,Pikachu,Volt Tackle,electric,45.301%
1179,Pikachu,Thunderbolt,electric,40.154%
1180,Pikachu,Protect,normal,39.686%
1181,Pikachu,Helping Hand,normal,37.300%
1182,Pikachu,Electroweb,electric,29.732%
1183,Pikachu,Thunder,electric,14.286%
1184,Pikachu,Grass Knot,grass,10.546%
1185,Pikachu,Nuzzle,electric,10.080%
1186,Pikachu,Volt Switch,electric,6.914%
1187,Pikachu,Other,,15.094%
1188,Ninetales-Alola,Blizzard,ice,75.578%
1189,Ninetales-Alola,Freeze-Dry,ice,70.517%
1190,Ninetales-Alola,Aurora Veil,ice,67.600%
1191,Ninetales-Alola,Icy Wind,ice,46.024%
1192,Ninetales-Alola,Dazzling Gleam,fairy,44.600%
1193,Ninetales-Alola,Protect,normal,34.660%
1194,Ninetales-Alola,Moonblast,fairy,20.629%
1195,Ninetales-Alola,Fake Tears,dark,15.749%
1196,Ninetales-Alola,Extrasensory,psychic,8.987%
1197,Ninetales-Alola,Other,,15.657%
1198,Marowak-Alola,Flare Blitz,fire,99.748%
1199,Marowak-Alola,Protect,normal,61.602%
1200,Marowak-Alola,Shadow Bone,ghost,58.438%
1201,Marowak-Alola,Bonemerang,ground,52.538%
1202,Marowak-Alola,Poltergeist,ghost,41.903%
1203,Marowak-Alola,Detect,fighting,26.106%
1204,Marowak-Alola,Ally Switch,psychic,16.236%
1205,Marowak-Alola,Perish Song,normal,12.571%
1206,Marowak-Alola,Rock Slide,rock,10.627%
1207,Marowak-Alola,Brick Break,fighting,9.178%
1208,Marowak-Alola,Other,,11.054%
1209,Slowbro,Trick Room,psychic,74.327%
1210,Slowbro,Expanding Force,psychic,70.231%
