,Pokemon,Teammate,Use_Percentage (%)
668,Celesteela,Tapu%20Lele,18.301%
669,Celesteela,Urshifu,18.284%
670,Metagross,Incineroar,35.312%
671,Metagross,Grimmsnarl,30.746%
672,Metagross,Groudon,27.040%
673,Metagross,Calyrex-Shadow,23.657%
674,Metagross,Thundurus,21.428%
675,Metagross,Venusaur,19.213%
676,Metagross,Kyogre,18.816%
677,Metagross,Amoonguss,17.874%
678,Metagross,Zapdos-Galar,17.371%
679,Metagross,Tapu%20Fini,17.028%
680,Araquanid,Zacian-Crowned,78.633%
681,Araquanid,Incineroar,49.528%
682,Araquanid,Lunala,41.225%
683,Araquanid,Calyrex-Shadow,31.833%
684,Araquanid,Zapdos,29.788%
685,Araquanid,Mienshao,29.633%
686,Araquanid,Rillaboom,23.602%
687,Araquanid,Porygon2,23.185%
688,Araquanid,Indeedee-F,20.275%
689,Araquanid,Grimmsnarl,18.887%
690,Pheromosa,Amoonguss,56.807%
691,Pheromosa,Kyogre,35.977%
692,Pheromosa,Whimsicott,33.808%
693,Pheromosa,Calyrex-Ice,33.344%
694,Pheromosa,Tapu%20Lele,33.205%
695,Pheromosa,Yveltal,32.763%
696,Pheromosa,Incineroar,27.288%
697,Pheromosa,Palkia,25.551%
698,Pheromosa,Indeedee-F,24.441%
699,Pheromosa,Gastrodon,10.857%
700,Arcanine,Eternatus,51.544%
701,Arcanine,Grimmsnarl,48.835%
702,Arcanine,Thundurus,48.365%
703,Arcanine,Solgaleo,48.233%
704,Arcanine,Alcremie,44.917%
705,Arcanine,Rillaboom,27.962%
706,Arcanine,Kyogre,22.761%
707,Arcanine,Whimsicott,21.234%
708,Arcanine,Regieleki,16.922%
709,Arcanine,Kyurem-White,15.061%
710,Zamazenta-Crowned,Incineroar,60.636%
711,Zamazenta-Crowned,Zygarde,55.528%
712,Zamazenta-Crowned,Thundurus,42.197%
713,Zamazenta-Crowned,Grimmsnarl,20.889%
714,Zamazenta-Crowned,Tapu%20Fini,20.850%
715,Zamazenta-Crowned,Metagross,17.559%
716,Zamazenta-Crowned,Zapdos-Galar,17.103%
717,Zamazenta-Crowned,Rillaboom,13.961%
718,Zamazenta-Crowned,Comfey,11.970%
719,Zamazenta-Crowned,Urshifu-Rapid-Strike,10.251%
720,Clefairy,Zacian-Crowned,55.504%
721,Clefairy,Regieleki,47.149%
722,Clefairy,Calyrex-Shadow,46.257%
723,Clefairy,Landorus-Therian,39.459%
724,Clefairy,Palkia,33.672%
725,Clefairy,Incineroar,32.716%
726,Clefairy,Rillaboom,32.496%
727,Clefairy,Whimsicott,28.068%
728,Clefairy,Thundurus,20.796%
729,Clefairy,Groudon,12.586%
730,Mienshao,Calyrex-Shadow,72.737%
731,Mienshao,Zacian-Crowned,47.745%
732,Mienshao,Zapdos,42.417%
733,Mienshao,Indeedee-F,33.597%
734,Mienshao,Araquanid,32.192%
735,Mienshao,Whimsicott,22.627%
736,Mienshao,Porygon2,19.423%
737,Mienshao,Regieleki,17.635%
738,Mienshao,Incineroar,16.132%
739,Mienshao,Kyogre,15.893%
740,Lugia,Zacian-Crowned,60.177%
741,Lugia,Incineroar,42.661%
742,Lugia,Grimmsnarl,37.848%
743,Lugia,Rillaboom,27.416%
744,Lugia,Ferrothorn,24.289%
745,Lugia,Ditto,23.476%
746,Lugia,Landorus-Therian,23.019%
747,Lugia,Whimsicott,22.919%
748,Lugia,Indeedee-F,22.824%
749,Lugia,Gastrodon,17.425%
750,Chansey,Shuckle,62.893%
751,Chansey,Zacian-Crowned,47.824%
752,Chansey,Liepard,44.245%
753,Chansey,Incineroar,40.113%
754,Chansey,Indeedee-F,39.270%
755,Chansey,Eternatus,39.057%
756,Chansey,Dialga,36.501%
757,Chansey,Blastoise,31.470%
758,Chansey,Rillaboom,31.470%
759,Chansey,Palkia,21.199%
760,Suicune,Zacian-Crowned,65.499%
761,Suicune,Groudon,64.868%
762,Suicune,Incineroar,60.260%
763,Suicune,Charizard,47.839%
764,Suicune,Thundurus,32.563%
765,Suicune,Venusaur,19.574%
766,Suicune,Rillaboom,16.347%
767,Suicune,Calyrex-Shadow,16.267%
768,Suicune,Landorus-Therian,13.185%
769,Suicune,Grimmsnarl,12.597%
770,Landorus,Incineroar,66.475%
771,Landorus,Regieleki,59.821%
772,Landorus,Yveltal,51.192%
773,Landorus,Calyrex-Ice,48.195%
774,Landorus,Rillaboom,46.501%
775,Landorus,Zacian-Crowned,21.122%
776,Landorus,Kyogre,12.448%
777,Landorus,Amoonguss,12.048%
778,Landorus,Xerneas,9.823%
779,Landorus,Grimmsnarl,9.301%
780,Necrozma-Dusk-Mane,Incineroar,45.562%
781,Necrozma-Dusk-Mane,Kyogre,37.885%
782,Necrozma-Dusk-Mane,Zapdos,21.437%
783,Necrozma-Dusk-Mane,Amoonguss,21.201%
784,Necrozma-Dusk-Mane,Indeedee-F,21.020%
785,Necrozma-Dusk-Mane,Rillaboom,20.685%
786,Necrozma-Dusk-Mane,Thundurus,19.106%
787,Necrozma-Dusk-Mane,Mimikyu,18.695%
788,Necrozma-Dusk-Mane,Regieleki,16.433%
789,Necrozma-Dusk-Mane,Palkia,15.091%
790,Alcremie,Solgaleo,69.495%
791,Alcremie,Eternatus,67.395%
792,Alcremie,Thundurus,66.684%
793,Alcremie,Grimmsnarl,66.455%
794,Alcremie,Arcanine,64.819%
795,Alcremie,Calyrex-Ice,22.674%
796,Alcremie,Incineroar,19.691%
797,Alcremie,Palkia,17.975%
798,Alcremie,Mimikyu,13.186%
799,Alcremie,Amoonguss,10.291%
800,Tapu Koko,Incineroar,69.215%
801,Tapu Koko,Calyrex-Ice,52.931%
802,Tapu Koko,Groudon,37.428%
803,Tapu Koko,Gastrodon,37.071%
804,Tapu Koko,Venusaur,34.727%
805,Tapu Koko,Amoonguss,26.699%
806,Tapu Koko,Kyogre,26.058%
807,Tapu Koko,Palkia,16.942%
808,Tapu Koko,Porygon2,15.885%
809,Tapu Koko,Dialga,10.448%
810,Liepard,Chansey,50.312%
811,Liepard,Shuckle,50.311%
812,Liepard,Indeedee-F,41.503%
813,Liepard,Dialga,37.175%
814,Liepard,Palkia,34.073%
815,Liepard,Zacian-Crowned,32.945%
816,Liepard,Ho-Oh,22.162%
817,Liepard,Azumarill,21.811%
818,Liepard,Calyrex-Ice,17.301%
819,Liepard,Amoonguss,15.264%
820,Hydreigon,Zacian-Crowned,59.360%
821,Hydreigon,Regieleki,34.018%
822,Hydreigon,Indeedee-F,33.990%
823,Hydreigon,Kyogre,32.987%
824,Hydreigon,Kyurem-White,24.757%
825,Hydreigon,Ferrothorn,22.260%
826,Hydreigon,Grimmsnarl,19.505%
827,Hydreigon,Groudon,18.833%
828,Hydreigon,Whimsicott,18.498%
829,Hydreigon,Slowbro,16.476%
830,Weavile,Zacian-Crowned,75.418%
831,Weavile,Kyogre,75.017%
832,Weavile,Landorus-Therian,70.031%
833,Weavile,Ferrothorn,62.252%
834,Weavile,Zapdos,62.063%
835,Weavile,Regieleki,11.545%
836,Weavile,Reshiram,11.024%
837,Weavile,Groudon,9.244%
838,Weavile,Gastrodon,8.949%
839,Weavile,Charizard,8.488%
840,Tsareena,Kyogre,74.266%
841,Tsareena,Regieleki,52.867%
842,Tsareena,Calyrex-Shadow,32.507%
843,Tsareena,Tornadus,26.598%
844,Tsareena,Zacian-Crowned,24.386%
845,Tsareena,Incineroar,24.038%
846,Tsareena,Whimsicott,22.792%
847,Tsareena,Solgaleo,16.630%
848,Tsareena,Grimmsnarl,12.311%
849,Tsareena,Landorus-Therian,12.078%
850,Glastrier,Incineroar,83.583%
851,Glastrier,Kyogre,56.785%
852,Glastrier,Dusclops,51.141%
853,Glastrier,Yveltal,46.577%
854,Glastrier,Raichu,44.550%
855,Glastrier,Venusaur,17.703%
856,Glastrier,Calyrex-Shadow,17.695%
857,Glastrier,Palkia,17.383%
858,Glastrier,Groudon,17.260%
859,Glastrier,Milotic,16.704%
860,Dracovish,Zacian-Crowned,77.196%
861,Dracovish,Indeedee-F,51.136%
862,Dracovish,Kyogre,45.216%
863,Dracovish,Whimsicott,44.299%
864,Dracovish,Kartana,28.366%
865,Dracovish,Calyrex-Shadow,21.760%
866,Dracovish,Rillaboom,16.614%
867,Dracovish,Landorus-Therian,15.176%
868,Dracovish,Dialga,14.180%
869,Dracovish,Greedent,13.057%
870,Regidrago,Zacian-Crowned,71.973%
871,Regidrago,Kyogre,70.156%
872,Regidrago,Whimsicott,64.790%
873,Regidrago,Rillaboom,51.195%
874,Regidrago,Indeedee-F,44.403%
875,Regidrago,Incineroar,14.823%
876,Regidrago,Weezing,14.483%
877,Regidrago,Barraskewda,14.150%
878,Regidrago,Calyrex-Shadow,9.778%
879,Regidrago,Regieleki,9.522%
880,Hitmontop,Calyrex-Shadow,55.016%
881,Hitmontop,Regieleki,53.590%
882,Hitmontop,Kyogre,53.048%
883,Hitmontop,Whimsicott,45.171%
884,Hitmontop,Indeedee-F,42.850%
885,Hitmontop,Tapu%20Lele,14.137%
886,Hitmontop,Zacian-Crowned,14.110%
887,Hitmontop,Zamazenta-Crowned,10.893%
888,Hitmontop,Solgaleo,10.392%
889,Hitmontop,Thundurus,10.184%
890,Darmanitan-Galar,Zacian-Crowned,42.705%
891,Darmanitan-Galar,Calyrex-Shadow,41.273%
892,Darmanitan-Galar,Whimsicott,40.269%
893,Darmanitan-Galar,Thundurus,40.268%
894,Darmanitan-Galar,Groudon,32.215%
895,Darmanitan-Galar,Grimmsnarl,31.699%
896,Darmanitan-Galar,Kyogre,31.186%
897,Darmanitan-Galar,Ferrothorn,30.785%
898,Darmanitan-Galar,Zapdos,30.754%
899,Darmanitan-Galar,Blastoise,20.174%
900,Zekrom,Comfey,55.551%
901,Zekrom,Incineroar,48.854%
902,Zekrom,Kyogre,39.912%
903,Zekrom,Grimmsnarl,37.419%
904,Zekrom,Regieleki,29.285%
905,Zekrom,Calyrex-Ice,18.329%
906,Zekrom,Bronzong,16.604%
907,Zekrom,Torkoal,15.311%
908,Zekrom,Venusaur,14.813%
909,Zekrom,Rillaboom,14.450%
910,Shuckle,Chansey,93.034%
911,Shuckle,Liepard,65.449%
912,Shuckle,Indeedee-F,58.475%
913,Shuckle,Dialga,54.147%
914,Shuckle,Palkia,31.375%
915,Shuckle,Ho-Oh,29.007%
916,Shuckle,Azumarill,28.373%
917,Shuckle,Zacian-Crowned,24.233%
918,Shuckle,Calyrex-Shadow,14.506%
919,Shuckle,Incineroar,12.929%
920,Zapdos-Galar,Incineroar,44.408%
921,Zapdos-Galar,Metagross,29.856%
922,Zapdos-Galar,Tapu%20Fini,28.270%
923,Zapdos-Galar,Zamazenta-Crowned,27.473%
924,Zapdos-Galar,Zygarde,27.036%
925,Zapdos-Galar,Zacian-Crowned,26.037%
926,Zapdos-Galar,Kyogre,15.205%
927,Zapdos-Galar,Regieleki,15.049%
928,Zapdos-Galar,Whimsicott,14.987%
929,Zapdos-Galar,Calyrex-Shadow,12.280%
930,Volcarona,Zacian-Crowned,41.736%
931,Volcarona,Rillaboom,41.223%
932,Volcarona,Calyrex-Shadow,39.275%
933,Volcarona,Regieleki,31.951%
934,Volcarona,Kyogre,28.964%
935,Volcarona,Blastoise,26.752%
936,Volcarona,Regigigas,25.039%
937,Volcarona,Solgaleo,24.938%
938,Volcarona,Tornadus,21.481%
939,Volcarona,Weezing,18.297%
940,Meowstic,Zacian-Crowned,56.539%
941,Meowstic,Rillaboom,48.354%
942,Meowstic,Amoonguss,41.294%
943,Meowstic,Kyogre,41.020%
944,Meowstic,Rotom-Heat,38.469%
945,Meowstic,Incineroar,28.737%
946,Meowstic,Yveltal,19.884%
947,Meowstic,Regieleki,18.773%
948,Meowstic,Calyrex-Shadow,15.226%
949,Meowstic,Landorus-Therian,14.902%
950,Persian-Alola,Zacian-Crowned,69.669%
951,Persian-Alola,Landorus-Therian,69.332%
952,Persian-Alola,Kyogre,68.736%
953,Persian-Alola,Zapdos,63.684%
954,Persian-Alola,Ferrothorn,58.824%
955,Persian-Alola,Regieleki,7.187%
956,Persian-Alola,Calyrex-Shadow,6.108%
957,Persian-Alola,Amoonguss,5.418%
958,Persian-Alola,Groudon,5.262%
959,Persian-Alola,Dialga,4.654%
960,Snorlax,Indeedee-F,51.078%
961,Snorlax,Incineroar,37.412%
962,Snorlax,Zacian-Crowned,35.930%
963,Snorlax,Kyogre,31.403%
964,Snorlax,Whimsicott,26.071%
965,Snorlax,Yveltal,20.646%
966,Snorlax,Regieleki,17.863%
967,Snorlax,Thundurus,16.412%
968,Snorlax,Calyrex-Shadow,15.435%
969,Snorlax,Araquanid,14.885%
970,Stakataka,Calyrex-Ice,36.916%
971,Stakataka,Indeedee-F,35.053%
972,Stakataka,Palkia,34.144%
973,Stakataka,Rillaboom,29.514%
974,Stakataka,Incineroar,25.142%
975,Stakataka,Amoonguss,21.316%
976,Stakataka,Kyogre,14.742%
977,Stakataka,Torkoal,14.514%
978,Stakataka,Lunala,14.068%
979,Stakataka,Calyrex-Shadow,12.790%
980,Thundurus-Therian,Zacian-Crowned,70.196%
981,Thundurus-Therian,Kyogre,60.480%
982,Thundurus-Therian,Indeedee-F,40.965%
983,Thundurus-Therian,Kartana,39.621%
984,Thundurus-Therian,Whimsicott,37.462%
985,Thundurus-Therian,Incineroar,36.068%
986,Thundurus-Therian,Grimmsnarl,12.046%
987,Thundurus-Therian,Tornadus,11.514%
988,Thundurus-Therian,Rillaboom,11.440%
989,Thundurus-Therian,Groudon,10.987%
990,Moltres-Galar,Zacian-Crowned,42.898%
991,Moltres-Galar,Incineroar,40.508%
992,Moltres-Galar,Regieleki,35.612%
993,Moltres-Galar,Kyogre,20.153%
994,Moltres-Galar,Calyrex-Shadow,16.494%
995,Moltres-Galar,Palkia,15.530%
996,Moltres-Galar,Whimsicott,14.923%
997,Moltres-Galar,Yveltal,14.222%
998,Moltres-Galar,Amoonguss,12.786%
999,Moltres-Galar,Rillaboom,11.939%
1000,Talonflame,Kyogre,56.995%
1001,Talonflame,Zacian-Crowned,47.145%
1002,Talonflame,Rillaboom,32.389%
1003,Talonflame,Urshifu,29.654%
1004,Talonflame,Indeedee-F,23.876%
1005,Talonflame,Comfey,19.654%
1006,Talonflame,Dialga,18.724%
1007,Talonflame,Regieleki,18.575%
1008,Talonflame,Ditto,16.699%
1009,Talonflame,Tsareena,15.330%
1010,Milotic,Incineroar,45.454%
1011,Milotic,Venusaur,44.526%
1012,Milotic,Groudon,44.433%
1013,Milotic,Calyrex-Shadow,40.623%
1014,Milotic,Zacian-Crowned,34.365%
1015,Milotic,Glastrier,30.424%
1016,Milotic,Grimmsnarl,23.495%
1017,Milotic,Landorus-Therian,15.422%
1018,Milotic,Amoonguss,11.134%
1019,Milotic,Yveltal,10.855%
1020,Mewtwo,Zacian-Crowned,51.952%
1021,Mewtwo,Regieleki,46.413%
1022,Mewtwo,Incineroar,44.296%
1023,Mewtwo,Indeedee-F,27.253%
1024,Mewtwo,Landorus-Therian,21.731%
1025,Mewtwo,Whimsicott,21.385%
1026,Mewtwo,Rotom-Wash,17.054%
1027,Mewtwo,Groudon,16.854%
1028,Mewtwo,Thundurus,12.216%
1029,Mewtwo,Charizard,12.104%
1030,Klinklang,Indeedee-F,86.796%
1031,Klinklang,Whimsicott,86.377%
1032,Klinklang,Kyogre,64.526%
1033,Klinklang,Calyrex-Ice,64.308%
1034,Klinklang,Cinderace,64.137%
1035,Klinklang,Xerneas,23.016%
1036,Klinklang,Calyrex-Shadow,22.659%
1037,Klinklang,Dracozolt,13.898%
1038,Klinklang,Hydreigon,8.611%
1039,Klinklang,Hitmontop,0.595%
1040,Inteleon,Kyogre,76.628%
1041,Inteleon,Zacian-Crowned,75.950%
1042,Inteleon,Indeedee-F,65.460%
1043,Inteleon,Shedinja,40.272%
1044,Inteleon,Zapdos,37.238%
1045,Inteleon,Regieleki,27.838%
1046,Inteleon,Tornadus,17.129%
1047,Inteleon,Calyrex-Shadow,16.512%
1048,Inteleon,Whimsicott,12.923%
1049,Inteleon,Kartana,9.445%
1050,Salamence,Kyogre,83.233%
1051,Salamence,Grimmsnarl,82.297%
1052,Salamence,Zacian-Crowned,72.967%
1053,Salamence,Incineroar,66.089%
1054,Salamence,Ferrothorn,35.327%
1055,Salamence,Venusaur,25.191%
1056,Salamence,Solgaleo,13.056%
1057,Salamence,Slowking,8.785%
1058,Salamence,Mudsdale,8.785%
1059,Salamence,Calyrex-Shadow,8.553%
1060,Hatterene,Calyrex-Ice,63.248%
1061,Hatterene,Indeedee,46.718%
1062,Hatterene,Slowking,46.434%
1063,Hatterene,Incineroar,42.467%
1064,Hatterene,Palkia,38.434%
1065,Hatterene,Indeedee-F,19.270%
1066,Hatterene,Kyogre,15.218%
1067,Hatterene,Calyrex-Shadow,13.759%
1068,Hatterene,Lugia,10.716%
1069,Hatterene,Meowstic,10.690%
1070,Sneasel,Gastrodon,79.393%
1071,Sneasel,Ho-Oh,76.486%
1072,Sneasel,Lunala,74.647%
1073,Sneasel,Celesteela,72.029%
1074,Sneasel,Umbreon,70.075%
1075,Sneasel,Incineroar,12.412%
1076,Sneasel,Sableye,8.980%
1077,Sneasel,Zacian-Crowned,8.956%
1078,Sneasel,Groudon,6.441%
1079,Sneasel,Charizard,6.257%
1080,Escavalier,Incineroar,72.420%
1081,Escavalier,Kyogre,42.177%
1082,Escavalier,Amoonguss,35.613%
1083,Escavalier,Palkia,35.143%
1084,Escavalier,Calyrex-Ice,34.175%
1085,Escavalier,Dusclops,33.559%
1086,Escavalier,Yveltal,32.320%
1087,Escavalier,Rillaboom,29.986%
1088,Escavalier,Raichu,29.048%
1089,Escavalier,Calyrex-Shadow,7.019%
1090,Rotom-Wash,Zacian-Crowned,60.672%
1091,Rotom-Wash,Incineroar,43.818%
1092,Rotom-Wash,Regieleki,41.972%
1093,Rotom-Wash,Landorus-Therian,40.363%
1094,Rotom-Wash,Mewtwo,22.652%
1095,Rotom-Wash,Dialga,21.303%
1096,Rotom-Wash,Grimmsnarl,21.194%
1097,Rotom-Wash,Rillaboom,13.529%
1098,Rotom-Wash,Ho-Oh,10.004%
1099,Rotom-Wash,Amoonguss,8.740%
1100,Politoed,Zacian-Crowned,81.144%
1101,Politoed,Calyrex-Shadow,71.488%
1102,Politoed,Thundurus,43.127%
1103,Politoed,Rillaboom,38.336%
1104,Politoed,Incineroar,38.013%
1105,Politoed,Barraskewda,37.941%
1106,Politoed,Rotom-Heat,27.143%
1107,Politoed,Kartana,27.035%
1108,Politoed,Yveltal,7.903%
1109,Politoed,Whimsicott,6.440%
1110,Ludicolo,Kyogre,61.151%
1111,Ludicolo,Incineroar,42.253%
1112,Ludicolo,Thundurus,40.935%
1113,Ludicolo,Zacian-Crowned,33.582%
1114,Ludicolo,Ferrothorn,25.848%
1115,Ludicolo,Zygarde,22.776%
1116,Ludicolo,Zamazenta-Crowned,20.575%
1117,Ludicolo,Landorus-Therian,15.984%
1118,Ludicolo,Zapdos,14.029%
1119,Ludicolo,Tornadus,14.014%
1120,Slowking,Indeedee,66.874%
1121,Slowking,Calyrex-Ice,66.718%
1122,Slowking,Hatterene,66.711%
1123,Slowking,Palkia,51.611%
1124,Slowking,Incineroar,51.558%
1125,Slowking,Grimmsnarl,28.057%
1126,Slowking,Kyogre,27.456%
1127,Slowking,Moltres,15.100%
1128,Slowking,Thundurus,13.797%
1129,Slowking,Solgaleo,13.676%
1130,Swampert,Zacian-Crowned,84.981%
1131,Swampert,Rillaboom,81.632%
1132,Swampert,Regieleki,78.840%
1133,Swampert,Yveltal,78.588%
1134,Swampert,Grimmsnarl,78.150%
1135,Swampert,Calyrex-Shadow,6.752%
1136,Swampert,Thundurus,6.685%
1137,Swampert,Porygon-Z,4.308%
1138,Swampert,Incineroar,3.680%
1139,Swampert,Kyogre,3.511%
1140,Azumarill,Dialga,76.387%
1141,Azumarill,Ho-Oh,72.131%
1142,Azumarill,Chansey,71.959%
1143,Azumarill,Liepard,71.955%
1144,Azumarill,Shuckle,71.955%
1145,Azumarill,Incineroar,5.779%
1146,Azumarill,Groudon,5.569%
1147,Azumarill,Palkia,5.253%
1148,Azumarill,Urshifu,4.926%
1149,Azumarill,Venusaur,4.563%
1150,Scizor,Incineroar,65.598%
1151,Scizor,Groudon,58.088%
1152,Scizor,Kyurem-White,58.079%
1153,Scizor,Venusaur,52.960%
1154,Scizor,Thundurus,39.538%
1155,Scizor,Dragapult,14.744%
1156,Scizor,Kyogre,11.578%
1157,Scizor,Whimsicott,8.108%
1158,Scizor,Calyrex-Ice,7.436%
1159,Scizor,Amoonguss,6.964%
1160,Articuno-Galar,Incineroar,47.055%
1161,Articuno-Galar,Rillaboom,42.292%
1162,Articuno-Galar,Eternatus,41.156%
1163,Articuno-Galar,Dialga,36.643%
1164,Articuno-Galar,Urshifu-Rapid-Strike,33.814%
1165,Articuno-Galar,Kyogre,32.941%
1166,Articuno-Galar,Regieleki,24.709%
1167,Articuno-Galar,Calyrex-Ice,24.162%
1168,Articuno-Galar,Indeedee-F,23.834%
1169,Articuno-Galar,Grimmsnarl,15.482%
1170,Tyranitar,Zacian-Crowned,36.372%
1171,Tyranitar,Whimsicott,26.951%
1172,Tyranitar,Kyogre,21.292%
1173,Tyranitar,Groudon,20.877%
1174,Tyranitar,Excadrill,18.903%
1175,Tyranitar,Xerneas,17.198%
1176,Tyranitar,Dracovish,17.046%
1177,Tyranitar,Landorus-Therian,16.911%
1178,Tyranitar,Gastrodon,16.163%
1179,Tyranitar,Regieleki,15.629%
1180,Pikachu,Kyogre,42.692%
1181,Pikachu,Zacian-Crowned,41.961%
1182,Pikachu,Whimsicott,41.875%
1183,Pikachu,Groudon,38.735%
1184,Pikachu,Gastrodon,38.665%
1185,Pikachu,Celesteela,38.623%
1186,Pikachu,Pheromosa,38.623%
1187,Pikachu,Reshiram,36.528%
1188,Pikachu,Incineroar,25.902%
1189,Pikachu,Weezing,25.688%
1190,Ninetales-Alola,Incineroar,34.150%
1191,Ninetales-Alola,Calyrex-Shadow,31.106%
1192,Ninetales-Alola,Zacian-Crowned,30.920%
1193,Ninetales-Alola,Groudon,27.460%
1194,Ninetales-Alola,Kyurem-White,24.664%
1195,Ninetales-Alola,Whimsicott,20.086%
1196,Ninetales-Alola,Suicune,18.365%
1197,Ninetales-Alola,Venusaur,18.185%
1198,Ninetales-Alola,Indeedee-F,17.285%
1199,Ninetales-Alola,Solgaleo,15.035%
1200,Marowak-Alola,Amoonguss,40.533%
1201,Marowak-Alola,Indeedee-F,36.441%
1202,Marowak-Alola,Calyrex-Ice,35.976%
1203,Marowak-Alola,Yveltal,30.913%
1204,Marowak-Alola,Kyogre,30.067%
1205,Marowak-Alola,Palkia,24.314%
1206,Marowak-Alola,Landorus-Therian,17.109%
1207,Marowak-Alola,Snorlax,16.387%
1208,Marowak-Alola,Groudon,15.327%
1209,Marowak-Alola,Porygon2,15.185%
1210,Slowbro,Zacian-Crowned,63.914%
1211,Slowbro,Kyurem-White,63.530%
1212,Slowbro,Indeedee-F,62.778%
1213,Slowbro,Ferrothorn,62.640%
1214,Slowbro,Hydreigon,62.636%
1215,Slowbro,Yveltal,21.136%
1216,Slowbro,Arcanine,21.039%
1217,Slowbro,Eternatus,20.930%
1218,Slowbro,Rillaboom,20.913%
1219,Slowbro,Togedemaru,20.912%
1220,Giratina-Origin,Landorus-Therian,76.879%
1221,Giratina-Origin,Thundurus,74.970%
1222,Giratina-Origin,Dialga,73.764%
1223,Giratina-Origin,Tornadus,71.970%
1224,Giratina-Origin,Bronzong,68.141%
1225,Giratina-Origin,Incineroar,12.595%
1226,Giratina-Origin,Blastoise,5.715%
1227,Giratina-Origin,Politoed,5.279%
1228,Giratina-Origin,Lapras,5.097%
1229,Giratina-Origin,Ferrothorn,5.084%
1230,Toxapex,Grimmsnarl,80.748%
1231,Toxapex,Solgaleo,80.742%
1232,Toxapex,Thundurus,80.433%
1233,Toxapex,Ditto,80.406%
1234,Toxapex,Kyurem-White,80.389%
1235,Toxapex,Incineroar,11.843%
1236,Toxapex,Yveltal,11.438%
1237,Toxapex,Lapras,11.387%
1238,Toxapex,Eternatus,11.386%
1239,Toxapex,Landorus-Therian,11.381%
1240,Raikou,Kyogre,63.249%
1241,Raikou,Solgaleo,59.962%
1242,Raikou,Rillaboom,47.383%
1243,Raikou,Incineroar,41.224%
1244,Raikou,Whimsicott,37.316%
1245,Raikou,Tornadus,24.081%
1246,Raikou,Hitmontop,23.971%
1247,Raikou,Dialga,22.349%
1248,Raikou,Togekiss,13.681%
1249,Raikou,Calyrex-Ice,13.466%
1250,Pelipper,Zacian-Crowned,80.799%
1251,Pelipper,Calyrex-Shadow,77.557%
1252,Pelipper,Landorus-Therian,61.903%
1253,Pelipper,Amoonguss,61.510%
1254,Pelipper,Barraskewda,60.826%
1255,Pelipper,Whimsicott,17.728%
1256,Pelipper,Thundurus,16.588%
1257,Pelipper,Metagross,16.468%
1258,Pelipper,Incineroar,7.001%
1259,Pelipper,Groudon,5.583%
1260,Weezing-Galar,Calyrex-Shadow,90.946%
1261,Weezing-Galar,Incineroar,71.223%
1262,Weezing-Galar,Kyogre,70.934%
1263,Weezing-Galar,Regieleki,68.119%
1264,Weezing-Galar,Tornadus,67.440%
1265,Weezing-Galar,Zacian-Crowned,26.728%
1266,Weezing-Galar,Regigigas,25.660%
1267,Weezing-Galar,Blastoise,22.854%
1268,Weezing-Galar,Volcarona,22.853%
1269,Weezing-Galar,Whimsicott,2.664%
1270,Kingler,Calyrex-Shadow,49.959%
1271,Kingler,Zacian-Crowned,47.922%
1272,Kingler,Incineroar,38.982%
1273,Kingler,Indeedee-F,28.449%
1274,Kingler,Xerneas,22.703%
1275,Kingler,Urshifu,20.576%
1276,Kingler,Grimmsnarl,19.928%
1277,Kingler,Mewtwo,19.184%
1278,Kingler,Ditto,19.182%
1279,Kingler,Dusclops,19.182%
1280,Oranguru,Indeedee-F,66.271%
1281,Oranguru,Calyrex-Ice,44.544%
1282,Oranguru,Kyogre,37.864%
1283,Oranguru,Dialga,37.374%
1284,Oranguru,Snorlax,32.655%
1285,Oranguru,Araquanid,32.615%
1286,Oranguru,Incineroar,18.648%
1287,Oranguru,Palkia,17.587%
1288,Oranguru,Amoonguss,15.012%
1289,Oranguru,Torkoal,10.595%
1290,Nihilego,Zacian-Crowned,59.092%
1291,Nihilego,Incineroar,51.618%
1292,Nihilego,Grimmsnarl,35.287%
1293,Nihilego,Lugia,33.509%
1294,Nihilego,Urshifu-Rapid-Strike,27.037%
1295,Nihilego,Calyrex-Ice,18.714%
1296,Nihilego,Thundurus,18.633%
1297,Nihilego,Gastrodon,17.332%
1298,Nihilego,Urshifu,17.058%
1299,Nihilego,Whimsicott,15.990%
1300,Togedemaru,Venusaur,50.969%
1301,Togedemaru,Groudon,50.540%
1302,Togedemaru,Lugia,49.577%
1303,Togedemaru,Cinderace,49.538%
1304,Togedemaru,Hydreigon,44.466%
1305,Togedemaru,Rillaboom,24.344%
1306,Togedemaru,Yveltal,24.284%
1307,Togedemaru,Eternatus,24.205%
1308,Togedemaru,Arcanine,23.890%
1309,Togedemaru,Slowbro,23.890%
1310,Gyarados,Zacian-Crowned,48.502%
1311,Gyarados,Rillaboom,34.633%
1312,Gyarados,Porygon2,33.547%
1313,Gyarados,Thundurus,29.930%
1314,Gyarados,Reshiram,28.612%
1315,Gyarados,Solgaleo,20.638%
1316,Gyarados,Whimsicott,18.698%
1317,Gyarados,Calyrex-Shadow,18.299%
1318,Gyarados,Landorus-Therian,16.531%
1319,Gyarados,Mamoswine,15.464%
1320,Garchomp,Zacian-Crowned,63.682%
1321,Garchomp,Kyogre,61.593%
1322,Garchomp,Whimsicott,53.153%
1323,Garchomp,Charizard,51.474%
