ID,Name,Attributes,Category,Effect
227,dragon-fang,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}, {'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}]","{'name': 'type-enhancement', 'url': 'https://pokeapi.co/api/v2/item-category/19/'}","[{'effect': ""Held: Increases the power of the holder's Dragon moves by 20%."", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Held: Dragon-Type moves from holder do 20% more damage.'}]"
228,silk-scarf,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}, {'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}]","{'name': 'type-enhancement', 'url': 'https://pokeapi.co/api/v2/item-category/19/'}","[{'effect': ""Held: Increases the power of the holder's Normal moves by 20%."", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Held: Normal-Type moves from holder do 20% more damage.'}]"
229,up-grade,[],"{'name': 'evolution', 'url': 'https://pokeapi.co/api/v2/item-category/10/'}","[{'effect': 'Held by Porygon: Evolves the holder into Porygon2 when traded.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Traded on a Porygon: Holder evolves into Porygon2.'}]"
230,shell-bell,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}, {'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}]","{'name': 'held-items', 'url': 'https://pokeapi.co/api/v2/item-category/12/'}","[{'effect': 'Held: Heals the holder by 1/8 of any damage it inflicts.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Held: Holder receives 1/8 of the damage it deals when attacking.'}]"
231,sea-incense,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}, {'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}]","{'name': 'type-enhancement', 'url': 'https://pokeapi.co/api/v2/item-category/19/'}","[{'effect': ""Held: Increases the power of the holder's Water moves by 20%."", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Held: Water-Type moves from holder do 20% more damage. Breeding: Marill or Azumarill beget an Azurill Egg.'}]"
232,lax-incense,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}, {'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}]","{'name': 'held-items', 'url': 'https://pokeapi.co/api/v2/item-category/12/'}","[{'effect': ""Held: Increases the holder's Evasion by 5%."", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': ""Held: Holder's evasion is increased by 5%. Breeding: Wobbuffet begets a Wynaut Egg.""}]"
233,lucky-punch,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}]","{'name': 'species-specific', 'url': 'https://pokeapi.co/api/v2/item-category/18/'}","[{'effect': ""Held by Chansey: Raises the holder's critical hit counter by 2."", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': ""Raises Chansey's critical hit ratio by two stages.""}]"
234,metal-powder,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}]","{'name': 'species-specific', 'url': 'https://pokeapi.co/api/v2/item-category/18/'}","[{'effect': ""Held by Ditto: Increases the holder's initial Defense and Special Defense by 50%."", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': ""Raises Ditto's Defense and Special Defense by 50%. The boost is lost after transforming.""}]"
235,thick-club,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}]","{'name': 'species-specific', 'url': 'https://pokeapi.co/api/v2/item-category/18/'}","[{'effect': ""Held by Cubone or Marowak: Doubles the holder's Attack."", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': ""Doubles Cubone or Marowak's Attack.""}]"
236,stick,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}]","{'name': 'species-specific', 'url': 'https://pokeapi.co/api/v2/item-category/18/'}","[{'effect': ""Held by Farfetch'd: Raises the holder's critical hit counter by 2."", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': ""Raises Farfetch'd's critical hit ratio by two stages.""}]"
237,red-scarf,"[{'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}]","{'name': 'scarves', 'url': 'https://pokeapi.co/api/v2/item-category/36/'}","[{'effect': ""Held: Increases the holder's Coolness during a Super Contest's Visual Competition."", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': ""Raises the holder's Coolness while in a contest.""}]"
238,blue-scarf,"[{'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}]","{'name': 'scarves', 'url': 'https://pokeapi.co/api/v2/item-category/36/'}","[{'effect': ""Held: Increases the holder's Beauty during a Super Contest's Visual Competition."", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': ""Raises the holder's Beauty while in a contest.""}]"
239,pink-scarf,"[{'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}]","{'name': 'scarves', 'url': 'https://pokeapi.co/api/v2/item-category/36/'}","[{'effect': ""Held: Increases the holder's Cuteness during a Super Contest's Visual Competition."", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': ""Raises the holder's Cuteness while in a contest.""}]"
240,green-scarf,"[{'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}]","{'name': 'scarves', 'url': 'https://pokeapi.co/api/v2/item-category/36/'}","[{'effect': ""Held: Increases the holder's Smartness during a Super Contest's Visual Competition."", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': ""Raises the holder's Smartness while in a contest.""}]"
241,yellow-scarf,"[{'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}]","{'name': 'scarves', 'url': 'https://pokeapi.co/api/v2/item-category/36/'}","[{'effect': ""Held: Increases the holder's Toughness during a Super Contest's Visual Competition."", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': ""Raises the holder's Toughness while in a contest.""}]"
242,wide-lens,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}, {'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}]","{'name': 'held-items', 'url': 'https://pokeapi.co/api/v2/item-category/12/'}","[{'effect': 'Held: Increases the accuracy of any move the holder uses by 10% (multiplied; i.e. 70% accuracy is increased to 77%).', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Held: Provides a 1/10 (10%) boost in accuracy to the holder.'}]"
243,muscle-band,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}, {'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}]","{'name': 'held-items', 'url': 'https://pokeapi.co/api/v2/item-category/12/'}","[{'effect': ""Held: Increases the power of the holder's physical moves by 10%."", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Held: Boosts the damage of physical moves used by the holder by 10%.'}]"
244,wise-glasses,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}, {'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}]","{'name': 'held-items', 'url': 'https://pokeapi.co/api/v2/item-category/12/'}","[{'effect': ""Held: Increases the power of the holder's special moves by 10%."", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Held: Boosts the damage of special moves used by the holder by 1/10 (10%).'}]"
245,expert-belt,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}, {'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}]","{'name': 'held-items', 'url': 'https://pokeapi.co/api/v2/item-category/12/'}","[{'effect': 'Held: When the holder hits with a super-effective move, its power is raised by 20%.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': ""Held: Holder's Super Effective moves do 20% extra damage.""}]"
246,light-clay,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}, {'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}, {'name': 'underground', 'url': 'https://pokeapi.co/api/v2/item-attribute/8/'}]","{'name': 'held-items', 'url': 'https://pokeapi.co/api/v2/item-category/12/'}","[{'effect': ""Held: The holder's Reflect and Light Screen will create effects lasting for eight turns rather than five.  As this item affects the move rather than the barrier itself, the effect is not lost if the holder leaves battle or drops this item."", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Held: Light Screen and Reflect used by the holder last 8 rounds instead of 5.'}]"
247,life-orb,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}, {'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}]","{'name': 'held-items', 'url': 'https://pokeapi.co/api/v2/item-category/12/'}","[{'effect': ""Held: Damage from the holder's moves is increased by 30%.  On each turn the holder uses a damage-inflicting move, it takes 10% its max HP in damage."", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': ""Held: Holder's moves inflict 30% extra damage, but cost 10% max HP.""}]"
248,power-herb,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}, {'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}]","{'name': 'held-items', 'url': 'https://pokeapi.co/api/v2/item-category/12/'}","[{'effect': 'Held: Whenever the holder uses a move that requires a turn to charge first (Bounce, Dig, Dive, Fly, Razor Wind, Skull Bash, Sky Attack, or Solarbeam), this item is consumed and the charge is skipped.  Skull Bash still provides a Defense boost.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Held: Both turns of a two-turn charge move happen at once. Consumed upon use.'}]"
249,toxic-orb,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}, {'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}]","{'name': 'bad-held-items', 'url': 'https://pokeapi.co/api/v2/item-category/15/'}","[{'effect': 'Held: Badly poisons the holder at the end of each turn.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Held: Inflicts Toxic on the holder at the end of the turn. Activates after Poison damage would occur.'}]"
250,flame-orb,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}, {'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}]","{'name': 'bad-held-items', 'url': 'https://pokeapi.co/api/v2/item-category/15/'}","[{'effect': 'Held: Burns the holder at the end of each turn.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Held: Inflicts Burn on the holder at the end of the turn. Activates after Burn damage would occur.'}]"
251,quick-powder,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}]","{'name': 'species-specific', 'url': 'https://pokeapi.co/api/v2/item-category/18/'}","[{'effect': ""Held by Ditto: Doubles the holder's initial Speed."", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': ""Doubles Ditto's Speed when held. The boost is lost after transforming.""}]"
252,focus-sash,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}, {'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}]","{'name': 'held-items', 'url': 'https://pokeapi.co/api/v2/item-category/12/'}","[{'effect': ""Held: If the holder has full HP and is attacked for regular damage that would faint it, this item is consumed and prevents the holder's HP from lowering below 1.  This effect works against multi-hit attacks, but does not work against the effects of Doom Desire or Future Sight."", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Held: Holder survives any single-hit attack at 1 HP if at max HP, then the item is consumed.'}]"
253,zoom-lens,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}, {'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}]","{'name': 'held-items', 'url': 'https://pokeapi.co/api/v2/item-category/12/'}","[{'effect': ""Held: Raises the holder's Accuracy by 20% when it goes last.\nIngame description is incorrect."", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Held: Provides a 1/5 (20%) boost in accuracy if the holder moves after the target.'}]"
254,metronome,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}, {'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}]","{'name': 'held-items', 'url': 'https://pokeapi.co/api/v2/item-category/12/'}","[{'effect': 'Held: Each time the holder uses the same move consecutively, its power is increased by another 10% of its original, to a maximum of 100%.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Held: Consectutive uses of the same attack have a cumulative damage boost of 10%. Maximum 100% boost.'}]"
255,iron-ball,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}, {'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}, {'name': 'underground', 'url': 'https://pokeapi.co/api/v2/item-attribute/8/'}]","{'name': 'bad-held-items', 'url': 'https://pokeapi.co/api/v2/item-category/15/'}","[{'effect': ""Held: Decreases the holder's Speed by 50%.  If the holder is Flying or has Levitate, it takes regular damage from Ground attacks and is suspectible to Spikes and Toxic Spikes."", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': ""Held: Holder's Speed is halved. Negates all Ground-type immunities, and makes Flying-types take neutral damage from Ground-type moves. Arena Trap. Spikes, and Toxic Spikes affect the holder.""}]"
256,lagging-tail,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}, {'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}]","{'name': 'bad-held-items', 'url': 'https://pokeapi.co/api/v2/item-category/15/'}","[{'effect': ""Held: The holder will go last within its move's priority bracket, regardless of Speed.  If multiple Pokémon within the same priority bracket are subject to this effect, the slower Pokémon will go first.  The holder will move after Pokémon with Stall.  If the holder has Stall, Stall is ignored.  This item ignores Trick Room."", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Held: Holder moves last in its priority bracket.'}]"
257,destiny-knot,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}, {'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}]","{'name': 'held-items', 'url': 'https://pokeapi.co/api/v2/item-category/12/'}","[{'effect': 'Held: When the holder becomes Attracted, the Pokémon it is Attracted to becomes Attracted back.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Held: Infatuates opposing Pokémon when holder is inflicted with infatuation.'}]"
258,black-sludge,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}, {'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}]","{'name': 'held-items', 'url': 'https://pokeapi.co/api/v2/item-category/12/'}","[{'effect': 'Held: If the holder is Poison-type, restores 1/16 max HP at the end of each turn.  Otherwise, damages the holder by 1/16 its max HP at the end of each turn.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Held: Poison-type holder recovers 1/16 (6.25%) max HP each turn. Non-Poison-Types take 1/8 (12.5%) max HP damage.'}]"
259,icy-rock,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}, {'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}, {'name': 'underground', 'url': 'https://pokeapi.co/api/v2/item-attribute/8/'}]","{'name': 'held-items', 'url': 'https://pokeapi.co/api/v2/item-category/12/'}","[{'effect': ""Held: The holder's Hail will create a hailstorm lasting for eight turns rather than five.  As this item affects the move rather than the weather itself, the effect is not lost if the holder leaves battle or drops this item."", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Held: Hail by the holder lasts 8 rounds instead of 5.'}]"
260,smooth-rock,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}, {'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}, {'name': 'underground', 'url': 'https://pokeapi.co/api/v2/item-attribute/8/'}]","{'name': 'held-items', 'url': 'https://pokeapi.co/api/v2/item-category/12/'}","[{'effect': ""Held: The holder's Sandstorm will create a sandstorm lasting for eight turns rather than five.  As this item affects the move rather than the weather itself, the effect is not lost if the holder leaves battle or drops this item."", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Held: Sandstorm by the holder lasts 8 rounds instead of 5.'}]"
261,heat-rock,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}, {'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}, {'name': 'underground', 'url': 'https://pokeapi.co/api/v2/item-attribute/8/'}]","{'name': 'held-items', 'url': 'https://pokeapi.co/api/v2/item-category/12/'}","[{'effect': ""Held: The holder's Sunny Day will create sunshine lasting for eight turns rather than five.  As this item affects the move rather than the weather itself, the effect is not lost if the holder leaves battle or drops this item."", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Held: Sunny Day by the holder lasts 8 rounds instead of 5.'}]"
262,damp-rock,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}, {'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}, {'name': 'underground', 'url': 'https://pokeapi.co/api/v2/item-attribute/8/'}]","{'name': 'held-items', 'url': 'https://pokeapi.co/api/v2/item-category/12/'}","[{'effect': ""Held: The holder's Rain Dance will create rain lasting for eight turns rather than five.  As this item affects the move rather than the weather itself, the effect is not lost if the holder leaves battle or drops this item."", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Held: Rain Dance by the holder lasts 8 rounds instead of 5.'}]"
263,grip-claw,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}, {'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}]","{'name': 'held-items', 'url': 'https://pokeapi.co/api/v2/item-category/12/'}","[{'effect': ""Held: Increases the duration of the holder's multiturn (2-5 turn) moves by three turns."", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': ""Held: Holder's multi-turn trapping moves last 5 turns.""}]"
264,choice-scarf,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}, {'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}]","{'name': 'choice', 'url': 'https://pokeapi.co/api/v2/item-category/13/'}","[{'effect': ""Held: Increases the holder's Speed by 50%, but restricts it to the first move it uses until it leaves battle or loses this item.  If this item is swapped for another Choice item via Trick or Switcheroo, the holder's restriction is still lifted, but it will again be restricted to the next move it uses.\n(Quirk: If the holder is switched in by U-Turn and it also knows U-Turn, U-Turn becomes its restricted move.)"", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Held: Increases Speed by 50%, but restricts the holder to only one move.'}]"
265,sticky-barb,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}, {'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}]","{'name': 'bad-held-items', 'url': 'https://pokeapi.co/api/v2/item-category/15/'}","[{'effect': 'Held: Damaged the holder for 1/8 its max HP.  When the holder is struck by a contact move, damages the attacker for 1/8 its max HP; if the attacker is not holding an item, it will take this item.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Held: Holder takes 1/8 (12.5%) its max HP at the end of each turn. When the holder is hit by a contact move, the attacking Pokémon takes 1/8 its max HP in damage and receive the item if not holding one.'}]"
266,power-bracer,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}, {'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}]","{'name': 'effort-training', 'url': 'https://pokeapi.co/api/v2/item-category/14/'}","[{'effect': ""Held: Decreases the holder's Speed by 50%.  Whenever the holder gains Attack effort from battle, increases that effort by 4; this applies before the PokéRUS doubling effect."", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Held: Holder gains 4 Attack effort values, but has halved Speed in battle.'}]"
267,power-belt,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}, {'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}]","{'name': 'effort-training', 'url': 'https://pokeapi.co/api/v2/item-category/14/'}","[{'effect': ""Held: Decreases the holder's Speed by 50%.  Whenever the holder gains Defense effort from battle, increases that effort by 4; this applies before the PokéRUS doubling effect."", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Held: Holder gains 4 Defense effort values, but has halved Speed in battle.'}]"
268,power-lens,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}, {'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}]","{'name': 'effort-training', 'url': 'https://pokeapi.co/api/v2/item-category/14/'}","[{'effect': ""Held: Decreases the holder's Speed by 50%.  Whenever the holder gains Special Attack effort from battle, increases that effort by 4; this applies before the PokéRUS doubling effect."", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Held: Holder gains 4 Special Attack effort values, but has halved Speed in battle.'}]"
269,power-band,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}, {'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}]","{'name': 'effort-training', 'url': 'https://pokeapi.co/api/v2/item-category/14/'}","[{'effect': ""Held: Decreases the holder's Speed by 50%.  Whenever the holder gains Special Defense effort from battle, increases that effort by 4; this applies before the PokéRUS doubling effect."", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Held: Holder gains 4 Special Defense effort values, but has halved Speed in battle.'}]"
270,power-anklet,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}, {'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}]","{'name': 'effort-training', 'url': 'https://pokeapi.co/api/v2/item-category/14/'}","[{'effect': ""Held: Decreases the holder's Speed by 50%.  Whenever the holder gains Speed effort from battle, increases that effort by 4; this applies before the PokéRUS doubling effect."", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Held: Holder gains 4 Speed effort values, but has halved Speed in battle.'}]"
271,power-weight,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}, {'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}]","{'name': 'effort-training', 'url': 'https://pokeapi.co/api/v2/item-category/14/'}","[{'effect': ""Held: Decreases the holder's Speed by 50%.  Whenever the holder gains HP effort from battle, increases that effort by 4; this applies before the PokéRUS doubling effect."", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Held: Holder gains 4 HP effort values, but has halved Speed in battle.'}]"
272,shed-shell,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}, {'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}]","{'name': 'held-items', 'url': 'https://pokeapi.co/api/v2/item-category/12/'}","[{'effect': 'Held: The holder is unaffected by any moves or abilities that would prevent it from actively leaving battle.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Held: Holder can bypass all trapping effects and switch out. Multi-turn moves still cannot be switched out of.'}]"
273,big-root,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}, {'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}]","{'name': 'held-items', 'url': 'https://pokeapi.co/api/v2/item-category/12/'}","[{'effect': 'Held: HP restored from Absorb, Aqua Ring, Drain Punch, Dream Eater, Giga Drain, Ingrain, Leech Life, Leech Seed, and Mega Drain is increased by 30%.  Damage inflicted is not affected.', 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Held: Increases HP recovered from draining moves, Ingrain, and Aqua Ring by 3/10 (30%).'}]"
274,choice-specs,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}, {'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}]","{'name': 'choice', 'url': 'https://pokeapi.co/api/v2/item-category/13/'}","[{'effect': ""Held: Increases the holder's Special Attack by 50%, but restricts it to the first move it uses until it leaves battle or loses this item.  If this item is swapped for another Choice item via Trick or Switcheroo, the holder's restriction is still lifted, but it will again be restricted to the next move it uses.\n(Quirk: If the holder is switched in by U-Turn and it also knows U-Turn, U-Turn becomes its restricted move.)"", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': 'Held: Increases Special Attack by 50%, but restricts the holder to only one move.'}]"
275,flame-plate,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}, {'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}, {'name': 'underground', 'url': 'https://pokeapi.co/api/v2/item-attribute/8/'}]","{'name': 'plates', 'url': 'https://pokeapi.co/api/v2/item-category/17/'}","[{'effect': ""Held: Increases the power of the holder's Fire moves by 20%.\nHeld by a Multitype Pokémon: Holder's type becomes Fire."", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': ""Held: Fire-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Fire.""}]"
276,splash-plate,"[{'name': 'holdable', 'url': 'https://pokeapi.co/api/v2/item-attribute/5/'}, {'name': 'holdable-active', 'url': 'https://pokeapi.co/api/v2/item-attribute/7/'}, {'name': 'underground', 'url': 'https://pokeapi.co/api/v2/item-attribute/8/'}]","{'name': 'plates', 'url': 'https://pokeapi.co/api/v2/item-category/17/'}","[{'effect': ""Held: Increases the power of the holder's Water moves by 20%.\nHeld by a Multitype Pokémon: Holder's type becomes Water."", 'language': {'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}, 'short_effect': ""Held: Water-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Water.""}]"
