,Pokemon,Nature,HP/Atk/Def/SpA/SpD/Spe,Use_Percentage (%)
1753,Regidrago,Timid,36/0/0/252/0/220,0.102%
1754,Regidrago,Modest,0/0/124/252/132/0,0.086%
1755,Regidrago,Quiet,248/4/0/252/0/0,0.073%
1756,Regidrago,Jolly,4/0/0/252/0/252,0.048%
1757,Regidrago,Timid,6/0/0/252/0/252,0.043%
1758,Regidrago,Modest,252/0/0/252/4/0,0.034%
1759,Regidrago,Timid,0/0/4/252/0/252,0.022%
1760,Hitmontop,Careful,252/0/140/0/116/0,30.418%
1761,Hitmontop,Careful,252/0/52/0/204/0,19.279%
1762,Hitmontop,Adamant,252/252/0/0/4/0,19.233%
1763,Hitmontop,Careful,252/12/132/0/108/4,8.488%
1764,Hitmontop,Impish,252/0/140/0/116/0,3.945%
1765,Hitmontop,Careful,252/0/116/0/140/0,3.488%
1766,Hitmontop,Careful,252/4/0/0/252/0,2.660%
1767,Hitmontop,Hardy,204/84/76/0/92/48,1.218%
1768,Hitmontop,Impish,252/0/252/0/4/0,0.907%
1769,Hitmontop,Careful,252/0/252/0/4/0,0.864%
1770,Hitmontop,Careful,252/0/4/0/252/0,0.715%
1771,Hitmontop,Impish,252/252/0/0/0/4,0.711%
1772,Hitmontop,Careful,252/44/92/0/116/4,0.644%
1773,Hitmontop,Adamant,220/196/4/0/60/28,0.638%
1774,Hitmontop,Careful,252/0/44/0/212/0,0.479%
1775,Hitmontop,Brave,252/252/0/0/4/0,0.472%
1776,Hitmontop,Jolly,4/252/0/0/0/252,0.376%
1777,Hitmontop,Adamant,244/28/60/0/132/44,0.357%
1778,Hitmontop,Adamant,220/0/140/0/144/0,0.334%
1779,Hitmontop,Jolly,252/0/0/0/4/252,0.333%
1780,Darmanitan-Galar,Jolly,4/252/0/0/0/252,40.508%
1781,Darmanitan-Galar,Jolly,36/252/0/0/0/220,35.950%
1782,Darmanitan-Galar,Adamant,4/252/0/0/0/252,13.922%
1783,Darmanitan-Galar,Jolly,0/252/0/0/4/252,6.385%
1784,Darmanitan-Galar,Jolly,0/0/0/252/4/252,2.162%
1785,Darmanitan-Galar,Jolly,20/252/4/0/4/228,0.592%
1786,Darmanitan-Galar,Jolly,92/252/0/0/0/164,0.151%
1787,Darmanitan-Galar,Hardy,0/252/0/0/0/252,0.118%
1788,Darmanitan-Galar,Adamant,0/252/0/0/4/252,0.048%
1789,Darmanitan-Galar,Jolly,0/252/4/0/0/252,0.032%
1790,Darmanitan-Galar,Jolly,4/248/0/0/0/252,0.028%
1791,Darmanitan-Galar,Hardy,52/252/0/0/0/172,0.022%
1792,Darmanitan-Galar,Jolly,0/252/0/0/0/252,0.016%
1793,Darmanitan-Galar,Hardy,252/252/0/0/0/4,0.016%
1794,Darmanitan-Galar,Adamant,0/252/0/0/0/252,0.011%
1795,Darmanitan-Galar,Hardy,4/252/0/0/0/252,0.009%
1796,Darmanitan-Galar,Adamant,12/244/20/0/4/228,0.007%
1797,Darmanitan-Galar,Naive,0/248/0/0/0/252,0.005%
1798,Darmanitan-Galar,Jolly,140/252/0/0/0/116,0.005%
1799,Darmanitan-Galar,Hardy,12/244/20/0/4/228,0.004%
1800,Zekrom,Modest,156/0/4/252/76/20,30.149%
1801,Zekrom,Jolly,4/252/0/0/0/252,7.720%
1802,Zekrom,Bold,252/0/0/0/52/0,7.259%
1803,Zekrom,Adamant,124/156/28/0/4/196,6.345%
1804,Zekrom,Quiet,252/0/0/252/4/0,5.926%
1805,Zekrom,Jolly,0/252/0/0/4/252,4.661%
1806,Zekrom,Adamant,228/252/0/0/4/20,3.763%
1807,Zekrom,Modest,124/0/36/236/76/36,3.186%
1808,Zekrom,Quiet,196/76/0/236/0/0,3.061%
1809,Zekrom,Adamant,12/236/4/0/4/252,3.061%
1810,Zekrom,Timid,4/0/0/252/0/252,2.848%
1811,Zekrom,Bold,252/0/0/204/52/0,2.385%
1812,Zekrom,Timid,68/0/4/220/4/212,1.463%
1813,Zekrom,Modest,180/0/0/252/76/0,1.175%
1814,Zekrom,Modest,240/0/0/100/100/68,1.123%
1815,Zekrom,Modest,252/0/0/172/0/84,0.939%
1816,Zekrom,Adamant,156/248/4/0/76/20,0.911%
1817,Zekrom,Modest,236/0/0/252/0/20,0.887%
1818,Zekrom,Timid,0/0/0/252/4/252,0.855%
1819,Zekrom,Hardy,252/4/0/0/0/252,0.765%
1820,Shuckle,Relaxed,4/0/252/0/252/0,42.032%
1821,Shuckle,Bold,4/0/252/0/252/0,38.585%
1822,Shuckle,Relaxed,252/0/252/0/4/0,11.528%
1823,Shuckle,Calm,252/0/252/0/4/0,1.881%
1824,Shuckle,Bold,252/0/252/0/4/0,1.409%
1825,Shuckle,Calm,252/0/156/0/100/0,1.163%
1826,Shuckle,Relaxed,244/0/252/0/12/0,1.044%
1827,Shuckle,Calm,252/0/4/0/252/0,0.958%
1828,Shuckle,Bold,252/0/132/0/124/0,0.945%
1829,Shuckle,Bold,252/0/252/4/0/0,0.190%
1830,Shuckle,Bold,252/0/0/0/252/0,0.127%
1831,Shuckle,Impish,0/0/252/0/252/0,0.044%
1832,Shuckle,Bold,252/0/180/0/76/0,0.038%
1833,Shuckle,Careful,252/0/196/0/56/0,0.023%
1834,Shuckle,Relaxed,252/0/124/0/132/0,0.007%
1835,Shuckle,Hardy,0/248/0/252/0/8,0.006%
1836,Shuckle,Hardy,252/0/124/0/128/0,0.005%
1837,Shuckle,Sassy,252/0/4/0/252/0,0.004%
1838,Shuckle,Relaxed,252/0/0/0/252/0,0.002%
1839,Shuckle,Hardy,0/0/252/0/252/0,0.002%
1840,Zapdos-Galar,Jolly,0/252/0/0/4/252,43.262%
1841,Zapdos-Galar,Adamant,244/148/92/0/12/12,25.725%
1842,Zapdos-Galar,Jolly,4/252/0/0/0/252,6.398%
1843,Zapdos-Galar,Adamant,252/116/92/0/12/36,5.811%
1844,Zapdos-Galar,Adamant,28/252/0/0/0/228,4.091%
1845,Zapdos-Galar,Adamant,4/252/0/0/0/252,3.475%
1846,Zapdos-Galar,Adamant,68/196/4/0/4/236,3.125%
1847,Zapdos-Galar,Adamant,20/252/4/0/4/228,1.390%
1848,Zapdos-Galar,Adamant,12/252/4/0/4/236,1.244%
1849,Zapdos-Galar,Jolly,20/248/0/0/4/236,0.907%
1850,Zapdos-Galar,Jolly,24/252/0/0/0/232,0.760%
1851,Zapdos-Galar,Jolly,76/180/0/0/0/252,0.532%
1852,Zapdos-Galar,Jolly,204/36/4/0/12/252,0.525%
1853,Zapdos-Galar,Jolly,252/20/0/0/0/236,0.506%
1854,Zapdos-Galar,Jolly,0/252/0/0/6/252,0.417%
1855,Zapdos-Galar,Jolly,44/164/4/0/44/252,0.371%
1856,Zapdos-Galar,Adamant,220/148/4/0/132/4,0.225%
1857,Zapdos-Galar,Jolly,252/0/0/0/4/252,0.202%
1858,Zapdos-Galar,Jolly,116/156/0/0/0/236,0.196%
1859,Zapdos-Galar,Adamant,0/252/0/0/4/252,0.163%
1860,Volcarona,Timid,252/0/4/0/0/252,32.043%
1861,Volcarona,Bold,244/0/220/0/0/44,22.744%
1862,Volcarona,Timid,4/0/0/252/0/252,13.660%
1863,Volcarona,Timid,0/0/0/252/4/252,4.727%
1864,Volcarona,Timid,252/0/0/4/0/252,3.407%
1865,Volcarona,Modest,188/0/236/76/4/4,2.631%
1866,Volcarona,Modest,188/0/52/36/4/228,1.991%
1867,Volcarona,Timid,180/0/4/68/4/252,1.478%
1868,Volcarona,Timid,156/0/140/12/4/196,1.239%
1869,Volcarona,Modest,204/0/60/4/4/236,1.167%
1870,Volcarona,Serious,252/0/252/0/4/0,1.141%
1871,Volcarona,Bold,252/0/228/0/28/0,1.093%
1872,Volcarona,Bold,200/0/228/68/12/0,1.074%
1873,Volcarona,Calm,252/0/0/0/252/4,0.825%
1874,Volcarona,Bold,252/0/252/0/4/0,0.773%
1875,Volcarona,Bold,244/0/244/0/20/0,0.691%
1876,Volcarona,Bold,252/0/252/0/0/0,0.580%
1877,Volcarona,Timid,248/0/156/16/0/88,0.538%
1878,Volcarona,Timid,244/0/4/4/4/252,0.529%
1879,Volcarona,Calm,244/0/212/12/36/4,0.505%
1880,Meowstic,Impish,252/0/252/0/4/0,46.103%
1881,Meowstic,Calm,252/0/180/4/68/4,13.506%
1882,Meowstic,Careful,252/4/0/0/252/0,7.820%
1883,Meowstic,Calm,252/0/4/0/252/0,7.607%
1884,Meowstic,Careful,252/0/100/0/152/4,3.372%
1885,Meowstic,Impish,252/0/140/0/116/0,3.123%
1886,Meowstic,Calm,4/0/252/0/252/0,2.283%
1887,Meowstic,Modest,0/0/124/252/128/0,2.152%
1888,Meowstic,Bold,252/0/252/0/4/0,1.271%
1889,Meowstic,Calm,252/0/0/4/252/0,1.226%
1890,Meowstic,Relaxed,252/0/156/0/96/0,1.217%
1891,Meowstic,Careful,248/8/0/0/252/0,1.094%
1892,Meowstic,Calm,252/0/100/0/152/4,1.042%
1893,Meowstic,Calm,244/1/92/60/108/5,0.979%
1894,Meowstic,Calm,252/0/100/0/148/4,0.940%
1895,Meowstic,Impish,244/0/148/0/116/0,0.893%
1896,Meowstic,Bold,244/0/148/0/116/0,0.880%
1897,Meowstic,Impish,252/0/0/0/0/0,0.871%
1898,Meowstic,Timid,248/0/0/8/0/252,0.607%
1899,Meowstic,Jolly,252/4/140/0/100/12,0.569%
1900,Persian-Alola,Timid,148/0/108/0/0/252,69.876%
1901,Persian-Alola,Jolly,252/0/0/0/4/252,4.481%
1902,Persian-Alola,Timid,116/0/140/0/0/252,4.157%
1903,Persian-Alola,Timid,92/0/156/4/4/252,3.141%
1904,Persian-Alola,Impish,252/0/252/0/4/0,2.712%
1905,Persian-Alola,Timid,244/0/28/0/0/236,1.979%
1906,Persian-Alola,Jolly,116/0/0/0/140/252,1.703%
1907,Persian-Alola,Timid,252/0/0/0/4/252,1.668%
1908,Persian-Alola,Timid,116/0/0/0/140/252,1.614%
1909,Persian-Alola,Timid,252/0/20/4/4/228,1.603%
1910,Persian-Alola,Jolly,128/28/0/0/0/252,1.550%
1911,Persian-Alola,Hasty,252/4/0/0/0/252,1.397%
1912,Persian-Alola,Timid,252/0/0/0/0/252,1.090%
1913,Persian-Alola,Calm,252/0/124/0/72/56,0.676%
1914,Persian-Alola,Timid,252/0/4/0/0/252,0.547%
1915,Persian-Alola,Timid,228/0/28/0/0/252,0.537%
1916,Persian-Alola,Jolly,252/4/0/0/0/252,0.272%
1917,Persian-Alola,Timid,252/0/0/4/0/252,0.258%
1918,Persian-Alola,Hardy,252/0/4/0/0/252,0.180%
1919,Persian-Alola,Jolly,244/0/28/0/0/236,0.158%
1920,Snorlax,Sassy,244/0/252/0/12/0,31.378%
1921,Snorlax,Brave,20/236/252/0/0/0,14.871%
1922,Snorlax,Adamant,244/76/164/0/4/20,10.701%
1923,Snorlax,Brave,244/252/0/0/12/0,6.047%
1924,Snorlax,Adamant,156/76/252/0/12/12,5.102%
1925,Snorlax,Brave,180/76/252/0/0/0,4.667%
1926,Snorlax,Brave,36/252/220/0/0/0,3.422%
1927,Snorlax,Adamant,244/252/0/0/12/0,3.408%
1928,Snorlax,Impish,172/0/252/0/84/0,2.900%
1929,Snorlax,Adamant,48/252/204/0/0/4,2.812%
1930,Snorlax,Sassy,252/0/60/0/196/0,2.422%
1931,Snorlax,Careful,196/4/252/0/36/20,1.900%
1932,Snorlax,Adamant,252/252/4/0/0/0,1.461%
1933,Snorlax,Brave,244/252/12/0/0/0,1.412%
1934,Snorlax,Adamant,148/156/140/0/12/52,1.227%
1935,Snorlax,Brave,248/252/0/0/8/0,0.891%
1936,Snorlax,Sassy,228/0/212/0/68/0,0.741%
1937,Snorlax,Brave,252/0/108/0/148/0,0.612%
1938,Snorlax,Sassy,164/60/252/0/28/0,0.439%
1939,Snorlax,Careful,128/128/0/0/252/0,0.413%
1940,Stakataka,Lonely,252/252/0/0/4/0,26.966%
1941,Stakataka,Brave,244/252/0/0/12/0,16.446%
1942,Stakataka,Brave,252/252/0/0/4/0,10.381%
1943,Stakataka,Brave,252/244/12/0/0/0,9.712%
1944,Stakataka,Relaxed,252/0/252/0/4/0,8.733%
1945,Stakataka,Brave,252/252/4/0/0/0,6.320%
1946,Stakataka,Lonely,244/252/0/0/12/0,4.411%
1947,Stakataka,Adamant,4/252/252/0/0/0,2.371%
1948,Stakataka,Lonely,252/252/0/4/0/0,1.978%
1949,Stakataka,Sassy,244/12/0/0/252/0,1.373%
1950,Stakataka,Sassy,252/0/28/0/228/0,1.236%
1951,Stakataka,Relaxed,244/12/252/0/0/0,1.004%
1952,Stakataka,Relaxed,252/4/252/0/0/0,0.935%
1953,Stakataka,Relaxed,252/0/4/0/252/0,0.931%
1954,Stakataka,Sassy,252/0/4/0/252/0,0.816%
1955,Stakataka,Relaxed,252/0/252/0/0/0,0.814%
1956,Stakataka,Brave,252/252/0/0/0/0,0.559%
1957,Stakataka,Sassy,252/4/0/0/252/0,0.530%
1958,Stakataka,Brave,244/12/0/0/252/0,0.465%
1959,Stakataka,Brave,236/252/0/0/20/0,0.347%
1960,Thundurus-Therian,Naive,0/4/0/252/0/252,39.300%
1961,Thundurus-Therian,Timid,0/0/0/252/4/252,28.500%
1962,Thundurus-Therian,Timid,4/0/0/252/0/252,8.778%
1963,Thundurus-Therian,Timid,4/0/4/244/4/252,5.642%
1964,Thundurus-Therian,Timid,36/0/4/212/4/252,4.005%
1965,Thundurus-Therian,Timid,148/0/12/92/4/252,2.217%
1966,Thundurus-Therian,Modest,252/0/108/108/12/28,2.139%
1967,Thundurus-Therian,Timid,36/0/0/220/0/252,2.092%
1968,Thundurus-Therian,Modest,236/0/116/4/4/148,1.623%
1969,Thundurus-Therian,Modest,164/0/4/44/76/220,1.185%
1970,Thundurus-Therian,Timid,252/0/204/0/12/40,0.822%
1971,Thundurus-Therian,Modest,212/0/0/252/0/44,0.804%
1972,Thundurus-Therian,Timid,164/0/0/92/0/252,0.728%
1973,Thundurus-Therian,Hasty,0/4/0/252/0/252,0.534%
1974,Thundurus-Therian,Timid,244/0/0/84/0/180,0.427%
1975,Thundurus-Therian,Hardy,204/0/4/132/28/140,0.322%
1976,Thundurus-Therian,Modest,84/0/84/36/76/228,0.315%
1977,Thundurus-Therian,Modest,52/0/4/196/4/252,0.172%
1978,Thundurus-Therian,Modest,0/0/4/252/0/252,0.143%
1979,Thundurus-Therian,Modest,0/0/0/252/4/252,0.086%
1980,Moltres-Galar,Timid,0/0/0/252/4/252,17.113%
1981,Moltres-Galar,Timid,4/0/0/252/0/252,13.142%
1982,Moltres-Galar,Modest,172/0/4/252/4/76,8.319%
1983,Moltres-Galar,Modest,28/0/4/252/4/220,7.479%
1984,Moltres-Galar,Timid,244/0/4/4/4/252,6.734%
1985,Moltres-Galar,Timid,76/0/180/0/0/252,6.244%
1986,Moltres-Galar,Bold,252/0/156/76/4/20,4.998%
1987,Moltres-Galar,Calm,252/0/0/100/156/0,4.688%
1988,Moltres-Galar,Modest,204/0/4/156/4/140,3.986%
1989,Moltres-Galar,Modest,252/0/124/0/0/132,3.713%
1990,Moltres-Galar,Modest,252/0/164/60/20/12,3.615%
1991,Moltres-Galar,Bold,252/0/0/252/0/4,3.330%
1992,Moltres-Galar,Modest,252/0/4/252/0/0,1.967%
1993,Moltres-Galar,Bold,252/0/156/0/100/0,1.859%
1994,Moltres-Galar,Modest,188/0/44/76/4/196,1.537%
1995,Moltres-Galar,Modest,252/0/0/252/4/0,1.465%
1996,Moltres-Galar,Hasty,0/4/0/252/0/252,1.041%
1997,Moltres-Galar,Modest,116/0/0/140/0/252,0.979%
1998,Moltres-Galar,Timid,0/0/4/252/0/252,0.711%
1999,Moltres-Galar,Timid,0/4/0/252/0/252,0.596%
2000,Talonflame,Jolly,4/252/0/0/0/252,52.694%
2001,Talonflame,Timid,252/0/0/108/0/148,15.286%
2002,Talonflame,Jolly,0/252/0/0/4/252,11.115%
2003,Talonflame,Jolly,0/252/4/0/0/252,6.047%
2004,Talonflame,Timid,252/0/0/4/0/252,3.694%
2005,Talonflame,Jolly,76/252/0/0/0/180,2.615%
2006,Talonflame,Jolly,252/4/0/0/0/252,1.618%
2007,Talonflame,Timid,172/0/68/84/4/180,1.088%
2008,Talonflame,Jolly,0/252/0/0/4/204,0.772%
2009,Talonflame,Modest,252/0/0/252/0/4,0.608%
2010,Talonflame,Timid,52/0/0/252/12/188,0.517%
2011,Talonflame,Adamant,4/252/0/0/0/252,0.505%
2012,Talonflame,Jolly,0/252/0/4/0/252,0.488%
2013,Talonflame,Jolly,252/76/0/0/0/180,0.428%
2014,Talonflame,Timid,252/0/0/0/4/252,0.310%
2015,Talonflame,Jolly,252/0/0/0/4/252,0.297%
2016,Talonflame,Naive,252/4/0/0/0/252,0.262%
2017,Talonflame,Adamant,0/252/0/0/4/252,0.254%
2018,Talonflame,Jolly,12/252/0/0/0/244,0.230%
2019,Talonflame,Timid,0/0/0/252/4/252,0.226%
2020,Milotic,Bold,252/0/164/0/92/0,32.837%
2021,Milotic,Bold,252/0/172/84/0/0,6.353%
2022,Milotic,Calm,252/0/252/0/4/0,5.950%
2023,Milotic,Modest,164/0/124/220/0/0,5.297%
2024,Milotic,Modest,92/0/100/148/0/164,4.989%
2025,Milotic,Bold,252/0/252/4/0/0,4.436%
2026,Milotic,Quiet,244/0/172/84/4/0,3.422%
2027,Milotic,Modest,252/0/0/252/4/0,3.036%
2028,Milotic,Calm,252/0/76/24/156/0,2.852%
2029,Milotic,Calm,252/0/116/36/76/28,2.681%
2030,Milotic,Timid,100/0/0/152/128/128,2.466%
2031,Milotic,Modest,156/0/188/156/4/4,2.207%
2032,Milotic,Timid,172/0/20/108/4/204,2.204%
2033,Milotic,Calm,252/0/180/0/40/36,1.932%
2034,Milotic,Bold,252/0/84/76/20/76,1.814%
2035,Milotic,Calm,252/0/4/0/252/0,1.769%
2036,Milotic,Relaxed,252/4/252/0/0/0,1.573%
2037,Milotic,Bold,252/0/252/0/4/0,1.500%
2038,Milotic,Timid,76/0/204/0/0/228,0.826%
2039,Milotic,Bold,156/0/100/252/0/0,0.822%
2040,Mewtwo,Timid,28/0/68/228/12/172,16.455%
2041,Mewtwo,Quiet,252/4/0/252/0/0,11.425%
2042,Mewtwo,Timid,0/0/92/164/0/252,11.123%
2043,Mewtwo,Modest,76/0/156/124/4/148,8.839%
2044,Mewtwo,Timid,4/0/100/244/4/156,8.628%
2045,Mewtwo,Timid,60/0/12/252/12/172,7.044%
2046,Mewtwo,Timid,108/0/12/252/28/108,6.524%
2047,Mewtwo,Timid,0/0/0/252/4/252,5.887%
2048,Mewtwo,Timid,108/0/4/252/4/140,5.668%
2049,Mewtwo,Hardy,4/0/0/252/0/252,2.740%
2050,Mewtwo,Hasty,0/4/0/252/0/252,2.144%
2051,Mewtwo,Timid,4/0/0/252/0/252,1.997%
2052,Mewtwo,Bold,252/0/20/108/44/84,1.831%
2053,Mewtwo,Quiet,252/0/0/252/4/0,1.409%
2054,Mewtwo,Modest,150/0/0/158/0/200,1.236%
2055,Mewtwo,Timid,4/0/100/236/4/164,0.818%
2056,Mewtwo,Modest,204/0/4/124/36/140,0.703%
2057,Mewtwo,Timid,76/0/36/132/12/252,0.669%
2058,Mewtwo,Modest,4/0/0/252/0/252,0.651%
2059,Mewtwo,Modest,4/0/0/252/80/172,0.633%
2060,Klinklang,Jolly,4/252/0/0/0/252,67.203%
2061,Klinklang,Jolly,0/252/0/0/4/252,31.944%
2062,Klinklang,Jolly,124/252/0/0/0/132,0.463%
2063,Klinklang,Brave,252/252/0/0/0/0,0.142%
2064,Klinklang,Adamant,252/252/0/0/0/4,0.097%
2065,Klinklang,Relaxed,252/4/252/0/0/0,0.083%
2066,Klinklang,Adamant,252/56/100/0/100/0,0.065%
2067,Klinklang,Adamant,0/252/0/0/0/252,0.002%
2068,Klinklang,Calm,252/0/148/0/108/0,0.001%
2069,Klinklang,Serious,252/0/0/252/0/4,0.000%
2070,Klinklang,Hardy,4/252/0/252/0/0,0.000%
2071,Klinklang,Careful,172/0/188/0/148/0,0.000%
2072,Klinklang,Careful,252/0/4/0/252/0,0.000%
2073,Klinklang,Quiet,252/0/0/252/4/0,0.000%
2074,Klinklang,Jolly,160/252/0/0/0/96,0.000%
2075,Klinklang,Jolly,0/0/252/0/252/4,0.000%
2076,Klinklang,Calm,4/0/0/252/252/0,0.000%
2077,Klinklang,Sassy,252/0/180/76/0/0,0.000%
2078,Klinklang,Impish,4/0/204/0/44/252,0.000%
2079,Klinklang,Jolly,0/248/4/0/4/252,0.000%
2080,Inteleon,Timid,0/0/0/252/4/252,52.893%
2081,Inteleon,Timid,4/0/0/252/0/252,25.081%
2082,Inteleon,Timid,4/0/52/252/4/196,9.975%
2083,Inteleon,Timid,0/0/20/252/0/236,5.868%
2084,Inteleon,Modest,0/0/0/252/4/252,3.967%
2085,Inteleon,Modest,4/0/0/252/0/252,1.467%
2086,Inteleon,Timid,48/0/100/0/104/252,0.311%
2087,Inteleon,Timid,252/0/0/4/0/252,0.203%
2088,Inteleon,Hasty,0/4/0/252/0/252,0.072%
2089,Inteleon,Timid,20/0/0/252/0/236,0.058%
2090,Inteleon,Modest,28/0/0/228/0/252,0.017%
2091,Inteleon,Hasty,4/0/0/252/0/252,0.014%
2092,Inteleon,Timid,6/0/0/252/0/252,0.013%
2093,Inteleon,Timid,4/0/0/252/0/228,0.011%
2094,Inteleon,Hasty,0/0/0/252/0/252,0.009%
2095,Inteleon,Modest,0/0/0/252/0/252,0.007%
2096,Inteleon,Modest,28/0/4/252/4/220,0.006%
2097,Inteleon,Timid,116/0/84/132/92/84,0.005%
2098,Inteleon,Timid,0/0/0/252/0/252,0.005%
2099,Inteleon,Timid,0/4/0/252/0/252,0.003%
2100,Salamence,Modest,68/0/84/124/4/228,56.727%
2101,Salamence,Jolly,0/252/0/0/4/252,13.283%
2102,Salamence,Timid,0/0/0/252/4/252,6.286%
2103,Salamence,Timid,4/0/0/252/0/252,5.634%
2104,Salamence,Jolly,36/20/92/0/108/252,5.035%
2105,Salamence,Adamant,0/252/0/0/4/252,3.714%
2106,Salamence,Modest,68/0/76/132/4/228,3.338%
2107,Salamence,Modest,0/0/92/252/164/0,2.457%
2108,Salamence,Jolly,4/252/0/0/0/252,1.137%
2109,Salamence,Adamant,20/252/0/0/0/236,0.783%
2110,Salamence,Hasty,0/4/0/252/0/252,0.630%
2111,Salamence,Adamant,4/252/0/0/0/252,0.305%
2112,Salamence,Timid,0/36/0/252/0/220,0.226%
2113,Salamence,Jolly,0/252/4/0/0/252,0.162%
2114,Salamence,Jolly,76/252/0/0/0/180,0.055%
2115,Salamence,Jolly,44/196/4/0/12/252,0.044%
2116,Salamence,Hardy,0/252/0/0/0/252,0.041%
2117,Salamence,Adamant,28/252/0/0/0/228,0.038%
2118,Salamence,Jolly,0/252/0/0/0/252,0.020%
2119,Salamence,Jolly,0/164/20/0/68/252,0.016%
2120,Hatterene,Quiet,252/0/0/252/4/0,75.151%
2121,Hatterene,Quiet,252/0/4/252/0/0,17.074%
2122,Hatterene,Sassy,252/0/140/0/116/0,1.467%
2123,Hatterene,Modest,252/0/0/252/4/0,1.226%
2124,Hatterene,Quiet,252/4/0/252/0/0,0.759%
2125,Hatterene,Sassy,252/0/0/4/252/0,0.573%
2126,Hatterene,Relaxed,252/0/252/0/4/0,0.557%
2127,Hatterene,Quiet,252/0/0/252/0/0,0.459%
2128,Hatterene,Modest,252/0/0/252/0/0,0.418%
2129,Hatterene,Bold,140/0/116/252/0/0,0.388%
2130,Hatterene,Quiet,212/0/44/252/0/0,0.343%
2131,Hatterene,Quiet,0/0/148/228/132/0,0.320%
2132,Hatterene,Modest,252/0/4/252/0/0,0.245%
2133,Hatterene,Hardy,252/0/4/252/0/0,0.234%
2134,Hatterene,Quiet,244/0/236/28/0/0,0.221%
2135,Hatterene,Calm,252/0/0/4/252/0,0.099%
2136,Hatterene,Quiet,252/0/180/76/0/0,0.073%
2137,Hatterene,Quiet,228/0/148/0/132/0,0.062%
2138,Hatterene,Calm,252/0/4/0/252/0,0.060%
2139,Hatterene,Quiet,4/0/252/252/0/0,0.049%
2140,Sneasel,Jolly,4/252/0/0/0/252,80.939%
2141,Sneasel,Naive,0/252/0/0/0/252,5.345%
2142,Sneasel,Jolly,4/244/4/0/4/252,4.928%
2143,Sneasel,Naive,0/252/0/4/0/252,4.576%
2144,Sneasel,Timid,4/252/0/0/0/252,2.505%
2145,Sneasel,Jolly,0/0/252/0/4/252,0.682%
2146,Sneasel,Jolly,252/0/0/0/4/252,0.574%
2147,Sneasel,Jolly,252/0/4/0/0/252,0.146%
2148,Sneasel,Adamant,4/0/0/252/0/252,0.109%
2149,Sneasel,Hasty,80/80/0/4/92/252,0.055%
2150,Sneasel,Timid,252/0/0/0/4/252,0.051%
2151,Sneasel,Hasty,0/252/0/4/0/252,0.050%
2152,Sneasel,Hasty,4/252/0/0/0/252,0.016%
2153,Sneasel,Hasty,100/68/84/4/0/252,0.015%
2154,Sneasel,Timid,252/0/4/0/0/252,0.003%
2155,Sneasel,Jolly,52/188/4/0/36/228,0.002%
2156,Sneasel,Hasty,0/0/108/4/140/252,0.001%
2157,Sneasel,Adamant,4/252/0/0/0/252,0.000%
2158,Sneasel,Timid,252/0/0/4/0/252,0.000%
2159,Sneasel,Jolly,252/4/0/0/0/252,0.000%
2160,Escavalier,Brave,252/252/0/0/4/0,47.308%
2161,Escavalier,Brave,252/252/4/0/0/0,44.160%
2162,Escavalier,Adamant,252/252/0/0/4/0,2.772%
2163,Escavalier,Brave,252/196/0/0/60/0,1.697%
2164,Escavalier,Brave,252/196/60/0/0/0,1.528%
2165,Escavalier,Adamant,4/252/252/0/0/0,0.687%
2166,Escavalier,Careful,252/4/0/0/252/0,0.501%
2167,Escavalier,Brave,252/220/0/0/36/0,0.450%
2168,Escavalier,Adamant,252/252/4/0/0/0,0.320%
2169,Escavalier,Brave,236/196/0/0/76/0,0.138%
2170,Escavalier,Brave,252/252/0/0/0/0,0.132%
2171,Escavalier,Adamant,252/252/0/0/0/4,0.082%
2172,Escavalier,Brave,252/84/44/0/128/0,0.075%
2173,Escavalier,Brave,244/252/4/0/4/0,0.069%
2174,Escavalier,Brave,244/196/68/0/0/0,0.045%
2175,Escavalier,Adamant,252/196/0/0/60/0,0.011%
2176,Escavalier,Brave,204/252/52/0/0/0,0.007%
2177,Escavalier,Adamant,92/252/0/0/0/164,0.005%
2178,Escavalier,Brave,0/252/124/0/128/0,0.005%
2179,Escavalier,Brave,96/252/76/0/80/0,0.004%
2180,Rotom-Wash,Modest,252/0/76/36/4/140,21.497%
2181,Rotom-Wash,Bold,252/0/100/0/156/0,15.457%
2182,Rotom-Wash,Timid,0/0/0/252/4/252,10.043%
2183,Rotom-Wash,Bold,244/0/44/20/156/44,9.772%
2184,Rotom-Wash,Timid,4/0/0/252/0/252,6.912%
2185,Rotom-Wash,Modest,228/0/100/36/76/68,5.591%
2186,Rotom-Wash,Modest,252/0/0/252/4/0,4.530%
2187,Rotom-Wash,Bold,252/0/164/0/92/0,3.698%
2188,Rotom-Wash,Modest,204/0/0/252/0/52,2.872%
2189,Rotom-Wash,Bold,252/0/20/4/116/116,2.538%
2190,Rotom-Wash,Modest,244/0/84/36/20/124,2.003%
2191,Rotom-Wash,Calm,252/0/0/0/168/88,1.460%
2192,Rotom-Wash,Modest,252/0/0/252/0/4,1.303%
2193,Rotom-Wash,Modest,252/0/100/36/76/44,1.244%
2194,Rotom-Wash,Calm,252/0/0/0/252/0,1.215%
2195,Rotom-Wash,Timid,116/0/0/148/0/244,0.909%
2196,Rotom-Wash,Modest,252/0/0/196/0/60,0.767%
