,Name,IntroductedIn,Type,Power,Acc,PP,DamageClass,Effect,ProbPercentage
310,Hold Back,6,Normal,40.0,100,40.0,Physical,Always leaves opponent with at least 1 HP.,
311,Hold Hands,6,Normal,,,40.0,Status,Makes the user and an ally very happy.,
312,Hone Claws,5,Dark,,,15.0,Status,Raises user's Attack and Accuracy.,
313,Horn Attack,1,Normal,65.0,100,25.0,Physical,,
314,Horn Drill,1,Normal,,30,5.0,Physical,"One-Hit-KO, if it hits.",
315,Horn Leech,5,Grass,75.0,100,10.0,Physical,User recovers half the HP inflicted on opponent.,
316,Howl,3,Normal,,,40.0,Status,Raises Attack of allies.,
317,Hurricane,5,Flying,110.0,70,10.0,Special,May confuse opponent.,30.0
318,Hydro Cannon,3,Water,150.0,90,5.0,Special,User must recharge next turn.,
319,Hydro Pump,1,Water,110.0,80,5.0,Special,,
320,Hyper Beam,1,Normal,150.0,90,5.0,Special,User must recharge next turn.,
321,Hyper Fang,1,Normal,80.0,90,15.0,Physical,May cause flinching.,10.0
322,Hyper Voice,3,Normal,90.0,100,10.0,Special,,
323,Hyperspace Fury,6,Dark,100.0,∞,5.0,Physical,Lowers user's Defense. Can strike through Protect/Detect.,100.0
324,Hyperspace Hole,6,Psychic,80.0,∞,5.0,Special,Can strike through Protect/Detect.,
325,Hypnosis,1,Psychic,,60,20.0,Status,Puts opponent to sleep.,
326,Ice Ball,3,Ice,30.0,90,20.0,Physical,Doubles in power each turn for 5 turns.,
327,Ice Beam,1,Ice,90.0,100,10.0,Special,May freeze opponent.,10.0
328,Ice Burn,5,Ice,140.0,90,5.0,Special,"Charges on first turn, attacks on second. May burn opponent.",30.0
329,Ice Fang,4,Ice,65.0,95,15.0,Physical,May cause flinching and/or freeze opponent.,10.0
330,Ice Hammer,7,Ice,100.0,90,10.0,Physical,"The user swings and hits with its strong, heavy fist. It lowers the user's Speed, however.",100.0
331,Ice Punch,1,Ice,75.0,100,15.0,Physical,May freeze opponent.,10.0
332,Ice Shard,4,Ice,40.0,100,30.0,Physical,User attacks first.,
333,Icicle Crash,5,Ice,85.0,90,10.0,Physical,May cause flinching.,30.0
334,Icicle Spear,3,Ice,25.0,100,30.0,Physical,Hits 2-5 times in one turn.,
335,Icy Wind,2,Ice,55.0,95,15.0,Special,Lowers opponent's Speed.,100.0
336,Imprison,3,Psychic,,,10.0,Status,Opponent is unable to use moves that the user also knows.,
337,Incinerate,5,Fire,60.0,100,15.0,Special,Destroys the target's held berry.,
338,Inferno,5,Fire,100.0,50,5.0,Special,Burns opponent.,100.0
339,Infestation,6,Bug,20.0,100,20.0,Special,"Traps opponent, damaging them for 4-5 turns.",100.0
340,Ingrain,3,Grass,,,20.0,Status,User restores HP each turn. User cannot escape/switch.,
341,Instruct,7,Psychic,,,15.0,Status,Allows an ally to use a move instead.,
342,Ion Deluge,6,Electric,,,25.0,Status,Changes Normal-type moves to Electric-type.,
343,Iron Defense,3,Steel,,,15.0,Status,Sharply raises user's Defense.,
344,Iron Head,4,Steel,80.0,100,15.0,Physical,May cause flinching.,30.0
345,Iron Tail,2,Steel,100.0,75,15.0,Physical,May lower opponent's Defense.,30.0
346,Jaw Lock,8,Dark,80.0,100,10.0,Physical,Prevents user and opponent from switching out.,
347,Judgment,4,Normal,100.0,100,10.0,Special,Type depends on the Arceus Plate being held.,
348,Jump Kick,1,Fighting,100.0,95,10.0,Physical,"If it misses, the user loses half their HP.",
349,Jungle Healing,8,Grass,,,10.0,Status,Restores team's HP and cures status conditions.,
350,Karate Chop,1,Fighting,50.0,100,25.0,Physical,High critical hit ratio.,
351,Kinesis,1,Psychic,,80,15.0,Status,Lowers opponent's Accuracy.,
352,King'S Shield,6,Steel,,,10.0,Status,Protects the user and lowers opponent's Attack on contact.,
353,Knock Off,3,Dark,65.0,100,20.0,Physical,Removes opponent's held item for the rest of the battle.,
354,Land'S Wrath,6,Ground,90.0,100,10.0,Physical,,
355,Laser Focus,7,Normal,,,30.0,Status,User's next attack is guaranteed to result in a critical hit.,
356,Lash Out,8,Dark,75.0,100,5.0,Physical,Double power if stats were lowered during the turn.,
357,Last Resort,4,Normal,140.0,100,5.0,Physical,Can only be used after all other moves are used.,
358,Lava Plume,4,Fire,80.0,100,15.0,Special,May burn opponent.,30.0
359,Leaf Blade,3,Grass,90.0,100,15.0,Physical,High critical hit ratio.,
360,Leaf Storm,4,Grass,130.0,90,5.0,Special,Sharply lowers user's Special Attack.,100.0
361,Leaf Tornado,5,Grass,65.0,90,10.0,Special,May lower opponent's Accuracy.,50.0
362,Leafage,7,Grass,40.0,100,40.0,Physical,Strikes opponent with leaves.,
363,Leech Life,1,Bug,80.0,100,10.0,Physical,User recovers half the HP inflicted on opponent.,
364,Leech Seed,1,Grass,,90,10.0,Status,Drains HP from opponent each turn.,
365,Leer,1,Normal,,100,30.0,Status,Lowers opponent's Defense.,100.0
366,Lick,1,Ghost,30.0,100,30.0,Physical,May paralyze opponent.,30.0
367,Life Dew,8,Water,,,10.0,Status,User and teammates recover HP.,
368,Light Of Ruin,6,Fairy,140.0,90,5.0,Special,User receives recoil damage.,
369,Light Screen,1,Psychic,,,30.0,Status,Halves damage from Special attacks for 5 turns.,
370,Light That Burns The Sky,7,Psychic,200.0,,1.0,Special,Ultra Necrozma-exclusive Z-Move. Ignores target's ability; uses highest Attack stat.,
371,Liquidation,7,Water,85.0,100,10.0,Physical,May lower opponent's Defense.,20.0
372,Lock On,2,Normal,,,5.0,Status,User's next attack is guaranteed to hit.,
373,Lovely Kiss,1,Normal,,75,10.0,Status,Puts opponent to sleep.,
374,Low Kick,1,Fighting,,100,20.0,Physical,"The heavier the opponent, the stronger the attack.",
375,Low Sweep,5,Fighting,65.0,100,20.0,Physical,Lowers opponent's Speed.,100.0
376,Lucky Chant,4,Normal,,,30.0,Status,Opponent cannot land critical hits for 5 turns.,
377,Lunar Dance,4,Psychic,,,10.0,Status,The user faints but the next Pokémon released is fully healed.,
378,Lunge,7,Bug,80.0,100,15.0,Physical,"The user makes a lunge at the target, attacking with full force. This also lowers the target's Attack stat.",100.0
379,Luster Purge,3,Psychic,70.0,100,5.0,Special,May lower opponent's Special Defense.,50.0
380,Mach Punch,2,Fighting,40.0,100,30.0,Physical,User attacks first.,
381,Magic Coat,3,Psychic,,,15.0,Status,Reflects moves that cause status conditions back to the attacker.,
382,Magic Powder,8,Psychic,,100,20.0,Status,Changes target's type to Psychic.,
383,Magic Room,5,Psychic,,,10.0,Status,Suppresses the effects of held items for five turns.,
384,Magical Leaf,3,Grass,60.0,∞,20.0,Special,Ignores Accuracy and Evasiveness.,
385,Magma Storm,4,Fire,100.0,75,5.0,Special,"Traps opponent, damaging them for 4-5 turns.",100.0
386,Magnet Bomb,4,Steel,60.0,∞,20.0,Physical,Ignores Accuracy and Evasiveness.,
387,Magnet Rise,4,Electric,,,10.0,Status,User becomes immune to Ground-type moves for 5 turns.,
388,Magnetic Flux,6,Electric,,,20.0,Status,Raises Defense and Sp. Defense of Plus/Minus Pokémon.,
389,Magnitude,2,Ground,,100,30.0,Physical,Hits with random power.,
390,Malicious Moonsault,7,Dark,180.0,,1.0,Physical,Incineroar-exclusive Z-Move.,
391,Mat Block,6,Fighting,,,10.0,Status,Protects teammates from damaging moves.,
392,Max Airstream,8,Flying,,,,Physical,Flying type Dynamax move. Raises the team's Speed.,100.0
393,Max Darkness,8,Dark,,,,Physical,Dark type Dynamax move. Lowers the target's Special Defense.,100.0
394,Max Flare,8,Fire,,,,Physical,Fire type Dynamax move. Summons harsh sunlight.,
395,Max Flutterby,8,Bug,,,,Physical,Bug type Dynamax move. Lowers the target's Special Attack.,100.0
396,Max Geyser,8,Water,,,,Physical,Water type Dynamax move. Summons heavy rain.,
397,Max Guard,8,Normal,,,,Status,Status category Dynamax move. Protects the user.,
398,Max Hailstorm,8,Ice,,,,Physical,Ice type Dynamax move. Summons hail.,
399,Max Knuckle,8,Fighting,,,,Physical,Fighting type Dynamax move. Increases the team's Attack.,100.0
400,Max Lightning,8,Electric,,,,Physical,Electric type Dynamax move. Summons Electric Terrain.,
401,Max Mindstorm,8,Psychic,,,,Physical,Psychic type Dynamax move. Summons Psychic Terrain.,
402,Max Ooze,8,Poison,,,,Physical,Poison type Dynamax move. Increases the team's Special Attack.,100.0
403,Max Overgrowth,8,Grass,,,,Physical,Grass type Dynamax move. Summons Grassy Terrain.,
404,Max Phantasm,8,Ghost,,,,Physical,Ghost type Dynamax move. Lowers the target's Defense.,100.0
405,Max Quake,8,Ground,,,,Physical,Ground type Dynamax move. Increases the team's Special Defense.,100.0
406,Max Rockfall,8,Rock,,,,Physical,Rock type Dynamax move. Summons a sandstorm.,
407,Max Starfall,8,Fairy,,,,Physical,Fairy type Dynamax move. Summons Misty Terrain.,
408,Max Steelspike,8,Steel,,,,Physical,Steel type Dynamax move. Raises the team's Defense.,100.0
409,Max Strike,8,Normal,,,,Physical,Normal type Dynamax move. Lowers the target's Speed.,100.0
410,Max Wyrmwind,8,Dragon,,,,Physical,Dragon type Dynamax move. Lowers the target's Attack.,100.0
411,Me First,4,Normal,,,20.0,Status,User copies the opponent's attack with 1.5× power.,
412,Mean Look,2,Normal,,,5.0,Status,Opponent cannot flee or switch.,
413,Meditate,1,Psychic,,,40.0,Status,Raises user's Attack.,
414,Mega Drain,1,Grass,40.0,100,15.0,Special,User recovers half the HP inflicted on opponent.,
415,Mega Kick,1,Normal,120.0,75,5.0,Physical,,
416,Mega Punch,1,Normal,80.0,85,20.0,Physical,,
417,Megahorn,2,Bug,120.0,85,10.0,Physical,,
418,Memento,3,Dark,,100,10.0,Status,"User faints, sharply lowers opponent's Attack and Special Attack.",
419,Menacing Moonraze Maelstrom,7,Ghost,200.0,,1.0,Special,Lunala-exclusive Z-Move.,
420,Metal Burst,4,Steel,,100,10.0,Physical,Deals damage equal to 1.5x opponent's attack.,
421,Metal Claw,2,Steel,50.0,95,35.0,Physical,May raise user's Attack.,10.0
422,Metal Sound,3,Steel,,85,40.0,Status,Sharply lowers opponent's Special Defense.,
423,Meteor Assault,8,Fighting,150.0,100,5.0,Physical,User must recharge next turn.,
424,Meteor Beam,8,Rock,120.0,90,10.0,Special,"User gathers space power and boosts its Sp. Atk stat, then attacks the target on the next turn.",
425,Meteor Mash,3,Steel,90.0,90,10.0,Physical,May raise user's Attack.,20.0
426,Metronome,1,Normal,,,10.0,Status,User performs almost any move in the game at random.,
427,Milk Drink,2,Normal,,,10.0,Status,User recovers half its max HP.,
428,Mimic,1,Normal,,,10.0,Status,Copies the opponent's last move.,
429,Mind Blown,7,Fire,150.0,100,5.0,Special,User receives recoil damage.,
430,Mind Reader,2,Normal,,,5.0,Status,User's next attack is guaranteed to hit.,
431,Minimize,1,Normal,,,10.0,Status,Sharply raises user's Evasiveness.,
432,Miracle Eye,4,Psychic,,,40.0,Status,"Resets opponent's Evasiveness, removes Dark's Psychic immunity.",
433,Mirror Coat,2,Psychic,,100,20.0,Special,"When hit by a Special Attack, user strikes back with 2x power.",
434,Mirror Move,1,Flying,,,20.0,Status,User performs the opponent's last move.,
435,Mirror Shot,4,Steel,65.0,85,10.0,Special,May lower opponent's Accuracy.,30.0
436,Mist,1,Ice,,,30.0,Status,User's stats cannot be changed for a period of time.,
437,Mist Ball,3,Psychic,70.0,100,5.0,Special,May lower opponent's Special Attack.,50.0
438,Misty Explosion,8,Fairy,100.0,100,5.0,Special,Power increases on Misty Terrain.,
439,Misty Terrain,6,Fairy,,,10.0,Status,Protects the field from status conditions for 5 turns.,
440,Moonblast,6,Fairy,95.0,100,15.0,Special,May lower opponent's Special Attack.,30.0
441,Moongeist Beam,7,Ghost,100.0,100,5.0,Special,Ignores the target's ability.,
442,Moonlight,2,Fairy,,,5.0,Status,User recovers HP. Amount varies with the weather.,
443,Morning Sun,2,Normal,,,5.0,Status,User recovers HP. Amount varies with the weather.,
444,Mud Bomb,4,Ground,65.0,85,10.0,Special,May lower opponent's Accuracy.,30.0
445,Mud Shot,3,Ground,55.0,95,15.0,Special,Lowers opponent's Speed.,100.0
446,Mud Slap,2,Ground,20.0,100,10.0,Special,Lowers opponent's Accuracy.,100.0
447,Mud Sport,3,Ground,,,15.0,Status,Weakens the power of Electric-type moves.,
448,Muddy Water,3,Water,90.0,85,10.0,Special,May lower opponent's Accuracy.,30.0
449,Multi Attack,7,Normal,120.0,100,10.0,Physical,Type matches Memory item held.,
450,Mystical Fire,6,Fire,75.0,100,10.0,Special,Lowers opponent's Special Attack.,100.0
451,Nasty Plot,4,Dark,,,20.0,Status,Sharply raises user's Special Attack.,
452,Natural Gift,4,Normal,,100,15.0,Physical,Power and type depend on the user's held berry.,
453,Nature Power,3,Normal,,,20.0,Status,Uses a certain move based on the current terrain.,
454,Nature'S Madness,7,Fairy,,90,10.0,Special,Halves the foe's HP.,
455,Needle Arm,3,Grass,60.0,100,15.0,Physical,May cause flinching.,30.0
456,Night Daze,5,Dark,85.0,95,10.0,Special,May lower opponent's Accuracy.,40.0
457,Night Shade,1,Ghost,,100,15.0,Special,Inflicts damage equal to user's level.,
458,Night Slash,4,Dark,70.0,100,15.0,Physical,High critical hit ratio.,
459,Nightmare,2,Ghost,,100,15.0,Status,The sleeping opponent loses 25% of its max HP each turn.,
460,No Retreat,8,Fighting,,,5.0,Status,Raises all stats but user cannot switch out.,100.0
461,Noble Roar,6,Normal,,100,30.0,Status,Lowers opponent's Attack and Special Attack.,100.0
462,Nuzzle,6,Electric,20.0,100,20.0,Physical,Paralyzes opponent.,100.0
463,Oblivion Wing,6,Flying,80.0,100,10.0,Special,User recovers most of the HP inflicted on opponent.,
464,Obstruct,8,Dark,,100,10.0,Status,Protects the user and sharply lowers Defence on contact.,
465,Oceanic Operetta,7,Water,195.0,,1.0,Special,Primarina-exclusive Z-Move.,
466,Octazooka,2,Water,65.0,85,10.0,Special,May lower opponent's Accuracy.,50.0
467,Octolock,8,Fighting,,100,15.0,Status,"Lowers opponent's Defense and Special Defense every turn, and they cannot flee or switch out.",
468,Odor Sleuth,3,Normal,,,40.0,Status,"Resets opponent's Evasiveness, Normal-type and Fighting-type attacks can now hit Ghosts, and Ghost-type attacks hit Normal.",
469,Ominous Wind,4,Ghost,60.0,100,5.0,Special,May raise all user's stats at once.,10.0
470,Origin Pulse,6,Water,110.0,85,10.0,Special,Hits all adjacent opponents.,
471,Outrage,2,Dragon,120.0,100,10.0,Physical,User attacks for 2-3 turns but then becomes confused.,
472,Overdrive,8,Electric,80.0,100,10.0,Special,,
473,Overheat,3,Fire,130.0,90,5.0,Special,Sharply lowers user's Special Attack.,100.0
474,Pain Split,2,Normal,,,20.0,Status,The user's and opponent's HP becomes the average of both.,
475,Parabolic Charge,6,Electric,65.0,100,20.0,Special,User recovers half the HP inflicted on opponent.,
476,Parting Shot,6,Dark,,100,20.0,Status,Lowers opponent's Attack and Special Attack then switches out.,100.0
477,Pay Day,1,Normal,40.0,100,20.0,Physical,A small amount of money is gained after the battle resolves.,
478,Payback,4,Dark,50.0,100,10.0,Physical,Power doubles if the user was attacked first.,
479,Peck,1,Flying,35.0,100,35.0,Physical,,
480,Perish Song,2,Normal,,,5.0,Status,Any Pokémon in play when this attack is used faints in 3 turns.,
481,Petal Blizzard,6,Grass,90.0,100,15.0,Physical,Hits all adjacent Pokémon.,
482,Petal Dance,1,Grass,120.0,100,10.0,Special,User attacks for 2-3 turns but then becomes confused.,
483,Phantom Force,6,Ghost,90.0,100,10.0,Physical,"Disappears on first turn, attacks on second. Can strike through Protect/Detect.",
484,Photon Geyser,7,Psychic,100.0,100,5.0,Special,"Uses Attack or Special Attack stat, whichever is higher.",
485,Pika Papow,7,Electric,,∞,20.0,Special,Power increases when player's bond is stronger.,
486,Pin Missile,1,Bug,25.0,95,20.0,Physical,Hits 2-5 times in one turn.,
487,Plasma Fists,7,Electric,100.0,100,15.0,Physical,Changes Normal-type moves to Electric-type moves.,
488,Play Nice,6,Normal,,,20.0,Status,Lowers opponent's Attack. Always hits.,100.0
489,Play Rough,6,Fairy,90.0,90,10.0,Physical,May lower opponent's Attack.,10.0
490,Pluck,4,Flying,60.0,100,20.0,Physical,"If the opponent is holding a berry, its effect is stolen by user.",
491,Poison Fang,3,Poison,50.0,100,15.0,Physical,May badly poison opponent.,50.0
492,Poison Gas,1,Poison,,90,40.0,Status,Poisons opponent.,
493,Poison Jab,4,Poison,80.0,100,20.0,Physical,May poison the opponent.,30.0
494,Poison Powder,1,Poison,,75,35.0,Status,Poisons opponent.,
495,Poison Sting,1,Poison,15.0,100,35.0,Physical,May poison the opponent.,30.0
496,Poison Tail,3,Poison,50.0,100,25.0,Physical,High critical hit ratio. May poison opponent.,10.0
497,Pollen Puff,7,Bug,90.0,100,15.0,Special,Deals damage to opponent or restores HP of teammate.,
498,Poltergeist,8,Ghost,110.0,90,5.0,Physical,Fails if the target doesn’t have an item.,
499,Pound,1,Normal,40.0,100,35.0,Physical,,
500,Powder,6,Bug,,100,20.0,Status,Damages Pokémon using Fire type moves.,
501,Powder Snow,2,Ice,40.0,100,25.0,Special,May freeze opponent.,10.0
502,Power Gem,4,Rock,80.0,100,20.0,Special,,
503,Power Split,5,Psychic,,,10.0,Status,Averages Attack and Special Attack with the target.,
504,Power Swap,4,Psychic,,,10.0,Status,User and opponent swap Attack and Special Attack.,
505,Power Trick,4,Psychic,,,10.0,Status,User's own Attack and Defense switch.,
506,Power Trip,7,Dark,20.0,100,10.0,Physical,"The user boasts its strength and attacks the target. The more the user's stats are raised, the greater the move's power.",
507,Power Up Punch,6,Fighting,40.0,100,20.0,Physical,Raises Attack.,100.0
508,Power Whip,4,Grass,120.0,85,10.0,Physical,,
509,Precipice Blades,6,Ground,120.0,85,10.0,Physical,Hits all adjacent opponents.,
510,Present,2,Normal,,90,15.0,Physical,Either deals damage or heals.,
511,Prismatic Laser,7,Psychic,160.0,100,10.0,Special,The user shoots powerful lasers using the power of a prism. The user can't move on the next turn.,
512,Protect,2,Normal,,,10.0,Status,"Protects the user, but may fail if used consecutively.",
513,Psybeam,1,Psychic,65.0,100,20.0,Special,May confuse opponent.,10.0
514,Psych Up,2,Normal,,,10.0,Status,Copies the opponent's stat changes.,
515,Psychic,1,Psychic,90.0,100,10.0,Special,May lower opponent's Special Defense.,10.0
516,Psychic Fangs,7,Psychic,85.0,100,10.0,Physical,The user bites the target with its psychic capabilities. This can also destroy Light Screen and Reflect.,
517,Psychic Terrain,7,Psychic,,,10.0,Status,Prevents priority moves from being used for 5 turns.,
518,Psycho Boost,3,Psychic,140.0,90,5.0,Special,Sharply lowers user's Special Attack.,100.0
519,Psycho Cut,4,Psychic,70.0,100,20.0,Physical,High critical hit ratio.,
520,Psycho Shift,4,Psychic,,100,10.0,Status,Transfers user's status condition to the opponent.,
521,Psyshock,5,Psychic,80.0,100,10.0,Special,"Inflicts damage based on the target's Defense, not Special Defense.",
522,Psystrike,5,Psychic,100.0,100,10.0,Special,"Inflicts damage based on the target's Defense, not Special Defense.",
523,Psywave,1,Psychic,,100,15.0,Special,Inflicts damage 50-150% of user's level.,
524,Pulverizing Pancake,7,Normal,210.0,,1.0,Physical,Snorlax-exclusive Normal type Z-Move.,
525,Punishment,4,Dark,,100,5.0,Physical,Power increases when opponent's stats have been raised.,
526,Purify,7,Poison,,,20.0,Status,"The user heals the target's status condition. If the move succeeds, it also restores the user's own HP.",
527,Pursuit,2,Dark,40.0,100,20.0,Physical,Double power if the opponent is switching out.,
528,Pyro Ball,8,Fire,120.0,90,5.0,Physical,May burn opponent.,10.0
529,Quash,5,Dark,,100,15.0,Status,Makes the target act last this turn.,
530,Quick Attack,1,Normal,40.0,100,30.0,Physical,User attacks first.,
531,Quick Guard,5,Fighting,,,15.0,Status,Protects the user's team from high-priority moves.,
532,Quiver Dance,5,Bug,,,20.0,Status,"Raises user's Special Attack, Special Defense and Speed.",
533,Rage,1,Normal,20.0,100,20.0,Physical,Raises user's Attack when hit.,
534,Rage Powder,5,Bug,,,20.0,Status,"Forces attacks to hit user, not team-mates.",
535,Rain Dance,2,Water,,,5.0,Status,Makes it rain for 5 turns.,
536,Rapid Spin,2,Normal,50.0,100,40.0,Physical,Raises user's Speed and removes entry hazards and trap move effects.,100.0
537,Razor Leaf,1,Grass,55.0,95,25.0,Physical,High critical hit ratio.,
538,Razor Shell,5,Water,75.0,95,10.0,Physical,May lower opponent's Defense.,50.0
539,Razor Wind,1,Normal,80.0,100,10.0,Special,"Charges on first turn, attacks on second. High critical hit ratio.",
540,Recover,1,Normal,,,10.0,Status,User recovers half its max HP.,
541,Recycle,3,Normal,,,10.0,Status,User's used hold item is restored.,
542,Reflect,1,Psychic,,,20.0,Status,Halves damage from Physical attacks for 5 turns.,
543,Reflect Type,5,Normal,,,15.0,Status,User becomes the target's type.,
544,Refresh,3,Normal,,,20.0,Status,"Cures paralysis, poison, and burns.",
545,Relic Song,5,Normal,75.0,100,10.0,Special,May put the target to sleep.,10.0
546,Rest,1,Psychic,,,10.0,Status,"User sleeps for 2 turns, but user is fully healed.",
547,Retaliate,5,Normal,70.0,100,5.0,Physical,Inflicts double damage if a teammate fainted on the last turn.,
548,Return,2,Normal,,100,20.0,Physical,Power increases with higher Friendship.,
549,Revelation Dance,7,Normal,90.0,100,15.0,Special,Type changes based on Oricorio's form.,
550,Revenge,3,Fighting,60.0,100,10.0,Physical,Power increases if user was hit first.,
551,Reversal,2,Fighting,,100,15.0,Physical,"The lower the user's HP, the higher the power.",
552,Rising Voltage,8,Electric,70.0,100,20.0,Special,Power doubles on Electric Terrain.,
553,Roar,1,Normal,,,20.0,Status,"In battles, the opponent switches. In the wild, the Pokémon runs.",
554,Roar Of Time,4,Dragon,150.0,90,5.0,Special,User must recharge next turn.,
555,Rock Blast,3,Rock,25.0,90,10.0,Physical,Hits 2-5 times in one turn.,
556,Rock Climb,4,Normal,90.0,85,20.0,Physical,May confuse opponent.,20.0
557,Rock Polish,4,Rock,,,20.0,Status,Sharply raises user's Speed.,
558,Rock Slide,1,Rock,75.0,90,10.0,Physical,May cause flinching.,30.0
559,Rock Smash,2,Fighting,40.0,100,15.0,Physical,May lower opponent's Defense.,50.0
560,Rock Throw,1,Rock,50.0,90,15.0,Physical,,
561,Rock Tomb,3,Rock,60.0,95,15.0,Physical,Lowers opponent's Speed.,100.0
562,Rock Wrecker,4,Rock,150.0,90,5.0,Physical,User must recharge next turn.,
563,Role Play,3,Psychic,,,10.0,Status,User copies the opponent's Ability.,
564,Rolling Kick,1,Fighting,60.0,85,15.0,Physical,May cause flinching.,30.0
565,Rollout,2,Rock,30.0,90,20.0,Physical,Doubles in power each turn for 5 turns.,
566,Roost,4,Flying,,,10.0,Status,User recovers half of its max HP and loses the Flying type temporarily.,
567,Rototiller,6,Ground,,,10.0,Status,Raises Attack and Special Attack of Grass-types.,100.0
568,Round,5,Normal,60.0,100,15.0,Special,Power increases if teammates use it in the same turn.,
569,Sacred Fire,2,Fire,100.0,95,5.0,Physical,May burn opponent.,50.0
570,Sacred Sword,5,Fighting,90.0,100,15.0,Physical,Ignores opponent's stat changes.,
571,Safeguard,2,Normal,,,25.0,Status,The user's party is protected from status conditions.,
572,Sand Attack,1,Ground,,100,15.0,Status,Lowers opponent's Accuracy.,
573,Sand Tomb,3,Ground,35.0,85,15.0,Physical,"Traps opponent, damaging them for 4-5 turns.",100.0
574,Sandstorm,2,Rock,,,10.0,Status,Creates a sandstorm for 5 turns.,
575,Sappy Seed,7,Grass,90.0,100,15.0,Physical,Drains HP from opponent each turn.,100.0
576,Scald,5,Water,80.0,100,15.0,Special,May burn opponent.,30.0
577,Scale Shot,8,Dragon,25.0,90,20.0,Physical,Hits 2-5 times in one turn. Boosts user's Speed but lowers its Defense.,
578,Scary Face,2,Normal,,100,10.0,Status,Sharply lowers opponent's Speed.,
579,Scorching Sands,8,Ground,70.0,100,10.0,Special,May burn the target.,
580,Scratch,1,Normal,40.0,100,35.0,Physical,,
581,Screech,1,Normal,,85,40.0,Status,Sharply lowers opponent's Defense.,
582,Searing Shot,5,Fire,100.0,100,5.0,Special,May burn opponent.,30.0
583,Searing Sunraze Smash,7,Steel,200.0,,1.0,Physical,Solgaleo-exclusive Z-Move.,
584,Secret Power,3,Normal,70.0,100,20.0,Physical,Effects of the attack vary with the location.,30.0
585,Secret Sword,5,Fighting,85.0,100,10.0,Special,"Inflicts damage based on the target's Defense, not Special Defense.",
586,Seed Bomb,4,Grass,80.0,100,15.0,Physical,,
587,Seed Flare,4,Grass,120.0,85,5.0,Special,May lower opponent's Special Defense.,40.0
588,Seismic Toss,1,Fighting,,100,20.0,Physical,Inflicts damage equal to user's level.,
589,Self Destruct,1,Normal,200.0,100,5.0,Physical,User faints.,
590,Shadow Ball,2,Ghost,80.0,100,15.0,Special,May lower opponent's Special Defense.,20.0
591,Shadow Bone,7,Ghost,85.0,100,10.0,Physical,May lower opponent's Defense.,20.0
592,Shadow Claw,4,Ghost,70.0,100,15.0,Physical,High critical hit ratio.,
593,Shadow Force,4,Ghost,120.0,100,5.0,Physical,"Disappears on first turn, attacks on second. Can strike through Protect/Detect.",
594,Shadow Punch,3,Ghost,60.0,∞,20.0,Physical,Ignores Accuracy and Evasiveness.,
595,Shadow Sneak,4,Ghost,40.0,100,30.0,Physical,User attacks first.,
596,Sharpen,1,Normal,,,30.0,Status,Raises user's Attack.,
597,Sheer Cold,3,Ice,,30,5.0,Special,"One-Hit-KO, if it hits.",
598,Shell Side Arm,8,Poison,90.0,100,10.0,Special,"May poison opponent. Inflicts either Special or Physical damage, whichever is better.",
599,Shell Smash,5,Normal,,,15.0,Status,"Sharply raises user's Attack, Special Attack and Speed but lowers Defense and Special Defense.",
600,Shell Trap,7,Fire,150.0,100,5.0,Special,Deals more damage to opponent if hit by a Physical move.,
601,Shift Gear,5,Steel,,,10.0,Status,Raises user's Attack and sharply raises Speed.,
602,Shock Wave,3,Electric,60.0,∞,20.0,Special,Ignores Accuracy and Evasiveness.,
603,Shore Up,7,Ground,,,10.0,Status,The user regains up to half of its max HP. It restores more HP in a sandstorm.,
604,Signal Beam,3,Bug,75.0,100,15.0,Special,May confuse opponent.,10.0
605,Silver Wind,3,Bug,60.0,100,5.0,Special,May raise all stats of user at once.,10.0
606,Simple Beam,5,Normal,,100,15.0,Status,Changes target's ability to Simple.,
607,Sing,1,Normal,,55,15.0,Status,Puts opponent to sleep.,
608,Sinister Arrow Raid,7,Ghost,180.0,,1.0,Physical,Decidueye-exclusive Z-Move.,
609,Sizzly Slide,7,Fire,90.0,100,15.0,Physical,Burns the opponent.,100.0
610,Sketch,2,Normal,,,1.0,Status,Permanently copies the opponent's last move.,
611,Skill Swap,3,Psychic,,,10.0,Status,The user swaps Abilities with the opponent.,
612,Skitter Smack,8,Bug,70.0,90,10.0,Physical,Lowers opponent's Sp. Attack.,
613,Skull Bash,1,Normal,130.0,100,10.0,Physical,"Raises Defense on first turn, attacks on second.",100.0
614,Sky Attack,1,Flying,140.0,90,5.0,Physical,"Charges on first turn, attacks on second. May cause flinching. High critical hit ratio.",30.0
615,Sky Drop,5,Flying,60.0,100,10.0,Physical,"Takes opponent into the air on first turn, drops them on second turn.",
616,Sky Uppercut,3,Fighting,85.0,90,15.0,Physical,"Hits the opponent, even during Fly.",
617,Slack Off,3,Normal,,,10.0,Status,User recovers half its max HP.,
618,Slam,1,Normal,80.0,75,20.0,Physical,,
619,Slash,1,Normal,70.0,100,20.0,Physical,High critical hit ratio.,
620,Sleep Powder,1,Grass,,75,15.0,Status,Puts opponent to sleep.,
621,Sleep Talk,2,Normal,,,10.0,Status,User performs one of its own moves while sleeping.,
622,Sludge,1,Poison,65.0,100,20.0,Special,May poison opponent.,30.0
623,Sludge Bomb,2,Poison,90.0,100,10.0,Special,May poison opponent.,30.0
