Move,Pokemon
Slam,Grookey
Sleep Talk,Grookey
Snore,Grookey
Solar Beam,Grookey
Solar Blade,Grookey
Strength,Grookey
Substitute,Grookey
Sunny Day,Grookey
Swift,Grookey
Swords Dance,Grookey
Taunt,Grookey
U Turn,Grookey
Uproar,Grookey
Wood Hammer,Grookey
Work Up,Grookey
Worry Seed,Grookey
Acrobatics,Thwackey
Assurance,Thwackey
Attract,Thwackey
Branch Poke,Thwackey
Double Hit,Thwackey
Drain Punch,Thwackey
Endeavor,Thwackey
Endure,Thwackey
Energy Ball,Thwackey
Facade,Thwackey
False Swipe,Thwackey
Fling,Thwackey
Focus Energy,Thwackey
Giga Drain,Thwackey
Grass Knot,Thwackey
Grass Pledge,Thwackey
Grassy Glide,Thwackey
Growl,Thwackey
Knock Off,Thwackey
Low Kick,Thwackey
Magical Leaf,Thwackey
Mega Kick,Thwackey
Mega Punch,Thwackey
Protect,Thwackey
Razor Leaf,Thwackey
Rest,Thwackey
Round,Thwackey
Scratch,Thwackey
Screech,Thwackey
Slam,Thwackey
Sleep Talk,Thwackey
Snore,Thwackey
Solar Beam,Thwackey
Solar Blade,Thwackey
Substitute,Thwackey
Sunny Day,Thwackey
Swift,Thwackey
Swords Dance,Thwackey
Taunt,Thwackey
U Turn,Thwackey
Uproar,Thwackey
Wood Hammer,Thwackey
Work Up,Thwackey
Acrobatics,Rillaboom
Assurance,Rillaboom
Attract,Rillaboom
Body Press,Rillaboom
Body Slam,Rillaboom
Boomburst,Rillaboom
Branch Poke,Rillaboom
Brick Break,Rillaboom
Brutal Swing,Rillaboom
Bulk Up,Rillaboom
Bulldoze,Rillaboom
Bullet Seed,Rillaboom
Darkest Lariat,Rillaboom
Double Hit,Rillaboom
Drain Punch,Rillaboom
Drum Beating,Rillaboom
Earth Power,Rillaboom
Earthquake,Rillaboom
Endeavor,Rillaboom
Endure,Rillaboom
Energy Ball,Rillaboom
Facade,Rillaboom
False Swipe,Rillaboom
Fling,Rillaboom
Focus Blast,Rillaboom
Focus Energy,Rillaboom
Frenzy Plant,Rillaboom
Giga Drain,Rillaboom
Giga Impact,Rillaboom
Grass Knot,Rillaboom
Grass Pledge,Rillaboom
Grassy Glide,Rillaboom
Grassy Terrain,Rillaboom
Growl,Rillaboom
High Horsepower,Rillaboom
Hyper Beam,Rillaboom
Hyper Voice,Rillaboom
Knock Off,Rillaboom
Leaf Storm,Rillaboom
Low Kick,Rillaboom
Magical Leaf,Rillaboom
Mega Kick,Rillaboom
Mega Punch,Rillaboom
Mud Shot,Rillaboom
Noble Roar,Rillaboom
Protect,Rillaboom
Razor Leaf,Rillaboom
Rest,Rillaboom
Round,Rillaboom
Scary Face,Rillaboom
Scratch,Rillaboom
Screech,Rillaboom
Slam,Rillaboom
Sleep Talk,Rillaboom
Snarl,Rillaboom
Snore,Rillaboom
Solar Beam,Rillaboom
Solar Blade,Rillaboom
Stomping Tantrum,Rillaboom
Substitute,Rillaboom
Sunny Day,Rillaboom
Superpower,Rillaboom
Swift,Rillaboom
Swords Dance,Rillaboom
Taunt,Rillaboom
U Turn,Rillaboom
Uproar,Rillaboom
Wood Hammer,Rillaboom
Work Up,Rillaboom
Acrobatics,Scorbunny
Agility,Scorbunny
Ally Switch,Scorbunny
Assurance,Scorbunny
Attract,Scorbunny
Baton Pass,Scorbunny
Blaze Kick,Scorbunny
Bounce,Scorbunny
Counter,Scorbunny
Double Edge,Scorbunny
Double Kick,Scorbunny
Electro Ball,Scorbunny
Ember,Scorbunny
Endure,Scorbunny
Facade,Scorbunny
Fire Blast,Scorbunny
Fire Fang,Scorbunny
Fire Pledge,Scorbunny
Flame Charge,Scorbunny
Flamethrower,Scorbunny
Focus Energy,Scorbunny
Growl,Scorbunny
Gunk Shot,Scorbunny
Headbutt,Scorbunny
Heat Wave,Scorbunny
High Jump Kick,Scorbunny
Low Kick,Scorbunny
Low Sweep,Scorbunny
Mega Kick,Scorbunny
Mud Shot,Scorbunny
Overheat,Scorbunny
Protect,Scorbunny
Quick Attack,Scorbunny
Rest,Scorbunny
Reversal,Scorbunny
Round,Scorbunny
Sand Attack,Scorbunny
Sleep Talk,Scorbunny
Snore,Scorbunny
Substitute,Scorbunny
Sucker Punch,Scorbunny
Sunny Day,Scorbunny
Super Fang,Scorbunny
Swift,Scorbunny
Tackle,Scorbunny
Taunt,Scorbunny
U Turn,Scorbunny
Work Up,Scorbunny
Acrobatics,Raboot
Agility,Raboot
Ally Switch,Raboot
Assurance,Raboot
Attract,Raboot
Baton Pass,Raboot
Blaze Kick,Raboot
Bounce,Raboot
Bulk Up,Raboot
Counter,Raboot
Double Edge,Raboot
Double Kick,Raboot
Electro Ball,Raboot
Ember,Raboot
Endure,Raboot
Facade,Raboot
Fire Blast,Raboot
Fire Fang,Raboot
Fire Pledge,Raboot
Flame Charge,Raboot
Flamethrower,Raboot
Flare Blitz,Raboot
Focus Energy,Raboot
Growl,Raboot
Gunk Shot,Raboot
Headbutt,Raboot
Heat Wave,Raboot
Low Kick,Raboot
Low Sweep,Raboot
Mega Kick,Raboot
Mud Shot,Raboot
Overheat,Raboot
Protect,Raboot
Quick Attack,Raboot
Rest,Raboot
Reversal,Raboot
Round,Raboot
Sleep Talk,Raboot
Snore,Raboot
Substitute,Raboot
Sunny Day,Raboot
Swift,Raboot
Tackle,Raboot
Taunt,Raboot
U Turn,Raboot
Work Up,Raboot
Acrobatics,Cinderace
Agility,Cinderace
Ally Switch,Cinderace
Assurance,Cinderace
Attract,Cinderace
Baton Pass,Cinderace
Blast Burn,Cinderace
Blaze Kick,Cinderace
Bounce,Cinderace
Bulk Up,Cinderace
Coaching,Cinderace
Counter,Cinderace
Court Change,Cinderace
Double Edge,Cinderace
Double Kick,Cinderace
Electro Ball,Cinderace
Ember,Cinderace
Endure,Cinderace
Facade,Cinderace
Feint,Cinderace
Fire Blast,Cinderace
Fire Fang,Cinderace
Fire Pledge,Cinderace
Fire Punch,Cinderace
Fire Spin,Cinderace
Flame Charge,Cinderace
Flamethrower,Cinderace
Flare Blitz,Cinderace
Focus Blast,Cinderace
Focus Energy,Cinderace
Giga Impact,Cinderace
Growl,Cinderace
Gunk Shot,Cinderace
Headbutt,Cinderace
Heat Wave,Cinderace
Helping Hand,Cinderace
Hyper Beam,Cinderace
Iron Head,Cinderace
Low Kick,Cinderace
Low Sweep,Cinderace
Mega Kick,Cinderace
Mud Shot,Cinderace
Overheat,Cinderace
Protect,Cinderace
Pyro Ball,Cinderace
Quick Attack,Cinderace
Rest,Cinderace
Revenge,Cinderace
Reversal,Cinderace
Round,Cinderace
Scorching Sands,Cinderace
Shadow Ball,Cinderace
Sleep Talk,Cinderace
Snarl,Cinderace
Snore,Cinderace
Substitute,Cinderace
Sunny Day,Cinderace
Swift,Cinderace
Tackle,Cinderace
Taunt,Cinderace
U Turn,Cinderace
Work Up,Cinderace
Zen Headbutt,Cinderace
Acrobatics,Inteleon
Agility,Inteleon
Air Slash,Inteleon
Attract,Inteleon
Baton Pass,Inteleon
Bind,Inteleon
Blizzard,Inteleon
Bounce,Inteleon
Breaking Swipe,Inteleon
Dark Pulse,Inteleon
Dive,Inteleon
Endure,Inteleon
Facade,Inteleon
Fling,Inteleon
Focus Energy,Inteleon
Giga Impact,Inteleon
Growl,Inteleon
Hydro Cannon,Inteleon
Hydro Pump,Inteleon
Hyper Beam,Inteleon
Ice Beam,Inteleon
Icicle Spear,Inteleon
Icy Wind,Inteleon
Light Screen,Inteleon
Liquidation,Inteleon
Metronome,Inteleon
Mud Shot,Inteleon
Muddy Water,Inteleon
Pound,Inteleon
Protect,Inteleon
Rain Dance,Inteleon
Reflect,Inteleon
Rest,Inteleon
Round,Inteleon
Safeguard,Inteleon
Scald,Inteleon
Scale Shot,Inteleon
Shadow Ball,Inteleon
Sleep Talk,Inteleon
Snipe Shot,Inteleon
Snore,Inteleon
Soak,Inteleon
Substitute,Inteleon
Sucker Punch,Inteleon
Surf,Inteleon
Swift,Inteleon
Swords Dance,Inteleon
Tearful Look,Inteleon
U Turn,Inteleon
Water Gun,Inteleon
Water Pledge,Inteleon
Water Pulse,Inteleon
Waterfall,Inteleon
Weather Ball,Inteleon
Whirlpool,Inteleon
Work Up,Inteleon
Acrobatics,Thievul
Agility,Thievul
Assurance,Thievul
Attract,Thievul
Baton Pass,Thievul
Beat Up,Thievul
Burning Jealousy,Thievul
Crunch,Thievul
Dark Pulse,Thievul
Dig,Thievul
Endure,Thievul
Facade,Thievul
Fake Tears,Thievul
Fire Fang,Thievul
Foul Play,Thievul
Giga Impact,Thievul
Grass Knot,Thievul
Hone Claws,Thievul
Hyper Beam,Thievul
Ice Fang,Thievul
Lash Out,Thievul
Mud Shot,Thievul
Nasty Plot,Thievul
Night Slash,Thievul
Parting Shot,Thievul
Play Rough,Thievul
Protect,Thievul
Psychic,Thievul
Quick Attack,Thievul
Rest,Thievul
Round,Thievul
Screech,Thievul
Shadow Ball,Thievul
Shadow Claw,Thievul
Sleep Talk,Thievul
Snarl,Thievul
Snore,Thievul
Substitute,Thievul
Sucker Punch,Thievul
Swift,Thievul
Tail Slap,Thievul
Tail Whip,Thievul
Taunt,Thievul
Thief,Thievul
Thunder Fang,Thievul
U Turn,Thievul
Acrobatics,Frosmoth
Air Slash,Frosmoth
Attract,Frosmoth
Aurora Beam,Frosmoth
Aurora Veil,Frosmoth
Avalanche,Frosmoth
Blizzard,Frosmoth
Bug Buzz,Frosmoth
Calm Mind,Frosmoth
Dazzling Gleam,Frosmoth
Defog,Frosmoth
Dual Wingbeat,Frosmoth
Endure,Frosmoth
Facade,Frosmoth
Feather Dance,Frosmoth
Giga Drain,Frosmoth
Giga Impact,Frosmoth
Hail,Frosmoth
Helping Hand,Frosmoth
Hurricane,Frosmoth
Hyper Beam,Frosmoth
Ice Beam,Frosmoth
Icicle Spear,Frosmoth
Icy Wind,Frosmoth
Imprison,Frosmoth
Infestation,Frosmoth
Leech Life,Frosmoth
Light Screen,Frosmoth
Mist,Frosmoth
Play Rough,Frosmoth
Powder Snow,Frosmoth
Protect,Frosmoth
Quiver Dance,Frosmoth
Reflect,Frosmoth
Rest,Frosmoth
Round,Frosmoth
Safeguard,Frosmoth
Skitter Smack,Frosmoth
Sleep Talk,Frosmoth
Snore,Frosmoth
Struggle Bug,Frosmoth
Stun Spore,Frosmoth
Substitute,Frosmoth
Tailwind,Frosmoth
Triple Axel,Frosmoth
U Turn,Frosmoth
Weather Ball,Frosmoth
Wide Guard,Frosmoth
Acrobatics,Drakloak
Agility,Drakloak
Ally Switch,Drakloak
Assurance,Drakloak
Astonish,Drakloak
Attract,Drakloak
Baton Pass,Drakloak
Beat Up,Drakloak
Bite,Drakloak
Breaking Swipe,Drakloak
Brine,Drakloak
Dive,Drakloak
Double Edge,Drakloak
Double Hit,Drakloak
Draco Meteor,Drakloak
Dragon Dance,Drakloak
Dragon Pulse,Drakloak
Dragon Rush,Drakloak
Endure,Drakloak
Facade,Drakloak
Fire Blast,Drakloak
Flamethrower,Drakloak
Helping Hand,Drakloak
Hex,Drakloak
Hydro Pump,Drakloak
Infestation,Drakloak
Last Resort,Drakloak
Lock On,Drakloak
Outrage,Drakloak
Phantom Force,Drakloak
Protect,Drakloak
Psychic Fangs,Drakloak
Quick Attack,Drakloak
Rest,Drakloak
Round,Drakloak
Scald,Drakloak
Shadow Ball,Drakloak
Sleep Talk,Drakloak
Snore,Drakloak
Steel Wing,Drakloak
Substitute,Drakloak
Surf,Drakloak
Swift,Drakloak
Take Down,Drakloak
Thief,Drakloak
Thunder,Drakloak
Thunder Wave,Drakloak
Thunderbolt,Drakloak
U Turn,Drakloak
Will O Wisp,Drakloak
Acrobatics,Dragapult
Agility,Dragapult
Ally Switch,Dragapult
Assurance,Dragapult
Astonish,Dragapult
Attract,Dragapult
Baton Pass,Dragapult
Beat Up,Dragapult
Bite,Dragapult
Body Slam,Dragapult
Breaking Swipe,Dragapult
Brine,Dragapult
Dive,Dragapult
Double Edge,Dragapult
Double Hit,Dragapult
Draco Meteor,Dragapult
Dragon Breath,Dragapult
Dragon Claw,Dragapult
Dragon Dance,Dragapult
Dragon Darts,Dragapult
Dragon Pulse,Dragapult
Dragon Rush,Dragapult
Endure,Dragapult
Facade,Dragapult
Fire Blast,Dragapult
Flamethrower,Dragapult
Fly,Dragapult
Giga Impact,Dragapult
Helping Hand,Dragapult
Hex,Dragapult
Hydro Pump,Dragapult
Hyper Beam,Dragapult
Infestation,Dragapult
Last Resort,Dragapult
Light Screen,Dragapult
Lock On,Dragapult
Outrage,Dragapult
Phantom Force,Dragapult
Protect,Dragapult
Psychic Fangs,Dragapult
Quick Attack,Dragapult
Reflect,Dragapult
Rest,Dragapult
Round,Dragapult
Scald,Dragapult
Shadow Ball,Dragapult
Sleep Talk,Dragapult
Snore,Dragapult
Solar Beam,Dragapult
Steel Wing,Dragapult
Substitute,Dragapult
Sucker Punch,Dragapult
Surf,Dragapult
Swift,Dragapult
Take Down,Dragapult
Thief,Dragapult
Thunder,Dragapult
Thunder Wave,Dragapult
Thunderbolt,Dragapult
Tri Attack,Dragapult
U Turn,Dragapult
Will O Wisp,Dragapult
Acrobatics,Kubfu
Aerial Ace,Kubfu
Attract,Kubfu
Body Slam,Kubfu
Brick Break,Kubfu
Bulk Up,Kubfu
Close Combat,Kubfu
Coaching,Kubfu
Counter,Kubfu
Detect,Kubfu
Dig,Kubfu
Dynamic Punch,Kubfu
Endure,Kubfu
Facade,Kubfu
Fire Punch,Kubfu
Focus Energy,Kubfu
Focus Punch,Kubfu
Headbutt,Kubfu
Helping Hand,Kubfu
Ice Punch,Kubfu
Iron Head,Kubfu
Leer,Kubfu
Low Kick,Kubfu
Low Sweep,Kubfu
Mega Kick,Kubfu
Mega Punch,Kubfu
Protect,Kubfu
Rest,Kubfu
Retaliate,Kubfu
Revenge,Kubfu
Reversal,Kubfu
Rock Smash,Kubfu
Round,Kubfu
Scary Face,Kubfu
Sleep Talk,Kubfu
Snore,Kubfu
Substitute,Kubfu
Superpower,Kubfu
Thunder Punch,Kubfu
U Turn,Kubfu
Work Up,Kubfu
Zen Headbutt,Kubfu
Acrobatics,Zarude
Assurance,Zarude
Bind,Zarude
Bite,Zarude
Body Slam,Zarude
Brick Break,Zarude
Brutal Swing,Zarude
Bulk Up,Zarude
Bullet Seed,Zarude
Close Combat,Zarude
Crunch,Zarude
Dark Pulse,Zarude
Darkest Lariat,Zarude
Dig,Zarude
Drain Punch,Zarude
Encore,Zarude
Endure,Zarude
Energy Ball,Zarude
Facade,Zarude
Fling,Zarude
Fury Swipes,Zarude
Giga Drain,Zarude
Giga Impact,Zarude
Grass Knot,Zarude
Grassy Glide,Zarude
Grassy Terrain,Zarude
Growth,Zarude
Hammer Arm,Zarude
Hyper Beam,Zarude
Hyper Voice,Zarude
Iron Tail,Zarude
Jungle Healing,Zarude
Lash Out,Zarude
Leer,Zarude
Low Kick,Zarude
Magical Leaf,Zarude
Mega Kick,Zarude
Mega Punch,Zarude
Mud Shot,Zarude
Nasty Plot,Zarude
Payback,Zarude
Power Whip,Zarude
Protect,Zarude
Rest,Zarude
Revenge,Zarude
Rock Slide,Zarude
Rock Tomb,Zarude
Round,Zarude
Scary Face,Zarude
Scratch,Zarude
Seed Bomb,Zarude
Sleep Talk,Zarude
Snarl,Zarude
Snore,Zarude
Solar Beam,Zarude
Solar Blade,Zarude
Stomping Tantrum,Zarude
Substitute,Zarude
Sunny Day,Zarude
Superpower,Zarude
Swagger,Zarude
Swift,Zarude
Synthesis,Zarude
Taunt,Zarude
Thief,Zarude
Thrash,Zarude
Throat Chop,Zarude
U Turn,Zarude
Vine Whip,Zarude
Acrobatics,Regieleki
Agility,Regieleki
Ancient Power,Regieleki
Assurance,Regieleki
Body Slam,Regieleki
Bounce,Regieleki
Eerie Impulse,Regieleki
Electric Terrain,Regieleki
Electro Ball,Regieleki
Electroweb,Regieleki
Endure,Regieleki
Explosion,Regieleki
Extreme Speed,Regieleki
Facade,Regieleki
Giga Impact,Regieleki
Hyper Beam,Regieleki
Light Screen,Regieleki
Lock On,Regieleki
Magnet Rise,Regieleki
Protect,Regieleki
Rain Dance,Regieleki
Rapid Spin,Regieleki
Reflect,Regieleki
Rest,Regieleki
Rising Voltage,Regieleki
Round,Regieleki
Screech,Regieleki
Self Destruct,Regieleki
Shock Wave,Regieleki
Sleep Talk,Regieleki
Snore,Regieleki
Substitute,Regieleki
Swift,Regieleki
Thrash,Regieleki
Thunder,Regieleki
Thunder Cage,Regieleki
Thunder Shock,Regieleki
Thunder Wave,Regieleki
Thunderbolt,Regieleki
Volt Switch,Regieleki
Wild Charge,Regieleki
Zap Cannon,Regieleki
Acrobatics,Mega Scizor
Aerial Ace,Mega Scizor
Agility,Mega Scizor
Attract,Mega Scizor
Brick Break,Mega Scizor
Brutal Swing,Mega Scizor
Bug Bite,Mega Scizor
Bullet Punch,Mega Scizor
Confide,Mega Scizor
Cut,Mega Scizor
Defog,Mega Scizor
Double Hit,Mega Scizor
Double Team,Mega Scizor
Facade,Mega Scizor
False Swipe,Mega Scizor
Feint,Mega Scizor
Flash Cannon,Mega Scizor
Fling,Mega Scizor
Focus Energy,Mega Scizor
Frustration,Mega Scizor
Fury Cutter,Mega Scizor
Giga Impact,Mega Scizor
Hidden Power,Mega Scizor
Hyper Beam,Mega Scizor
Iron Defense,Mega Scizor
Iron Head,Mega Scizor
Knock Off,Mega Scizor
Laser Focus,Mega Scizor
Leer,Mega Scizor
Light Screen,Mega Scizor
Metal Claw,Mega Scizor
Night Slash,Mega Scizor
Protect,Mega Scizor
Pursuit,Mega Scizor
Quick Attack,Mega Scizor
Rain Dance,Mega Scizor
Razor Wind,Mega Scizor
Rest,Mega Scizor
Return,Mega Scizor
Rock Smash,Mega Scizor
Roost,Mega Scizor
Round,Mega Scizor
Safeguard,Mega Scizor
Sandstorm,Mega Scizor
Secret Power,Mega Scizor
Slash,Mega Scizor
Sleep Talk,Mega Scizor
Snore,Mega Scizor
Steel Wing,Mega Scizor
Strength,Mega Scizor
Struggle Bug,Mega Scizor
Substitute,Mega Scizor
Sunny Day,Mega Scizor
Superpower,Mega Scizor
Swagger,Mega Scizor
Swords Dance,Mega Scizor
Tailwind,Mega Scizor
Thief,Mega Scizor
Toxic,Mega Scizor
U Turn,Mega Scizor
Venoshock,Mega Scizor
X Scissor,Mega Scizor
Acrobatics,Mega Blaziken
Aerial Ace,Mega Blaziken
Attract,Mega Blaziken
Blast Burn,Mega Blaziken
Blaze Kick,Mega Blaziken
Bounce,Mega Blaziken
Brave Bird,Mega Blaziken
Brick Break,Mega Blaziken
Bulk Up,Mega Blaziken
Bulldoze,Mega Blaziken
Confide,Mega Blaziken
Cut,Mega Blaziken
Defog,Mega Blaziken
Dig,Mega Blaziken
Double Kick,Mega Blaziken
Double Team,Mega Blaziken
Dual Chop,Mega Blaziken
Earthquake,Mega Blaziken
Echoed Voice,Mega Blaziken
Ember,Mega Blaziken
Facade,Mega Blaziken
Fire Blast,Mega Blaziken
Fire Pledge,Mega Blaziken
Fire Punch,Mega Blaziken
Flame Charge,Mega Blaziken
Flamethrower,Mega Blaziken
Flare Blitz,Mega Blaziken
Fling,Mega Blaziken
Focus Blast,Mega Blaziken
Focus Energy,Mega Blaziken
Focus Punch,Mega Blaziken
Frustration,Mega Blaziken
Giga Impact,Mega Blaziken
Growl,Mega Blaziken
Heat Wave,Mega Blaziken
Helping Hand,Mega Blaziken
Hidden Power,Mega Blaziken
High Jump Kick,Mega Blaziken
Hone Claws,Mega Blaziken
Hyper Beam,Mega Blaziken
Incinerate,Mega Blaziken
Knock Off,Mega Blaziken
Laser Focus,Mega Blaziken
Last Resort,Mega Blaziken
Low Kick,Mega Blaziken
Low Sweep,Mega Blaziken
Overheat,Mega Blaziken
Peck,Mega Blaziken
Poison Jab,Mega Blaziken
Power Up Punch,Mega Blaziken
Protect,Mega Blaziken
Quick Attack,Mega Blaziken
Rest,Mega Blaziken
Return,Mega Blaziken
Roar,Mega Blaziken
Rock Slide,Mega Blaziken
Rock Smash,Mega Blaziken
Rock Tomb,Mega Blaziken
Role Play,Mega Blaziken
Round,Mega Blaziken
Sand Attack,Mega Blaziken
Scratch,Mega Blaziken
Secret Power,Mega Blaziken
Shadow Claw,Mega Blaziken
Sky Uppercut,Mega Blaziken
Slash,Mega Blaziken
Sleep Talk,Mega Blaziken
Snore,Mega Blaziken
Solar Beam,Mega Blaziken
Stone Edge,Mega Blaziken
Strength,Mega Blaziken
Substitute,Mega Blaziken
Sunny Day,Mega Blaziken
Superpower,Mega Blaziken
Swagger,Mega Blaziken
Swords Dance,Mega Blaziken
Thunder Punch,Mega Blaziken
Toxic,Mega Blaziken
Will O Wisp,Mega Blaziken
Work Up,Mega Blaziken
Acrobatics,Mega Beedrill
Aerial Ace,Mega Beedrill
Agility,Mega Beedrill
Assurance,Mega Beedrill
Attract,Mega Beedrill
Brick Break,Mega Beedrill
Brutal Swing,Mega Beedrill
Bug Bite,Mega Beedrill
Confide,Mega Beedrill
Cut,Mega Beedrill
Defog,Mega Beedrill
Double Team,Mega Beedrill
Drill Run,Mega Beedrill
Electroweb,Mega Beedrill
Endeavor,Mega Beedrill
Facade,Mega Beedrill
False Swipe,Mega Beedrill
Fell Stinger,Mega Beedrill
Flash,Mega Beedrill
Focus Energy,Mega Beedrill
Frustration,Mega Beedrill
Fury Attack,Mega Beedrill
Giga Drain,Mega Beedrill
Giga Impact,Mega Beedrill
Headbutt,Mega Beedrill
Hidden Power,Mega Beedrill
Hyper Beam,Mega Beedrill
Infestation,Mega Beedrill
Knock Off,Mega Beedrill
Laser Focus,Mega Beedrill
Mega Drain,Mega Beedrill
Outrage,Mega Beedrill
Payback,Mega Beedrill
Peck,Mega Beedrill
Pin Missile,Mega Beedrill
Poison Jab,Mega Beedrill
Protect,Mega Beedrill
Pursuit,Mega Beedrill
Rage,Mega Beedrill
Reflect,Mega Beedrill
Rest,Mega Beedrill
Return,Mega Beedrill
Rock Smash,Mega Beedrill
Roost,Mega Beedrill
Round,Mega Beedrill
Secret Power,Mega Beedrill
Sleep Talk,Mega Beedrill
Sludge Bomb,Mega Beedrill
Snore,Mega Beedrill
Solar Beam,Mega Beedrill
Struggle Bug,Mega Beedrill
Substitute,Mega Beedrill
Sunny Day,Mega Beedrill
Swagger,Mega Beedrill
Swords Dance,Mega Beedrill
Tailwind,Mega Beedrill
Thief,Mega Beedrill
Throat Chop,Mega Beedrill
Toxic,Mega Beedrill
Toxic Spikes,Mega Beedrill
Twineedle,Mega Beedrill
U Turn,Mega Beedrill
Venoshock,Mega Beedrill
X Scissor,Mega Beedrill
Acupressure,Doduo
Aerial Ace,Doduo
Agility,Doduo
Air Cutter,Doduo
Assurance,Doduo
Attract,Doduo
Bide,Doduo
Body Slam,Doduo
Brave Bird,Doduo
Captivate,Doduo
Confide,Doduo
Curse,Doduo
Double Edge,Doduo
Double Hit,Doduo
Double Team,Doduo
Drill Peck,Doduo
Echoed Voice,Doduo
Endeavor,Doduo
Endure,Doduo
Facade,Doduo
Feint Attack,Doduo
Flail,Doduo
Fly,Doduo
Frustration,Doduo
Fury Attack,Doduo
Growl,Doduo
Haze,Doduo
Headbutt,Doduo
Hidden Power,Doduo
Jump Kick,Doduo
Knock Off,Doduo
Mimic,Doduo
Mirror Move,Doduo
Mud Slap,Doduo
Natural Gift,Doduo
Peck,Doduo
Pluck,Doduo
Protect,Doduo
Pursuit,Doduo
Quick Attack,Doduo
Rage,Doduo
Reflect,Doduo
Rest,Doduo
Return,Doduo
Roost,Doduo
Round,Doduo
Secret Power,Doduo
Skull Bash,Doduo
Sky Attack,Doduo
Sleep Talk,Doduo
Snore,Doduo
Steel Wing,Doduo
Substitute,Doduo
Sunny Day,Doduo
Supersonic,Doduo
Swagger,Doduo
Swift,Doduo
Swords Dance,Doduo
Take Down,Doduo
Thief,Doduo
Thrash,Doduo
Toxic,Doduo
Tri Attack,Doduo
Uproar,Doduo
Whirlwind,Doduo
Work Up,Doduo
Acupressure,Dodrio
Aerial Ace,Dodrio
Agility,Dodrio
Air Cutter,Dodrio
Attract,Dodrio
Bide,Dodrio
Body Slam,Dodrio
Captivate,Dodrio
Confide,Dodrio
Curse,Dodrio
Double Edge,Dodrio
Double Hit,Dodrio
Double Team,Dodrio
Drill Peck,Dodrio
Echoed Voice,Dodrio
Endeavor,Dodrio
Endure,Dodrio
Facade,Dodrio
Fly,Dodrio
Frustration,Dodrio
Fury Attack,Dodrio
Giga Impact,Dodrio
Growl,Dodrio
Headbutt,Dodrio
Hidden Power,Dodrio
Hyper Beam,Dodrio
Jump Kick,Dodrio
Knock Off,Dodrio
Mimic,Dodrio
Mirror Move,Dodrio
Mud Slap,Dodrio
Natural Gift,Dodrio
Payback,Dodrio
Peck,Dodrio
Pluck,Dodrio
Protect,Dodrio
Pursuit,Dodrio
Quick Attack,Dodrio
Rage,Dodrio
Reflect,Dodrio
Rest,Dodrio
Return,Dodrio
Roost,Dodrio
Round,Dodrio
Secret Power,Dodrio
Skull Bash,Dodrio
Sky Attack,Dodrio
Sleep Talk,Dodrio
Snore,Dodrio
Steel Wing,Dodrio
Stomping Tantrum,Dodrio
Substitute,Dodrio
Sunny Day,Dodrio
Supersonic,Dodrio
Swagger,Dodrio
Swift,Dodrio
Swords Dance,Dodrio
Take Down,Dodrio
Taunt,Dodrio
Thief,Dodrio
Thrash,Dodrio
Torment,Dodrio
Toxic,Dodrio
Tri Attack,Dodrio
Uproar,Dodrio
Whirlwind,Dodrio
Work Up,Dodrio
Acupressure,Goldeen
Agility,Goldeen
Aqua Ring,Goldeen
Aqua Tail,Goldeen
Attract,Goldeen
Bide,Goldeen
Blizzard,Goldeen
Body Slam,Goldeen
Bounce,Goldeen
Bubble Beam,Goldeen
Captivate,Goldeen
Confide,Goldeen
Curse,Goldeen
Dive,Goldeen
Double Edge,Goldeen
Double Team,Goldeen
Drill Run,Goldeen
Endure,Goldeen
Facade,Goldeen
Flail,Goldeen
Flip Turn,Goldeen
Frustration,Goldeen
Fury Attack,Goldeen
Fury Cutter,Goldeen
Hail,Goldeen
Haze,Goldeen
Headbutt,Goldeen
Hidden Power,Goldeen
Horn Attack,Goldeen
Horn Drill,Goldeen
Hydro Pump,Goldeen
Ice Beam,Goldeen
Icy Wind,Goldeen
Knock Off,Goldeen
Megahorn,Goldeen
Mimic,Goldeen
Mud Shot,Goldeen
Mud Slap,Goldeen
Mud Sport,Goldeen
Muddy Water,Goldeen
Natural Gift,Goldeen
Peck,Goldeen
Poison Jab,Goldeen
Protect,Goldeen
Psybeam,Goldeen
Quick Attack,Goldeen
Rage,Goldeen
Rain Dance,Goldeen
Rest,Goldeen
Return,Goldeen
Round,Goldeen
Scald,Goldeen
Scale Shot,Goldeen
Secret Power,Goldeen
Signal Beam,Goldeen
Skull Bash,Goldeen
Sleep Talk,Goldeen
Smart Strike,Goldeen
Snore,Goldeen
Soak,Goldeen
Substitute,Goldeen
Supersonic,Goldeen
Surf,Goldeen
Swagger,Goldeen
Swift,Goldeen
Swords Dance,Goldeen
Tail Whip,Goldeen
Take Down,Goldeen
Throat Chop,Goldeen
Toxic,Goldeen
Water Gun,Goldeen
Water Pulse,Goldeen
Water Sport,Goldeen
Waterfall,Goldeen
Whirlpool,Goldeen
Acupressure,Meditite
Attract,Meditite
Baton Pass,Meditite
Bide,Meditite
Body Slam,Meditite
Brick Break,Meditite
Bulk Up,Meditite
Bullet Punch,Meditite
Calm Mind,Meditite
Captivate,Meditite
Confide,Meditite
Confusion,Meditite
Counter,Meditite
Detect,Meditite
Double Edge,Meditite
Double Team,Meditite
Drain Punch,Meditite
Dream Eater,Meditite
Dynamic Punch,Meditite
Endure,Meditite
