,Name,Category,Effect
371,Lum Berry,Berries,"If held by a Pokémon, it recovers from any status problem."
372,Luminous Moss,Hold items,Raises Special Defense if hit by a Water-type move.
373,Lumiose Galette,Medicine,Heals all major status conditions.
374,Lunalium Z,Hold items,"Allows Lunala to upgrade Moongeist Beam to a Z-Move, Menacing Moonraze Maelstrom."
375,Lure,General items,Attracts Pokémon in the wild.
376,Lure Ball,Pokeballs,A Poké Ball for catching Pokémon hooked by a Rod when fishing.
377,Lustrous Globe,Hold items,NA
378,Lustrous Orb,Hold items,Increases the power of Dragon- and Water-type moves when held by Palkia.
379,Luxury Ball,Pokeballs,A comfortable Poké Ball that makes a caught wild Pokémon quickly grow friendly.
380,Lycanium Z,Hold items,"Allows Lycanroc to upgrade Stone Edge to a Z-Move, Splintered Stormshards."
381,Macho Brace,Hold items,An item to be held by a Pokémon. It is a stiff and heavy brace that promotes strong growth but lowers Speed.
382,Magmarizer,General items,Evolves Magmar when traded holding the item.
383,Magnet,Hold items,Increases the power of Electric-type moves.
384,Mago Berry,Berries,"Restores HP if it's low, but may cause confusion."
385,Magost Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
386,Manectite,Hold items,Enables Manectric to Mega Evolve during battle.
387,Maranga Berry,Berries,"If held by a Pokémon, this Berry will increase the holder's Sp. Def if it's hit with a special move."
388,Marble,General items,NA
389,Marsh Balm,General items,NA
390,Marshadium Z,Hold items,"Allows Marshadow to upgrade Spectral Thief to a Z-Move, Soul-Stealing 7-Star Strike."
391,Master Ball,Pokeballs,The best Ball with the ultimate level of performance. It will catch any wild Pokémon without fail.
392,Mawilite,Hold items,Enables Mawile to Mega Evolve during battle.
393,Max Elixir,Medicine,It fully restores the PP of all the moves learned by the targeted Pokémon.
394,Max Ether,Medicine,It fully restores the PP of a single selected move that has been learned by the target Pokémon.
395,Max Honey,General items,NA
396,Max Lure,General items,Attracts Pokémon in the wild.
397,Max Mushrooms,General items,NA
398,Max Potion,Medicine,Fully restores HP.
399,Max Repel,General items,An item that prevents weak wild Pokémon from appearing for 250 steps after its use.
400,Max Revive,Medicine,A medicine that revives a fainted Pokémon. It fully restores the Pokémon's HP.
401,Meadow Plate,Hold items,Increases power of Grass-type moves. Changes Arceus' type to Grass.
402,Medichamite,Hold items,Enables Medicham to Mega Evolve during battle.
403,Medicinal Leek,General items,NA
404,Mental Herb,Hold items,An item to be held by a Pokémon. It snaps the holder out of infatuation. It can be used only once.
405,Metagrossite,Hold items,Enables Metagross to Mega Evolve during battle.
406,Metal Coat,Hold items,Increases the power of Steel-type moves. Evolves Onix and Scyther when traded holding the item.
407,Metal Powder,Hold items,Increases Defense when held by Ditto.
408,Metronome,Hold items,Increases the power of moves used consecutively.
409,Mewnium Z,Hold items,"Allows Mew to upgrade Psychic to a Z-Move, Genesis Supernova."
410,Mewtwonite X,Hold items,Enables Mewtwo to Mega Evolve during battle.
411,Mewtwonite Y,Hold items,Enables Mewtwo to Mega Evolve during battle.
412,Micle Berry,Berries,Increases a move's accuracy when HP is low.
413,Mighty Candy,Medicine,Increases a Pokémon's Attack stat by 1.
414,Mighty Candy L,Medicine,Increases a Pokémon's Attack stat.
415,Mighty Candy XL,Medicine,Increases a Pokémon's Attack stat.
416,Mild Mint,Battle items,Changes the Pokémon's stats to match the Mild nature.
417,Mimikium Z,Hold items,"Allows Mimikyu to upgrade Play Rough to a Z-Move, Let's Snuggle Forever."
418,Mind Plate,Hold items,Increases power of Psychic-type moves. Changes Arceus' type to Psychic.
419,Miracle Seed,Hold items,Increases the power of Grass-type moves.
420,Misty Seed,Hold items,An item to be held by a Pokémon. It boosts Sp. Def on Misty Terrain. It can only be used once.
421,Mixed Mushrooms,General items,One of the many ingredients that can be used for cooking at your camp. The chewy texture of the mushrooms transforms any dish they’re added to.
422,Modest Mint,Battle items,Changes the Pokémon's stats to match the Modest nature.
423,Moomoo Cheese,General items,One of the many ingredients that can be used for cooking at your camp. Melted cheese can really give a curry some richness.
424,Moomoo Milk,Medicine,Milk with a very high nutrition content. It restores the HP of one Pokémon by 100 points.
425,Moon Ball,Pokeballs,A Poké Ball for catching Pokémon that evolve using the Moon Stone.
426,Moon Stone,General items,Evolves certain species of Pokémon.
427,Muscle Band,Hold items,Increases the power of Physical-category moves.
428,Muscle Wing,Medicine,Increases Attack EVs by 1.
429,Mushroom Cake,General items,NA
430,Mystic Water,Hold items,Increases the power of Water-type moves.
431,Naive Mint,Battle items,Changes the Pokémon's stats to match the Naive nature.
432,Nanab Berry,Berries,"A Berry to be used in cooking. Calms a Pokémon in battle, in Let's Go Pikachu/Eevee."
433,Naughty Mint,Battle items,Changes the Pokémon's stats to match the Naughty nature.
434,Nest Ball,Pokeballs,A somewhat different Poké Ball that works especially well on weaker Pokémon in the wild.
435,Net Ball,Pokeballs,A somewhat different Poké Ball that works especially well on Water- and Bug-type Pokémon.
436,Never-Melt Ice,Hold items,Increases the power of Ice-type moves.
437,Nomel Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
438,Normal Gem,Hold items,Increases the power of a Normal-type move only once.
439,Normalium Z,Hold items,"Allows the use of Breakneck Blitz, the Normal type Z-Move."
440,Nugget,General items,A nugget of pure gold that gives off a lustrous gleam. It can be sold at a high price to shops.
441,Occa Berry,Berries,Weakens a supereffective Fire-type attack against the holding Pokémon.
442,Odd Incense,Hold items,Increases the power of Psychic-type moves. Breeding Mr. Mime produces Mime Jr. when held.
443,Odd Keystone,General items,A vital item that is needed to keep a stone tower from collapsing. Voices can be heard from it occasionally.
444,Old Amber,General items,A piece of amber that contains the genetic material of an ancient Pokémon. It is clear with a reddish tint.
445,Old Gateau,Medicine,Heals all major status conditions.
446,Oran Berry,Berries,"If held by a Pokémon, it heals the user by just 10 HP."
447,Origin Ball,Pokeballs,NA
448,Origin Ore,General items,NA
449,Oval Charm,General items,An oval charm said to increase the chance of Pokémon Eggs being found at the Day Care.
450,Oval Stone,General items,Evolves Happiny when held.
451,Pack of Potatoes,General items,"One of the many ingredients that can be used for cooking at your camp. Potatoes help mellow out a spicy taste, to make a dish more mild."
452,Packaged Curry,General items,One of the many ingredients that can be used for cooking at your camp. Using packaged curry helps make sure there are no slipups when cooking.
453,Pamtre Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
454,Paralyze Heal,Medicine,A spray-type medicine. It eliminates paralysis from a single Pokémon.
455,Park Ball,Pokeballs,A special Poké Ball for the Pal Park.
456,Pass Orb,Hold items,"A mysterious orb containing the power of the Unova region, to be used when generating Pass Power."
457,Passho Berry,Berries,Weakens a supereffective Water-type attack against the holding Pokémon.
458,Pasta,General items,One of the many ingredients that can be used for cooking at your camp. These flour noodles make for a surprisingly good match with curry.
459,Payapa Berry,Berries,Weakens a supereffective Psychic-type attack against the holding Pokémon.
460,Pearl,General items,A somewhat-small pearl that sparkles in a pretty silver color. It can be sold cheaply to shops.
461,Pearl String,General items,Very large pearls that sparkle in a pretty silver color. A maniac will buy them for a high price.
462,Peat Block,General items,A block of muddy material that can be used as fuel for burning when it is dried. It’s loved by a certain Pokémon.
463,Pecha Berry,Berries,"If held by a Pokémon, it recovers from poison."
464,Pep-Up Plant,General items,NA
465,Permit,General items,A permit that is needed to enter the Nature Preserve. Not many know about it.
466,Persim Berry,Berries,"If held by a Pokémon, it recovers from confusion."
467,Petaya Berry,Berries,Raises Special Attack when HP is low.
468,Pewter Crunchies,Medicine,Heals all major status conditions.
469,Pidgeotite,Hold items,Enables Pidgeot to Mega Evolve during battle.
470,Pikanium Z,Hold items,"Allows Pikachu to upgrade Volt Tackle to a Z-Move, Catastropika."
471,Pikashunium Z,Hold items,"Allows Pikachu in a cap to upgrade Thunderbolt to a Z-Move, 10,000,000 Volt Thunderbolt."
472,Pinap Berry,Berries,"A Berry to be used in cooking. Increases chances of getting items when a Pokémon is caught, in Pokémon Let's Go."
473,Pink Apricorn,General items,"A pink Apricorn. It has a nice, sweet scent."
474,Pink Nectar,Hold items,The flower nectar obtained at the flowering shrubs on Royal Avenue. It changes the form of certain species of Pokémon.
475,Pink Scarf,General items,Raises holder's Cute aspect in a Contest.
476,Pinsirite,Hold items,Enables Pinsir to Mega Evolve during battle.
477,Pixie Plate,Hold items,Increases power of Fairy-type moves. Changes Arceus' type to Fairy.
478,Plasma Card,Hold items,A card key needed to enter the password inside the Plasma Frigate.
479,Plume Fossil,General items,A fossil of an ancient Pokémon that flew in the sky in ancient times. It appears to be part of its wing.
480,Plump Beans,General items,NA
481,Poison Barb,Hold items,Increases the power of Poison-type moves.
482,Poison Gem,Hold items,Increases the power of a Poison-type move only once.
483,Poison Memory,Hold items,Changes Silvally and its move Multi-Attack to Poison type.
484,Poisonium Z,Hold items,"Allows the use of Acid Downpour, the Poison type Z-Move."
485,Poké Ball,Pokeballs,A device for catching wild Pokémon. It is thrown like a ball at the target. It is designed as a capsule system.
486,Poké Doll,General items,A doll that attracts Pokémon. Use it to flee from any battle with a wild Pokémon.
487,Poké Toy,General items,An item that attracts Pokémon. Use it to flee from any battle with a wild Pokémon.
488,Polished Mud Ball,General items,NA
489,Pomeg Berry,Berries,Increases Friendship but lowers HP EVs.
490,Pop Pod,General items,NA
491,Potion,Medicine,Restores 20 HP.
492,Power Anklet,Hold items,"A Pokémon held item that promotes Speed gain on leveling, but reduces the Speed stat."
493,Power Band,Hold items,"A Pokémon held item that promotes Sp. Def gain on leveling, but reduces the Speed stat."
494,Power Belt,Hold items,"A Pokémon held item that promotes Defense gain on leveling, but reduces the Speed stat."
495,Power Bracer,Hold items,"A Pokémon held item that promotes Attack gain on leveling, but reduces the Speed stat."
496,Power Herb,Hold items,A single-use item to be held by a Pokémon. It allows the immediate use of a move that charges on the first turn.
497,Power Lens,Hold items,"A Pokémon held item that promotes Sp. Atk gain on leveling, but reduces the Speed stat."
498,Power Plant Pass,Hold items,This pass serves as an ID card for gaining access to the power plant that lies along Route 13.
499,Power Weight,Hold items,"A Pokémon held item that promotes HP gain on leveling, but reduces the Speed stat."
500,PP Max,Medicine,It maximally raises the top PP of a selected move that has been learned by the target Pokémon.
501,PP Up,Medicine,It slightly raises the maximum PP of a selected move that has been learned by the target Pokémon.
502,Precooked Burger,General items,"One of the many ingredients that can be used for cooking at your camp. If you’re unsure about what to cook, you can’t go wrong with some burger."
503,Premier Ball,Pokeballs,A somewhat rare Poké Ball that has been specially made to commemorate an event of some sort.
504,Pretty Wing,General items,"Though this feather is beautiful, it's just a regular feather and has no effect on Pokémon."
505,Primarium Z,Hold items,"Allows Primarina to upgrade Sparkling Aria to a Z-Move, Oceanic Operetta."
506,Prism Scale,General items,Evolves Feebas when traded holding the item.
507,Prison Bottle,Hold items,Transforms Hoopa Confined to Hoopa Unbound.
508,Prof's Letter,Hold items,A letter that Professor Sycamore wrote to your mother. A faint but pleasant perfume seems to cling to the paper.
509,Protective Pads,Hold items,An item to be held by a Pokémon. These pads protect the holder from effects caused by making direct contact with the target.
510,Protector,General items,Evolves Rhydon when traded holding the item.
511,Protein,Medicine,Increases Attack EVs by 10.
512,Psychic Gem,Hold items,Increases the power of a Psychic-type move only once.
513,Psychic Memory,Hold items,Changes Silvally and its move Multi-Attack to Psychic type.
514,Psychic Seed,Hold items,An item to be held by a Pokémon. It boosts Sp. Def on Psychic Terrain. It can only be used once.
515,Psychium Z,Hold items,"Allows the use of Shattered Psyche, the Psychic type Z-Move."
516,Pungent Root,General items,"One of the many ingredients that can be used for cooking at your camp. Though carelessly picked, these herbs can add a fragrant accent to a dish."
517,Pure Incense,Hold items,Descreases the likelihood of meeting wild Pokémon. Breeding Chimecho produces Chingling when held.
518,Purple Nectar,Hold items,A flower nectar obtained at Poni Meadow. It changes the form of certain species of Pokémon.
519,Qualot Berry,Berries,Increases Friendship but lowers Defense EVs.
520,Quick Ball,Pokeballs,A somewhat different Poké Ball that provides a better catch rate if it is used at the start of a wild encounter.
521,Quick Candy,Medicine,Increases a Pokémon's Speed stat by 1.
522,Quick Candy L,Medicine,Increases a Pokémon's Speed stat.
523,Quick Candy XL,Medicine,Increases a Pokémon's Speed stat.
524,Quick Claw,Hold items,"An item to be held by a Pokémon. A light, sharp claw that lets the bearer move first occasionally."
525,Quick Powder,Hold items,Increases Speed when held by Ditto.
526,Quiet Mint,Battle items,Changes the Pokémon's stats to match the Quiet nature.
527,Rabuta Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
528,Rage Candy Bar,Medicine,Heals all major status conditions.
529,Rare Bone,General items,A bone that is extremely valuable for Pokémon archeology. It can be sold for a high price to shops.
530,Rare Candy,Medicine,A candy that is packed with energy. It raises the level of a single Pokémon by one.
531,Rash Mint,Battle items,Changes the Pokémon's stats to match the Rash nature.
532,Rawst Berry,Berries,"If held by a Pokémon, it recovers from a burn."
533,Razor Claw,Hold items,Increases critical-hit ratio. Evolves Sneasel when held at night.
534,Razor Fang,Hold items,May cause opponent to flinch. Evolves Gligar when held at night.
535,Razz Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
536,Reaper Cloth,General items,Evolves Dusclops when traded holding the item.
537,Red Apricorn,General items,A red Apricorn. It assails your nostrils.
538,Red Card,Hold items,"A card with a mysterious power. When the holder is struck by a foe, the attacker is removed from battle."
539,Red Flute,General items,A toy flute made from red glass. A maniac will buy it for a high price.
540,Red Nectar,Hold items,A flower nectar obtained at Ula'ula Meadow. It changes the form of certain species of Pokémon.
541,Red Scarf,General items,Raises holder's Cool aspect in a Contest.
542,Red Shard,General items,A small red shard. It appears to be from some sort of implement made long ago.
543,Relaxed Mint,Battle items,Changes the Pokémon's stats to match the Relaxed nature.
544,Relic Band,General items,"A bracelet made in a civilization about 3,000 years ago. A maniac will buy it for a high price."
545,Relic Copper,General items,"A copper coin used in a civilization about 3,000 years ago. A maniac will buy it for a high price."
546,Relic Crown,General items,"A crown made in a civilization about 3,000 years ago. A maniac will buy it for a high price."
547,Relic Gold,General items,"A gold coin used in a civilization about 3,000 years ago. A maniac will buy it for a high price."
548,Relic Silver,General items,"A silver coin used in a civilization about 3,000 years ago. A maniac will buy it for a high price."
549,Relic Statue,General items,"A stone figure made in a civilization about 3,000 years ago. A maniac will buy it for a high price."
550,Relic Vase,General items,"A vase made in a civilization about 3,000 years ago. A maniac will buy it for a high price."
551,Remedy,Medicine,NA
552,Repeat Ball,Pokeballs,A somewhat different Poké Ball that works especially well on Pokémon species that were previously caught.
553,Repel,General items,An item that prevents weak wild Pokémon from appearing for 100 steps after its use.
554,Reset Urge,Battle items,"When used, it restores any stat changes of an ally Pokémon."
555,Resist Wing,Medicine,Increases Defense EVs by 1.
556,Reveal Glass,General items,A looking glass that reveals the truth. It's a mysterious glass that returns a Pokémon to its original shape.
557,Revival Herb,Medicine,"Revives a Pokémon to max HP, but lowers Friendship."
558,Revive,Medicine,A medicine that revives a fainted Pokémon. It restores half the Pokémon's maximum HP.
559,Ribbon Sweet,Hold items,Evolves Milcery into Ribbon Flavor Alcremie.
560,Rindo Berry,Berries,Weakens a supereffective Grass-type attack against the holding Pokémon.
561,Ring Target,Hold items,Moves that would otherwise have no effect will land on the Pokémon that holds it.
562,Rock Gem,Hold items,Increases the power of a Rock-type move only once.
563,Rock Incense,Hold items,Increases the power of Rock-type moves. Breeding Sudowoodo produces Bonsly when held.
564,Rock Memory,Hold items,Changes Silvally and its move Multi-Attack to Rock type.
565,Rockium Z,Hold items,"Allows the use of Continental Crush, the Rock type Z-Move."
566,Rocky Helmet,Hold items,"If the holder of this item takes damage, the attacker will also be damaged upon contact."
567,Roller Skates,General items,"Attaches roller skates to the bottom of your shoes, allowing you to glide quickly around and perform tricks."
568,Room Service,Hold items,Lowers the Pokémon's speed during Trick Room.
569,Root Fossil,General items,A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a plant root.
570,Rose Incense,Hold items,Increases the power of Grass-type moves. Breeding Roselia or Roserade produces Budew when held.
571,Roseli Berry,Berries,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Fairy-type attack."
572,Roto Bargain,Battle items,Reduces the prices of products at Poké Marts by half.
573,Roto Boost,Battle items,Raises all stats of your battling Pokémon.
574,Roto Catch,Battle items,Increases the chance to catch Pokémon a lot.
575,Roto Encounter,Battle items,Increases the chance of encountering high-level wild Pokémon a lot for a certain period of time.
576,Roto Exp. Points,Battle items,Increases the Exp. Points your Pokémon receive after battle a little.
577,Roto Friendship,Battle items,Helps Pokémon in your party grow friendly faster.
578,Roto Hatch,Battle items,Helps Eggs hatch faster.
579,Roto HP Restore,Battle items,Fully restores the HP of your battling Pokémon.
580,Roto PP Restore,Battle items,Fully restores the PP of your battling Pokémon.
581,Roto Prize Money,Battle items,Triples the prize money you receive after battle.
582,Roto Stealth,Battle items,Prevents you from encountering wild Pokémon for a certain period of time.
583,Rowap Berry,Berries,"If held by a Pokémon and a special attack lands, the attacker also takes damage."
584,Sablenite,Hold items,Enables Sableye to Mega Evolve during battle.
585,Sachet,General items,Evolves Spritzee when traded holding the item.
586,Sacred Ash,Medicine,"It revives all fainted Pokémon. In doing so, it also fully restores their HP."
587,Safari Ball,Pokeballs,A special Poké Ball that is used only in the Great Marsh. It is decorated in a camouflage pattern.
588,Safety Goggles,Hold items,Prevents damage from weather and powder.
589,Salac Berry,Berries,Raises Speed when HP is low.
590,Salad Mix,General items,One of the many ingredients that can be used for cooking at your camp. The assortment of vegetables looks quite appealing and healthy.
591,Salamencite,Hold items,Enables Salamence to Mega Evolve during battle.
592,Salt Cake,General items,NA
593,Sand Radish,General items,NA
594,Sassy Mint,Battle items,Changes the Pokémon's stats to match the Sassy nature.
595,Sausages,General items,One of the many ingredients that can be used for cooking at your camp. These sausages should be boiled before eating.
596,Scatter Bang,General items,NA
597,Sceptilite,Hold items,Enables Sceptile to Mega Evolve during battle.
598,Scizorite,Hold items,Enables Scizor to Mega Evolve during battle.
599,Scope Lens,Hold items,Increases critical-hit ratio.
600,Sea Incense,Hold items,Increases the power of Water-type moves. Breeding Marill or Azumarill produces Azurill when held.
601,Seed of Mastery,General items,NA
602,Serious Mint,Battle items,Changes the Pokémon's stats to match a neutral nature.
603,Shaderoot Carrot,General items,Produce that the King of Bountiful Harvests’ beloved steed likes to eat. It grew in a gloomy field.
604,Shalour Sable,Medicine,Heals all major status conditions.
605,Sharp Beak,Hold items,Increases the power of Flying-type moves.
606,Sharpedonite,Hold items,Enables Sharpedo to Mega Evolve during battle.
607,Shed Shell,Hold items,"A tough, discarded carapace to be held by a Pokémon. It enables the holder to switch with a waiting Pokémon in battle."
608,Shell Bell,Hold items,An item to be held by a Pokémon. The holder's HP is restored a little every time it inflicts damage.
609,Shiny Charm,General items,A shiny charm said to increase the chance of finding a Shiny Pokémon in the wild.
610,Shiny Stone,General items,Evolves certain species of Pokémon.
611,Shoal Salt,General items,Pure salt that can be discovered deep inside the Shoal Cave. A maniac will buy it for a high price.
612,Shoal Shell,General items,A pretty seashell that can be found deep inside the Shoal Cave. A maniac will buy it for a high price.
613,Shock Drive,Hold items,Changes Techno Blast to an Electric-type move when held by Genesect.
614,Shuca Berry,Berries,Weakens a supereffective Ground-type attack against the holding Pokémon.
615,Silk Scarf,Hold items,Increases the power of Normal-type moves.
616,Silver Leaf,General items,NA
617,Silver Nanab Berry,Berries,"Greatly calms a Pokémon in battle, in Let's Go Pikachu/Eevee."
618,Silver Pinap Berry,Berries,"Greatly increases chance of getting items when a Pokémon is caught, in Pokémon Let's Go."
619,Silver Powder,Hold items,Increases the power of Bug-type moves.
620,Silver Razz Berry,Berries,Makes a Pokémon easier to catch in Pokémon Let's Go.
621,Sitrus Berry,Berries,"If held by a Pokémon, it heals the user's HP a little."
622,Skull Fossil,General items,A fossil from a prehistoric Pokémon that lived on the land. It appears to be part of a head.
623,Sky Plate,Hold items,Increases power of Flying-type moves. Changes Arceus' type to Flying.
624,Sky Tumblestone,General items,NA
625,Slowbronite,Hold items,Enables Slowbro to Mega Evolve during battle.
626,Small Bouquet,General items,NA
627,Smart Candy,Medicine,Increases a Pokémon's Special Attack stat by 1.
628,Smart Candy L,Medicine,Increases a Pokémon's Special Attack stat.
629,Smart Candy XL,Medicine,Increases a Pokémon's Special Attack stat.
630,Smoke Ball,Hold items,An item to be held by a Pokémon. It enables the holder to flee from any wild Pokémon without fail.
631,Smoke Bomb,General items,NA
632,Smoke-Poke Tail,General items,"One of the many ingredients that can be used for cooking at your camp. When a Slowpoke’s tail falls off, it grows back quickly."
633,Smooth Rock,Hold items,A Pokémon held item that extends the duration of the move Sandstorm used by the holder.
634,Snorlium Z,Hold items,"Allows Snorlax to upgrade Giga Impact to a Z-Move, Pulverizing Pancake."
635,Snowball,Hold items,Raises Attack if hit by an Ice-type move.
636,Soda Pop,Medicine,Restores 50 HP.
637,Soft Sand,Hold items,Increases the power of Ground-type moves.
638,Solganium Z,Hold items,"Allows Solgaleo to upgrade Sunsteel Strike to a Z-Move, Searing Sunraze Smash."
639,Sootfoot Root,General items,NA
640,Soothe Bell,Hold items,An item to be held by a Pokémon. It is a bell with a comforting chime that calms the holder and makes it friendly.
641,Soul Dew,Hold items,Increases the power of Psychic- and Dragon-type moves when held by Latios or Latias. Increases Sp.Atk/Sp.Def prior to Gen 7.
642,Spell Tag,Hold items,Increases the power of Ghost-type moves.
643,Spelon Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
644,Spice Mix,General items,One of the many ingredients that can be used for cooking at your camp. There are over fifty spices contained within this ingredient’s hot flavor.
645,Splash Plate,Hold items,Increases power of Water-type moves. Changes Arceus' type to Water.
646,Spoiled Apricorn,General items,NA
647,Spooky Plate,Hold items,Increases power of Ghost-type moves. Changes Arceus' type to Ghost.
648,Sport Ball,Pokeballs,A special Poké Ball for the Bug-Catching Contest.
649,Springy Mushroom,General items,NA
650,Sprinklotad,General items,"A watering can shaped like a Lotad. It helps promote the healthy growth of any Berries planted in good, soft soil."
651,Stable Mulch,General items,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.
652,Star Piece,General items,A shard of a pretty gem that sparkles in a red color. It can be sold at a high price to shops.
653,Star Sweet,Hold items,Evolves Milcery into Star Flavor Alcremie.
654,Stardust,General items,"Lovely, red-colored sand with a loose, silky feel. It can be sold at a high price to shops."
655,Starf Berry,Berries,Sharply raises a random stat when HP is low.
656,Stealth Spray,General items,NA
657,Steel Gem,Hold items,Increases the power of a Steel-type move only once.
658,Steel Memory,Hold items,Changes Silvally and its move Multi-Attack to Steel type.
659,Steelium Z,Hold items,"Allows the use of Corkscrew Crash, the Steel type Z-Move."
660,Steelixite,Hold items,Enables Steelix to Mega Evolve during battle.
661,Sticky Barb,Hold items,A held item that damages the holder on every turn. It may latch on to foes and allies that touch the holder.
662,Sticky Glob,General items,NA
663,Stone Plate,Hold items,Increases power of Rock-type moves. Changes Arceus' type to Rock.
664,Strange Ball,Pokeballs,NA
665,Strange Souvenir,General items,An ornament depicting a Pokémon that is venerated as a protector in some region far from Kalos.
666,Strawberry Sweet,Hold items,Evolves Milcery into Strawberry Flavor Alcremie.
667,Stretchy Spring,General items,NA
668,Sun Stone,General items,Evolves certain species of Pokémon.
669,Super Lure,General items,Attracts Pokémon in the wild.
670,Super Potion,Medicine,Restores 60 HP.
671,Super Repel,General items,An item that prevents weak wild Pokémon from appearing for 200 steps after its use.
672,Swampertite,Hold items,Enables Swampert to Mega Evolve during battle.
673,Swap Snack,General items,NA
674,Sweet Apple,Hold items,Evolves Applin into Appletun.
675,Sweet Heart,Medicine,Very sweet chocolate. It restores the HP of one Pokémon by only 20 points.
676,Swift Wing,Medicine,Increases Speed EVs by 1.
677,Swordcap,General items,NA
678,Tamato Berry,Berries,Increases Friendship but lowers Speed EVs.
679,Tanga Berry,Berries,Weakens a supereffective Bug-type attack against the holding Pokémon.
680,Tapunium Z,Hold items,"Allows the Tapus to upgrade Nature's Madness to a Z-Move, Guardian of Alola."
681,Tart Apple,Hold items,Evolves Applin into Flapple.
682,Terrain Extender,Hold items,An item to be held by a Pokémon. It extends the duration of the terrain caused by the holder's move or Ability.
683,Thick Club,Hold items,Increases Attack when held by Cubone or Marowak.
684,Throat Spray,Hold items,Raises Sp. Atk when a sound-based move is used.
685,Thunder Stone,General items,Evolves certain species of Pokémon.
686,Timer Ball,Pokeballs,A somewhat different BALL that becomes progressively better the more turns there are in a battle.
687,Timid Mint,Battle items,Changes the Pokémon's stats to match the Timid nature.
688,Tin of Beans,General items,"One of the many ingredients that can be used for cooking at your camp. When simmered, the beans suffuse a dish with their mild flavor."
689,Tiny Mushroom,General items,A small and rare mushroom. It is sought after by collectors.
690,TM00,Machines,Teaches the move Mega Punch.
691,TM01,Machines,Teaches the move Mega Punch/Dynamic Punch/Focus Punch/Hone Claws/Work Up/Headbutt/Mega Kick.
692,TM02,Machines,Teaches the move Razor Wind/Headbutt/Dragon Claw/Taunt/Pay Day.
693,TM03,Machines,Teaches the move Swords Dance/Curse/Water Pulse/Psyshock/Helping Hand/Fire Punch.
694,TM04,Machines,Teaches the move Whirlwind/Rollout/Calm Mind/Teleport/Ice Punch.
695,TM05,Machines,Teaches the move Mega Kick/Roar/Rest/Thunder Punch.
696,TM06,Machines,Teaches the move Toxic/Light Screen/Fly.
697,TM07,Machines,Teaches the move Horn Drill/Zap Cannon/Hail/Protect/Pin Missile.
698,TM08,Machines,Teaches the move Body Slam/Rock Smash/Bulk Up/Substitute/Hyper Beam.
699,TM09,Machines,Teaches the move Take Down/Psych Up/Bullet Seed/Venoshock/Reflect/Giga Impact.
700,TM10,Machines,Teaches the move Double-Edge/Hidden Power/Dig/Magical Leaf/Work Up.
701,TM100,Machines,Teaches the move Confide/Rock Climb.
702,TM11,Machines,Teaches the move BubbleBeam/Sunny Day/Will-O-Wisp/Solar Beam.
703,TM12,Machines,Teaches the move Water Gun/Sweet Scent/Taunt/Facade/Solar Blade.
704,TM13,Machines,Teaches the move Ice Beam/Snore/Brick Break/Fire Spin.
705,TM14,Machines,Teaches the move Blizzard/Fly/Thunder Wave.
706,TM15,Machines,Teaches the move Hyper Beam/Seismic Toss/Dig.
707,TM16,Machines,Teaches the move Pay Day/Icy Wind/Light Screen/Thunder Wave/Screech.
708,TM17,Machines,Teaches the move Submission/Protect/Dragon Tail/Light Screen.
709,TM18,Machines,Teaches the move Counter/Rain Dance/U-turn/Reflect.
710,TM19,Machines,Teaches the move Seismic Toss/Giga Drain/Telekinesis/Roost/Iron Tail/Safeguard.
711,TM20,Machines,Teaches the move Rage/Endure/Safeguard/Dark Pulse/Self-Destruct.
712,TM21,Machines,Teaches the move Mega Drain/Frustration/Foul Play/Rest/Dazzling Gleam.
713,TM22,Machines,Teaches the move SolarBeam/Rock Slide.
714,TM23,Machines,Teaches the move Dragon Rage/Iron Tail/Smack Down/Thunder Punch/Thief.
715,TM24,Machines,Teaches the move Thunderbolt/DragonBreath/X-Scissor/Snore.
716,TM25,Machines,Teaches the move Thunder/Waterfall/Protect.
717,TM26,Machines,Teaches the move Earthquake/Poison Jab/Scary Face.
718,TM27,Machines,Teaches the move Fissure/Return/Toxic/Icy Wind/Low Sweep.
719,TM28,Machines,Teaches the move Dig/Leech Life/Tri Attack/Giga Drain.
720,TM29,Machines,Teaches the move Psychic/Scald/Charm.
721,TM30,Machines,Teaches the move Teleport/Shadow Ball/Bulk Up/Steel Wing.
722,TM31,Machines,Teaches the move Mimic/Mud-Slap/Brick Break/Fire Punch/Attract.
723,TM32,Machines,Teaches the move Double Team/Dazzling Gleam/Sandstorm.
724,TM33,Machines,Teaches the move Ice Punch/Reflect/Calm Mind/Rain Dance.
725,TM34,Machines,Teaches the move Bide/Swagger/Shock Wave/Sludge Wave/Dragon Pulse/Sunny Day.
