,Pokemon,HP,Atk,Def,SpA,SpD,Spe
666,Suicune,100,75,115,90,115,85
667,Landorus,89,125,90,115,80,101
668,Necrozma-Dusk-Mane,97,157,127,113,109,77
669,Alcremie,65,60,75,110,121,64
670,Tapu Koko,70,115,85,95,75,130
671,Liepard,64,88,50,88,50,106
672,Hydreigon,92,105,90,125,90,98
673,Weavile,70,120,65,45,85,125
674,Tsareena,72,120,98,50,98,72
675,Glastrier,100,145,130,65,110,30
676,Dracovish,90,90,100,70,80,75
677,Regidrago,200,100,50,100,50,80
678,Hitmontop,50,95,95,35,110,70
679,Darmanitan-Galar,105,140,55,30,55,95
680,Zekrom,100,150,120,120,100,90
681,Shuckle,20,10,230,10,230,5
682,Zapdos-Galar,90,125,90,85,90,100
683,Volcarona,85,60,65,135,105,100
684,Meowstic,74,48,76,83,81,104
685,Persian-Alola,65,60,60,75,65,115
686,Snorlax,160,110,65,65,110,30
687,Stakataka,61,131,211,53,101,13
688,Thundurus-Therian,79,105,70,145,80,101
689,Moltres-Galar,90,85,90,100,125,90
690,Talonflame,78,81,71,74,69,126
691,Milotic,95,60,79,100,125,81
692,Mewtwo,106,110,90,154,90,130
693,Klinklang,60,100,115,70,85,90
694,Inteleon,70,85,65,125,65,120
695,Salamence,95,135,80,110,80,100
696,Hatterene,57,90,95,136,103,29
697,Sneasel,55,95,55,35,75,115
698,Escavalier,70,135,105,60,105,20
699,Rotom-Wash,50,65,107,105,107,86
700,Politoed,90,75,75,90,100,70
701,Ludicolo,80,70,70,90,100,70
702,Slowking,95,75,80,100,110,30
703,Swampert,100,110,90,85,90,60
704,Azumarill,100,50,80,60,80,50
705,Scizor,70,130,100,55,80,65
706,Articuno-Galar,90,85,85,125,100,95
707,Tyranitar,100,134,110,95,100,61
708,Pikachu,35,55,40,50,50,90
709,Ninetales-Alola,73,67,75,81,100,109
710,Marowak-Alola,60,80,110,50,80,45
711,Slowbro,95,75,110,100,80,30
712,Giratina-Origin,150,120,100,120,100,90
713,Toxapex,50,63,152,53,142,35
714,Raikou,90,85,75,115,100,115
715,Pelipper,60,50,100,95,70,65
716,Weezing-Galar,65,90,120,85,70,60
717,Kingler,55,130,115,50,50,75
718,Oranguru,90,60,80,90,110,60
719,Nihilego,109,53,47,127,131,103
720,Togedemaru,65,98,63,40,73,96
721,Gyarados,95,125,79,60,100,81
722,Garchomp,108,130,95,80,85,102
723,Heliolisk,62,55,52,109,94,109
724,Tapu Bulu,70,130,115,85,95,75
725,Kangaskhan,105,95,80,40,80,90
726,Moltres,90,100,90,125,85,90
727,Krookodile,95,117,80,65,70,92
728,Drifblim,150,80,44,90,54,80
729,Excadrill,110,135,60,50,65,88
730,Primarina,80,74,74,126,116,60
731,Shiftry,90,100,60,90,60,80
732,Chandelure,60,55,90,145,90,80
733,Toxicroak,83,106,65,86,65,85
734,Dracozolt,90,100,90,80,70,75
735,Sceptile,70,85,65,105,85,120
736,Pincurchin,48,101,95,91,85,15
737,Aegislash,60,50,140,50,140,60
738,Centiskorch,100,115,65,90,90,65
739,Greedent,120,95,95,55,75,20
740,Porygon-Z,85,80,70,135,75,90
741,Butterfree,60,45,50,90,80,70
742,Lucario,70,110,70,115,70,90
743,Mudsdale,100,125,100,55,85,35
744,Cherrim,70,60,70,87,78,85
745,Exeggutor,95,95,85,125,75,55
746,Altaria,75,70,90,70,105,80
747,Klefki,57,80,91,80,87,75
748,Froslass,70,80,70,80,70,110
749,Gigalith,85,135,130,60,80,25
750,Jellicent,100,60,70,85,105,60
751,Riolu,40,70,40,35,40,60
752,Mandibuzz,110,65,105,55,95,80
753,Lurantis,70,105,90,80,90,45
754,Latias,80,80,90,110,130,110
755,Exeggutor-Alola,95,105,85,125,75,45
756,Dragonite,91,134,95,100,100,80
757,Darmanitan,105,140,55,30,55,95
758,Cradily,86,81,97,81,107,43
759,Obstagoon,93,90,101,60,81,95
760,Scrafty,65,90,115,45,115,58
761,Aerodactyl,80,105,65,60,75,130
762,Kabutops,60,115,105,65,70,80
763,Articuno,90,85,100,95,125,85
764,Blacephalon,53,127,53,151,79,107
765,Duraludon,70,95,115,120,50,85
766,Trevenant,85,110,76,65,82,56
767,Drednaw,90,115,90,48,68,74
768,Heatran,91,90,106,130,106,77
769,Clefable,95,70,73,95,90,60
770,Appletun,110,85,80,100,80,30
771,Bisharp,65,125,100,60,70,70
772,Registeel,80,75,150,75,150,50
773,Rhyperior,115,140,130,55,55,40
774,Stonjourner,100,125,135,20,20,70
775,Electivire,75,123,67,95,85,95
776,Leafeon,65,110,130,60,65,95
777,Abomasnow,90,92,75,92,85,60
778,Diggersby,85,56,77,50,77,78
779,Giratina,150,100,120,100,120,90
780,Swoobat,67,57,55,77,55,114
781,Corviknight,98,87,105,53,85,67
782,Vikavolt,77,70,90,145,75,43
783,Durant,58,109,112,48,48,109
784,Cresselia,120,70,120,75,130,85
785,Mr. Rime,80,85,75,110,100,70
786,Wishiwashi,45,20,20,25,25,40
787,Conkeldurr,105,140,95,55,65,45
788,Boltund,69,90,60,90,60,121
789,Terrakion,91,129,90,72,90,108
790,Cobalion,91,90,129,90,72,108
791,Kyurem-Black,125,170,100,120,90,95
792,Mantine,85,40,70,80,140,70
793,Machamp,90,130,80,65,85,55
794,Goodra,90,100,70,110,150,80
795,Silvally,95,95,95,95,95,95
796,Accelgor,80,70,40,100,60,145
797,Xurkitree,83,89,71,173,71,83
798,Tauros,75,100,95,40,70,110
799,Garbodor,80,95,82,60,82,75
800,Luxray,80,120,79,95,79,70
801,Dugtrio,35,100,50,50,70,120
802,Rotom-Mow,50,65,107,105,107,86
803,Gengar,60,65,60,130,75,110
804,Glaceon,65,60,110,130,95,65
805,Manectric,70,75,60,105,60,105
806,Palossand,85,75,110,100,75,35
807,Espeon,65,65,60,130,95,110
808,Crobat,85,90,80,70,80,130
809,Tyrantrum,82,121,119,69,59,71
810,Cinccino,75,95,60,65,60,115
811,Kommo-o,75,110,125,100,105,85
812,Blissey,255,10,10,75,135,55
813,Cloyster,50,95,180,85,45,70
814,Blaziken,80,120,70,110,70,80
815,Drampa,78,60,85,135,91,36
816,Hawlucha,78,92,75,74,63,118
817,Mr. Mime-Galar,50,65,65,90,90,100
818,Grapploct,80,118,90,70,80,42
819,Zoroark,60,105,60,120,60,105
820,Lilligant,70,60,75,110,75,90
821,Clawitzer,71,73,88,120,89,59
822,Qwilfish,65,95,85,55,55,85
823,Haxorus,76,147,90,60,70,97
824,Dhelmise,70,131,100,86,90,40
825,Runerigus,58,95,145,50,105,30
826,Braviary,100,123,75,57,75,80
827,Virizion,91,90,72,90,129,108
828,Togetic,55,40,85,80,105,40
829,Raichu-Alola,60,85,50,95,85,110
830,Beartic,95,130,80,70,80,50
831,Copperajah,122,130,69,80,69,30
832,Flapple,70,110,80,95,60,70
833,Sylveon,95,65,65,110,130,60
834,Slurpuff,82,80,86,85,75,72
835,Eiscue,75,80,110,65,90,50
836,Hippowdon,108,112,118,68,72,47
837,Alakazam,55,50,45,135,95,120
838,Torracat,65,85,50,80,50,90
839,Thievul,70,58,58,87,92,90
840,Arctozolt,90,100,90,90,80,55
841,Cofagrigus,58,50,145,95,105,30
842,Starmie,60,75,85,100,85,115
843,Turtonator,60,78,135,91,85,36
844,Sharpedo,70,120,40,95,40,95
845,Salazzle,68,64,60,111,60,117
846,Ninetales,73,76,75,81,100,100
847,Ninetales,73,76,75,81,100,100
848,Emolga,55,75,60,75,60,103
849,Ribombee,60,55,60,95,70,124
850,Charjabug,57,82,95,55,75,36
851,Toxtricity,75,98,70,114,70,75
852,Vaporeon,130,65,60,110,95,65
853,Mr. Mime,40,45,65,100,120,90
854,Magnezone,70,70,115,130,90,60
855,Gallade,68,125,65,65,115,80
856,Lopunny,65,76,84,54,96,105
857,Gourgeist-Small,55,85,122,58,75,99
858,Malamar,86,92,88,68,75,73
859,Golisopod,75,125,140,60,90,40
860,Golduck,80,82,78,95,80,85
861,Shiinotic,60,45,80,90,100,30
862,Lycanroc-Dusk,75,117,65,55,65,110
863,Unfezant,80,115,80,65,55,93
864,Perrserker,70,110,100,50,60,50
865,Slowbro-Galar,95,100,95,100,70,30
866,Bouffalant,95,110,95,40,95,55
867,Rotom-Frost,50,65,107,105,107,86
868,Roserade,60,70,65,125,105,90
869,Tangrowth,100,100,125,110,50,50
870,Sandaconda,72,107,125,65,70,71
871,Polteageist,60,65,65,134,114,70
872,Tangela,65,55,115,100,40,60
873,Morpeko,58,95,58,70,58,97
874,Eldegoss,60,50,90,80,120,60
875,Aromatisse,101,72,72,99,89,29
876,Miltank,95,80,105,40,70,100
877,Gourgeist-Super,85,100,122,58,75,54
878,Crawdaunt,63,120,85,90,55,55
879,Heracross,80,125,75,40,95,85
880,Magneton,50,60,95,120,70,70
881,Stoutland,85,110,90,45,90,80
882,Noivern,85,70,80,97,80,123
883,Claydol,60,70,105,70,120,75
884,Jolteon,65,65,60,110,95,130
885,Vileplume,75,80,85,110,90,50
886,Cursola,60,95,50,145,130,30
887,Falinks,65,100,100,70,60,75
888,Dedenne,67,58,57,81,67,101
889,Flygon,80,100,80,80,80,100
890,Crustle,70,105,125,65,75,45
891,Reuniclus,110,65,75,125,85,30
892,Dusknoir,45,100,135,65,135,45
893,Drapion,70,90,110,60,75,95
894,Exploud,104,91,63,91,73,68
895,Wigglytuff,140,70,45,85,50,45
896,Gardevoir,68,65,65,125,115,80
897,Corsola-Galar,60,55,100,65,100,30
898,Vanilluxe,71,95,85,110,95,79
899,Seaking,80,92,65,65,80,68
900,Sigilyph,72,58,80,103,80,97
901,Decidueye,78,107,75,100,100,70
902,Galvantula,70,77,60,97,60,108
903,Arctovish,90,90,100,80,90,55
904,Maractus,75,86,67,106,67,60
905,Orbeetle,60,45,110,80,120,90
906,Passimian,100,120,90,40,60,80
907,Ninjask,61,90,45,50,50,160
908,Druddigon,77,120,90,60,90,48
909,Lycanroc,75,115,65,55,65,112
910,Beheeyem,75,75,75,125,95,40
911,Marowak,60,80,110,50,80,45
912,Tentacruel,80,70,65,80,120,100
913,Dragalge,65,75,90,97,123,44
914,Flareon,65,130,60,95,110,65
915,Bewear,120,125,80,55,60,60
916,Scyther,70,110,80,55,80,105
917,Sandslash-Alola,75,100,120,25,65,65
918,Poliwrath,90,95,95,70,90,70
919,Lycanroc-Midnight,85,115,75,55,75,82
920,Golurk,89,124,80,55,80,55
921,Lickilicky,110,85,95,80,95,50
922,Rotom-Fan,50,65,107,105,107,86
923,Hitmonlee,50,120,53,35,110,87
924,Scolipede,60,100,89,55,69,112
925,Dunsparce,100,70,70,65,65,45
926,Sandslash,75,100,110,45,55,65
927,Steelix,75,85,200,55,65,30
928,Noctowl,100,50,50,86,96,70
929,Corsola,65,55,95,65,95,35
930,Mime Jr.,20,25,45,70,90,60
931,Zacian-Crowned,92,170,115,80,115,148
932,Incineroar,95,115,90,80,90,60
933,Kyogre,100,100,90,150,140,90
934,Grimmsnarl,95,120,65,95,75,60
935,Regieleki,80,100,50,100,50,200
936,Rillaboom,100,125,90,60,70,85
937,Groudon,100,150,140,100,90,90
938,Calyrex-Shadow,100,85,80,165,100,150
939,Thundurus,79,115,70,125,80,111
940,Landorus-Therian,89,145,90,105,80,91
941,Gastrodon,111,83,68,92,82,39
942,Charizard,78,84,78,109,85,100
943,Amoonguss,114,85,70,85,80,30
944,Indeedee-F,70,55,65,95,105,85
945,Whimsicott,60,67,85,77,75,116
946,Yveltal,126,131,95,131,98,99
947,Calyrex-Ice,100,165,150,85,130,50
948,Palkia,90,120,100,150,120,100
949,Porygon2,85,80,90,105,95,60
950,Tornadus,79,115,70,125,80,111
951,Zapdos,90,90,85,125,90,100
952,Kartana,59,181,131,59,31,109
953,Blastoise,79,83,100,85,105,78
954,Venusaur,80,82,83,100,100,80
955,Ferrothorn,74,94,131,54,116,20
956,Ditto,48,48,48,48,48,48
957,Urshifu,100,130,100,63,60,97
958,Xerneas,126,131,95,131,98,99
959,Dialga,100,120,120,150,100,90
960,Shedinja,1,90,45,30,30,40
961,Solgaleo,137,137,107,113,89,97
962,Zacian-Crowned,92,170,115,80,115,148
963,Incineroar,95,115,90,80,90,60
964,Kyogre,100,100,90,150,140,90
965,Grimmsnarl,95,120,65,95,75,60
966,Regieleki,80,100,50,100,50,200
967,Rillaboom,100,125,90,60,70,85
968,Groudon,100,150,140,100,90,90
969,Calyrex-Shadow,100,85,80,165,100,150
970,Thundurus,79,115,70,125,80,111
971,Landorus-Therian,89,145,90,105,80,91
972,Gastrodon,111,83,68,92,82,39
973,Charizard,78,84,78,109,85,100
974,Amoonguss,114,85,70,85,80,30
975,Indeedee-F,70,55,65,95,105,85
976,Whimsicott,60,67,85,77,75,116
977,Yveltal,126,131,95,131,98,99
978,Calyrex-Ice,100,165,150,85,130,50
979,Palkia,90,120,100,150,120,100
980,Porygon2,85,80,90,105,95,60
981,Tornadus,79,115,70,125,80,111
982,Zapdos,90,90,85,125,90,100
983,Kartana,59,181,131,59,31,109
984,Blastoise,79,83,100,85,105,78
985,Venusaur,80,82,83,100,100,80
986,Ferrothorn,74,94,131,54,116,20
987,Ditto,48,48,48,48,48,48
988,Zacian-Crowned,92,170,115,80,115,148
989,Incineroar,95,115,90,80,90,60
990,Kyogre,100,100,90,150,140,90
991,Grimmsnarl,95,120,65,95,75,60
992,Regieleki,80,100,50,100,50,200
993,Rillaboom,100,125,90,60,70,85
994,Groudon,100,150,140,100,90,90
995,Calyrex-Shadow,100,85,80,165,100,150
996,Zacian-Crowned,92,170,115,80,115,148
997,Incineroar,95,115,90,80,90,60
998,Kyogre,100,100,90,150,140,90
999,Grimmsnarl,95,120,65,95,75,60
1000,Regieleki,80,100,50,100,50,200
1001,Rillaboom,100,125,90,60,70,85
1002,Groudon,100,150,140,100,90,90
1003,Zacian-Crowned,92,170,115,80,115,148
1004,Incineroar,95,115,90,80,90,60
1005,Kyogre,100,100,90,150,140,90
1006,Grimmsnarl,95,120,65,95,75,60
1007,Regieleki,80,100,50,100,50,200
1008,Rillaboom,100,125,90,60,70,85
1009,Groudon,100,150,140,100,90,90
1010,Calyrex-Shadow,100,85,80,165,100,150
1011,Thundurus,79,115,70,125,80,111
1012,Landorus-Therian,89,145,90,105,80,91
1013,Zacian-Crowned,92,170,115,80,115,148
1014,Incineroar,95,115,90,80,90,60
1015,Kyogre,100,100,90,150,140,90
1016,Grimmsnarl,95,120,65,95,75,60
1017,Regieleki,80,100,50,100,50,200
1018,Rillaboom,100,125,90,60,70,85
1019,Groudon,100,150,140,100,90,90
1020,Calyrex-Shadow,100,85,80,165,100,150
1021,Thundurus,79,115,70,125,80,111
1022,Landorus-Therian,89,145,90,105,80,91
1023,Gastrodon,111,83,68,92,82,39
1024,Charizard,78,84,78,109,85,100
1025,Amoonguss,114,85,70,85,80,30
1026,Indeedee-F,70,55,65,95,105,85
1027,Whimsicott,60,67,85,77,75,116
1028,Yveltal,126,131,95,131,98,99
1029,Calyrex-Ice,100,165,150,85,130,50
1030,Palkia,90,120,100,150,120,100
1031,Porygon2,85,80,90,105,95,60
1032,Tornadus,79,115,70,125,80,111
1033,Zapdos,90,90,85,125,90,100
1034,Kartana,59,181,131,59,31,109
1035,Zacian-Crowned,92,170,115,80,115,148
1036,Incineroar,95,115,90,80,90,60
1037,Kyogre,100,100,90,150,140,90
1038,Grimmsnarl,95,120,65,95,75,60
1039,Regieleki,80,100,50,100,50,200
1040,Rillaboom,100,125,90,60,70,85
1041,Groudon,100,150,140,100,90,90
1042,Calyrex-Shadow,100,85,80,165,100,150
1043,Thundurus,79,115,70,125,80,111
1044,Landorus-Therian,89,145,90,105,80,91
1045,Zacian-Crowned,92,170,115,80,115,148
1046,Incineroar,95,115,90,80,90,60
1047,Kyogre,100,100,90,150,140,90
1048,Grimmsnarl,95,120,65,95,75,60
1049,Regieleki,80,100,50,100,50,200
1050,Zacian-Crowned,92,170,115,80,115,148
1051,Incineroar,95,115,90,80,90,60
1052,Kyogre,100,100,90,150,140,90
1053,Grimmsnarl,95,120,65,95,75,60
1054,Regieleki,80,100,50,100,50,200
1055,Rillaboom,100,125,90,60,70,85
1056,Groudon,100,150,140,100,90,90
1057,Calyrex-Shadow,100,85,80,165,100,150
1058,Thundurus,79,115,70,125,80,111
1059,Landorus-Therian,89,145,90,105,80,91
1060,Gastrodon,111,83,68,92,82,39
1061,Charizard,78,84,78,109,85,100
1062,Amoonguss,114,85,70,85,80,30
1063,Indeedee-F,70,55,65,95,105,85
1064,Whimsicott,60,67,85,77,75,116
1065,Yveltal,126,131,95,131,98,99
1066,Calyrex-Ice,100,165,150,85,130,50
1067,Palkia,90,120,100,150,120,100
1068,Porygon2,85,80,90,105,95,60
1069,Tornadus,79,115,70,125,80,111
1070,Zapdos,90,90,85,125,90,100
1071,Zacian-Crowned,92,170,115,80,115,148
1072,Incineroar,95,115,90,80,90,60
1073,Kyogre,100,100,90,150,140,90
1074,Grimmsnarl,95,120,65,95,75,60
1075,Regieleki,80,100,50,100,50,200
1076,Rillaboom,100,125,90,60,70,85
1077,Groudon,100,150,140,100,90,90
1078,Calyrex-Shadow,100,85,80,165,100,150
1079,Thundurus,79,115,70,125,80,111
1080,Landorus-Therian,89,145,90,105,80,91
1081,Gastrodon,111,83,68,92,82,39
1082,Charizard,78,84,78,109,85,100
1083,Amoonguss,114,85,70,85,80,30
1084,Zacian-Crowned,92,170,115,80,115,148
1085,Incineroar,95,115,90,80,90,60
1086,Kyogre,100,100,90,150,140,90
1087,Grimmsnarl,95,120,65,95,75,60
1088,Regieleki,80,100,50,100,50,200
1089,Rillaboom,100,125,90,60,70,85
1090,Groudon,100,150,140,100,90,90
1091,Calyrex-Shadow,100,85,80,165,100,150
1092,Thundurus,79,115,70,125,80,111
1093,Landorus-Therian,89,145,90,105,80,91
1094,Gastrodon,111,83,68,92,82,39
1095,Charizard,78,84,78,109,85,100
1096,Amoonguss,114,85,70,85,80,30
1097,Indeedee-F,70,55,65,95,105,85
1098,Whimsicott,60,67,85,77,75,116
1099,Yveltal,126,131,95,131,98,99
1100,Calyrex-Ice,100,165,150,85,130,50
1101,Palkia,90,120,100,150,120,100
1102,Porygon2,85,80,90,105,95,60
1103,Tornadus,79,115,70,125,80,111
1104,Zapdos,90,90,85,125,90,100
1105,Kartana,59,181,131,59,31,109
1106,Blastoise,79,83,100,85,105,78
1107,Venusaur,80,82,83,100,100,80
1108,Ferrothorn,74,94,131,54,116,20
1109,Ditto,48,48,48,48,48,48
1110,Urshifu,100,130,100,63,60,97
1111,Xerneas,126,131,95,131,98,99
1112,Dialga,100,120,120,150,100,90
1113,Shedinja,1,90,45,30,30,40
1114,Solgaleo,137,137,107,113,89,97
1115,Dusclops,40,70,130,60,130,25
1116,Torkoal,70,85,140,85,70,20
1117,Kingdra,75,95,95,95,95,85
1118,Raichu,60,90,55,90,80,110
1119,Weezing,65,90,120,85,70,60
1120,Entei,115,115,85,90,75,100
1121,Lunala,137,113,89,137,107,97
1122,Kyurem-White,125,120,90,170,100,95
1123,Tapu Fini,70,75,115,95,130,85
1124,Sableye,50,75,75,65,65,50
1125,Urshifu-Rapid-Strike,100,130,100,63,60,97
1126,Tapu Lele,70,85,75,130,115,95
1127,Mimikyu,55,90,80,50,105,96
1128,Gothitelle,70,55,95,95,110,65
1129,Seismitoad,105,95,75,85,75,74
1130,Ho-Oh,106,130,90,110,154,90
1131,Rotom-Heat,50,65,107,105,107,86
1132,Eternatus,140,85,95,145,95,130
1133,Regigigas,110,160,110,80,110,100
1134,Cinderace,80,116,75,65,75,119
1135,Bronzong,67,89,116,79,116,33
1136,Togekiss,85,50,95,120,115,80
1137,Coalossal,110,80,120,80,90,30
1138,Dragapult,88,120,75,100,75,142
1139,Umbreon,95,65,110,60,130,65
1140,Indeedee,60,65,55,105,95,95
1141,Comfey,51,52,90,82,110,100
1142,Lapras,130,85,80,85,95,60
1143,Rayquaza,105,150,90,150,90,95
1144,Spectrier,100,65,60,145,80,130
1145,Reshiram,100,120,100,150,120,90
1146,Zygarde,108,100,121,81,95,95
1147,Mamoswine,110,130,80,70,60,80
1148,Necrozma-Dawn-Wings,97,113,109,157,127,77
1149,Barraskewda,61,123,60,60,50,136
1150,Celesteela,97,101,103,107,101,61
1151,Metagross,80,135,130,95,90,70
1152,Araquanid,68,70,92,50,132,42
1153,Pheromosa,71,137,37,137,37,151
1154,Arcanine,90,110,80,100,80,95
1155,Zamazenta-Crowned,92,130,145,80,145,128
1156,Clefairy,70,45,48,60,65,35
1157,Mienshao,65,125,60,95,60,105
1158,Lugia,106,90,130,90,154,110
1159,Chansey,250,5,5,35,105,50
1160,Suicune,100,75,115,90,115,85
1161,Landorus,89,125,90,115,80,101
1162,Necrozma-Dusk-Mane,97,157,127,113,109,77
1163,Alcremie,65,60,75,110,121,64
1164,Tapu Koko,70,115,85,95,75,130
1165,Liepard,64,88,50,88,50,106
1166,Hydreigon,92,105,90,125,90,98
1167,Weavile,70,120,65,45,85,125
1168,Tsareena,72,120,98,50,98,72
1169,Glastrier,100,145,130,65,110,30
1170,Dracovish,90,90,100,70,80,75
1171,Regidrago,200,100,50,100,50,80
1172,Hitmontop,50,95,95,35,110,70
1173,Darmanitan-Galar,105,140,55,30,55,95
1174,Zekrom,100,150,120,120,100,90
1175,Shuckle,20,10,230,10,230,5
1176,Zapdos-Galar,90,125,90,85,90,100
1177,Volcarona,85,60,65,135,105,100
1178,Meowstic,74,48,76,83,81,104
1179,Persian-Alola,65,60,60,75,65,115
1180,Snorlax,160,110,65,65,110,30
1181,Stakataka,61,131,211,53,101,13
1182,Thundurus-Therian,79,105,70,145,80,101
1183,Moltres-Galar,90,85,90,100,125,90
1184,Talonflame,78,81,71,74,69,126
1185,Milotic,95,60,79,100,125,81
1186,Mewtwo,106,110,90,154,90,130
1187,Klinklang,60,100,115,70,85,90
1188,Inteleon,70,85,65,125,65,120
1189,Salamence,95,135,80,110,80,100
1190,Hatterene,57,90,95,136,103,29
1191,Sneasel,55,95,55,35,75,115
1192,Escavalier,70,135,105,60,105,20
1193,Rotom-Wash,50,65,107,105,107,86
1194,Politoed,90,75,75,90,100,70
1195,Ludicolo,80,70,70,90,100,70
1196,Slowking,95,75,80,100,110,30
1197,Swampert,100,110,90,85,90,60
1198,Azumarill,100,50,80,60,80,50
1199,Scizor,70,130,100,55,80,65
1200,Articuno-Galar,90,85,85,125,100,95
1201,Tyranitar,100,134,110,95,100,61
1202,Pikachu,35,55,40,50,50,90
1203,Ninetales-Alola,73,67,75,81,100,109
1204,Marowak-Alola,60,80,110,50,80,45
1205,Slowbro,95,75,110,100,80,30
1206,Giratina-Origin,150,120,100,120,100,90
1207,Toxapex,50,63,152,53,142,35
1208,Raikou,90,85,75,115,100,115
1209,Pelipper,60,50,100,95,70,65
1210,Weezing-Galar,65,90,120,85,70,60
1211,Kingler,55,130,115,50,50,75
1212,Oranguru,90,60,80,90,110,60
1213,Nihilego,109,53,47,127,131,103
1214,Togedemaru,65,98,63,40,73,96
1215,Gyarados,95,125,79,60,100,81
1216,Garchomp,108,130,95,80,85,102
1217,Heliolisk,62,55,52,109,94,109
1218,Tapu Bulu,70,130,115,85,95,75
1219,Kangaskhan,105,95,80,40,80,90
1220,Moltres,90,100,90,125,85,90
1221,Krookodile,95,117,80,65,70,92
1222,Drifblim,150,80,44,90,54,80
1223,Excadrill,110,135,60,50,65,88
1224,Primarina,80,74,74,126,116,60
1225,Shiftry,90,100,60,90,60,80
1226,Chandelure,60,55,90,145,90,80
1227,Toxicroak,83,106,65,86,65,85
1228,Dracozolt,90,100,90,80,70,75
1229,Sceptile,70,85,65,105,85,120
1230,Pincurchin,48,101,95,91,85,15
1231,Aegislash,60,50,140,50,140,60
1232,Centiskorch,100,115,65,90,90,65
1233,Greedent,120,95,95,55,75,20
1234,Porygon-Z,85,80,70,135,75,90
1235,Butterfree,60,45,50,90,80,70
1236,Lucario,70,110,70,115,70,90
1237,Mudsdale,100,125,100,55,85,35
1238,Cherrim,70,60,70,87,78,85
1239,Exeggutor,95,95,85,125,75,55
1240,Altaria,75,70,90,70,105,80
1241,Klefki,57,80,91,80,87,75
1242,Froslass,70,80,70,80,70,110
1243,Gigalith,85,135,130,60,80,25
1244,Jellicent,100,60,70,85,105,60
1245,Riolu,40,70,40,35,40,60
1246,Mandibuzz,110,65,105,55,95,80
1247,Lurantis,70,105,90,80,90,45
1248,Latias,80,80,90,110,130,110
1249,Exeggutor-Alola,95,105,85,125,75,45
1250,Dragonite,91,134,95,100,100,80
1251,Darmanitan,105,140,55,30,55,95
1252,Cradily,86,81,97,81,107,43
1253,Obstagoon,93,90,101,60,81,95
1254,Scrafty,65,90,115,45,115,58
1255,Aerodactyl,80,105,65,60,75,130
1256,Kabutops,60,115,105,65,70,80
1257,Articuno,90,85,100,95,125,85
1258,Blacephalon,53,127,53,151,79,107
1259,Duraludon,70,95,115,120,50,85
1260,Trevenant,85,110,76,65,82,56
1261,Drednaw,90,115,90,48,68,74
1262,Heatran,91,90,106,130,106,77
1263,Clefable,95,70,73,95,90,60
1264,Appletun,110,85,80,100,80,30
1265,Bisharp,65,125,100,60,70,70
1266,Registeel,80,75,150,75,150,50
1267,Rhyperior,115,140,130,55,55,40
1268,Stonjourner,100,125,135,20,20,70
1269,Electivire,75,123,67,95,85,95
1270,Leafeon,65,110,130,60,65,95
1271,Abomasnow,90,92,75,92,85,60
1272,Diggersby,85,56,77,50,77,78
1273,Giratina,150,100,120,100,120,90
1274,Swoobat,67,57,55,77,55,114
1275,Corviknight,98,87,105,53,85,67
1276,Vikavolt,77,70,90,145,75,43
1277,Durant,58,109,112,48,48,109
1278,Cresselia,120,70,120,75,130,85
1279,Mr. Rime,80,85,75,110,100,70
1280,Wishiwashi,45,20,20,25,25,40
1281,Conkeldurr,105,140,95,55,65,45
1282,Boltund,69,90,60,90,60,121
1283,Terrakion,91,129,90,72,90,108
1284,Cobalion,91,90,129,90,72,108
1285,Kyurem-Black,125,170,100,120,90,95
1286,Mantine,85,40,70,80,140,70
1287,Machamp,90,130,80,65,85,55
1288,Goodra,90,100,70,110,150,80
1289,Silvally,95,95,95,95,95,95
1290,Accelgor,80,70,40,100,60,145
1291,Xurkitree,83,89,71,173,71,83
1292,Tauros,75,100,95,40,70,110
1293,Garbodor,80,95,82,60,82,75
1294,Luxray,80,120,79,95,79,70
1295,Dugtrio,35,100,50,50,70,120
1296,Rotom-Mow,50,65,107,105,107,86
1297,Gengar,60,65,60,130,75,110
1298,Glaceon,65,60,110,130,95,65
1299,Manectric,70,75,60,105,60,105
1300,Palossand,85,75,110,100,75,35
1301,Espeon,65,65,60,130,95,110
1302,Crobat,85,90,80,70,80,130
1303,Tyrantrum,82,121,119,69,59,71
1304,Cinccino,75,95,60,65,60,115
1305,Kommo-o,75,110,125,100,105,85
1306,Blissey,255,10,10,75,135,55
1307,Cloyster,50,95,180,85,45,70
1308,Blaziken,80,120,70,110,70,80
1309,Drampa,78,60,85,135,91,36
1310,Hawlucha,78,92,75,74,63,118
1311,Mr. Mime-Galar,50,65,65,90,90,100
1312,Grapploct,80,118,90,70,80,42
1313,Zoroark,60,105,60,120,60,105
1314,Lilligant,70,60,75,110,75,90
1315,Clawitzer,71,73,88,120,89,59
1316,Qwilfish,65,95,85,55,55,85
1317,Haxorus,76,147,90,60,70,97
1318,Dhelmise,70,131,100,86,90,40
1319,Runerigus,58,95,145,50,105,30
1320,Braviary,100,123,75,57,75,80
1321,Virizion,91,90,72,90,129,108
1322,Togetic,55,40,85,80,105,40
1323,Raichu-Alola,60,85,50,95,85,110
1324,Beartic,95,130,80,70,80,50
1325,Copperajah,122,130,69,80,69,30
1326,Flapple,70,110,80,95,60,70
1327,Sylveon,95,65,65,110,130,60
