,UsePercentage,Pokemon,Teammate
697,85.910,Dawn Wings Necrozma,Thundurus Incarnate Forme
698,21.428,Metagross,Thundurus Incarnate Forme
699,48.365,Arcanine,Thundurus Incarnate Forme
700,42.197,Zamazenta Crowned Shield,Thundurus Incarnate Forme
701,20.796,Clefairy,Thundurus Incarnate Forme
702,32.563,Suicune,Thundurus Incarnate Forme
703,19.106,Dusk Mane Necrozma,Thundurus Incarnate Forme
704,66.684,Alcremie,Thundurus Incarnate Forme
705,10.184,Hitmontop,Thundurus Incarnate Forme
706,40.268,Darmanitan Galarian Standard Mode,Thundurus Incarnate Forme
707,16.412,Snorlax,Thundurus Incarnate Forme
708,12.216,Mewtwo,Thundurus Incarnate Forme
709,43.127,Politoed,Thundurus Incarnate Forme
710,40.935,Ludicolo,Thundurus Incarnate Forme
711,13.797,Slowking,Thundurus Incarnate Forme
712,6.685,Swampert,Thundurus Incarnate Forme
713,39.538,Scizor,Thundurus Incarnate Forme
714,74.970,Giratina Origin Forme,Thundurus Incarnate Forme
715,80.433,Toxapex,Thundurus Incarnate Forme
716,16.588,Pelipper,Thundurus Incarnate Forme
717,18.633,Nihilego,Thundurus Incarnate Forme
718,29.930,Gyarados,Thundurus Incarnate Forme
719,8.914,Garchomp,Thundurus Incarnate Forme
720,45.074,Tapu Bulu,Thundurus Incarnate Forme
721,9.430,Primarina,Thundurus Incarnate Forme
722,63.501,Shiftry,Thundurus Incarnate Forme
723,33.187,Centiskorch,Thundurus Incarnate Forme
724,14.766,Cherrim,Thundurus Incarnate Forme
725,19.859,Altaria,Thundurus Incarnate Forme
726,23.372,Riolu,Thundurus Incarnate Forme
727,61.251,Darmanitan Standard Mode,Thundurus Incarnate Forme
728,57.505,Kabutops,Thundurus Incarnate Forme
729,4.105,Drednaw,Thundurus Incarnate Forme
730,31.116,Appletun,Thundurus Incarnate Forme
731,63.961,Stonjourner,Thundurus Incarnate Forme
732,20.288,Giratina Altered Forme,Thundurus Incarnate Forme
733,13.331,Durant,Thundurus Incarnate Forme
734,97.498,Mr. Rime,Thundurus Incarnate Forme
735,5.072,Mantine,Thundurus Incarnate Forme
736,81.097,Garbodor,Thundurus Incarnate Forme
737,8.177,Luxray,Thundurus Incarnate Forme
738,39.299,Espeon,Thundurus Incarnate Forme
739,32.682,Hawlucha,Thundurus Incarnate Forme
740,22.407,Zacian Crowned Sword,Landorus Therian Forme
741,24.334,Kyogre,Landorus Therian Forme
742,15.336,Grimmsnarl,Landorus Therian Forme
743,23.315,Regieleki,Landorus Therian Forme
744,18.854,Rillaboom,Landorus Therian Forme
745,16.505,Gastrodon,Landorus Therian Forme
746,19.878,Amoonguss,Landorus Therian Forme
747,24.166,Indeedee Female,Landorus Therian Forme
748,16.249,Whimsicott,Landorus Therian Forme
749,45.888,Yveltal,Landorus Therian Forme
750,28.733,Tornadus Incarnate Forme,Landorus Therian Forme
751,10.598,Zapdos,Landorus Therian Forme
752,18.727,Kartana,Landorus Therian Forme
753,8.942,Blastoise,Landorus Therian Forme
754,18.900,Ferrothorn,Landorus Therian Forme
755,14.684,Urshifu Single Strike Style,Landorus Therian Forme
756,21.224,Dialga,Landorus Therian Forme
757,24.825,Shedinja,Landorus Therian Forme
758,15.982,Solgaleo,Landorus Therian Forme
759,29.610,Kingdra,Landorus Therian Forme
760,11.675,Raichu,Landorus Therian Forme
761,31.514,Sableye,Landorus Therian Forme
762,16.728,Ho-oh,Landorus Therian Forme
763,46.956,Heat Rotom,Landorus Therian Forme
764,16.623,Bronzong,Landorus Therian Forme
765,21.919,Lapras,Landorus Therian Forme
766,25.596,Reshiram,Landorus Therian Forme
767,9.412,Barraskewda,Landorus Therian Forme
768,39.459,Clefairy,Landorus Therian Forme
769,23.019,Lugia,Landorus Therian Forme
770,13.185,Suicune,Landorus Therian Forme
771,70.031,Weavile,Landorus Therian Forme
772,12.078,Tsareena,Landorus Therian Forme
773,15.176,Dracovish,Landorus Therian Forme
774,14.902,Meowstic Male,Landorus Therian Forme
775,69.332,Alolan Persian,Landorus Therian Forme
776,15.422,Milotic,Landorus Therian Forme
777,21.731,Mewtwo,Landorus Therian Forme
778,40.363,Wash Rotom,Landorus Therian Forme
779,15.984,Ludicolo,Landorus Therian Forme
780,16.911,Tyranitar,Landorus Therian Forme
781,17.109,Alolan Marowak,Landorus Therian Forme
782,76.879,Giratina Origin Forme,Landorus Therian Forme
783,11.381,Toxapex,Landorus Therian Forme
784,61.903,Pelipper,Landorus Therian Forme
785,16.531,Gyarados,Landorus Therian Forme
786,9.072,Primarina,Landorus Therian Forme
787,12.295,Shiftry,Landorus Therian Forme
788,2.145,Toxicroak,Landorus Therian Forme
789,15.262,Sceptile,Landorus Therian Forme
790,22.450,Aegislash Shield Forme,Landorus Therian Forme
791,21.057,Butterfree,Landorus Therian Forme
792,21.340,Altaria,Landorus Therian Forme
793,34.365,Froslass,Landorus Therian Forme
794,18.246,Jellicent,Landorus Therian Forme
795,20.071,Alolan Exeggutor,Landorus Therian Forme
796,12.969,Obstagoon,Landorus Therian Forme
797,65.394,Aerodactyl,Landorus Therian Forme
798,4.401,Drednaw,Landorus Therian Forme
799,17.706,Heatran,Landorus Therian Forme
800,80.619,Registeel,Landorus Therian Forme
801,30.957,Conkeldurr,Landorus Therian Forme
802,30.022,Cobalion,Landorus Therian Forme
803,19.278,Black Kyurem,Landorus Therian Forme
804,10.186,Mantine,Landorus Therian Forme
805,16.605,Accelgor,Landorus Therian Forme
806,4.519,Garbodor,Landorus Therian Forme
807,19.937,Palossand,Landorus Therian Forme
808,58.495,Blissey,Landorus Therian Forme
809,29.415,Blaziken,Landorus Therian Forme
810,41.071,Mime Galarian Mr. Mime,Landorus Therian Forme
811,20.653,Zacian Crowned Sword,Regieleki
812,23.941,Incineroar,Regieleki
813,23.057,Kyogre,Regieleki
814,17.088,Grimmsnarl,Regieleki
815,19.062,Rillaboom,Regieleki
816,18.069,Groudon,Regieleki
817,41.234,Calyrex Shadow Rider,Regieleki
818,34.477,Landorus Therian Forme,Regieleki
819,19.102,Charizard,Regieleki
820,35.762,Amoonguss,Regieleki
821,30.412,Indeedee Female,Regieleki
822,37.898,Whimsicott,Regieleki
823,51.634,Yveltal,Regieleki
824,36.174,Calyrex Ice Rider,Regieleki
825,33.459,Palkia,Regieleki
826,20.761,Porygon2,Regieleki
827,19.366,Tornadus Incarnate Forme,Regieleki
828,38.350,Blastoise,Regieleki
829,25.844,Ferrothorn,Regieleki
830,17.147,Ditto,Regieleki
831,40.160,Urshifu Single Strike Style,Regieleki
832,15.972,Xerneas,Regieleki
833,20.568,Dialga,Regieleki
834,19.283,Solgaleo,Regieleki
835,50.931,Dusclops,Regieleki
836,20.153,Weezing,Regieleki
837,38.760,Lunala,Regieleki
838,31.675,White Kyurem,Regieleki
839,36.819,Urshifu Rapid Strike Style,Regieleki
840,18.316,Tapu Lele,Regieleki
841,33.519,Mimikyu,Regieleki
842,20.880,Gothitelle,Regieleki
843,17.110,Ho-oh,Regieleki
844,16.219,Eternatus,Regieleki
845,35.065,Regigigas,Regieleki
846,32.880,Cinderace,Regieleki
847,12.016,Bronzong,Regieleki
848,35.897,Togekiss,Regieleki
849,66.451,Indeedee Male,Regieleki
850,23.603,Comfey,Regieleki
851,41.148,Lapras,Regieleki
852,17.116,Rayquaza,Regieleki
853,17.215,Spectrier,Regieleki
854,48.222,Mamoswine,Regieleki
855,16.922,Arcanine,Regieleki
856,47.149,Clefairy,Regieleki
857,17.635,Mienshao,Regieleki
858,59.821,Landorus Incarnate Forme,Regieleki
859,16.433,Dusk Mane Necrozma,Regieleki
860,34.018,Hydreigon,Regieleki
861,11.545,Weavile,Regieleki
862,52.867,Tsareena,Regieleki
863,9.522,Regidrago,Regieleki
864,53.590,Hitmontop,Regieleki
865,29.285,Zekrom,Regieleki
866,15.049,Galarian Zapdos,Regieleki
867,31.951,Volcarona,Regieleki
868,18.773,Meowstic Male,Regieleki
869,7.187,Alolan Persian,Regieleki
870,17.863,Snorlax,Regieleki
871,35.612,Galarian Moltres,Regieleki
872,18.575,Talonflame,Regieleki
873,46.413,Mewtwo,Regieleki
874,27.838,Inteleon,Regieleki
875,41.972,Wash Rotom,Regieleki
876,78.840,Swampert,Regieleki
877,24.709,Galarian Articuno,Regieleki
878,15.629,Tyranitar,Regieleki
879,68.119,Galarian Weezing,Regieleki
880,49.314,Moltres,Regieleki
881,13.860,Primarina,Regieleki
882,17.515,Shiftry,Regieleki
883,16.706,Chandelure,Regieleki
884,11.096,Greedent,Regieleki
885,33.458,Cherrim,Regieleki
886,7.398,Exeggutor,Regieleki
887,35.394,Froslass,Regieleki
888,6.248,Lurantis,Regieleki
889,42.110,Latias,Regieleki
890,20.022,Alolan Exeggutor,Regieleki
891,53.554,Scrafty,Regieleki
892,10.368,Kabutops,Regieleki
893,32.270,Blacephalon,Regieleki
894,29.326,Duraludon,Regieleki
895,1.572,Trevenant,Regieleki
896,82.563,Drednaw,Regieleki
897,23.685,Bisharp,Regieleki
898,11.063,Registeel,Regieleki
899,15.179,Stonjourner,Regieleki
900,24.453,Abomasnow,Regieleki
901,20.658,Giratina Altered Forme,Regieleki
902,43.257,Durant,Regieleki
903,4.088,Wishiwashi Solo Form,Regieleki
904,45.468,Conkeldurr,Regieleki
905,1.002,Mantine,Regieleki
906,66.044,Machamp,Regieleki
907,36.820,Silvally,Regieleki
908,67.802,Tauros,Regieleki
909,4.880,Dugtrio,Regieleki
910,50.875,Glaceon,Regieleki
911,14.414,Cinccino,Regieleki
912,21.548,Blissey,Regieleki
913,43.888,Mime Galarian Mr. Mime,Regieleki
914,19.761,Zacian Crowned Sword,Calyrex Shadow Rider
915,31.704,Regieleki,Calyrex Shadow Rider
916,31.258,Rillaboom,Calyrex Shadow Rider
917,37.556,Thundurus Incarnate Forme,Calyrex Shadow Rider
918,19.329,Landorus Therian Forme,Calyrex Shadow Rider
919,23.682,Gastrodon,Calyrex Shadow Rider
920,27.633,Indeedee Female,Calyrex Shadow Rider
921,38.013,Whimsicott,Calyrex Shadow Rider
922,9.062,Zapdos,Calyrex Shadow Rider
923,71.101,Blastoise,Calyrex Shadow Rider
924,34.781,Ditto,Calyrex Shadow Rider
925,36.336,Weezing,Calyrex Shadow Rider
926,12.259,White Kyurem,Calyrex Shadow Rider
927,39.911,Urshifu Rapid Strike Style,Calyrex Shadow Rider
928,23.599,Tapu Lele,Calyrex Shadow Rider
929,78.613,Regigigas,Calyrex Shadow Rider
930,23.732,Cinderace,Calyrex Shadow Rider
931,29.813,Togekiss,Calyrex Shadow Rider
932,12.458,Coalossal,Calyrex Shadow Rider
933,64.363,Indeedee Male,Calyrex Shadow Rider
934,16.019,Comfey,Calyrex Shadow Rider
935,20.988,Lapras,Calyrex Shadow Rider
936,77.049,Mamoswine,Calyrex Shadow Rider
937,29.039,Barraskewda,Calyrex Shadow Rider
938,30.822,Celesteela,Calyrex Shadow Rider
939,23.657,Metagross,Calyrex Shadow Rider
940,31.833,Araquanid,Calyrex Shadow Rider
941,46.257,Clefairy,Calyrex Shadow Rider
942,72.737,Mienshao,Calyrex Shadow Rider
943,16.267,Suicune,Calyrex Shadow Rider
944,32.507,Tsareena,Calyrex Shadow Rider
945,17.695,Glastrier,Calyrex Shadow Rider
946,21.760,Dracovish,Calyrex Shadow Rider
947,9.778,Regidrago,Calyrex Shadow Rider
948,55.016,Hitmontop,Calyrex Shadow Rider
949,41.273,Darmanitan Galarian Standard Mode,Calyrex Shadow Rider
950,14.506,Shuckle,Calyrex Shadow Rider
951,12.280,Galarian Zapdos,Calyrex Shadow Rider
952,39.275,Volcarona,Calyrex Shadow Rider
953,15.226,Meowstic Male,Calyrex Shadow Rider
954,6.108,Alolan Persian,Calyrex Shadow Rider
955,15.435,Snorlax,Calyrex Shadow Rider
956,12.790,Stakataka,Calyrex Shadow Rider
957,16.494,Galarian Moltres,Calyrex Shadow Rider
958,40.623,Milotic,Calyrex Shadow Rider
959,22.659,Klinklang,Calyrex Shadow Rider
960,16.512,Inteleon,Calyrex Shadow Rider
961,8.553,Salamence,Calyrex Shadow Rider
962,13.759,Hatterene,Calyrex Shadow Rider
963,7.019,Escavalier,Calyrex Shadow Rider
964,71.488,Politoed,Calyrex Shadow Rider
965,6.752,Swampert,Calyrex Shadow Rider
966,31.106,Alolan Ninetales,Calyrex Shadow Rider
967,77.557,Pelipper,Calyrex Shadow Rider
968,90.946,Galarian Weezing,Calyrex Shadow Rider
969,49.959,Kingler,Calyrex Shadow Rider
970,18.299,Gyarados,Calyrex Shadow Rider
971,12.205,Garchomp,Calyrex Shadow Rider
972,72.650,Heliolisk,Calyrex Shadow Rider
973,44.857,Tapu Bulu,Calyrex Shadow Rider
974,1.818,Drifblim,Calyrex Shadow Rider
975,84.219,Toxicroak,Calyrex Shadow Rider
976,46.762,Dracozolt,Calyrex Shadow Rider
977,84.392,Greedent,Calyrex Shadow Rider
978,63.087,Exeggutor,Calyrex Shadow Rider
979,36.029,Froslass,Calyrex Shadow Rider
980,18.859,Mandibuzz,Calyrex Shadow Rider
981,37.231,Darmanitan Standard Mode,Calyrex Shadow Rider
982,13.608,Obstagoon,Calyrex Shadow Rider
983,58.978,Aerodactyl,Calyrex Shadow Rider
984,30.422,Duraludon,Calyrex Shadow Rider
985,20.361,Bisharp,Calyrex Shadow Rider
986,24.912,Stonjourner,Calyrex Shadow Rider
987,52.331,Electivire,Calyrex Shadow Rider
988,9.716,Diggersby,Calyrex Shadow Rider
989,75.245,Swoobat,Calyrex Shadow Rider
990,75.551,Durant,Calyrex Shadow Rider
991,38.115,Terrakion,Calyrex Shadow Rider
992,69.636,Machamp,Calyrex Shadow Rider
993,45.050,Silvally,Calyrex Shadow Rider
994,40.525,Xurkitree,Calyrex Shadow Rider
995,70.255,Tauros,Calyrex Shadow Rider
996,82.164,Garbodor,Calyrex Shadow Rider
997,58.595,Dugtrio,Calyrex Shadow Rider
998,29.190,Crobat,Calyrex Shadow Rider
999,21.392,Blissey,Calyrex Shadow Rider
1000,42.605,Drampa,Calyrex Shadow Rider
1001,17.465,Zacian Crowned Sword,Groudon
1002,27.542,Incineroar,Groudon
1003,39.662,Grimmsnarl,Groudon
1004,19.951,Thundurus Incarnate Forme,Groudon
1005,48.020,Gastrodon,Groudon
1006,86.831,Charizard,Groudon
1007,10.337,Yveltal,Groudon
1008,21.925,Porygon2,Groudon
1009,55.583,Venusaur,Groudon
1010,60.273,Xerneas,Groudon
1011,11.544,Solgaleo,Groudon
1012,6.739,Dusclops,Groudon
1013,49.476,Lunala,Groudon
1014,40.072,Tapu Fini,Groudon
1015,13.204,Sableye,Groudon
1016,12.131,Mimikyu,Groudon
1017,12.265,Ho-oh,Groudon
1018,69.054,Bronzong,Groudon
1019,22.777,Dragapult,Groudon
1020,40.685,Umbreon,Groudon
1021,13.423,Lapras,Groudon
1022,37.132,Spectrier,Groudon
1023,23.991,Reshiram,Groudon
1024,85.864,Dawn Wings Necrozma,Groudon
1025,27.040,Metagross,Groudon
1026,12.586,Clefairy,Groudon
1027,64.868,Suicune,Groudon
1028,37.428,Tapu Koko,Groudon
1029,18.833,Hydreigon,Groudon
1030,9.244,Weavile,Groudon
1031,17.260,Glastrier,Groudon
1032,32.215,Darmanitan Galarian Standard Mode,Groudon
1033,5.262,Alolan Persian,Groudon
1034,10.987,Thundurus Therian Forme,Groudon
1035,44.433,Milotic,Groudon
1036,16.854,Mewtwo,Groudon
1037,6.441,Sneasel,Groudon
1038,5.569,Azumarill,Groudon
1039,58.088,Scizor,Groudon
1040,20.877,Tyranitar,Groudon
1041,38.735,Pikachu,Groudon
1042,27.460,Alolan Ninetales,Groudon
1043,15.327,Alolan Marowak,Groudon
1044,5.583,Pelipper,Groudon
1045,50.540,Togedemaru,Groudon
1046,12.958,Heliolisk,Groudon
1047,58.155,Primarina,Groudon
1048,17.637,Shiftry,Groudon
1049,50.485,Chandelure,Groudon
1050,66.875,Sceptile,Groudon
1051,37.774,Centiskorch,Groudon
1052,0.258,Greedent,Groudon
1053,88.123,Cherrim,Groudon
1054,74.069,Exeggutor,Groudon
1055,23.138,Klefki,Groudon
1056,25.417,Riolu,Groudon
1057,5.192,Lurantis,Groudon
1058,32.569,Latias,Groudon
1059,14.042,Alolan Exeggutor,Groudon
1060,12.725,Obstagoon,Groudon
1061,31.186,Scrafty,Groudon
1062,55.534,Aerodactyl,Groudon
1063,26.363,Articuno,Groudon
1064,23.555,Blacephalon,Groudon
1065,13.592,Duraludon,Groudon
1066,59.852,Trevenant,Groudon
1067,71.914,Stonjourner,Groudon
1068,55.038,Leafeon,Groudon
1069,3.346,Swoobat,Groudon
1070,12.190,Corviknight,Groudon
1071,36.211,Vikavolt,Groudon
1072,33.496,Cresselia,Groudon
1073,97.498,Mr. Rime,Groudon
1074,48.832,Boltund,Groudon
1075,35.985,Terrakion,Groudon
1076,33.714,Goodra,Groudon
1077,37.459,Glaceon,Groudon
1078,39.871,Espeon,Groudon
1079,45.754,Crobat,Groudon
1080,10.983,Cinccino,Groudon
1081,72.571,Kommo-o,Groudon
1082,59.583,Incineroar,Zacian Crowned Sword
1083,57.093,Kyogre,Zacian Crowned Sword
1084,66.854,Grimmsnarl,Zacian Crowned Sword
1085,44.907,Regieleki,Zacian Crowned Sword
1086,70.548,Rillaboom,Zacian Crowned Sword
1087,49.700,Groudon,Zacian Crowned Sword
1088,55.883,Calyrex Shadow Rider,Zacian Crowned Sword
1089,69.339,Thundurus Incarnate Forme,Zacian Crowned Sword
1090,72.049,Landorus Therian Forme,Zacian Crowned Sword
1091,78.876,Gastrodon,Zacian Crowned Sword
1092,58.274,Charizard,Zacian Crowned Sword
1093,45.934,Amoonguss,Zacian Crowned Sword
1094,43.973,Indeedee Female,Zacian Crowned Sword
1095,52.199,Whimsicott,Zacian Crowned Sword
1096,61.076,Yveltal,Zacian Crowned Sword
1097,29.264,Palkia,Zacian Crowned Sword
1098,43.137,Porygon2,Zacian Crowned Sword
1099,62.536,Tornadus Incarnate Forme,Zacian Crowned Sword
1100,69.785,Zapdos,Zacian Crowned Sword
1101,75.478,Kartana,Zacian Crowned Sword
1102,87.112,Blastoise,Zacian Crowned Sword
1103,38.214,Venusaur,Zacian Crowned Sword
1104,64.175,Ferrothorn,Zacian Crowned Sword
1105,64.346,Ditto,Zacian Crowned Sword
1106,35.025,Urshifu Single Strike Style,Zacian Crowned Sword
1107,76.954,Shedinja,Zacian Crowned Sword
1108,7.837,Dusclops,Zacian Crowned Sword
1109,51.753,Torkoal,Zacian Crowned Sword
1110,84.609,Kingdra,Zacian Crowned Sword
1111,53.881,Raichu,Zacian Crowned Sword
1112,70.597,Weezing,Zacian Crowned Sword
1113,64.292,Entei,Zacian Crowned Sword
1114,23.460,Lunala,Zacian Crowned Sword
1115,44.355,White Kyurem,Zacian Crowned Sword
1116,44.519,Sableye,Zacian Crowned Sword
1117,51.567,Urshifu Rapid Strike Style,Zacian Crowned Sword
1118,62.420,Tapu Lele,Zacian Crowned Sword
1119,64.952,Gothitelle,Zacian Crowned Sword
1120,57.494,Seismitoad,Zacian Crowned Sword
1121,27.773,Ho-oh,Zacian Crowned Sword
1122,76.144,Heat Rotom,Zacian Crowned Sword
1123,22.388,Eternatus,Zacian Crowned Sword
1124,79.060,Regigigas,Zacian Crowned Sword
1125,26.548,Cinderace,Zacian Crowned Sword
1126,87.812,Coalossal,Zacian Crowned Sword
1127,62.648,Dragapult,Zacian Crowned Sword
1128,43.745,Umbreon,Zacian Crowned Sword
1129,20.648,Indeedee Male,Zacian Crowned Sword
1130,40.260,Comfey,Zacian Crowned Sword
1131,65.293,Lapras,Zacian Crowned Sword
1132,67.541,Rayquaza,Zacian Crowned Sword
1133,49.985,Spectrier,Zacian Crowned Sword
1134,46.420,Reshiram,Zacian Crowned Sword
1135,19.164,Zygarde Complete Forme,Zacian Crowned Sword
1136,60.699,Mamoswine,Zacian Crowned Sword
1137,68.544,Barraskewda,Zacian Crowned Sword
1138,78.633,Araquanid,Zacian Crowned Sword
1139,55.504,Clefairy,Zacian Crowned Sword
1140,47.745,Mienshao,Zacian Crowned Sword
1141,60.177,Lugia,Zacian Crowned Sword
1142,47.824,Chansey,Zacian Crowned Sword
1143,65.499,Suicune,Zacian Crowned Sword
1144,21.122,Landorus Incarnate Forme,Zacian Crowned Sword
1145,32.945,Liepard,Zacian Crowned Sword
1146,59.360,Hydreigon,Zacian Crowned Sword
1147,75.418,Weavile,Zacian Crowned Sword
1148,24.386,Tsareena,Zacian Crowned Sword
1149,77.196,Dracovish,Zacian Crowned Sword
1150,71.973,Regidrago,Zacian Crowned Sword
1151,14.110,Hitmontop,Zacian Crowned Sword
1152,42.705,Darmanitan Galarian Standard Mode,Zacian Crowned Sword
1153,24.233,Shuckle,Zacian Crowned Sword
1154,26.037,Galarian Zapdos,Zacian Crowned Sword
1155,41.736,Volcarona,Zacian Crowned Sword
1156,56.539,Meowstic Male,Zacian Crowned Sword
1157,69.669,Alolan Persian,Zacian Crowned Sword
1158,35.930,Snorlax,Zacian Crowned Sword
1159,70.196,Thundurus Therian Forme,Zacian Crowned Sword
1160,42.898,Galarian Moltres,Zacian Crowned Sword
1161,47.145,Talonflame,Zacian Crowned Sword
1162,34.365,Milotic,Zacian Crowned Sword
1163,51.952,Mewtwo,Zacian Crowned Sword
1164,75.950,Inteleon,Zacian Crowned Sword
1165,72.967,Salamence,Zacian Crowned Sword
1166,8.956,Sneasel,Zacian Crowned Sword
1167,60.672,Wash Rotom,Zacian Crowned Sword
1168,81.144,Politoed,Zacian Crowned Sword
1169,33.582,Ludicolo,Zacian Crowned Sword
1170,84.981,Swampert,Zacian Crowned Sword
1171,36.372,Tyranitar,Zacian Crowned Sword
1172,41.961,Pikachu,Zacian Crowned Sword
1173,30.920,Alolan Ninetales,Zacian Crowned Sword
1174,63.914,Slowbro,Zacian Crowned Sword
1175,80.799,Pelipper,Zacian Crowned Sword
1176,26.728,Galarian Weezing,Zacian Crowned Sword
1177,47.922,Kingler,Zacian Crowned Sword
1178,59.092,Nihilego,Zacian Crowned Sword
1179,48.502,Gyarados,Zacian Crowned Sword
1180,63.682,Garchomp,Zacian Crowned Sword
1181,5.455,Heliolisk,Zacian Crowned Sword
1182,44.839,Tapu Bulu,Zacian Crowned Sword
1183,17.774,Kangaskhan,Zacian Crowned Sword
1184,64.729,Moltres,Zacian Crowned Sword
1185,46.724,Excadrill,Zacian Crowned Sword
1186,20.033,Primarina,Zacian Crowned Sword
1187,76.358,Shiftry,Zacian Crowned Sword
1188,70.533,Chandelure,Zacian Crowned Sword
1189,7.904,Toxicroak,Zacian Crowned Sword
1190,22.451,Dracozolt,Zacian Crowned Sword
1191,13.692,Sceptile,Zacian Crowned Sword
1192,16.196,Aegislash Shield Forme,Zacian Crowned Sword
1193,42.535,Centiskorch,Zacian Crowned Sword
1194,95.452,Greedent,Zacian Crowned Sword
1195,52.698,Porygon-Z,Zacian Crowned Sword
1196,48.711,Butterfree,Zacian Crowned Sword
1197,49.805,Mudsdale,Zacian Crowned Sword
1198,29.513,Cherrim,Zacian Crowned Sword
1199,26.046,Altaria,Zacian Crowned Sword
1200,44.851,Klefki,Zacian Crowned Sword
1201,36.304,Froslass,Zacian Crowned Sword
1202,78.428,Gigalith,Zacian Crowned Sword
1203,35.825,Jellicent,Zacian Crowned Sword
1204,41.762,Mandibuzz,Zacian Crowned Sword
1205,40.801,Latias,Zacian Crowned Sword
1206,31.361,Dragonite,Zacian Crowned Sword
1207,48.014,Darmanitan Standard Mode,Zacian Crowned Sword
1208,41.617,Cradily,Zacian Crowned Sword
1209,75.555,Obstagoon,Zacian Crowned Sword
1210,24.802,Scrafty,Zacian Crowned Sword
1211,70.189,Kabutops,Zacian Crowned Sword
1212,55.147,Duraludon,Zacian Crowned Sword
1213,66.854,Heatran,Zacian Crowned Sword
1214,36.547,Appletun,Zacian Crowned Sword
1215,38.218,Bisharp,Zacian Crowned Sword
1216,31.429,Rhyperior,Zacian Crowned Sword
1217,65.041,Stonjourner,Zacian Crowned Sword
1218,5.312,Electivire,Zacian Crowned Sword
1219,42.372,Leafeon,Zacian Crowned Sword
1220,92.159,Diggersby,Zacian Crowned Sword
1221,17.204,Giratina Altered Forme,Zacian Crowned Sword
1222,16.510,Corviknight,Zacian Crowned Sword
1223,39.367,Durant,Zacian Crowned Sword
1224,39.014,Cresselia,Zacian Crowned Sword
1225,93.029,Wishiwashi Solo Form,Zacian Crowned Sword
1226,91.058,Boltund,Zacian Crowned Sword
1227,14.839,Cobalion,Zacian Crowned Sword
1228,68.825,Mantine,Zacian Crowned Sword
1229,69.681,Machamp,Zacian Crowned Sword
1230,20.231,Accelgor,Zacian Crowned Sword
1231,50.254,Xurkitree,Zacian Crowned Sword
1232,73.885,Tauros,Zacian Crowned Sword
1233,60.871,Luxray,Zacian Crowned Sword
1234,15.452,Palossand,Zacian Crowned Sword
1235,41.813,Crobat,Zacian Crowned Sword
1236,11.656,Tyrantrum,Zacian Crowned Sword
1237,85.177,Cinccino,Zacian Crowned Sword
1238,9.986,Kommo-o,Zacian Crowned Sword
1239,60.248,Blissey,Zacian Crowned Sword
1240,74.181,Cloyster,Zacian Crowned Sword
1241,82.838,Drampa,Zacian Crowned Sword
1242,57.146,Hawlucha,Zacian Crowned Sword
1243,66.779,Mime Galarian Mr. Mime,Zacian Crowned Sword
1244,22.683,Incineroar,Charizard
1245,36.087,Grimmsnarl,Charizard
1246,72.403,Groudon,Charizard
1247,13.580,Thundurus Incarnate Forme,Charizard
1248,45.372,Gastrodon,Charizard
1249,8.957,Whimsicott,Charizard
1250,14.708,Venusaur,Charizard
1251,44.081,Xerneas,Charizard
1252,39.053,Lunala,Charizard
1253,24.874,Tapu Fini,Charizard
1254,11.781,Sableye,Charizard
1255,9.394,Bronzong,Charizard
1256,14.637,Dragapult,Charizard
1257,32.414,Umbreon,Charizard
1258,37.121,Spectrier,Charizard
1259,85.794,Dawn Wings Necrozma,Charizard
1260,47.839,Suicune,Charizard
1261,8.488,Weavile,Charizard
1262,12.104,Mewtwo,Charizard
1263,6.257,Sneasel,Charizard
1264,51.474,Garchomp,Charizard
1265,48.761,Chandelure,Charizard
1266,7.581,Exeggutor,Charizard
1267,36.443,Klefki,Charizard
1268,5.272,Lurantis,Charizard
1269,54.519,Aerodactyl,Charizard
1270,19.598,Bisharp,Charizard
1271,12.393,Rhyperior,Charizard
1272,14.805,Stonjourner,Charizard
1273,27.162,Cresselia,Charizard
1274,48.981,Boltund,Charizard
1275,18.492,Terrakion,Charizard
1276,22.703,Goodra,Charizard
1277,2.817,Mime Galarian Mr. Mime,Charizard
1278,32.866,Ninetales,Charizard
1279,36.755,Malamar,Charizard
1280,23.066,Vileplume,Charizard
1281,1.818,Arctovish,Charizard
1282,25.813,Maractus,Charizard
1283,18.692,Incineroar,Amoonguss
1284,21.721,Regieleki,Amoonguss
1285,17.854,Landorus Therian Forme,Amoonguss
1286,19.386,Yveltal,Amoonguss
1287,51.585,Calyrex Ice Rider,Amoonguss
1288,65.320,Palkia,Amoonguss
1289,25.303,Porygon2,Amoonguss
1290,40.781,Tornadus Incarnate Forme,Amoonguss
1291,11.350,Zapdos,Amoonguss
1292,31.812,Kartana,Amoonguss
1293,17.932,Urshifu Single Strike Style,Amoonguss
1294,15.162,Xerneas,Amoonguss
1295,63.232,Dusclops,Amoonguss
1296,16.603,Torkoal,Amoonguss
1297,31.299,Raichu,Amoonguss
1298,36.602,Lunala,Amoonguss
1299,14.378,White Kyurem,Amoonguss
1300,20.371,Tapu Fini,Amoonguss
1301,59.037,Tapu Lele,Amoonguss
1302,33.916,Mimikyu,Amoonguss
1303,15.683,Heat Rotom,Amoonguss
1304,28.807,Lapras,Amoonguss
