,Nature,UsePercentage,Pokemon,Hp,Atk,Def,SpA,SpD,Spe
1761,Careful,19.279,Hitmontop,252,0,52,0,204,0
1762,Adamant,19.233,Hitmontop,252,252,0,0,4,0
1763,Careful,8.488,Hitmontop,252,12,132,0,108,4
1764,Impish,3.945,Hitmontop,252,0,140,0,116,0
1765,Careful,3.488,Hitmontop,252,0,116,0,140,0
1766,Careful,2.660,Hitmontop,252,4,0,0,252,0
1767,Hardy,1.218,Hitmontop,204,84,76,0,92,48
1768,Impish,0.907,Hitmontop,252,0,252,0,4,0
1769,Careful,0.864,Hitmontop,252,0,252,0,4,0
1770,Careful,0.715,Hitmontop,252,0,4,0,252,0
1771,Impish,0.711,Hitmontop,252,252,0,0,0,4
1772,Careful,0.644,Hitmontop,252,44,92,0,116,4
1773,Adamant,0.638,Hitmontop,220,196,4,0,60,28
1774,Careful,0.479,Hitmontop,252,0,44,0,212,0
1775,Brave,0.472,Hitmontop,252,252,0,0,4,0
1776,Jolly,0.376,Hitmontop,4,252,0,0,0,252
1777,Adamant,0.357,Hitmontop,244,28,60,0,132,44
1778,Adamant,0.334,Hitmontop,220,0,140,0,144,0
1779,Jolly,0.333,Hitmontop,252,0,0,0,4,252
1780,Jolly,40.508,Darmanitan Galarian Standard Mode,4,252,0,0,0,252
1781,Jolly,35.950,Darmanitan Galarian Standard Mode,36,252,0,0,0,220
1782,Adamant,13.922,Darmanitan Galarian Standard Mode,4,252,0,0,0,252
1783,Jolly,6.385,Darmanitan Galarian Standard Mode,0,252,0,0,4,252
1784,Jolly,2.162,Darmanitan Galarian Standard Mode,0,0,0,252,4,252
1785,Jolly,0.592,Darmanitan Galarian Standard Mode,20,252,4,0,4,228
1786,Jolly,0.151,Darmanitan Galarian Standard Mode,92,252,0,0,0,164
1787,Hardy,0.118,Darmanitan Galarian Standard Mode,0,252,0,0,0,252
1788,Adamant,0.048,Darmanitan Galarian Standard Mode,0,252,0,0,4,252
1789,Jolly,0.032,Darmanitan Galarian Standard Mode,0,252,4,0,0,252
1790,Jolly,0.028,Darmanitan Galarian Standard Mode,4,248,0,0,0,252
1791,Hardy,0.022,Darmanitan Galarian Standard Mode,52,252,0,0,0,172
1792,Jolly,0.016,Darmanitan Galarian Standard Mode,0,252,0,0,0,252
1793,Hardy,0.016,Darmanitan Galarian Standard Mode,252,252,0,0,0,4
1794,Adamant,0.011,Darmanitan Galarian Standard Mode,0,252,0,0,0,252
1795,Hardy,0.009,Darmanitan Galarian Standard Mode,4,252,0,0,0,252
1796,Adamant,0.007,Darmanitan Galarian Standard Mode,12,244,20,0,4,228
1797,Naive,0.005,Darmanitan Galarian Standard Mode,0,248,0,0,0,252
1798,Jolly,0.005,Darmanitan Galarian Standard Mode,140,252,0,0,0,116
1799,Hardy,0.004,Darmanitan Galarian Standard Mode,12,244,20,0,4,228
1800,Modest,30.149,Zekrom,156,0,4,252,76,20
1801,Jolly,7.720,Zekrom,4,252,0,0,0,252
1802,Bold,7.259,Zekrom,252,0,0,0,52,0
1803,Adamant,6.345,Zekrom,124,156,28,0,4,196
1804,Quiet,5.926,Zekrom,252,0,0,252,4,0
1805,Jolly,4.661,Zekrom,0,252,0,0,4,252
1806,Adamant,3.763,Zekrom,228,252,0,0,4,20
1807,Modest,3.186,Zekrom,124,0,36,236,76,36
1808,Quiet,3.061,Zekrom,196,76,0,236,0,0
1809,Adamant,3.061,Zekrom,12,236,4,0,4,252
1810,Timid,2.848,Zekrom,4,0,0,252,0,252
1811,Bold,2.385,Zekrom,252,0,0,204,52,0
1812,Timid,1.463,Zekrom,68,0,4,220,4,212
1813,Modest,1.175,Zekrom,180,0,0,252,76,0
1814,Modest,1.123,Zekrom,240,0,0,100,100,68
1815,Modest,0.939,Zekrom,252,0,0,172,0,84
1816,Adamant,0.911,Zekrom,156,248,4,0,76,20
1817,Modest,0.887,Zekrom,236,0,0,252,0,20
1818,Timid,0.855,Zekrom,0,0,0,252,4,252
1819,Hardy,0.765,Zekrom,252,4,0,0,0,252
1820,Relaxed,42.032,Shuckle,4,0,252,0,252,0
1821,Bold,38.585,Shuckle,4,0,252,0,252,0
1822,Relaxed,11.528,Shuckle,252,0,252,0,4,0
1823,Calm,1.881,Shuckle,252,0,252,0,4,0
1824,Bold,1.409,Shuckle,252,0,252,0,4,0
1825,Calm,1.163,Shuckle,252,0,156,0,100,0
1826,Relaxed,1.044,Shuckle,244,0,252,0,12,0
1827,Calm,0.958,Shuckle,252,0,4,0,252,0
1828,Bold,0.945,Shuckle,252,0,132,0,124,0
1829,Bold,0.190,Shuckle,252,0,252,4,0,0
1830,Bold,0.127,Shuckle,252,0,0,0,252,0
1831,Impish,0.044,Shuckle,0,0,252,0,252,0
1832,Bold,0.038,Shuckle,252,0,180,0,76,0
1833,Careful,0.023,Shuckle,252,0,196,0,56,0
1834,Relaxed,0.007,Shuckle,252,0,124,0,132,0
1835,Hardy,0.006,Shuckle,0,248,0,252,0,8
1836,Hardy,0.005,Shuckle,252,0,124,0,128,0
1837,Sassy,0.004,Shuckle,252,0,4,0,252,0
1838,Relaxed,0.002,Shuckle,252,0,0,0,252,0
1839,Hardy,0.002,Shuckle,0,0,252,0,252,0
1840,Jolly,43.262,Galarian Zapdos,0,252,0,0,4,252
1841,Adamant,25.725,Galarian Zapdos,244,148,92,0,12,12
1842,Jolly,6.398,Galarian Zapdos,4,252,0,0,0,252
1843,Adamant,5.811,Galarian Zapdos,252,116,92,0,12,36
1844,Adamant,4.091,Galarian Zapdos,28,252,0,0,0,228
1845,Adamant,3.475,Galarian Zapdos,4,252,0,0,0,252
1846,Adamant,3.125,Galarian Zapdos,68,196,4,0,4,236
1847,Adamant,1.390,Galarian Zapdos,20,252,4,0,4,228
1848,Adamant,1.244,Galarian Zapdos,12,252,4,0,4,236
1849,Jolly,0.907,Galarian Zapdos,20,248,0,0,4,236
1850,Jolly,0.760,Galarian Zapdos,24,252,0,0,0,232
1851,Jolly,0.532,Galarian Zapdos,76,180,0,0,0,252
1852,Jolly,0.525,Galarian Zapdos,204,36,4,0,12,252
1853,Jolly,0.506,Galarian Zapdos,252,20,0,0,0,236
1854,Jolly,0.417,Galarian Zapdos,0,252,0,0,6,252
1855,Jolly,0.371,Galarian Zapdos,44,164,4,0,44,252
1856,Adamant,0.225,Galarian Zapdos,220,148,4,0,132,4
1857,Jolly,0.202,Galarian Zapdos,252,0,0,0,4,252
1858,Jolly,0.196,Galarian Zapdos,116,156,0,0,0,236
1859,Adamant,0.163,Galarian Zapdos,0,252,0,0,4,252
1860,Timid,32.043,Volcarona,252,0,4,0,0,252
1861,Bold,22.744,Volcarona,244,0,220,0,0,44
1862,Timid,13.660,Volcarona,4,0,0,252,0,252
1863,Timid,4.727,Volcarona,0,0,0,252,4,252
1864,Timid,3.407,Volcarona,252,0,0,4,0,252
1865,Modest,2.631,Volcarona,188,0,236,76,4,4
1866,Modest,1.991,Volcarona,188,0,52,36,4,228
1867,Timid,1.478,Volcarona,180,0,4,68,4,252
1868,Timid,1.239,Volcarona,156,0,140,12,4,196
1869,Modest,1.167,Volcarona,204,0,60,4,4,236
1870,Serious,1.141,Volcarona,252,0,252,0,4,0
1871,Bold,1.093,Volcarona,252,0,228,0,28,0
1872,Bold,1.074,Volcarona,200,0,228,68,12,0
1873,Calm,0.825,Volcarona,252,0,0,0,252,4
1874,Bold,0.773,Volcarona,252,0,252,0,4,0
1875,Bold,0.691,Volcarona,244,0,244,0,20,0
1876,Bold,0.580,Volcarona,252,0,252,0,0,0
1877,Timid,0.538,Volcarona,248,0,156,16,0,88
1878,Timid,0.529,Volcarona,244,0,4,4,4,252
1879,Calm,0.505,Volcarona,244,0,212,12,36,4
1880,Impish,46.103,Meowstic Male,252,0,252,0,4,0
1881,Calm,13.506,Meowstic Male,252,0,180,4,68,4
1882,Careful,7.820,Meowstic Male,252,4,0,0,252,0
1883,Calm,7.607,Meowstic Male,252,0,4,0,252,0
1884,Careful,3.372,Meowstic Male,252,0,100,0,152,4
1885,Impish,3.123,Meowstic Male,252,0,140,0,116,0
1886,Calm,2.283,Meowstic Male,4,0,252,0,252,0
1887,Modest,2.152,Meowstic Male,0,0,124,252,128,0
1888,Bold,1.271,Meowstic Male,252,0,252,0,4,0
1889,Calm,1.226,Meowstic Male,252,0,0,4,252,0
1890,Relaxed,1.217,Meowstic Male,252,0,156,0,96,0
1891,Careful,1.094,Meowstic Male,248,8,0,0,252,0
1892,Calm,1.042,Meowstic Male,252,0,100,0,152,4
1893,Calm,0.979,Meowstic Male,244,1,92,60,108,5
1894,Calm,0.940,Meowstic Male,252,0,100,0,148,4
1895,Impish,0.893,Meowstic Male,244,0,148,0,116,0
1896,Bold,0.880,Meowstic Male,244,0,148,0,116,0
1897,Impish,0.871,Meowstic Male,252,0,0,0,0,0
1898,Timid,0.607,Meowstic Male,248,0,0,8,0,252
1899,Jolly,0.569,Meowstic Male,252,4,140,0,100,12
1900,Timid,69.876,Alolan Persian,148,0,108,0,0,252
1901,Jolly,4.481,Alolan Persian,252,0,0,0,4,252
1902,Timid,4.157,Alolan Persian,116,0,140,0,0,252
1903,Timid,3.141,Alolan Persian,92,0,156,4,4,252
1904,Impish,2.712,Alolan Persian,252,0,252,0,4,0
1905,Timid,1.979,Alolan Persian,244,0,28,0,0,236
1906,Jolly,1.703,Alolan Persian,116,0,0,0,140,252
1907,Timid,1.668,Alolan Persian,252,0,0,0,4,252
1908,Timid,1.614,Alolan Persian,116,0,0,0,140,252
1909,Timid,1.603,Alolan Persian,252,0,20,4,4,228
1910,Jolly,1.550,Alolan Persian,128,28,0,0,0,252
1911,Hasty,1.397,Alolan Persian,252,4,0,0,0,252
1912,Timid,1.090,Alolan Persian,252,0,0,0,0,252
1913,Calm,0.676,Alolan Persian,252,0,124,0,72,56
1914,Timid,0.547,Alolan Persian,252,0,4,0,0,252
1915,Timid,0.537,Alolan Persian,228,0,28,0,0,252
1916,Jolly,0.272,Alolan Persian,252,4,0,0,0,252
1917,Timid,0.258,Alolan Persian,252,0,0,4,0,252
1918,Hardy,0.180,Alolan Persian,252,0,4,0,0,252
1919,Jolly,0.158,Alolan Persian,244,0,28,0,0,236
1920,Sassy,31.378,Snorlax,244,0,252,0,12,0
1921,Brave,14.871,Snorlax,20,236,252,0,0,0
1922,Adamant,10.701,Snorlax,244,76,164,0,4,20
1923,Brave,6.047,Snorlax,244,252,0,0,12,0
1924,Adamant,5.102,Snorlax,156,76,252,0,12,12
1925,Brave,4.667,Snorlax,180,76,252,0,0,0
1926,Brave,3.422,Snorlax,36,252,220,0,0,0
1927,Adamant,3.408,Snorlax,244,252,0,0,12,0
1928,Impish,2.900,Snorlax,172,0,252,0,84,0
1929,Adamant,2.812,Snorlax,48,252,204,0,0,4
1930,Sassy,2.422,Snorlax,252,0,60,0,196,0
1931,Careful,1.900,Snorlax,196,4,252,0,36,20
1932,Adamant,1.461,Snorlax,252,252,4,0,0,0
1933,Brave,1.412,Snorlax,244,252,12,0,0,0
1934,Adamant,1.227,Snorlax,148,156,140,0,12,52
1935,Brave,0.891,Snorlax,248,252,0,0,8,0
1936,Sassy,0.741,Snorlax,228,0,212,0,68,0
1937,Brave,0.612,Snorlax,252,0,108,0,148,0
1938,Sassy,0.439,Snorlax,164,60,252,0,28,0
1939,Careful,0.413,Snorlax,128,128,0,0,252,0
1940,Lonely,26.966,Stakataka,252,252,0,0,4,0
1941,Brave,16.446,Stakataka,244,252,0,0,12,0
1942,Brave,10.381,Stakataka,252,252,0,0,4,0
1943,Brave,9.712,Stakataka,252,244,12,0,0,0
1944,Relaxed,8.733,Stakataka,252,0,252,0,4,0
1945,Brave,6.320,Stakataka,252,252,4,0,0,0
1946,Lonely,4.411,Stakataka,244,252,0,0,12,0
1947,Adamant,2.371,Stakataka,4,252,252,0,0,0
1948,Lonely,1.978,Stakataka,252,252,0,4,0,0
1949,Sassy,1.373,Stakataka,244,12,0,0,252,0
1950,Sassy,1.236,Stakataka,252,0,28,0,228,0
1951,Relaxed,1.004,Stakataka,244,12,252,0,0,0
1952,Relaxed,0.935,Stakataka,252,4,252,0,0,0
1953,Relaxed,0.931,Stakataka,252,0,4,0,252,0
1954,Sassy,0.816,Stakataka,252,0,4,0,252,0
1955,Relaxed,0.814,Stakataka,252,0,252,0,0,0
1956,Brave,0.559,Stakataka,252,252,0,0,0,0
1957,Sassy,0.530,Stakataka,252,4,0,0,252,0
1958,Brave,0.465,Stakataka,244,12,0,0,252,0
1959,Brave,0.347,Stakataka,236,252,0,0,20,0
1960,Naive,39.300,Thundurus Therian Forme,0,4,0,252,0,252
1961,Timid,28.500,Thundurus Therian Forme,0,0,0,252,4,252
1962,Timid,8.778,Thundurus Therian Forme,4,0,0,252,0,252
1963,Timid,5.642,Thundurus Therian Forme,4,0,4,244,4,252
1964,Timid,4.005,Thundurus Therian Forme,36,0,4,212,4,252
1965,Timid,2.217,Thundurus Therian Forme,148,0,12,92,4,252
1966,Modest,2.139,Thundurus Therian Forme,252,0,108,108,12,28
1967,Timid,2.092,Thundurus Therian Forme,36,0,0,220,0,252
1968,Modest,1.623,Thundurus Therian Forme,236,0,116,4,4,148
1969,Modest,1.185,Thundurus Therian Forme,164,0,4,44,76,220
1970,Timid,0.822,Thundurus Therian Forme,252,0,204,0,12,40
1971,Modest,0.804,Thundurus Therian Forme,212,0,0,252,0,44
1972,Timid,0.728,Thundurus Therian Forme,164,0,0,92,0,252
1973,Hasty,0.534,Thundurus Therian Forme,0,4,0,252,0,252
1974,Timid,0.427,Thundurus Therian Forme,244,0,0,84,0,180
1975,Hardy,0.322,Thundurus Therian Forme,204,0,4,132,28,140
1976,Modest,0.315,Thundurus Therian Forme,84,0,84,36,76,228
1977,Modest,0.172,Thundurus Therian Forme,52,0,4,196,4,252
1978,Modest,0.143,Thundurus Therian Forme,0,0,4,252,0,252
1979,Modest,0.086,Thundurus Therian Forme,0,0,0,252,4,252
1980,Timid,17.113,Galarian Moltres,0,0,0,252,4,252
1981,Timid,13.142,Galarian Moltres,4,0,0,252,0,252
1982,Modest,8.319,Galarian Moltres,172,0,4,252,4,76
1983,Modest,7.479,Galarian Moltres,28,0,4,252,4,220
1984,Timid,6.734,Galarian Moltres,244,0,4,4,4,252
1985,Timid,6.244,Galarian Moltres,76,0,180,0,0,252
1986,Bold,4.998,Galarian Moltres,252,0,156,76,4,20
1987,Calm,4.688,Galarian Moltres,252,0,0,100,156,0
1988,Modest,3.986,Galarian Moltres,204,0,4,156,4,140
1989,Modest,3.713,Galarian Moltres,252,0,124,0,0,132
1990,Modest,3.615,Galarian Moltres,252,0,164,60,20,12
1991,Bold,3.330,Galarian Moltres,252,0,0,252,0,4
1992,Modest,1.967,Galarian Moltres,252,0,4,252,0,0
1993,Bold,1.859,Galarian Moltres,252,0,156,0,100,0
1994,Modest,1.537,Galarian Moltres,188,0,44,76,4,196
1995,Modest,1.465,Galarian Moltres,252,0,0,252,4,0
1996,Hasty,1.041,Galarian Moltres,0,4,0,252,0,252
1997,Modest,0.979,Galarian Moltres,116,0,0,140,0,252
1998,Timid,0.711,Galarian Moltres,0,0,4,252,0,252
1999,Timid,0.596,Galarian Moltres,0,4,0,252,0,252
2000,Jolly,52.694,Talonflame,4,252,0,0,0,252
2001,Timid,15.286,Talonflame,252,0,0,108,0,148
2002,Jolly,11.115,Talonflame,0,252,0,0,4,252
2003,Jolly,6.047,Talonflame,0,252,4,0,0,252
2004,Timid,3.694,Talonflame,252,0,0,4,0,252
2005,Jolly,2.615,Talonflame,76,252,0,0,0,180
2006,Jolly,1.618,Talonflame,252,4,0,0,0,252
2007,Timid,1.088,Talonflame,172,0,68,84,4,180
2008,Jolly,0.772,Talonflame,0,252,0,0,4,204
2009,Modest,0.608,Talonflame,252,0,0,252,0,4
2010,Timid,0.517,Talonflame,52,0,0,252,12,188
2011,Adamant,0.505,Talonflame,4,252,0,0,0,252
2012,Jolly,0.488,Talonflame,0,252,0,4,0,252
2013,Jolly,0.428,Talonflame,252,76,0,0,0,180
2014,Timid,0.310,Talonflame,252,0,0,0,4,252
2015,Jolly,0.297,Talonflame,252,0,0,0,4,252
2016,Naive,0.262,Talonflame,252,4,0,0,0,252
2017,Adamant,0.254,Talonflame,0,252,0,0,4,252
2018,Jolly,0.230,Talonflame,12,252,0,0,0,244
2019,Timid,0.226,Talonflame,0,0,0,252,4,252
2020,Bold,32.837,Milotic,252,0,164,0,92,0
2021,Bold,6.353,Milotic,252,0,172,84,0,0
2022,Calm,5.950,Milotic,252,0,252,0,4,0
2023,Modest,5.297,Milotic,164,0,124,220,0,0
2024,Modest,4.989,Milotic,92,0,100,148,0,164
2025,Bold,4.436,Milotic,252,0,252,4,0,0
2026,Quiet,3.422,Milotic,244,0,172,84,4,0
2027,Modest,3.036,Milotic,252,0,0,252,4,0
2028,Calm,2.852,Milotic,252,0,76,24,156,0
2029,Calm,2.681,Milotic,252,0,116,36,76,28
2030,Timid,2.466,Milotic,100,0,0,152,128,128
2031,Modest,2.207,Milotic,156,0,188,156,4,4
2032,Timid,2.204,Milotic,172,0,20,108,4,204
2033,Calm,1.932,Milotic,252,0,180,0,40,36
2034,Bold,1.814,Milotic,252,0,84,76,20,76
2035,Calm,1.769,Milotic,252,0,4,0,252,0
2036,Relaxed,1.573,Milotic,252,4,252,0,0,0
2037,Bold,1.500,Milotic,252,0,252,0,4,0
2038,Timid,0.826,Milotic,76,0,204,0,0,228
2039,Bold,0.822,Milotic,156,0,100,252,0,0
2040,Timid,16.455,Mewtwo,28,0,68,228,12,172
2041,Quiet,11.425,Mewtwo,252,4,0,252,0,0
2042,Timid,11.123,Mewtwo,0,0,92,164,0,252
2043,Modest,8.839,Mewtwo,76,0,156,124,4,148
2044,Timid,8.628,Mewtwo,4,0,100,244,4,156
2045,Timid,7.044,Mewtwo,60,0,12,252,12,172
2046,Timid,6.524,Mewtwo,108,0,12,252,28,108
2047,Timid,5.887,Mewtwo,0,0,0,252,4,252
2048,Timid,5.668,Mewtwo,108,0,4,252,4,140
2049,Hardy,2.740,Mewtwo,4,0,0,252,0,252
2050,Hasty,2.144,Mewtwo,0,4,0,252,0,252
2051,Timid,1.997,Mewtwo,4,0,0,252,0,252
2052,Bold,1.831,Mewtwo,252,0,20,108,44,84
2053,Quiet,1.409,Mewtwo,252,0,0,252,4,0
2054,Modest,1.236,Mewtwo,150,0,0,158,0,200
2055,Timid,0.818,Mewtwo,4,0,100,236,4,164
2056,Modest,0.703,Mewtwo,204,0,4,124,36,140
2057,Timid,0.669,Mewtwo,76,0,36,132,12,252
2058,Modest,0.651,Mewtwo,4,0,0,252,0,252
2059,Modest,0.633,Mewtwo,4,0,0,252,80,172
2060,Jolly,67.203,Klinklang,4,252,0,0,0,252
2061,Jolly,31.944,Klinklang,0,252,0,0,4,252
2062,Jolly,0.463,Klinklang,124,252,0,0,0,132
2063,Brave,0.142,Klinklang,252,252,0,0,0,0
2064,Adamant,0.097,Klinklang,252,252,0,0,0,4
2065,Relaxed,0.083,Klinklang,252,4,252,0,0,0
2066,Adamant,0.065,Klinklang,252,56,100,0,100,0
2067,Adamant,0.002,Klinklang,0,252,0,0,0,252
2068,Calm,0.001,Klinklang,252,0,148,0,108,0
2069,Serious,0.000,Klinklang,252,0,0,252,0,4
2070,Hardy,0.000,Klinklang,4,252,0,252,0,0
2071,Careful,0.000,Klinklang,172,0,188,0,148,0
2072,Careful,0.000,Klinklang,252,0,4,0,252,0
2073,Quiet,0.000,Klinklang,252,0,0,252,4,0
2074,Jolly,0.000,Klinklang,160,252,0,0,0,96
2075,Jolly,0.000,Klinklang,0,0,252,0,252,4
2076,Calm,0.000,Klinklang,4,0,0,252,252,0
2077,Sassy,0.000,Klinklang,252,0,180,76,0,0
2078,Impish,0.000,Klinklang,4,0,204,0,44,252
2079,Jolly,0.000,Klinklang,0,248,4,0,4,252
2080,Timid,52.893,Inteleon,0,0,0,252,4,252
2081,Timid,25.081,Inteleon,4,0,0,252,0,252
2082,Timid,9.975,Inteleon,4,0,52,252,4,196
2083,Timid,5.868,Inteleon,0,0,20,252,0,236
2084,Modest,3.967,Inteleon,0,0,0,252,4,252
2085,Modest,1.467,Inteleon,4,0,0,252,0,252
2086,Timid,0.311,Inteleon,48,0,100,0,104,252
2087,Timid,0.203,Inteleon,252,0,0,4,0,252
2088,Hasty,0.072,Inteleon,0,4,0,252,0,252
2089,Timid,0.058,Inteleon,20,0,0,252,0,236
2090,Modest,0.017,Inteleon,28,0,0,228,0,252
2091,Hasty,0.014,Inteleon,4,0,0,252,0,252
2092,Timid,0.013,Inteleon,6,0,0,252,0,252
2093,Timid,0.011,Inteleon,4,0,0,252,0,228
2094,Hasty,0.009,Inteleon,0,0,0,252,0,252
2095,Modest,0.007,Inteleon,0,0,0,252,0,252
2096,Modest,0.006,Inteleon,28,0,4,252,4,220
2097,Timid,0.005,Inteleon,116,0,84,132,92,84
2098,Timid,0.005,Inteleon,0,0,0,252,0,252
2099,Timid,0.003,Inteleon,0,4,0,252,0,252
2100,Modest,56.727,Salamence,68,0,84,124,4,228
2101,Jolly,13.283,Salamence,0,252,0,0,4,252
2102,Timid,6.286,Salamence,0,0,0,252,4,252
2103,Timid,5.634,Salamence,4,0,0,252,0,252
2104,Jolly,5.035,Salamence,36,20,92,0,108,252
2105,Adamant,3.714,Salamence,0,252,0,0,4,252
2106,Modest,3.338,Salamence,68,0,76,132,4,228
2107,Modest,2.457,Salamence,0,0,92,252,164,0
2108,Jolly,1.137,Salamence,4,252,0,0,0,252
2109,Adamant,0.783,Salamence,20,252,0,0,0,236
2110,Hasty,0.630,Salamence,0,4,0,252,0,252
2111,Adamant,0.305,Salamence,4,252,0,0,0,252
2112,Timid,0.226,Salamence,0,36,0,252,0,220
2113,Jolly,0.162,Salamence,0,252,4,0,0,252
2114,Jolly,0.055,Salamence,76,252,0,0,0,180
2115,Jolly,0.044,Salamence,44,196,4,0,12,252
2116,Hardy,0.041,Salamence,0,252,0,0,0,252
2117,Adamant,0.038,Salamence,28,252,0,0,0,228
2118,Jolly,0.020,Salamence,0,252,0,0,0,252
2119,Jolly,0.016,Salamence,0,164,20,0,68,252
2120,Quiet,75.151,Hatterene,252,0,0,252,4,0
2121,Quiet,17.074,Hatterene,252,0,4,252,0,0
2122,Sassy,1.467,Hatterene,252,0,140,0,116,0
2123,Modest,1.226,Hatterene,252,0,0,252,4,0
2124,Quiet,0.759,Hatterene,252,4,0,252,0,0
2125,Sassy,0.573,Hatterene,252,0,0,4,252,0
2126,Relaxed,0.557,Hatterene,252,0,252,0,4,0
2127,Quiet,0.459,Hatterene,252,0,0,252,0,0
2128,Modest,0.418,Hatterene,252,0,0,252,0,0
2129,Bold,0.388,Hatterene,140,0,116,252,0,0
2130,Quiet,0.343,Hatterene,212,0,44,252,0,0
2131,Quiet,0.320,Hatterene,0,0,148,228,132,0
2132,Modest,0.245,Hatterene,252,0,4,252,0,0
2133,Hardy,0.234,Hatterene,252,0,4,252,0,0
2134,Quiet,0.221,Hatterene,244,0,236,28,0,0
2135,Calm,0.099,Hatterene,252,0,0,4,252,0
2136,Quiet,0.073,Hatterene,252,0,180,76,0,0
2137,Quiet,0.062,Hatterene,228,0,148,0,132,0
2138,Calm,0.060,Hatterene,252,0,4,0,252,0
2139,Quiet,0.049,Hatterene,4,0,252,252,0,0
2140,Jolly,80.939,Sneasel,4,252,0,0,0,252
2141,Naive,5.345,Sneasel,0,252,0,0,0,252
2142,Jolly,4.928,Sneasel,4,244,4,0,4,252
2143,Naive,4.576,Sneasel,0,252,0,4,0,252
2144,Timid,2.505,Sneasel,4,252,0,0,0,252
2145,Jolly,0.682,Sneasel,0,0,252,0,4,252
2146,Jolly,0.574,Sneasel,252,0,0,0,4,252
2147,Jolly,0.146,Sneasel,252,0,4,0,0,252
2148,Adamant,0.109,Sneasel,4,0,0,252,0,252
2149,Hasty,0.055,Sneasel,80,80,0,4,92,252
2150,Timid,0.051,Sneasel,252,0,0,0,4,252
2151,Hasty,0.050,Sneasel,0,252,0,4,0,252
2152,Hasty,0.016,Sneasel,4,252,0,0,0,252
2153,Hasty,0.015,Sneasel,100,68,84,4,0,252
2154,Timid,0.003,Sneasel,252,0,4,0,0,252
2155,Jolly,0.002,Sneasel,52,188,4,0,36,228
2156,Hasty,0.001,Sneasel,0,0,108,4,140,252
2157,Adamant,0.000,Sneasel,4,252,0,0,0,252
2158,Timid,0.000,Sneasel,252,0,0,4,0,252
2159,Jolly,0.000,Sneasel,252,4,0,0,0,252
2160,Brave,47.308,Escavalier,252,252,0,0,4,0
2161,Brave,44.160,Escavalier,252,252,4,0,0,0
2162,Adamant,2.772,Escavalier,252,252,0,0,4,0
2163,Brave,1.697,Escavalier,252,196,0,0,60,0
2164,Brave,1.528,Escavalier,252,196,60,0,0,0
2165,Adamant,0.687,Escavalier,4,252,252,0,0,0
2166,Careful,0.501,Escavalier,252,4,0,0,252,0
2167,Brave,0.450,Escavalier,252,220,0,0,36,0
2168,Adamant,0.320,Escavalier,252,252,4,0,0,0
2169,Brave,0.138,Escavalier,236,196,0,0,76,0
2170,Brave,0.132,Escavalier,252,252,0,0,0,0
2171,Adamant,0.082,Escavalier,252,252,0,0,0,4
2172,Brave,0.075,Escavalier,252,84,44,0,128,0
2173,Brave,0.069,Escavalier,244,252,4,0,4,0
2174,Brave,0.045,Escavalier,244,196,68,0,0,0
2175,Adamant,0.011,Escavalier,252,196,0,0,60,0
2176,Brave,0.007,Escavalier,204,252,52,0,0,0
2177,Adamant,0.005,Escavalier,92,252,0,0,0,164
2178,Brave,0.005,Escavalier,0,252,124,0,128,0
2179,Brave,0.004,Escavalier,96,252,76,0,80,0
2180,Modest,21.497,Wash Rotom,252,0,76,36,4,140
2181,Bold,15.457,Wash Rotom,252,0,100,0,156,0
2182,Timid,10.043,Wash Rotom,0,0,0,252,4,252
2183,Bold,9.772,Wash Rotom,244,0,44,20,156,44
2184,Timid,6.912,Wash Rotom,4,0,0,252,0,252
2185,Modest,5.591,Wash Rotom,228,0,100,36,76,68
2186,Modest,4.530,Wash Rotom,252,0,0,252,4,0
2187,Bold,3.698,Wash Rotom,252,0,164,0,92,0
2188,Modest,2.872,Wash Rotom,204,0,0,252,0,52
2189,Bold,2.538,Wash Rotom,252,0,20,4,116,116
2190,Modest,2.003,Wash Rotom,244,0,84,36,20,124
2191,Calm,1.460,Wash Rotom,252,0,0,0,168,88
2192,Modest,1.303,Wash Rotom,252,0,0,252,0,4
2193,Modest,1.244,Wash Rotom,252,0,100,36,76,44
2194,Calm,1.215,Wash Rotom,252,0,0,0,252,0
2195,Timid,0.909,Wash Rotom,116,0,0,148,0,244
2196,Modest,0.767,Wash Rotom,252,0,0,196,0,60
2197,Timid,0.750,Wash Rotom,0,0,0,220,36,252
2198,Bold,0.745,Wash Rotom,252,0,124,0,124,8
2199,Bold,0.668,Wash Rotom,212,0,100,60,92,44
2200,Modest,37.940,Politoed,252,0,4,164,84,4
2201,Bold,31.754,Politoed,252,0,196,0,60,0
2202,Calm,5.029,Politoed,212,0,92,124,76,4
2203,Modest,3.303,Politoed,0,0,4,252,252,0
2204,Relaxed,3.212,Politoed,252,0,188,0,68,0
2205,Bold,3.203,Politoed,0,0,252,0,68,156
2206,Bold,2.854,Politoed,248,0,196,0,56,4
2207,Calm,2.453,Politoed,204,0,220,4,76,4
2208,Modest,2.374,Politoed,252,0,4,252,0,0
2209,Bold,1.502,Politoed,252,0,252,0,4,0
2210,Calm,1.324,Politoed,252,0,116,36,100,4
2211,Bold,0.701,Politoed,252,0,252,4,0,0
2212,Timid,0.628,Politoed,180,0,0,0,184,144
2213,Sassy,0.605,Politoed,252,0,148,0,108,0
2214,Relaxed,0.547,Politoed,252,0,252,0,4,0
