,Name,AlternativeEffect,Effect,UsageAttributes,SpecificCategory,GeneralCategory,image_url
142,Energy Powder,"Restores 50 HP, but lowers happiness.",Restores 60 HP but lowers Friendship.,countable; consumable; usable-overworld; usable-in-battle; holdable,Healing,Medicine,https://img.pokemondb.net/sprites/items/energy-powder.png
143,Energy Root,"Restores 200 HP, but lowers happiness.",Restores 120 HP but lowers Friendship.,countable; consumable; usable-overworld; usable-in-battle; holdable,Healing,Medicine,https://img.pokemondb.net/sprites/items/energy-root.png
144,Enigma Berry,Held: Consumed when struck by a super-effective attack to restore 1/4 max HP.,"If held by a Pokémon, it restores its HP if it is hit by any supereffective attack.",holdable-active,Other,Berries,https://img.pokemondb.net/sprites/items/enigma-berry.png
145,Escape Rope,Transports user to the outside entrance of a cave.,"A long, durable rope. Use it to escape instantly from a cave or a dungeon.",,Spelunking,General items,https://img.pokemondb.net/sprites/items/escape-rope.png
146,Ether,Restores 10 PP for one move.,It restores the PP of a Pokémon's selected move by a maximum of 10 points.,countable; consumable; usable-overworld; usable-in-battle; holdable,Pp Recovery,Medicine,https://img.pokemondb.net/sprites/items/ether.png
147,Everstone,Held: Prevents level-based evolution from occuring.,An item to be held by a Pokémon. The Pokémon holding this peculiar stone is prevented from evolving.,holdable; holdable-active; underground,Training,Hold items,https://img.pokemondb.net/sprites/items/everstone.png
148,Eviolite,"Held: Holder has 1.5× Defense and Special Defense, as long as it's not fully evolved.","A mysterious evolutionary lump. When held, it raises the Defense and Sp. Def of a Pokémon that can still evolve.",,Held Items,Hold items,https://img.pokemondb.net/sprites/items/eviolite.png
149,Exp. Candy L,,,,Vitamins,Medicine,https://img.pokemondb.net/s.png
150,Exp. Candy M,,,,Vitamins,Medicine,https://img.pokemondb.net/s.png
151,Exp. Candy S,,,,Vitamins,Medicine,https://img.pokemondb.net/s.png
152,Exp. Candy Xl,,"Increases the Pokémon's Exp points by 30,000.",,Vitamins,Medicine,https://img.pokemondb.net/s.png
153,Exp. Candy Xs,,,,Vitamins,Medicine,https://img.pokemondb.net/s.png
154,Exp. Share,Held: Half the experience from a battle is split between Pokémon holding this item.,An item to be held by a Pokémon. The holder gets a share of a battle's Exp. Points without battling.,holdable; holdable-active,Training,Hold items,https://img.pokemondb.net/sprites/items/exp-share.png
155,Expert Belt,Held: Holder's Super Effective moves do 20% extra damage.,Increases the power of super-effective moves.,holdable; holdable-active,Held Items,Hold items,https://img.pokemondb.net/sprites/items/expert-belt.png
156,Fairy Gem,"Held: When the holder uses a damaging Fairy move, the move has 1.5× power and this item is consumed.",Increases the power of a Fairy-type move only once.,,Jewels,General items,https://img.pokemondb.net/sprites/items/fairy-gem.png
157,Fairy Memory,Held: Changes Silvally to its Fairy form.  Changes Multi-Attack's type to Fairy.,Changes Silvally and its move Multi-Attack to Fairy type.,,Memories,Hold items,https://img.pokemondb.net/sprites/items/fairy-memory.png
158,Fancy Apple,,One of the many ingredients that can be used for cooking at your camp. An apple chosen above others. It has spectacular form and a brilliant sheen.,,Curry Ingredients,General items,https://img.pokemondb.net/s.png
159,Fast Ball,4× effectiveness on Pokémon with 100 or greater base speed. (Gen II: Roaming or Fleeing Pokémon). Made from Wht Apricorn.,A Poké Ball that makes it easier to catch Pokémon which are quick to run away.,,Apricorn Balls,Pokeballs,https://img.pokemondb.net/sprites/items/fast-ball.png
160,Festival Ticket,Hosts a mission in Festival Plaza.,A ticket that allows you to host a mission in Festival Plaza.,,Gameplay,General items,https://img.pokemondb.net/sprites/items/festival-ticket.png
161,Fighting Gem,"Held: When the holder uses a damaging fighting-type move, the move has 1.5× power and this item is consumed.",Increases the power of a Fighting-type move only once.,,Jewels,Hold items,https://img.pokemondb.net/sprites/items/fighting-gem.png
162,Fighting Memory,Held: Changes Silvally to its Fighting form.  Changes Multi-Attack's type to Fighting.,Changes Silvally and its move Multi-Attack to Fighting type.,,Memories,Hold items,https://img.pokemondb.net/sprites/items/fighting-memory.png
163,Figy Berry,Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike spicy flavor.,"Restores HP if it's low, but may cause confusion.",holdable-active,Picky Healing,Berries,https://img.pokemondb.net/sprites/items/figy-berry.png
164,Fire Gem,"Held: When the holder uses a damaging fire-type move, the move has 1.5× power and this item is consumed.",Increases the power of a Fire-type move only once.,,Jewels,Hold items,https://img.pokemondb.net/sprites/items/fire-gem.png
165,Fire Memory,Held: Changes Silvally to its Fire form.  Changes Multi-Attack's type to Fire.,Changes Silvally and its move Multi-Attack to Fire type.,,Memories,Hold items,https://img.pokemondb.net/sprites/items/fire-memory.png
166,Fire Stone,"Evolves an Eevee into Flareon, a Growlithe into Arcanine, a Pansear into Simisear, or a Vulpix into Ninetales.",Evolves certain species of Pokémon.,underground,Evolution,General items,https://img.pokemondb.net/sprites/items/fire-stone.png
167,Fist Plate,Held: Fighting-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Fighting.,Increases power of Fighting-type moves. Changes Arceus' type to Fighting.,holdable; holdable-active; underground,Plates,Hold items,https://img.pokemondb.net/sprites/items/fist-plate.png
168,Flame Orb,Held: Inflicts Burn on the holder at the end of the turn. Activates after Burn damage would occur.,An item to be held by a Pokémon. It is a bizarre orb that inflicts a burn on the holder in battle.,holdable; holdable-active,Bad Held Items,Hold items,https://img.pokemondb.net/sprites/items/flame-orb.png
169,Flame Plate,Held: Fire-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Fire.,Increases power of Fire-type moves. Changes Arceus' type to Fire.,holdable; holdable-active; underground,Plates,Hold items,https://img.pokemondb.net/sprites/items/flame-plate.png
170,Float Stone,Held: Holder has 0.5× weight.,A very light stone. It reduces the weight of a Pokémon when held.,,Held Items,Hold items,https://img.pokemondb.net/sprites/items/float-stone.png
171,Flower Sweet,,Evolves Milcery into Flower Flavor Alcremie.,,Evolution,Hold items,https://img.pokemondb.net/s.png
172,Fluffy Tail,Ends a wild battle.,An item that attracts Pokémon. Use it to flee from any battle with a wild Pokémon.,countable; consumable; usable-in-battle; holdable,Spelunking,General items,https://img.pokemondb.net/sprites/items/fluffy-tail.png
173,Flying Gem,"Held: When the holder uses a damaging flying-type move, the move has 1.5× power and this item is consumed.",Increases the power of a Flying-type move only once.,,Jewels,Hold items,https://img.pokemondb.net/sprites/items/flying-gem.png
174,Flying Memory,Held: Changes Silvally to its Flying form.  Changes Multi-Attack's type to Flying.,Changes Silvally and its move Multi-Attack to Flying type.,,Memories,Hold items,https://img.pokemondb.net/sprites/items/flying-memory.png
175,Focus Band,Held: Holder has 10% chance to survive attacks or self-inflicted damage at 1 HP.,"An item to be held by a Pokémon. The holder may endure a potential KO attack, leaving it with just 1 HP.",holdable; holdable-active,Held Items,Hold items,https://img.pokemondb.net/sprites/items/focus-band.png
176,Focus Sash,"Held: Holder survives any single-hit attack at 1 HP if at max HP, then the item is consumed.","An item to be held by a Pokémon. If it has full HP, the holder will endure one potential KO attack, leaving 1 HP.",holdable; holdable-active,Held Items,Hold items,https://img.pokemondb.net/sprites/items/focus-sash.png
177,Fossilized Bird,,The fossil of an ancient Pokémon that once soared through the sky. What it looked like is a mystery.,,Dex Completion,General items,https://img.pokemondb.net/s.png
178,Fossilized Dino,,The fossil of an ancient Pokémon that once lived in the sea. What it looked like is a mystery.,,Dex Completion,General items,https://img.pokemondb.net/s.png
179,Fossilized Drake,,The fossil of an ancient Pokémon that once roamed the land. What it looked like is a mystery.,,Dex Completion,General items,https://img.pokemondb.net/s.png
180,Fossilized Fish,,The fossil of an ancient Pokémon that once lived in the sea. What it looked like is a mystery.,,Dex Completion,General items,https://img.pokemondb.net/s.png
181,Fresh Cream,,One of the many ingredients that can be used for cooking at your camp. Add some whipped cream to a spicy curry to give it some sweetness.,,Curry Ingredients,General items,https://img.pokemondb.net/s.png
182,Fresh Water,Restores 50 HP.,Restores 30 HP.,countable; consumable; usable-overworld; usable-in-battle; holdable,Healing,Medicine,https://img.pokemondb.net/sprites/items/fresh-water.png
183,Fried Food,,"One of the many ingredients that can be used for cooking at your camp. It’s been a while since it was fried, so it’s gotten greasy.",,Curry Ingredients,General items,https://img.pokemondb.net/s.png
184,Friend Ball,Caught Pokémon start with 200 happiness. Made from Grn Apricorn.,A Poké Ball that makes caught Pokémon more friendly.,,Apricorn Balls,Pokeballs,https://img.pokemondb.net/sprites/items/friend-ball.png
185,Fruit Bunch,,One of the many ingredients that can be used for cooking at your camp. The syrupy fruits give off a strong tropical feel.,,Curry Ingredients,General items,https://img.pokemondb.net/s.png
186,Full Heal,Cures any status ailment and confusion.,A spray-type medicine. It heals all the status problems of a single Pokémon.,countable; consumable; usable-overworld; usable-in-battle; holdable,Status Cures,Medicine,https://img.pokemondb.net/sprites/items/full-heal.png
187,Full Incense,Held: Holder moves last in its priority bracket. Breeding: Snorlax begets a Munchlax Egg.,Holder always attacks last. Breeding Snorlax produces Munchlax when held.,holdable; holdable-active,Bad Held Items,Hold items,https://img.pokemondb.net/sprites/items/full-incense.png
188,Full Restore,Restores HP to full and cures any status ailment and confusion.,A medicine that fully restores the HP and heals any status problems of a single Pokémon.,countable; consumable; usable-overworld; usable-in-battle; holdable,Healing,Medicine,https://img.pokemondb.net/sprites/items/full-restore.png
189,Galarica Cuff,,Evolves Galarian Slowpoke into Galarian Slowbro.,,Collectibles,General items,https://img.pokemondb.net/s.png
190,Galarica Twig,,,,Collectibles,General items,https://img.pokemondb.net/s.png
191,Galarica Wreath,,Evolves Galarian Slowpoke into Galarian Slowking.,,Collectibles,General items,https://img.pokemondb.net/s.png
192,Galladite,Held: Allows Gallade to Mega Evolve into Mega Gallade.,Enables Gallade to Mega Evolve during battle.,,Mega Stones,Hold items,https://img.pokemondb.net/sprites/items/galladite.png
193,Ganlon Berry,Held: Consumed at 1/4 max HP to boost Defense.,Raises Defense when HP is low.,holdable-active,In A Pinch,Berries,https://img.pokemondb.net/sprites/items/ganlon-berry.png
194,Garchompite,Held: Allows Garchomp to Mega Evolve into Mega Garchomp.,Enables Garchomp to Mega Evolve during battle.,,Mega Stones,Hold items,https://img.pokemondb.net/sprites/items/garchompite.png
195,Gardevoirite,Held: Allows Gardevoir to Mega Evolve into Mega Gardevoir.,Enables Gardevoir to Mega Evolve during battle.,,Mega Stones,Hold items,https://img.pokemondb.net/sprites/items/gardevoirite.png
196,Gengarite,Held: Allows Gengar to Mega Evolve into Mega Gengar.,Enables Gengar to Mega Evolve during battle.,,Mega Stones,Hold items,https://img.pokemondb.net/sprites/items/gengarite.png
197,Genius Wing,Increases Special Attack effort by 1.,Increases Special Attack EVs by 1.,,Vitamins,Medicine,https://img.pokemondb.net/sprites/items/genius-wing.png
198,Gentle Mint,,Changes the Pokémon's stats to match the Gentle nature.,,Nature Mints,Battle items,https://img.pokemondb.net/s.png
199,Ghost Gem,"Held: When the holder uses a damaging ghost-type move, the move has 1.5× power and this item is consumed.",Increases the power of a Ghost-type move only once.,,Jewels,Hold items,https://img.pokemondb.net/sprites/items/ghost-gem.png
200,Ghost Memory,Held: Changes Silvally to its Ghost form.  Changes Multi-Attack's type to Ghost.,Changes Silvally and its move Multi-Attack to Ghost type.,,Memories,Hold items,https://img.pokemondb.net/sprites/items/ghost-memory.png
201,Gigantamix,,One of the many ingredients that can be used for cooking at your camp. A mysterious spice. Even a tiny sprinkle is sure to make a curry gigantic.,,Curry Ingredients,General items,https://img.pokemondb.net/s.png
202,Glalitite,Held: Allows Glalie to Mega Evolve into Mega Glalie.,Enables Glalie to Mega Evolve during battle.,,Mega Stones,Hold items,https://img.pokemondb.net/sprites/items/glalitite.png
203,Gold Bottle Cap,Trade to Mr. Hyper to maximize all of a Pokémon's genes.,Maximizes all of a Pokémon's IV stats in Hyper Training.,,Loot,General items,https://img.pokemondb.net/sprites/items/gold-bottle-cap.png
204,Gold Leaf,,,,Loot,General items,https://img.pokemondb.net/s.png
205,Golden Nanab Berry,,"Drastically calms a Pokémon in battle, in Let's Go Pikachu/Eevee.",,Catching Bonus,Berries,https://img.pokemondb.net/sprites/items/golden-nanab-berry.png
206,Golden Pinap Berry,,"Drastically increases chance of getting items when a Pokémon is caught, in Pokémon Let's Go.",,Catching Bonus,Berries,https://img.pokemondb.net/sprites/items/golden-pinap-berry.png
207,Golden Razz Berry,,Makes a Pokémon easier to catch in Pokémon Let's Go.,,Catching Bonus,Berries,https://img.pokemondb.net/sprites/items/golden-razz-berry.png
208,Gooey Mulch,Berries regrow from dead plants an increased number of times.,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.,,Mulch,General items,https://img.pokemondb.net/sprites/items/gooey-mulch.png
209,Grass Gem,"Held: When the holder uses a damaging grass-type move, the move has 1.5× power and this item is consumed.",Increases the power of a Grass-type move only once.,,Jewels,Hold items,https://img.pokemondb.net/sprites/items/grass-gem.png
210,Grass Memory,Held: Changes Silvally to its Grass form.  Changes Multi-Attack's type to Grass.,Changes Silvally and its move Multi-Attack to Grass type.,,Memories,Hold items,https://img.pokemondb.net/sprites/items/grass-memory.png
211,Grassy Seed,Held: Consumed on Grassy Terrain and raises the holder's Defense by one stage.,An item to be held by a Pokémon. It boosts Defense on Grassy Terrain. It can only be used once.,,Held Items,Hold items,https://img.pokemondb.net/sprites/items/grassy-seed.png
212,Great Ball,Tries to catch a wild Pokémon.  Success rate is 1.5×.,"A good, high-performance Ball that provides a higher Pokémon catch rate than a standard Poké Ball.",countable; consumable; usable-in-battle; holdable,Standard Balls,Pokeballs,https://img.pokemondb.net/sprites/items/great-ball.png
213,Green Apricorn,Used to make a Friend Ball.,"A green Apricorn. It has a mysterious, aromatic scent.",,Apricorn Box,General items,https://img.pokemondb.net/sprites/items/green-apricorn.png
214,Green Scarf,Raises the holder's Smartness while in a contest.,Raises holder's Smart aspect in a Contest.,holdable-active,Scarves,General items,https://img.pokemondb.net/sprites/items/green-scarf.png
215,Green Shard,No effect. Can be traded for items or moves.,A small green shard. It appears to be from some sort of implement made long ago.,underground,Collectibles,General items,https://img.pokemondb.net/sprites/items/green-shard.png
216,Grepa Berry,Drops Special Defense Effort Values by 10 and raises happiness.,Increases Friendship but lowers Special Defense EVs.,,Effort Drop,Berries,https://img.pokemondb.net/sprites/items/grepa-berry.png
217,Grip Claw,Held: Holder's multi-turn trapping moves last 5 turns.,A Pokémon held item that extends the duration of multiturn attacks like Bind and Wrap.,holdable; holdable-active,Held Items,Hold items,https://img.pokemondb.net/sprites/items/grip-claw.png
218,Griseous Orb,"Boosts the damage from Giratina's Dragon-type and Ghost-type moves by 20%, and transforms it into Origin Forme.","Increases the power of Dragon- and Ghost-type moves when held by Giratina, and changes it to Origin Forme.",,Species Specific,Hold items,https://img.pokemondb.net/sprites/items/griseous-orb.png
219,Ground Gem,"Held: When the holder uses a damaging ground-type move, the move has 1.5× power and this item is consumed.",Increases the power of a Ground-type move only once.,,Jewels,Hold items,https://img.pokemondb.net/sprites/items/ground-gem.png
220,Ground Memory,Held: Changes Silvally to its Ground form.  Changes Multi-Attack's type to Ground.,Changes Silvally and its move Multi-Attack to Ground type.,,Memories,Hold items,https://img.pokemondb.net/sprites/items/ground-memory.png
221,Growth Mulch,"Growing time of berries is reduced, but the soil dries out faster.",A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.,,Mulch,General items,https://img.pokemondb.net/sprites/items/growth-mulch.png
222,Grubby Hanky,Appears in the Café Warehouse on Sunday; return to the customer with a Patrat on Thursday.,A handkerchief dropped by a regular at Café Warehouse. It smells faintly like a Pokémon.,,Plot Advancement,Hold items,https://img.pokemondb.net/sprites/items/grubby-hanky.png
223,Guard Spec.,Prevents stat changes in battle for five turns in battle.  Raises happiness.,Prevents stat reduction for five turns.,countable; consumable; usable-in-battle; holdable,Stat Boosts,Battle items,https://img.pokemondb.net/sprites/items/guard-spec.png
224,Gyaradosite,Held: Allows Gyarados to Mega Evolve into Mega Gyarados.,Enables Gyarados to Mega Evolve during battle.,,Mega Stones,Hold items,https://img.pokemondb.net/sprites/items/gyaradosite.png
225,Haban Berry,Held: Consumed when struck by a super-effective Dragon-type attack to halve the damage.,Weakens a supereffective Dragon-type attack against the holding Pokémon.,holdable-active,Type Protection,Berries,https://img.pokemondb.net/sprites/items/haban-berry.png
226,Hard Stone,Held: Rock-Type moves from holder do 20% more damage.,Increases the power of Rock-type moves.,holdable; holdable-active; underground,Type Enhancement,Hold items,https://img.pokemondb.net/sprites/items/hard-stone.png
227,Hasty Mint,,Changes the Pokémon's stats to match the Hasty nature.,,Nature Mints,Battle items,https://img.pokemondb.net/s.png
228,Heal Ball,Tries to catch a wild Pokémon.  Caught Pokémon are immediately healed.,A remedial Poké Ball that restores the caught Pokémon's HP and eliminates any status problem.,countable; consumable; usable-in-battle; holdable,Special Balls,Pokeballs,https://img.pokemondb.net/sprites/items/heal-ball.png
229,Heal Powder,"Cures any status ailment, but lowers happiness.","Heals all status problems, but lowers Friendship.",countable; consumable; usable-overworld; usable-in-battle; holdable,Status Cures,Medicine,https://img.pokemondb.net/sprites/items/heal-powder.png
230,Health Candy,,Increases a Pokémon's HP stat by 1.,,Vitamins,Medicine,https://img.pokemondb.net/sprites/items/health-candy.png
231,Health Candy L,,Increases a Pokémon's HP stat.,,Vitamins,Medicine,https://img.pokemondb.net/sprites/items/health-candy-l.png
232,Health Candy Xl,,Increases a Pokémon's HP stat.,,Vitamins,Medicine,https://img.pokemondb.net/sprites/items/health-candy-xl.png
233,Health Wing,Increases HP effort by 1.,Increases HP EVs by 1.,,Vitamins,Medicine,https://img.pokemondb.net/sprites/items/health-wing.png
234,Heart Scale,No effect. Can be traded for prior Level-up moves.,"A pretty, heart-shaped scale that is extremely rare. It glows faintly in the colors of the rainbow.",underground,Collectibles,General items,https://img.pokemondb.net/sprites/items/heart-scale.png
235,Heat Rock,Held: Sunny Day by the holder lasts 8 rounds instead of 5.,A Pokémon held item that extends the duration of the move Sunny Day used by the holder.,holdable; holdable-active; underground,Held Items,Hold items,https://img.pokemondb.net/sprites/items/heat-rock.png
236,Heavy Ball,Has flat bonus or penalty to catch rate depending on weight class of target. Made from Blk Apricorn.,A Poké Ball for catching very heavy Pokémon.,,Apricorn Balls,Pokeballs,https://img.pokemondb.net/sprites/items/heavy-ball.png
237,Heavy Duty Boots,,Protects the holder from traps set on the battlefield.,,Held Items,Hold items,https://img.pokemondb.net/s.png
238,Helix Fossil,Can be revived into an Omanyte.,A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a seashell.,underground,Dex Completion,General items,https://img.pokemondb.net/sprites/items/helix-fossil.png
239,Heracronite,Held: Allows Heracross to Mega Evolve into Mega Heracross.,Enables Heracross to Mega Evolve during battle.,,Mega Stones,Hold items,https://img.pokemondb.net/sprites/items/heracronite.png
240,Hi Tech Earbuds,,Strange earbuds that allow you to freely control the volume of various sounds.,,Gameplay,Hold items,https://img.pokemondb.net/s.png
241,Hm01,Teaches Cut to a compatible Pokémon.,Teaches the move Cut.,,All Machines,Machines,https://img.pokemondb.net/sprites/items/tm-normal.png
242,Hm02,Teaches Fly to a compatible Pokémon.,Teaches the move Fly.,,All Machines,Machines,https://img.pokemondb.net/sprites/items/tm-flying.png
243,Hm03,Teaches Surf to a compatible Pokémon.,Teaches the move Surf.,,All Machines,Machines,https://img.pokemondb.net/sprites/items/tm-water.png
244,Hm04,Teaches Strength to a compatible Pokémon.,Teaches the move Strength.,,All Machines,Machines,https://img.pokemondb.net/sprites/items/tm-normal.png
245,Hm05,Teaches Waterfall to a compatible Pokémon. (HS: Whirlpool DPP: Defog Gen III & II & I: Flash),Teaches the move Flash/Defog/Whirlpool/Waterfall.,,All Machines,Machines,https://img.pokemondb.net/sprites/items/tm-water.png
246,Hm06,Teaches Dive to a compatible Pokémon. (Gen IV & III: Rock Smash Gen II: Whirlpool),Teaches the move Whirlpool/Rock Smash/Dive.,,All Machines,Machines,https://img.pokemondb.net/sprites/items/tm-water.png
247,Hm07,Teaches a move to a compatible Pokémon. (Gen IV & III & II: Waterfall),Teaches the move Waterfall.,,All Machines,Machines,https://img.pokemondb.net/sprites/items/tm-water.png
248,Hm08,Teaches a move to a compatible Pokémon. (Gen IV: Rock Climb Gen III: Dive),Teaches the move Dive/Rock Climb.,,All Machines,Machines,https://img.pokemondb.net/sprites/items/tm-normal.png
249,Hondew Berry,Drops Special Attack Effort Values by 10 and raises happiness.,Increases Friendship but lowers Special Attack EVs.,,Effort Drop,Berries,https://img.pokemondb.net/sprites/items/hondew-berry.png
250,Honey,,"A sweet honey with a lush aroma that attracts wild Pokémon when it is used in grass, caves, or on special trees.",,Dex Completion,General items,https://img.pokemondb.net/sprites/items/honey.png
251,Honor Of Kalos,"Does nothing, but signifies becoming Champion.",A precious symbol that is awarded only to an individual who has done great things for the Kalos region.,,Plot Advancement,Hold items,https://img.pokemondb.net/sprites/items/honor-of-kalos.png
252,Houndoominite,Held: Allows Houndoom to Mega Evolve into Mega Houndoom.,Enables Houndoom to Mega Evolve during battle.,,Mega Stones,Hold items,https://img.pokemondb.net/sprites/items/houndoominite.png
253,Hp Up,Raises HP effort and happiness.,Increases HP EVs by 10.,countable; consumable; usable-overworld; usable-in-battle; holdable,Vitamins,Medicine,https://img.pokemondb.net/sprites/items/hp-up.png
254,Hyper Potion,Restores 200 HP.,Restores 120 HP.,countable; consumable; usable-overworld; usable-in-battle; holdable,Healing,Medicine,https://img.pokemondb.net/sprites/items/hyper-potion.png
255,Iapapa Berry,Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike sour flavor.,"Restores HP if it's low, but may cause confusion.",holdable-active,Picky Healing,Berries,https://img.pokemondb.net/sprites/items/iapapa-berry.png
256,Ice Gem,"Held: When the holder uses a damaging ice-type move, the move has 1.5× power and this item is consumed.",Increases the power of an Ice-type move only once.,,Jewels,Hold items,https://img.pokemondb.net/sprites/items/ice-gem.png
257,Ice Heal,Cures freezing.,A spray-type medicine. It defrosts a Pokémon that has been frozen solid.,countable; consumable; usable-overworld; usable-in-battle; holdable,Status Cures,Medicine,https://img.pokemondb.net/sprites/items/ice-heal.png
258,Ice Memory,Held: Changes Silvally to its Ice form.  Changes Multi-Attack's type to Ice.,Changes Silvally and its move Multi-Attack to Ice type.,,Memories,Hold items,https://img.pokemondb.net/sprites/items/ice-memory.png
259,Ice Stone,Evolves an Alola Sandshrew into Alola Sandslash or an Alola Vulpix into Alola Ninetales.,Evolves certain species of Pokémon.,,Evolution,General items,https://img.pokemondb.net/sprites/items/ice-stone.png
260,Iceroot Carrot,,Produce that the King of Bountiful Harvests’ beloved steed likes to eat. It grew in a field covered in snow.,,Plot Advancement,General items,https://img.pokemondb.net/s.png
261,Icicle Plate,Held: Ice-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Ice.,Increases power of Ice-type moves. Changes Arceus' type to Ice.,holdable; holdable-active; underground,Plates,Hold items,https://img.pokemondb.net/sprites/items/icicle-plate.png
262,Icy Rock,Held: Hail by the holder lasts 8 rounds instead of 5.,A Pokémon held item that extends the duration of the move Hail used by the holder.,holdable; holdable-active; underground,Held Items,Hold items,https://img.pokemondb.net/sprites/items/icy-rock.png
263,Impish Mint,,Changes the Pokémon's stats to match the Impish nature.,,Nature Mints,Battle items,https://img.pokemondb.net/s.png
264,Insect Plate,Held: Bug-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Bug.,Increases power of Bug-type moves. Changes Arceus' type to Bug.,holdable; holdable-active; underground,Plates,Hold items,https://img.pokemondb.net/sprites/items/insect-plate.png
265,Instant Noodles,,"One of the many ingredients that can be used for cooking at your camp. It has a junk-food sort of taste, but it goes well with curry.",,Curry Ingredients,General items,https://img.pokemondb.net/s.png
266,Intriguing Stone,"Trade for a Sun Stone in X and Y, or Pidgeotite in Omega Ruby and Alpha Sapphire.",A rather curious stone that might appear to be valuable to some. It's all in the eye of the beholder.,,Plot Advancement,Hold items,https://img.pokemondb.net/sprites/items/intriguing-stone.png
267,Iron,Raises Defense effort and happiness.,Increases Defense EVs by 10.,countable; consumable; usable-overworld; usable-in-battle; holdable,Vitamins,Medicine,https://img.pokemondb.net/sprites/items/iron.png
268,Iron Ball,"Held: Holder's Speed is halved. Negates all Ground-type immunities, and makes Flying-types take neutral damage from Ground-type moves. Arena Trap. Spikes, and Toxic Spikes affect the holder.",A Pokémon held item that cuts Speed. It makes Flying-type and levitating holders susceptible to Ground moves.,holdable; holdable-active; underground,Bad Held Items,Hold items,https://img.pokemondb.net/sprites/items/iron-ball.png
269,Iron Plate,Held: Steel-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Steel.,Increases power of Steel-type moves. Changes Arceus' type to Steel.,holdable; holdable-active; underground,Plates,Hold items,https://img.pokemondb.net/sprites/items/iron-plate.png
270,Item Drop,Forces a friendly Pokémon to drop its held item.,"When used, it causes an ally Pokémon to drop a held item.",,Miracle Shooter,Battle items,https://img.pokemondb.net/sprites/items/item-drop.png
271,Item Urge,Forcibly activates a friendly Pokémon's held item.,"When used, it causes an ally Pokémon to use its held item.",,Miracle Shooter,Battle items,https://img.pokemondb.net/sprites/items/item-urge.png
272,Jaboca Berry,Held: Consumed to deal 1/8 attacker's max HP when holder is struck by a physical attack.,"If held by a Pokémon and a physical attack lands, the attacker also takes damage.",holdable-active,Other,Berries,https://img.pokemondb.net/sprites/items/jaboca-berry.png
273,Jolly Mint,,Changes the Pokémon's stats to match the Jolly nature.,,Nature Mints,Battle items,https://img.pokemondb.net/s.png
274,Kangaskhanite,Held: Allows Kangaskhan to Mega Evolve into Mega Kangaskhan.,Enables Kangaskhan to Mega Evolve during battle.,,Mega Stones,Hold items,https://img.pokemondb.net/sprites/items/kangaskhanite.png
275,Kasib Berry,Held: Consumed when struck by a super-effective Ghost-type attack to halve the damage.,Weakens a supereffective Ghost-type attack against the holding Pokémon.,holdable-active,Type Protection,Berries,https://img.pokemondb.net/sprites/items/kasib-berry.png
276,Kebia Berry,Held: Consumed when struck by a super-effective Poison-type attack to halve the damage.,Weakens a supereffective Poison-type attack against the holding Pokémon.,holdable-active,Type Protection,Berries,https://img.pokemondb.net/sprites/items/kebia-berry.png
277,Kee Berry,"Held: When the holder is hit by a physical move, increases its Defense by one stage.","If held by a Pokémon, this Berry will increase the holder's Defense if it's hit with a physical move.",,Other,Berries,https://img.pokemondb.net/sprites/items/kee-berry.png
278,Kelpsy Berry,Drops Attack Effort Values by 10 and raises happiness.,Increases Friendship but lowers Attack EVs.,,Effort Drop,Berries,https://img.pokemondb.net/sprites/items/kelpsy-berry.png
279,Lagging Tail,Held: Holder moves last in its priority bracket.,Holder always attacks last.,holdable; holdable-active,Bad Held Items,Hold items,https://img.pokemondb.net/sprites/items/lagging-tail.png
280,Lansat Berry,Held: Consumed at 1/4 max HP to boost critical hit ratio by two stages.,Increases critical-hit ratio when HP is low.,holdable-active,In A Pinch,Berries,https://img.pokemondb.net/sprites/items/lansat-berry.png
281,Large Leek,,One of the many ingredients that can be used for cooking at your camp. Whether this is the kind of vegetable stalk that Farfetch’d like is unknown.,,Curry Ingredients,General items,https://img.pokemondb.net/s.png
282,Latiasite,Held: Allows Latias to Mega Evolve into Mega Latias.,Enables Latias to Mega Evolve during battle.,,Mega Stones,Hold items,https://img.pokemondb.net/sprites/items/latiasite.png
283,Latiosite,Held: Allows Latios to Mega Evolve into Mega Latios.,Enables Latios to Mega Evolve during battle.,,Mega Stones,Hold items,https://img.pokemondb.net/sprites/items/latiosite.png
284,Lava Cookie,Cures any status ailment and confusion.,Heals all major status conditions.,countable; consumable; usable-overworld; usable-in-battle; holdable,Status Cures,Medicine,https://img.pokemondb.net/sprites/items/lava-cookie.png
